Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,W,4,1,Auxerre,4,16,6,37.5,0.25,0.67,19.1,1.0,0,0,2.4,2.4,0.15,1.6,1.6,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,1.0,7.0,14.3,26.0,7.0,23.1,29.4,6.0,16.7,19.0,9.0,0.0,0.0,0.0,6.5,579.0,649.0,89.2,10012.0,3511.0,267.0,285.0,93.7,240.0,258.0,93.0,56.0,78.0,71.8,4,2.2,1.8,13.0,56.0,11.0,1.0,59.0,649.0,607.0,40.0,12.0,2.0,7.0,14,13.0,7.0,2.0,0.0,0.0,579.0,2.0,7.0,30.0,27.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,12,6.0,4.0,4.0,9.0,19.0,47.4,10.0,9.0,3.0,6.0,3,17,15.0,0.0,59,730.0,64.0,201.0,373.0,159.0,25.0,730.0,17.0,7.0,41.2,8.0,47.1,613.0,3120.0,1307.0,18.0,15.0,8.0,13.0,8.0,573.0,58.0,2,0,0,10,8,2,14,3,12,0.0,0.0,0,49.0,6.0,7.0,46.2,1
2022-08-12,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Away,D,1,1,Nantes,1,16,4,25.0,0.06,0.25,11.5,0.0,0,0,2.0,2.0,0.14,-1.0,-1.0,1,1,0,0.0,0,0.8,-0.2,0,0,0,0,3.0,7.0,42.9,26.0,4.0,23.1,28.8,9.0,22.2,26.7,13.0,0.0,0.0,2.0,26.0,550.0,678.0,81.1,9270.0,3446.0,264.0,314.0,84.1,225.0,262.0,85.9,41.0,67.0,61.2,1,1.6,1.6,12.0,41.0,12.0,4.0,56.0,678.0,616.0,61.0,14.0,3.0,3.0,26,25.0,11.0,7.0,2.0,0.0,550.0,1.0,11.0,29.0,25.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,10,7.0,8.0,3.0,6.0,13.0,46.2,7.0,14.0,5.0,9.0,8,26,22.0,0.0,69,789.0,71.0,191.0,406.0,199.0,35.0,789.0,17.0,5.0,29.4,9.0,52.9,578.0,3137.0,1580.0,27.0,23.0,6.0,10.0,14.0,546.0,56.0,4,0,0,10,14,1,26,8,10,0.0,0.0,0,61.0,15.0,18.0,45.5,1
2022-08-21,20:45 (11:45),Ligue 1,Matchweek 3,Sun,Home,L,1,7,Paris S-G,1,16,9,56.3,0.06,0.11,17.5,0.0,0,0,1.7,1.7,0.12,-0.7,-0.7,9,7,2,22.2,0,4.4,-2.6,0,0,0,0,1.0,8.0,12.5,33.0,4.0,24.2,26.0,6.0,0.0,13.0,8.0,2.0,25.0,2.0,15.0,514.0,572.0,89.9,7646.0,2635.0,282.0,297.0,94.9,185.0,195.0,94.9,23.0,43.0,53.5,0,1.6,0.6,14.0,36.0,6.0,1.0,26.0,572.0,534.0,36.0,12.0,1.0,0.0,8,8.0,2.0,0.0,2.0,0.0,514.0,2.0,9.0,28.0,22.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,5,9.0,3.0,1.0,6.0,16.0,37.5,10.0,8.0,2.0,6.0,15,28,5.0,0.0,48,670.0,66.0,207.0,328.0,138.0,20.0,670.0,26.0,10.0,38.5,14.0,53.8,542.0,3095.0,1396.0,24.0,34.0,8.0,9.0,10.0,507.0,26.0,2,0,0,13,7,2,8,15,5,0.0,0.0,0,36.0,6.0,6.0,50.0,1
2022-08-26,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Away,W,3,1,Ajaccio,3,6,4,66.7,0.5,0.75,18.6,0.0,0,1,1.7,0.9,0.15,1.3,2.1,2,1,1,50.0,0,1.1,0.1,0,0,0,0,1.0,6.0,16.7,26.0,2.0,19.2,25.2,8.0,12.5,16.8,20.0,2.0,10.0,0.0,5.5,427.0,524.0,81.5,7563.0,2411.0,183.0,213.0,85.9,193.0,219.0,88.1,41.0,68.0,60.3,1,0.7,0.6,3.0,33.0,7.0,2.0,45.0,524.0,478.0,44.0,14.0,0.0,3.0,11,20.0,0.0,0.0,0.0,0.0,427.0,2.0,9.0,14.0,12.0,0.0,0.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,12.0,10,6.0,6.0,0.0,4.0,13.0,30.8,9.0,12.0,6.0,6.0,8,20,30.0,0.0,58,635.0,81.0,226.0,314.0,102.0,19.0,634.0,22.0,11.0,50.0,8.0,36.4,464.0,2394.0,1242.0,15.0,11.0,6.0,12.0,3.0,421.0,44.0,2,0,0,13,13,2,11,8,10,1.0,0.0,0,51.0,18.0,17.0,51.4,1
2022-08-31,21:00 (12:00),Ligue 1,Matchweek 5,Wed,Home,L,1,2,Nice,1,18,6,33.3,0.06,0.17,19.6,0.0,0,0,0.9,0.9,0.05,0.1,0.1,2,2,0,100.0,0,1.9,-0.1,2,2,0,0,0.0,4.0,0.0,13.0,4.0,30.8,26.6,1.0,0.0,26.0,11.0,1.0,9.1,1.0,16.3,513.0,595.0,86.2,8919.0,2765.0,242.0,268.0,90.3,219.0,239.0,91.6,46.0,72.0,63.9,1,0.8,1.1,13.0,48.0,10.0,3.0,62.0,595.0,547.0,47.0,21.0,1.0,4.0,33,16.0,6.0,4.0,1.0,0.0,513.0,1.0,8.0,30.0,25.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,11,4.0,3.0,6.0,5.0,11.0,45.5,6.0,6.0,1.0,5.0,6,19,12.0,0.0,62,702.0,27.0,130.0,349.0,229.0,30.0,702.0,17.0,4.0,23.5,11.0,64.7,550.0,3036.0,1593.0,37.0,30.0,6.0,13.0,9.0,508.0,60.0,1,0,0,15,20,1,33,6,11,0.0,2.0,0,69.0,8.0,19.0,29.6,1
2022-09-04,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Away,W,3,1,Montpellier,3,26,8,30.8,0.12,0.38,18.4,0.0,0,0,1.6,1.6,0.06,1.4,1.4,1,1,0,0.0,0,0.1,-0.9,0,0,0,0,0.0,2.0,0.0,14.0,6.0,7.1,23.4,1.0,100.0,60.0,4.0,0.0,0.0,4.0,18.2,638.0,735.0,86.8,10107.0,3585.0,326.0,359.0,90.8,226.0,254.0,89.0,52.0,69.0,75.4,3,1.4,1.8,21.0,62.0,18.0,1.0,81.0,735.0,688.0,44.0,10.0,1.0,1.0,23,22.0,9.0,0.0,7.0,0.0,638.0,3.0,15.0,49.0,39.0,5.0,1.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,11,5.0,8.0,4.0,7.0,9.0,77.8,2.0,4.0,3.0,1.0,7,24,14.0,2.0,75,842.0,25.0,147.0,373.0,326.0,44.0,842.0,23.0,8.0,34.8,14.0,60.9,657.0,3972.0,1824.0,34.0,42.0,7.0,14.0,6.0,633.0,80.0,4,0,0,11,8,3,23,7,11,0.0,0.0,0,53.0,21.0,12.0,63.6,1
2022-09-10,21:00 (12:00),Ligue 1,Matchweek 7,Sat,Away,L,1,2,Marseille,1,7,3,42.9,0.14,0.33,12.3,0.0,0,0,1.0,1.0,0.15,0.0,0.0,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,4.0,17.0,23.5,27.0,3.0,55.6,39.9,5.0,40.0,41.8,9.0,0.0,0.0,2.0,30.5,333.0,437.0,76.2,5660.0,2340.0,161.0,189.0,85.2,121.0,145.0,83.4,40.0,77.0,51.9,0,0.6,0.8,6.0,34.0,5.0,1.0,36.0,437.0,382.0,54.0,23.0,0.0,2.0,11,20.0,3.0,0.0,2.0,0.0,333.0,1.0,11.0,12.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,13,14.0,12.0,1.0,9.0,13.0,69.2,4.0,11.0,4.0,7.0,6,33,16.0,0.0,47,550.0,57.0,167.0,279.0,108.0,12.0,550.0,17.0,8.0,47.1,4.0,23.5,363.0,1680.0,637.0,7.0,14.0,0.0,16.0,13.0,331.0,35.0,1,0,0,17,21,1,11,6,13,0.0,0.0,0,61.0,15.0,17.0,46.9,1
2022-09-17,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Home,W,2,1,Toulouse,2,10,4,40.0,0.2,0.5,16.0,1.0,0,0,1.0,1.0,0.1,1.0,1.0,5,1,4,80.0,0,0.4,-0.6,0,0,0,0,2.0,16.0,12.5,26.0,5.0,46.2,39.4,5.0,80.0,54.0,23.0,3.0,13.0,0.0,8.5,341.0,454.0,75.1,5394.0,2195.0,170.0,198.0,85.9,120.0,152.0,78.9,29.0,65.0,44.6,1,0.9,0.7,7.0,30.0,8.0,1.0,33.0,454.0,392.0,61.0,18.0,3.0,2.0,9,31.0,5.0,2.0,2.0,0.0,341.0,1.0,12.0,19.0,12.0,2.0,3.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,7,11.0,6.0,3.0,11.0,27.0,40.7,16.0,17.0,4.0,13.0,14,34,26.0,1.0,45,584.0,71.0,203.0,263.0,127.0,18.0,584.0,22.0,11.0,50.0,8.0,36.4,384.0,2308.0,1023.0,15.0,18.0,5.0,15.0,10.0,340.0,33.0,2,0,0,20,14,1,9,14,7,0.0,0.0,0,56.0,18.0,19.0,48.6,1
2022-10-02,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Away,L,1,2,Lorient,1,20,4,20.0,0.05,0.25,15.6,0.0,0,0,2.2,2.2,0.11,-1.2,-1.2,4,2,3,50.0,0,0.8,-0.2,0,0,0,0,2.0,9.0,22.2,16.0,4.0,56.3,39.7,6.0,0.0,9.7,2.0,0.0,0.0,1.0,7.3,469.0,582.0,80.6,7664.0,2596.0,215.0,247.0,87.0,197.0,238.0,82.8,38.0,65.0,58.5,1,1.8,3.0,15.0,44.0,19.0,2.0,69.0,582.0,524.0,57.0,13.0,2.0,1.0,40,21.0,14.0,7.0,2.0,0.0,469.0,1.0,11.0,35.0,24.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,10,7.0,8.0,4.0,11.0,22.0,50.0,11.0,9.0,1.0,8.0,7,26,5.0,1.0,63,680.0,36.0,123.0,300.0,267.0,48.0,680.0,24.0,9.0,37.5,14.0,58.3,495.0,2836.0,1397.0,26.0,21.0,7.0,8.0,11.0,463.0,69.0,3,0,0,14,12,1,40,7,10,0.0,0.0,1,52.0,15.0,13.0,53.6,1
2022-10-09,20:45 (11:45),Ligue 1,Matchweek 10,Sun,Home,W,1,0,Lens,1,11,4,36.4,0.0,0.0,16.8,0.0,1,1,2.6,1.8,0.17,-1.6,-1.8,3,0,2,100.0,1,1.4,1.4,1,0,1,0,3.0,12.0,25.0,18.0,1.0,38.9,35.8,8.0,62.5,42.5,17.0,0.0,0.0,1.0,17.0,318.0,400.0,79.5,5015.0,2121.0,178.0,198.0,89.9,111.0,133.0,83.5,20.0,49.0,40.8,0,1.6,1.4,8.0,30.0,7.0,0.0,36.0,400.0,350.0,50.0,16.0,1.0,1.0,13,20.0,5.0,4.0,0.0,0.0,318.0,0.0,9.0,22.0,16.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,6,5.0,8.0,4.0,5.0,14.0,35.7,9.0,12.0,2.0,10.0,13,30,26.0,0.0,45,523.0,67.0,171.0,234.0,123.0,18.0,522.0,22.0,8.0,36.4,11.0,50.0,356.0,1962.0,823.0,14.0,11.0,4.0,16.0,13.0,318.0,36.0,3,0,0,19,15,0,13,13,6,1.0,1.0,0,48.0,10.0,14.0,41.7,1
