Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-13,20:45 (11:45),Ligue 1,Matchweek 1,Sun,Away,L,1,2,Strasbourg,1,23,7,30.4,0.04,0.14,17.3,1.0,0,0,1.7,1.7,0.08,-0.7,-0.7,2,2,0,0.0,0,0.9,-1.1,0,0,0,0,1.0,5.0,20.0,28.0,4.0,10.7,23.5,8.0,25.0,30.6,8.0,2.0,25.0,1.0,11.3,543.0,626.0,86.7,10209.0,3533.0,192.0,218.0,88.1,284.0,310.0,91.6,54.0,79.0,68.4,1,1.5,1.7,17.0,48.0,15.0,4.0,59.0,626.0,571.0,53.0,9.0,1.0,8.0,17,27.0,6.0,0.0,4.0,0.0,543.0,2.0,7.0,36.0,23.0,4.0,0.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9,3.0,7.0,6.0,7.0,21.0,33.3,14.0,9.0,3.0,6.0,9,25,14.0,0.0,64.0,749.0,61.0,189.0,349.0,215.0,41.0,749.0,33.0,13.0,39.4,18.0,54.5,572.0,3789.0,1659.0,25.0,31.0,11.0,13.0,6.0,535.0,58.0,2,0,0,11,8,2,17,9,9,0.0,0.0,0,49.0,17.0,7.0,70.8,1
2023-08-19,19:00 (10:00),Ligue 1,Matchweek 2,Sat,Home,L,1,4,Montpellier,1,7,3,42.9,0.14,0.33,20.0,1.0,0,0,0.4,0.4,0.05,0.6,0.6,8,4,4,50.0,0,3.1,-0.9,0,0,0,0,2.0,3.0,66.7,19.0,3.0,15.8,26.2,5.0,0.0,20.4,7.0,0.0,0.0,1.0,14.8,474.0,566.0,83.7,7641.0,2672.0,246.0,273.0,90.1,179.0,208.0,86.1,30.0,51.0,58.8,1,0.2,0.9,5.0,42.0,9.0,0.0,64.0,566.0,524.0,40.0,12.0,2.0,7.0,16,12.0,6.0,2.0,3.0,0.0,474.0,2.0,16.0,12.0,10.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,10,6.0,11.0,3.0,8.0,18.0,44.4,10.0,9.0,2.0,7.0,5,25,7.0,1.0,63.0,650.0,43.0,113.0,341.0,201.0,24.0,650.0,26.0,16.0,61.5,9.0,34.6,517.0,3390.0,1713.0,29.0,42.0,9.0,17.0,9.0,470.0,64.0,4,1,0,20,8,2,16,5,10,0.0,0.0,0,51.0,7.0,5.0,58.3,1
2023-08-27,20:45 (11:45),Ligue 1,Matchweek 3,Sun,Away,D,0,0,Nice,0,6,1,16.7,0.0,0.0,23.5,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,4,0,4,100.0,1,0.7,0.7,0,0,0,0,2.0,16.0,12.5,34.0,6.0,20.6,28.1,11.0,81.8,51.0,17.0,1.0,5.9,1.0,14.0,309.0,397.0,77.8,5292.0,2022.0,138.0,166.0,83.1,136.0,151.0,90.1,25.0,57.0,43.9,0,0.2,0.4,4.0,20.0,2.0,0.0,26.0,397.0,355.0,41.0,15.0,2.0,1.0,4,12.0,2.0,0.0,2.0,0.0,309.0,1.0,7.0,11.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8,6.0,4.0,6.0,7.0,30.0,23.3,23.0,16.0,7.0,9.0,6,22,29.0,0.0,42.0,517.0,97.0,233.0,210.0,78.0,18.0,517.0,19.0,11.0,57.9,8.0,42.1,349.0,1917.0,767.0,16.0,9.0,7.0,14.0,9.0,306.0,26.0,4,0,0,14,7,1,4,6,8,0.0,0.0,0,45.0,9.0,13.0,40.9,1
2023-09-03,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,1,4,Paris S-G,1,18,7,38.9,0.0,0.0,16.5,0.0,1,1,2.1,1.5,0.08,-1.1,-1.5,8,4,4,62.5,0,3.8,-0.2,1,1,0,0,4.0,14.0,28.6,29.0,7.0,37.9,35.8,7.0,42.9,38.3,2.0,0.0,0.0,0.0,5.0,311.0,387.0,80.4,5225.0,2243.0,151.0,172.0,87.8,103.0,121.0,85.1,38.0,65.0,58.5,0,1.5,1.3,17.0,18.0,12.0,2.0,37.0,387.0,352.0,35.0,5.0,0.0,2.0,16,13.0,5.0,2.0,2.0,0.0,311.0,0.0,8.0,32.0,22.0,3.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,11,11.0,6.0,6.0,12.0,25.0,48.0,13.0,12.0,5.0,7.0,12,35,6.0,0.0,31.0,494.0,64.0,178.0,178.0,139.0,31.0,493.0,31.0,15.0,48.4,14.0,45.2,341.0,1886.0,882.0,19.0,11.0,8.0,12.0,5.0,305.0,36.0,2,0,0,9,4,0,16,12,11,1.0,1.0,0,48.0,5.0,6.0,45.5,1
2023-09-17,20:45 (11:45),Ligue 1,Matchweek 5,Sun,Home,D,0,0,Le Havre,0,23,7,30.4,0.0,0.0,18.4,1.0,0,0,1.5,1.5,0.06,-1.5,-1.5,0,0,0,,1,0.0,0.0,0,0,0,0,5.0,7.0,71.4,28.0,6.0,25.0,29.4,8.0,0.0,18.1,8.0,3.0,37.5,2.0,17.2,490.0,579.0,84.6,9397.0,3250.0,177.0,206.0,85.9,250.0,275.0,90.9,56.0,81.0,69.1,0,1.4,1.8,19.0,38.0,10.0,2.0,63.0,579.0,526.0,50.0,13.0,1.0,5.0,19,22.0,6.0,1.0,3.0,0.0,490.0,3.0,7.0,44.0,28.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10,7.0,7.0,4.0,7.0,12.0,58.3,5.0,11.0,2.0,9.0,10,28,6.0,0.0,58.0,691.0,56.0,188.0,346.0,165.0,43.0,691.0,23.0,10.0,43.5,11.0,47.8,532.0,2859.0,1414.0,22.0,18.0,12.0,10.0,15.0,485.0,63.0,3,0,0,13,12,3,19,10,10,0.0,0.0,0,53.0,11.0,17.0,39.3,1
2023-09-23,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Away,L,0,1,Brest,0,6,3,50.0,0.0,0.0,25.1,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,11,1,10,90.9,0,2.0,1.0,0,0,0,0,7.0,24.0,29.2,26.0,5.0,61.5,45.8,13.0,61.5,43.8,28.0,0.0,0.0,0.0,12.5,271.0,379.0,71.5,4944.0,2506.0,101.0,120.0,84.2,127.0,162.0,78.4,27.0,68.0,39.7,0,0.4,0.5,5.0,22.0,3.0,0.0,21.0,379.0,327.0,52.0,18.0,2.0,0.0,6,18.0,1.0,0.0,1.0,0.0,271.0,0.0,7.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,4.0,12.0,3.0,10.0,26.0,38.5,16.0,10.0,4.0,6.0,10,29,22.0,1.0,43.0,504.0,76.0,188.0,239.0,83.0,5.0,504.0,11.0,5.0,45.5,5.0,45.5,321.0,1725.0,676.0,3.0,6.0,0.0,23.0,16.0,269.0,21.0,1,0,0,16,13,0,6,10,14,0.0,0.0,0,58.0,10.0,27.0,27.0,1
2023-10-01,13:00 (04:00),Ligue 1,Matchweek 7,Sun,Away,L,0,2,Reims,0,11,6,54.5,0.0,0.0,20.7,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,3,2,1,33.3,0,1.6,-0.4,0,0,0,0,8.0,12.0,66.7,24.0,4.0,37.5,32.7,4.0,75.0,43.8,10.0,1.0,10.0,2.0,19.3,439.0,538.0,81.6,8124.0,2967.0,188.0,208.0,90.4,188.0,220.0,85.5,52.0,81.0,64.2,0,0.7,0.5,9.0,37.0,3.0,2.0,36.0,538.0,488.0,48.0,20.0,1.0,6.0,19,17.0,5.0,0.0,4.0,0.0,439.0,2.0,8.0,18.0,13.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4,3.0,5.0,1.0,3.0,19.0,15.8,16.0,11.0,1.0,10.0,9,18,11.0,0.0,50.0,637.0,49.0,195.0,317.0,131.0,16.0,637.0,29.0,9.0,31.0,15.0,51.7,482.0,2593.0,1069.0,15.0,11.0,5.0,13.0,8.0,434.0,35.0,2,0,0,14,18,2,19,9,4,0.0,0.0,0,66.0,13.0,11.0,54.2,1
2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,3,3,Lorient,3,8,5,62.5,0.25,0.4,20.7,0.0,1,1,1.4,0.6,0.08,1.6,1.4,5,3,2,40.0,0,2.3,-0.7,0,0,0,0,8.0,16.0,50.0,23.0,2.0,56.5,36.8,3.0,100.0,57.3,9.0,0.0,0.0,0.0,2.0,376.0,480.0,78.3,6692.0,2264.0,153.0,187.0,81.8,180.0,200.0,90.0,32.0,77.0,41.6,1,0.5,0.3,5.0,27.0,5.0,1.0,32.0,480.0,438.0,41.0,8.0,1.0,3.0,16,21.0,5.0,2.0,3.0,0.0,376.0,1.0,5.0,13.0,8.0,1.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,17.0,12,10.0,4.0,3.0,6.0,22.0,27.3,16.0,5.0,0.0,5.0,10,27,11.0,1.0,50.0,574.0,53.0,179.0,272.0,134.0,10.0,573.0,15.0,10.0,66.7,4.0,26.7,411.0,1982.0,906.0,14.0,12.0,4.0,15.0,7.0,371.0,32.0,0,0,0,22,10,1,16,10,12,1.0,0.0,0,61.0,11.0,14.0,44.0,1
2023-10-22,20:45 (11:45),Ligue 1,Matchweek 9,Sun,Home,L,1,2,Clermont Foot,0,25,6,24.0,0.0,0.0,17.2,3.0,0,0,1.7,1.7,0.07,-1.7,-1.7,5,2,3,60.0,0,1.3,-0.7,0,0,0,0,2.0,4.0,50.0,12.0,2.0,33.3,28.8,6.0,0.0,20.8,9.0,1.0,11.1,3.0,35.3,526.0,647.0,81.3,9054.0,3188.0,236.0,288.0,81.9,221.0,246.0,89.8,48.0,76.0,63.2,0,1.2,2.3,17.0,58.0,17.0,4.0,69.0,647.0,595.0,51.0,10.0,1.0,1.0,27,22.0,10.0,1.0,4.0,0.0,526.0,1.0,12.0,44.0,31.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13,6.0,11.0,6.0,13.0,19.0,68.4,6.0,7.0,6.0,1.0,12,35,9.0,0.0,63.0,772.0,39.0,147.0,339.0,293.0,47.0,772.0,30.0,12.0,40.0,14.0,46.7,577.0,2899.0,1485.0,32.0,27.0,7.0,14.0,13.0,521.0,68.0,4,0,0,16,12,1,27,12,13,0.0,0.0,0,76.0,20.0,15.0,57.1,1
2023-11-05,13:00 (04:00),Ligue 1,Matchweek 11,Sun,Home,D,1,1,Metz,1,15,4,26.7,0.07,0.25,21.0,1.0,0,0,1.9,1.9,0.13,-0.9,-0.9,5,1,4,80.0,0,0.4,-0.6,0,0,0,0,0.0,0.0,,13.0,5.0,0.0,19.5,5.0,0.0,22.0,13.0,0.0,0.0,2.0,20.0,581.0,682.0,85.2,9429.0,3201.0,286.0,329.0,86.9,249.0,279.0,89.2,32.0,48.0,66.7,1,1.6,1.5,12.0,59.0,11.0,1.0,62.0,682.0,642.0,38.0,14.0,3.0,0.0,18,13.0,4.0,2.0,2.0,0.0,581.0,2.0,13.0,24.0,19.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,21,14.0,9.0,2.0,7.0,17.0,41.2,10.0,8.0,2.0,6.0,5,30,16.0,1.0,66.0,791.0,39.0,171.0,409.0,220.0,29.0,791.0,19.0,7.0,36.8,10.0,52.6,622.0,3514.0,1665.0,32.0,21.0,4.0,16.0,13.0,572.0,61.0,1,0,0,16,13,2,18,5,21,0.0,0.0,0,62.0,14.0,5.0,73.7,1
2023-11-12,17:05 (08:05),Ligue 1,Matchweek 12,Sun,Away,W,1,0,Rennes,1,12,5,41.7,0.08,0.2,14.6,0.0,0,0,1.5,1.5,0.12,-0.5,-0.5,2,0,2,100.0,1,0.5,0.5,0,0,0,0,2.0,4.0,50.0,13.0,6.0,7.7,20.2,7.0,42.9,35.9,10.0,1.0,10.0,1.0,13.0,510.0,594.0,85.9,9169.0,2897.0,218.0,239.0,91.2,221.0,254.0,87.0,59.0,78.0,75.6,0,1.0,1.5,7.0,70.0,16.0,5.0,73.0,594.0,554.0,37.0,5.0,3.0,2.0,28,15.0,9.0,0.0,0.0,0.0,510.0,3.0,5.0,21.0,16.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,7,4.0,7.0,3.0,6.0,14.0,42.9,8.0,8.0,2.0,6.0,7,21,16.0,0.0,58.0,695.0,47.0,145.0,337.0,220.0,28.0,695.0,16.0,6.0,37.5,10.0,62.5,549.0,2683.0,1272.0,16.0,17.0,4.0,17.0,12.0,506.0,72.0,1,0,0,18,5,3,28,7,7,0.0,0.0,0,54.0,15.0,9.0,62.5,1
2023-11-26,20:45 (11:45),Ligue 1,Matchweek 13,Sun,Home,L,0,2,Lille,0,11,5,45.5,0.0,0.0,13.6,0.0,0,0,1.9,1.9,0.17,-1.9,-1.9,8,2,6,75.0,0,1.8,-0.2,0,0,0,0,7.0,17.0,41.2,28.0,5.0,50.0,34.8,5.0,60.0,38.4,10.0,0.0,0.0,2.0,26.0,479.0,573.0,83.6,8284.0,2517.0,202.0,225.0,89.8,225.0,250.0,90.0,41.0,74.0,55.4,0,1.0,0.9,9.0,35.0,6.0,2.0,48.0,573.0,543.0,27.0,6.0,2.0,3.0,13,10.0,3.0,0.0,2.0,0.0,479.0,3.0,6.0,18.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7,1.0,7.0,6.0,6.0,11.0,54.5,5.0,11.0,4.0,7.0,17,31,11.0,1.0,48.0,669.0,49.0,166.0,369.0,141.0,16.0,669.0,14.0,5.0,35.7,8.0,57.1,531.0,2494.0,1095.0,18.0,13.0,4.0,12.0,7.0,476.0,47.0,2,0,0,17,5,3,13,17,7,0.0,0.0,0,61.0,11.0,4.0,73.3,1
