Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,2,2,Le Havre,2,14,5,35.7,0.14,0.4,15.2,1.0,0,0,1.6,1.6,0.12,0.4,0.4,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,6.0,17.0,35.3,24.0,4.0,45.8,37.6,13.0,46.2,39.8,9.0,1.0,11.1,0.0,6.0,428.0,537.0,79.7,8499.0,3188.0,158.0,176.0,89.8,199.0,228.0,87.3,62.0,104.0,59.6,2,1.3,1.5,9.0,40.0,6.0,2.0,45.0,537.0,482.0,50.0,11.0,2.0,1.0,18,19.0,4.0,1.0,2.0,0.0,428.0,5.0,11.0,25.0,15.0,3.0,1.0,1.0,5.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,17.0,11,10.0,5.0,2.0,15.0,24.0,62.5,9.0,10.0,1.0,9.0,7,24,15.0,0.0,58.0,648.0,66.0,202.0,317.0,136.0,19.0,648.0,15.0,8.0,53.3,6.0,40.0,470.0,2647.0,1238.0,21.0,19.0,4.0,29.0,6.0,420.0,44.0,1,0,0,8,11,5,18,7,11,0.0,0.0,0,65.0,18.0,17.0,51.4,1
2023-08-19,19:00 (10:00),Ligue 1,Matchweek 2,Sat,Away,W,4,1,Lyon,4,14,8,57.1,0.29,0.5,20.5,1.0,0,0,2.9,2.9,0.21,1.1,1.1,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,6.0,20.0,30.0,32.0,3.0,50.0,39.2,8.0,50.0,31.5,10.0,0.0,0.0,0.0,15.0,252.0,328.0,76.8,4653.0,2140.0,101.0,118.0,85.6,107.0,122.0,87.7,33.0,69.0,47.8,2,2.1,0.3,9.0,18.0,3.0,0.0,24.0,328.0,279.0,45.0,20.0,0.0,1.0,9,13.0,2.0,1.0,1.0,0.0,252.0,4.0,7.0,24.0,17.0,1.0,4.0,1.0,1.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,18.0,13,12.0,4.0,2.0,9.0,25.0,36.0,16.0,13.0,1.0,12.0,9,27,20.0,0.0,37.0,432.0,68.0,204.0,167.0,70.0,13.0,432.0,22.0,10.0,45.5,8.0,36.4,297.0,1687.0,816.0,20.0,12.0,8.0,12.0,12.0,247.0,23.0,1,0,0,9,20,4,9,9,13,0.0,0.0,0,52.0,5.0,7.0,41.7,1
2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,1,3,Reims,1,20,3,15.0,0.05,0.33,17.5,2.0,0,0,0.9,0.9,0.05,0.1,0.1,6,3,2,50.0,0,2.1,-0.9,1,0,1,0,4.0,14.0,28.6,21.0,3.0,52.4,40.0,9.0,33.3,30.9,12.0,0.0,0.0,0.0,9.5,296.0,427.0,69.3,5426.0,2381.0,110.0,147.0,74.8,136.0,169.0,80.5,37.0,86.0,43.0,1,0.8,0.8,14.0,24.0,10.0,2.0,47.0,427.0,358.0,69.0,19.0,0.0,4.0,22,32.0,5.0,0.0,4.0,0.0,296.0,0.0,13.0,37.0,22.0,5.0,5.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,12,8.0,4.0,2.0,9.0,23.0,39.1,14.0,13.0,2.0,11.0,9,23,27.0,0.0,52.0,550.0,54.0,162.0,245.0,148.0,37.0,550.0,31.0,15.0,48.4,14.0,45.2,346.0,2089.0,996.0,24.0,13.0,10.0,13.0,12.0,288.0,44.0,1,0,0,9,18,0,22,9,12,0.0,1.0,0,70.0,16.0,20.0,44.4,1
2023-09-03,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,0,1,Lille,0,7,4,57.1,0.0,0.0,21.2,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,6,1,5,83.3,0,2.0,1.0,0,0,0,0,4.0,15.0,26.7,24.0,2.0,50.0,41.0,8.0,37.5,40.4,6.0,0.0,0.0,0.0,,303.0,402.0,75.4,6583.0,2397.0,91.0,111.0,82.0,145.0,164.0,88.4,60.0,107.0,56.1,0,0.2,0.5,5.0,32.0,5.0,2.0,34.0,402.0,333.0,63.0,14.0,2.0,8.0,18,34.0,5.0,3.0,2.0,0.0,303.0,6.0,7.0,12.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9,12.0,5.0,4.0,9.0,20.0,45.0,11.0,10.0,3.0,7.0,9,30,11.0,0.0,42.0,502.0,50.0,157.0,222.0,136.0,17.0,502.0,19.0,9.0,47.4,10.0,52.6,342.0,2249.0,909.0,10.0,13.0,3.0,21.0,7.0,297.0,33.0,1,0,0,14,14,6,18,9,9,0.0,0.0,0,48.0,10.0,10.0,50.0,1
2023-09-17,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,D,2,2,Strasbourg,2,10,4,40.0,0.2,0.5,17.2,0.0,0,0,1.1,1.1,0.11,0.9,0.9,7,2,6,71.4,0,1.5,0.5,0,0,0,0,7.0,18.0,38.9,38.0,4.0,44.7,34.1,9.0,11.1,22.9,12.0,1.0,8.3,0.0,5.0,465.0,557.0,83.5,8329.0,2798.0,187.0,209.0,89.5,201.0,225.0,89.3,57.0,90.0,63.3,2,1.1,0.8,10.0,27.0,3.0,0.0,35.0,557.0,502.0,54.0,17.0,4.0,3.0,12,21.0,4.0,0.0,4.0,0.0,465.0,1.0,8.0,20.0,14.0,4.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,9,5.0,13.0,2.0,10.0,26.0,38.5,16.0,4.0,1.0,3.0,13,33,20.0,0.0,56.0,671.0,79.0,240.0,321.0,114.0,22.0,671.0,16.0,6.0,37.5,9.0,56.3,506.0,2332.0,1150.0,13.0,10.0,6.0,22.0,9.0,463.0,35.0,6,0,0,18,17,1,12,13,9,0.0,0.0,1,55.0,12.0,17.0,41.4,1
2023-09-24,17:05 (08:05),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Rennes,0,13,4,30.8,0.0,0.0,21.0,0.0,0,0,1.5,1.5,0.12,-1.5,-1.5,6,0,6,100.0,1,0.7,0.7,0,0,0,0,5.0,19.0,26.3,14.0,1.0,71.4,46.5,10.0,90.0,59.0,11.0,0.0,0.0,0.0,,215.0,334.0,64.4,4336.0,2197.0,73.0,109.0,67.0,87.0,121.0,71.9,41.0,76.0,53.9,0,1.1,0.5,9.0,24.0,3.0,2.0,29.0,334.0,284.0,46.0,15.0,0.0,2.0,14,17.0,3.0,1.0,0.0,0.0,215.0,4.0,10.0,18.0,14.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12,8.0,5.0,4.0,7.0,20.0,35.0,13.0,14.0,5.0,9.0,8,25,26.0,0.0,37.0,457.0,51.0,149.0,190.0,123.0,21.0,457.0,13.0,7.0,53.8,6.0,46.2,266.0,1824.0,695.0,16.0,16.0,5.0,19.0,3.0,209.0,28.0,2,0,0,10,14,4,14,8,12,0.0,0.0,0,70.0,16.0,22.0,42.1,1
2023-10-01,17:05 (08:05),Ligue 1,Matchweek 7,Sun,Away,W,3,0,Lorient,3,13,7,53.8,0.15,0.29,18.5,0.0,1,1,2.8,2.1,0.16,0.2,-0.1,3,0,3,100.0,1,0.4,0.4,0,0,0,0,5.0,15.0,33.3,28.0,4.0,35.7,34.1,8.0,62.5,41.9,20.0,3.0,15.0,1.0,12.0,469.0,563.0,83.3,7889.0,2683.0,211.0,229.0,92.1,185.0,205.0,90.2,45.0,89.0,50.6,2,1.7,1.2,10.0,36.0,6.0,0.0,41.0,563.0,523.0,39.0,13.0,2.0,4.0,17,14.0,3.0,1.0,2.0,0.0,469.0,1.0,7.0,23.0,13.0,2.0,6.0,0.0,2.0,0.0,5.0,2.0,0.0,2.0,0.0,1.0,0.0,22.0,16,14.0,7.0,1.0,15.0,29.0,51.7,14.0,15.0,7.0,8.0,5,27,17.0,0.0,49.0,669.0,66.0,240.0,296.0,139.0,23.0,668.0,22.0,14.0,63.6,7.0,31.8,511.0,2591.0,1257.0,17.0,18.0,6.0,8.0,8.0,468.0,41.0,1,0,0,6,12,1,17,5,16,1.0,0.0,0,53.0,12.0,12.0,50.0,1
2023-10-22,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,L,0,2,Nantes,0,11,6,54.5,0.0,0.0,19.0,2.0,0,0,0.5,0.5,0.05,-0.5,-0.5,5,2,3,60.0,0,2.1,0.1,0,0,0,0,3.0,6.0,50.0,27.0,5.0,18.5,27.8,7.0,14.3,28.0,10.0,1.0,10.0,0.0,12.3,386.0,495.0,78.0,7502.0,2835.0,153.0,187.0,81.8,170.0,200.0,85.0,56.0,90.0,62.2,0,0.4,0.9,7.0,27.0,10.0,4.0,43.0,495.0,447.0,48.0,15.0,2.0,1.0,18,20.0,3.0,2.0,1.0,0.0,386.0,0.0,10.0,18.0,14.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12,8.0,5.0,3.0,7.0,14.0,50.0,7.0,8.0,2.0,6.0,8,24,10.0,1.0,43.0,588.0,52.0,173.0,291.0,130.0,25.0,588.0,18.0,7.0,38.9,8.0,44.4,440.0,2300.0,1145.0,16.0,18.0,6.0,10.0,9.0,381.0,43.0,1,0,0,13,16,0,18,8,12,0.0,0.0,0,68.0,11.0,9.0,55.0,1
2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Home,W,3,0,Toulouse,3,19,6,31.6,0.16,0.5,19.6,0.0,0,0,3.0,3.0,0.16,0.0,0.0,5,0,5,100.0,1,0.8,0.8,0,0,0,0,9.0,24.0,37.5,40.0,6.0,60.0,38.8,7.0,14.3,24.4,16.0,0.0,0.0,1.0,20.0,283.0,392.0,72.2,5443.0,2335.0,118.0,135.0,87.4,113.0,143.0,79.0,43.0,93.0,46.2,3,2.4,1.1,12.0,23.0,6.0,1.0,22.0,392.0,344.0,46.0,16.0,1.0,4.0,11,19.0,3.0,0.0,3.0,0.0,283.0,2.0,4.0,31.0,18.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,14.0,10,7.0,5.0,2.0,7.0,19.0,36.8,12.0,19.0,6.0,13.0,13,27,20.0,0.0,39.0,522.0,74.0,215.0,211.0,108.0,21.0,522.0,18.0,10.0,55.6,8.0,44.4,339.0,1809.0,909.0,16.0,13.0,6.0,16.0,7.0,281.0,22.0,2,0,0,13,14,2,11,13,10,0.0,0.0,0,66.0,23.0,24.0,48.9,1
2023-11-03,21:00 (13:00),Ligue 1,Matchweek 11,Fri,Away,L,0,3,Paris S-G,0,7,2,28.6,0.0,0.0,21.1,2.0,0,0,0.5,0.5,0.07,-0.5,-0.5,9,3,6,66.7,0,2.2,-0.8,0,0,0,0,6.0,20.0,30.0,28.0,3.0,60.7,41.2,8.0,37.5,29.6,14.0,0.0,0.0,0.0,11.0,261.0,340.0,76.8,4768.0,1986.0,102.0,119.0,85.7,120.0,137.0,87.6,32.0,65.0,49.2,0,0.4,0.3,5.0,15.0,1.0,0.0,23.0,340.0,296.0,42.0,10.0,1.0,3.0,9,18.0,2.0,0.0,2.0,0.0,261.0,2.0,7.0,13.0,9.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,18,22.0,9.0,2.0,20.0,38.0,52.6,18.0,12.0,7.0,5.0,12,45,24.0,1.0,30.0,463.0,74.0,202.0,193.0,74.0,9.0,463.0,18.0,8.0,44.4,9.0,50.0,300.0,1643.0,759.0,14.0,14.0,3.0,15.0,8.0,256.0,22.0,0,0,0,13,10,2,9,12,18,0.0,0.0,0,52.0,9.0,6.0,60.0,1
