Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,1,Nantes,2,9,5,55.6,0.22,0.4,13.3,0.0,0,0,1.1,1.1,0.14,0.9,0.9,4,1,3,100.0,0,1.2,0.2,1,1,0,0,5.0,9.0,55.6,20.0,0.0,40.0,33.9,5.0,20.0,22.0,14.0,0.0,0.0,0.0,5.0,516.0,618.0,83.5,9021.0,2688.0,221.0,257.0,86.0,237.0,262.0,90.5,46.0,73.0,63.0,2,1.1,1.0,8.0,42.0,7.0,1.0,37.0,618.0,562.0,54.0,16.0,1.0,3.0,12,26.0,5.0,2.0,2.0,0.0,516.0,2.0,6.0,17.0,14.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,9,8.0,4.0,0.0,5.0,13.0,38.5,8.0,9.0,2.0,7.0,3,15,16.0,0.0,56,704.0,48.0,138.0,421.0,148.0,14.0,704.0,9.0,5.0,55.6,3.0,33.3,535.0,2311.0,1048.0,9.0,13.0,1.0,18.0,7.0,513.0,37.0,2,0,0,14,14,2,12,3,9,0.0,1.0,0.0,48.0,19.0,8.0,70.4,1.0
2023-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Home,D,1,1,Paris S-G,1,7,1,14.3,0.0,0.0,23.1,0.0,1,1,1.2,0.4,0.06,-0.2,-0.4,3,1,2,100.0,0,1.1,0.1,1,1,0,0,5.0,16.0,31.3,22.0,3.0,59.1,40.2,7.0,42.9,31.7,13.0,0.0,0.0,0.0,10.0,185.0,257.0,72.0,3446.0,1712.0,81.0,92.0,88.0,73.0,96.0,76.0,26.0,56.0,46.4,0,0.3,0.2,5.0,12.0,4.0,1.0,20.0,257.0,216.0,40.0,13.0,0.0,1.0,8,13.0,5.0,2.0,2.0,0.0,185.0,1.0,7.0,12.0,8.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,6,10.0,3.0,1.0,7.0,18.0,38.9,11.0,18.0,7.0,11.0,11,25,14.0,0.0,24,365.0,64.0,175.0,128.0,70.0,11.0,364.0,15.0,5.0,33.3,9.0,60.0,222.0,1218.0,530.0,12.0,9.0,2.0,20.0,5.0,182.0,20.0,0,0,0,8,11,1,8,11,6,1.0,1.0,0.0,49.0,7.0,7.0,50.0,1.0
2023-08-27,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,2,Strasbourg,0,7,1,14.3,0.0,0.0,16.0,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,3,2,1,33.3,0,1.7,-0.3,0,0,0,0,2.0,5.0,40.0,22.0,3.0,13.6,25.2,9.0,22.2,27.2,12.0,0.0,0.0,0.0,6.3,504.0,615.0,82.0,9268.0,3034.0,179.0,207.0,86.5,255.0,286.0,89.2,50.0,77.0,64.9,0,0.3,0.4,6.0,31.0,10.0,3.0,59.0,615.0,561.0,52.0,16.0,2.0,2.0,13,21.0,3.0,1.0,2.0,0.0,504.0,2.0,15.0,13.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14,7.0,11.0,2.0,9.0,18.0,50.0,9.0,7.0,2.0,5.0,7,27,16.0,0.0,61,712.0,51.0,184.0,418.0,116.0,13.0,712.0,21.0,12.0,57.1,9.0,42.9,529.0,2892.0,1331.0,12.0,11.0,2.0,19.0,7.0,497.0,59.0,3,0,0,17,15,2,13,7,14,0.0,0.0,0.0,54.0,15.0,12.0,55.6,1.0
2023-09-03,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,D,2,2,Clermont Foot,2,9,5,55.6,0.22,0.4,20.0,0.0,0,0,0.6,0.6,0.07,1.4,1.4,2,2,0,50.0,0,1.7,-0.3,1,1,0,0,3.0,11.0,27.3,28.0,3.0,28.6,27.6,5.0,60.0,40.4,21.0,0.0,0.0,1.0,16.0,272.0,367.0,74.1,4934.0,1734.0,102.0,126.0,81.0,148.0,174.0,85.1,15.0,44.0,34.1,2,0.6,0.3,8.0,21.0,4.0,0.0,31.0,367.0,327.0,40.0,19.0,2.0,0.0,4,13.0,0.0,0.0,0.0,0.0,272.0,0.0,11.0,13.0,7.0,1.0,2.0,1.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,6,2.0,6.0,0.0,4.0,13.0,30.8,9.0,16.0,7.0,9.0,12,20,31.0,1.0,37,478.0,77.0,188.0,238.0,55.0,14.0,478.0,13.0,9.0,69.2,4.0,30.8,314.0,1579.0,718.0,6.0,7.0,4.0,14.0,1.0,270.0,31.0,1,0,0,19,17,0,4,12,6,0.0,1.0,0.0,50.0,11.0,13.0,45.8,1.0
2023-09-17,17:05 (08:05),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,0,10,3,30.0,0.0,0.0,17.5,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,6,0,6,100.0,1,0.7,0.7,0,0,0,0,3.0,13.0,23.1,21.0,2.0,42.9,34.6,10.0,40.0,30.6,26.0,0.0,0.0,0.0,,292.0,387.0,75.5,5256.0,2139.0,138.0,166.0,83.1,103.0,130.0,79.2,40.0,65.0,61.5,0,0.7,1.1,8.0,20.0,7.0,2.0,26.0,387.0,353.0,31.0,10.0,1.0,4.0,9,9.0,1.0,1.0,0.0,0.0,292.0,3.0,9.0,19.0,13.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6,7.0,4.0,1.0,7.0,16.0,43.8,9.0,21.0,9.0,12.0,12,24,52.0,0.0,39,547.0,92.0,240.0,210.0,105.0,18.0,547.0,13.0,7.0,53.8,5.0,38.5,340.0,1863.0,824.0,13.0,14.0,1.0,21.0,11.0,289.0,26.0,5,0,0,11,8,3,9,12,6,0.0,0.0,0.0,65.0,16.0,10.0,61.5,1.0
2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Away,D,1,1,be Union SG,1,8,2,25.0,0.0,0.0,23.1,0.0,1,1,1.4,0.6,0.08,-0.4,-0.6,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,5.0,14.0,35.7,22.0,3.0,31.8,30.2,14.0,50.0,44.9,18.0,0.0,0.0,0.0,5.0,384.0,502.0,76.5,7202.0,2508.0,140.0,164.0,85.4,190.0,230.0,82.6,41.0,79.0,51.9,0,0.5,0.4,5.0,19.0,6.0,2.0,29.0,502.0,436.0,65.0,17.0,2.0,5.0,17,28.0,4.0,3.0,0.0,0.0,384.0,1.0,14.0,16.0,13.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,10,10.0,9.0,2.0,10.0,18.0,55.6,8.0,12.0,3.0,9.0,9,30,24.0,0.0,53,619.0,70.0,214.0,294.0,118.0,12.0,618.0,19.0,12.0,63.2,7.0,36.8,416.0,2319.0,868.0,11.0,14.0,3.0,14.0,7.0,382.0,28.0,4,1,1,11,16,1,17,9,10,1.0,0.0,0.0,54.0,8.0,12.0,40.0,2.0
2023-09-24,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,1,2,Lens,1,7,2,28.6,0.14,0.5,20.1,1.0,0,0,0.4,0.4,0.05,0.6,0.6,7,2,5,71.4,0,1.4,-0.6,0,0,0,0,8.0,16.0,50.0,24.0,4.0,41.7,37.5,10.0,60.0,44.7,27.0,0.0,0.0,0.0,10.0,283.0,384.0,73.7,5094.0,2443.0,132.0,167.0,79.0,118.0,145.0,81.4,28.0,54.0,51.9,1,0.3,0.2,4.0,14.0,3.0,0.0,24.0,384.0,336.0,47.0,18.0,0.0,2.0,10,12.0,4.0,1.0,3.0,0.0,283.0,1.0,11.0,12.0,9.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,18,19.0,7.0,0.0,13.0,22.0,59.1,9.0,28.0,12.0,16.0,10,36,36.0,0.0,38,524.0,110.0,258.0,201.0,71.0,11.0,524.0,10.0,5.0,50.0,5.0,50.0,329.0,1941.0,825.0,10.0,9.0,3.0,14.0,5.0,279.0,24.0,1,0,0,15,16,1,10,10,18,0.0,0.0,0.0,57.0,11.0,13.0,45.8,1.0
2023-10-01,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,3,0,Metz,3,15,10,66.7,0.2,0.3,14.6,0.0,0,0,1.3,1.3,0.09,1.7,1.7,3,0,3,100.0,1,0.4,0.4,0,0,0,0,2.0,9.0,22.2,33.0,3.0,21.2,24.9,12.0,16.7,22.3,16.0,0.0,0.0,1.0,12.4,580.0,668.0,86.8,9126.0,3099.0,296.0,325.0,91.1,223.0,239.0,93.3,36.0,61.0,59.0,3,1.1,2.3,12.0,41.0,11.0,1.0,52.0,668.0,625.0,40.0,7.0,0.0,3.0,12,16.0,4.0,0.0,4.0,0.0,580.0,3.0,9.0,26.0,22.0,0.0,1.0,2.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,10,7.0,7.0,2.0,13.0,23.0,56.5,10.0,8.0,2.0,6.0,6,22,21.0,0.0,66,751.0,61.0,207.0,398.0,154.0,32.0,751.0,12.0,9.0,75.0,3.0,25.0,499.0,2320.0,1293.0,21.0,18.0,4.0,9.0,8.0,578.0,52.0,3,0,0,10,7,3,12,6,10,0.0,0.0,0.0,51.0,19.0,12.0,61.3,1.0
2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,at LASK,1,13,2,15.4,0.08,0.5,16.3,0.0,0,0,1.3,1.3,0.1,-0.3,-0.3,1,0,1,100.0,1,0.2,0.2,0,0,0,0,3.0,14.0,21.4,34.0,1.0,29.4,33.9,7.0,57.1,41.3,9.0,0.0,0.0,0.0,12.0,409.0,523.0,78.2,7625.0,2719.0,159.0,189.0,84.1,200.0,226.0,88.5,41.0,78.0,52.6,1,1.2,1.5,10.0,23.0,12.0,3.0,37.0,523.0,470.0,51.0,19.0,5.0,4.0,13,18.0,6.0,4.0,2.0,0.0,409.0,2.0,16.0,25.0,18.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,10,7.0,5.0,7.0,8.0,14.0,57.1,6.0,12.0,3.0,9.0,12,31,17.0,0.0,46,626.0,75.0,242.0,274.0,120.0,29.0,626.0,24.0,13.0,54.2,9.0,37.5,460.0,2416.0,992.0,17.0,17.0,5.0,14.0,5.0,404.0,36.0,5,0,0,16,18,2,13,12,10,0.0,0.0,0.0,73.0,15.0,13.0,53.6,2.0
2023-10-08,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Brest,1,9,3,33.3,0.11,0.33,15.8,0.0,0,0,1.2,1.2,0.13,-0.2,-0.2,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,3.0,13.0,23.1,29.0,4.0,31.0,32.2,12.0,33.3,30.0,19.0,0.0,0.0,2.0,14.7,314.0,416.0,75.5,5897.0,2673.0,113.0,146.0,77.4,153.0,182.0,84.1,38.0,64.0,59.4,1,1.1,1.0,8.0,30.0,10.0,1.0,36.0,416.0,360.0,55.0,18.0,2.0,3.0,15,18.0,5.0,0.0,4.0,0.0,314.0,1.0,9.0,17.0,14.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,9,4.0,5.0,3.0,4.0,14.0,28.6,10.0,13.0,2.0,11.0,4,16,23.0,1.0,45,521.0,63.0,192.0,214.0,123.0,12.0,521.0,15.0,10.0,66.7,5.0,33.3,353.0,2081.0,852.0,9.0,12.0,2.0,21.0,10.0,312.0,36.0,2,0,0,18,16,1,15,4,9,0.0,0.0,0.0,51.0,13.0,23.0,36.1,1.0
