Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,L,0,2,Tottenham,0,6,2,33.3,0.0,0.0,11.9,0.0,0,0,0.8,0.8,0.13,-0.8,-0.8,6,2,4,66.7,0,2.1,0.1,0,0,0,0,6.0,27.0,22.2,27.0,4.0,74.1,51.4,7.0,100.0,61.4,13.0,0.0,0.0,0.0,8.0,186.0,296.0,62.8,3510.0,1574.0,80.0,104.0,76.9,72.0,96.0,75.0,25.0,70.0,35.7,0,0.7,0.2,5.0,13.0,4.0,1.0,17.0,296.0,243.0,51.0,10.0,3.0,2.0,19,26.0,5.0,3.0,1.0,0.0,186.0,2.0,9.0,10.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9,9.0,3.0,0.0,6.0,16.0,37.5,10.0,17.0,7.0,10.0,8,20,33.0,0.0,28,403.0,67.0,173.0,142.0,92.0,14.0,403.0,7.0,4.0,57.1,3.0,42.9,189.0,1199.0,627.0,11.0,10.0,4.0,8.0,13.0,185.0,17.0,1,1,0,6,9,2,19,8,9,0.0,0.0,0,43.0,14.0,15.0,48.3,1
2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,L,0,1,Huddersfield,0,13,5,38.5,0.0,0.0,18.2,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,3,1,2,66.7,0,1.0,0.0,0,0,0,0,5.0,19.0,26.3,37.0,0.0,40.5,38.1,8.0,50.0,46.0,17.0,0.0,0.0,0.0,11.3,325.0,463.0,70.2,6234.0,2671.0,142.0,172.0,82.6,125.0,158.0,79.1,52.0,99.0,52.5,0,0.6,0.6,9.0,24.0,8.0,2.0,41.0,463.0,400.0,58.0,16.0,0.0,2.0,14,29.0,3.0,2.0,1.0,0.0,325.0,5.0,17.0,22.0,17.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13,10.0,6.0,2.0,11.0,16.0,68.8,5.0,14.0,1.0,13.0,7,25,28.0,1.0,48,562.0,51.0,178.0,277.0,116.0,19.0,562.0,16.0,9.0,56.3,7.0,43.8,223.0,1043.0,508.0,12.0,6.0,3.0,8.0,17.0,325.0,41.0,4,0,0,10,12,5,14,7,13,0.0,0.0,0,47.0,11.0,23.0,32.4,1
2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,W,3,0,West Ham,3,17,8,47.1,0.18,0.38,17.0,0.0,0,0,2.3,2.3,0.14,0.7,0.7,3,0,3,100.0,1,0.2,0.2,0,0,0,0,12.0,22.0,54.5,24.0,5.0,70.8,46.7,6.0,83.3,56.5,14.0,3.0,21.4,1.0,9.6,195.0,316.0,61.7,4145.0,2352.0,81.0,115.0,70.4,71.0,104.0,68.3,39.0,80.0,48.8,3,2.2,1.2,15.0,22.0,7.0,5.0,29.0,316.0,270.0,46.0,13.0,1.0,2.0,21,19.0,7.0,0.0,4.0,1.0,195.0,0.0,8.0,31.0,25.0,3.0,3.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,14.0,12,4.0,9.0,1.0,8.0,16.0,50.0,8.0,10.0,0.0,10.0,15,29,22.0,0.0,37,422.0,40.0,109.0,191.0,127.0,30.0,422.0,16.0,8.0,50.0,8.0,50.0,221.0,1254.0,592.0,16.0,11.0,9.0,10.0,9.0,195.0,29.0,1,0,0,17,10,0,21,15,12,0.0,0.0,0,46.0,24.0,16.0,60.0,1
2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,1,0,Swansea City,1,16,8,50.0,0.06,0.13,20.0,0.0,0,0,1.0,1.0,0.06,0.0,0.0,3,0,3,100.0,1,0.4,0.4,0,0,0,0,9.0,22.0,40.9,14.0,1.0,78.6,46.4,11.0,100.0,65.5,25.0,0.0,0.0,2.0,17.3,258.0,363.0,71.1,4401.0,2187.0,132.0,163.0,81.0,79.0,105.0,75.2,32.0,70.0,45.7,1,0.8,0.5,14.0,19.0,6.0,3.0,34.0,363.0,320.0,43.0,12.0,0.0,3.0,19,14.0,5.0,1.0,4.0,0.0,258.0,0.0,10.0,28.0,23.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,15,11.0,5.0,5.0,5.0,18.0,27.8,13.0,8.0,2.0,6.0,11,32,36.0,0.0,38,497.0,59.0,167.0,194.0,143.0,15.0,497.0,9.0,5.0,55.6,4.0,44.4,252.0,1330.0,691.0,9.0,15.0,3.0,21.0,10.0,256.0,34.0,3,0,0,15,11,0,19,11,15,0.0,0.0,0,51.0,16.0,21.0,43.2,1
2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,2,1,Stoke City,2,14,3,21.4,0.14,0.67,16.8,0.0,0,0,2.0,2.0,0.14,0.0,0.0,4,1,3,75.0,0,1.2,0.2,0,0,0,0,13.0,22.0,59.1,17.0,2.0,70.6,46.9,13.0,76.9,53.5,11.0,0.0,0.0,3.0,17.8,228.0,335.0,68.1,4455.0,2200.0,99.0,124.0,79.8,81.0,105.0,77.1,39.0,83.0,47.0,2,1.7,1.3,11.0,23.0,8.0,3.0,24.0,335.0,277.0,56.0,12.0,2.0,4.0,18,22.0,7.0,3.0,1.0,0.0,228.0,2.0,6.0,25.0,16.0,5.0,1.0,2.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,25.0,14,16.0,8.0,1.0,7.0,18.0,38.9,11.0,14.0,2.0,12.0,10,35,38.0,0.0,42,462.0,56.0,182.0,184.0,104.0,17.0,462.0,11.0,6.0,54.5,5.0,45.5,174.0,1057.0,624.0,14.0,8.0,4.0,12.0,10.0,226.0,24.0,3,0,0,13,11,2,18,10,14,0.0,0.0,0,44.0,22.0,21.0,51.2,1
2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Away,L,0,1,Brighton,0,17,5,29.4,0.0,0.0,20.0,3.0,0,0,1.5,1.5,0.09,-1.5,-1.5,3,1,2,66.7,0,1.0,0.0,0,0,0,0,2.0,15.0,13.3,19.0,5.0,47.4,37.9,9.0,66.7,48.7,15.0,1.0,6.7,4.0,18.1,397.0,511.0,77.7,6214.0,1996.0,213.0,237.0,89.9,152.0,187.0,81.3,23.0,63.0,36.5,0,0.5,0.8,8.0,26.0,12.0,1.0,44.0,511.0,460.0,51.0,4.0,1.0,0.0,20,28.0,8.0,2.0,3.0,1.0,397.0,0.0,13.0,30.0,20.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10,9.0,2.0,3.0,6.0,12.0,50.0,6.0,3.0,1.0,2.0,12,26,33.0,0.0,51,621.0,55.0,170.0,279.0,178.0,23.0,621.0,18.0,11.0,61.1,7.0,38.9,367.0,1947.0,1095.0,19.0,12.0,3.0,10.0,9.0,395.0,44.0,1,0,0,8,6,0,20,12,10,0.0,0.0,0,38.0,20.0,32.0,38.5,1
2017-10-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,D,1,1,Liverpool,1,8,5,62.5,0.13,0.2,24.8,0.0,0,0,0.3,0.3,0.04,0.7,0.7,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,9.0,28.0,32.1,22.0,4.0,72.7,46.3,16.0,75.0,53.6,17.0,0.0,0.0,0.0,15.5,215.0,331.0,65.0,3873.0,1955.0,101.0,126.0,80.2,75.0,108.0,69.4,28.0,76.0,36.8,0,0.1,0.3,4.0,16.0,1.0,0.0,25.0,331.0,282.0,48.0,8.0,3.0,2.0,10,21.0,1.0,0.0,1.0,0.0,215.0,1.0,7.0,14.0,13.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,10,10.0,4.0,0.0,0.0,10.0,0.0,10.0,11.0,6.0,5.0,13,27,39.0,1.0,33,442.0,71.0,179.0,199.0,68.0,7.0,442.0,5.0,3.0,60.0,2.0,40.0,202.0,989.0,469.0,12.0,8.0,3.0,13.0,14.0,213.0,25.0,1,0,0,11,6,1,10,13,10,0.0,0.0,0,48.0,16.0,20.0,44.4,1
2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Southampton,2,19,4,21.1,0.11,0.5,17.1,0.0,0,0,1.2,1.2,0.06,0.8,0.8,2,2,0,50.0,0,1.4,-0.6,1,1,0,0,10.0,23.0,43.5,24.0,2.0,66.7,44.0,7.0,100.0,60.7,17.0,2.0,11.8,1.0,7.7,279.0,394.0,70.8,4721.0,2003.0,131.0,155.0,84.5,110.0,140.0,78.6,23.0,72.0,31.9,0,0.7,0.5,12.0,19.0,7.0,1.0,33.0,394.0,345.0,49.0,12.0,3.0,1.0,26,19.0,8.0,2.0,6.0,0.0,279.0,0.0,11.0,31.0,19.0,5.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,9,10.0,1.0,3.0,3.0,15.0,20.0,12.0,11.0,4.0,7.0,6,20,40.0,0.0,38,511.0,65.0,186.0,196.0,132.0,22.0,511.0,11.0,9.0,81.8,2.0,18.2,246.0,1316.0,756.0,10.0,10.0,0.0,11.0,9.0,278.0,33.0,2,0,0,12,11,0,26,6,9,0.0,1.0,0,51.0,18.0,27.0,40.0,1
2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Crystal Palace,1,7,3,42.9,0.14,0.33,20.6,0.0,0,0,0.3,0.3,0.05,0.7,0.7,0,0,0,,1,0.0,0.0,0,0,0,0,11.0,17.0,64.7,25.0,3.0,40.0,35.4,11.0,63.6,52.3,10.0,0.0,0.0,2.0,19.5,383.0,495.0,77.4,7005.0,2739.0,172.0,201.0,85.6,156.0,190.0,82.1,42.0,79.0,53.2,0,0.2,0.3,5.0,15.0,4.0,1.0,28.0,495.0,443.0,52.0,15.0,0.0,5.0,17,22.0,3.0,1.0,1.0,0.0,383.0,0.0,8.0,10.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12,9.0,7.0,0.0,5.0,18.0,27.8,13.0,18.0,3.0,15.0,6,22,35.0,0.0,54,617.0,62.0,215.0,298.0,111.0,14.0,617.0,12.0,5.0,41.7,7.0,58.3,361.0,1886.0,1043.0,14.0,16.0,1.0,17.0,9.0,377.0,27.0,4,0,0,12,14,0,17,6,12,0.0,0.0,0,55.0,23.0,27.0,46.0,1
2017-10-30,20:00 (13:00),Premier League,Matchweek 10,Mon,Away,L,0,1,Burnley,0,12,5,41.7,0.0,0.0,19.7,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5,5,1,4,80.0,0,0.7,-0.3,0,0,0,0,8.0,28.0,28.6,37.0,3.0,56.8,41.9,7.0,100.0,62.7,16.0,4.0,25.0,0.0,8.6,432.0,563.0,76.7,8232.0,3096.0,170.0,201.0,84.6,203.0,243.0,83.5,54.0,106.0,50.9,0,0.3,0.3,8.0,33.0,2.0,2.0,33.0,563.0,515.0,47.0,13.0,0.0,6.0,16,22.0,3.0,1.0,0.0,0.0,432.0,1.0,4.0,22.0,17.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6,2.0,7.0,1.0,2.0,11.0,18.2,9.0,8.0,3.0,5.0,12,22,30.0,0.0,53,668.0,61.0,224.0,330.0,119.0,6.0,668.0,11.0,7.0,63.6,4.0,36.4,303.0,1385.0,818.0,12.0,11.0,1.0,16.0,10.0,428.0,33.0,0,0,0,10,7,1,16,12,6,0.0,0.0,0,56.0,28.0,24.0,53.8,1
