Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-13,13:30 (05:30),Premier League,Matchweek 1,Sun,Away,W,2,0,Newcastle Utd,2,18,6,33.3,0.11,0.33,19.0,0.0,0,0,2.5,2.5,0.14,-0.5,-0.5,2,0,2,100.0,1,0.6,0.6,0,0,0,0,0.0,3.0,0.0,27.0,8.0,11.1,27.6,5.0,0.0,24.2,12.0,3.0,25.0,4.0,16.6,663.0,756.0,87.7,11479.0,3340.0,289.0,306.0,94.4,318.0,342.0,93.0,46.0,77.0,59.7,2,1.9,1.3,14.0,45.0,13.0,1.0,65.0,756.0,708.0,47.0,8.0,5.0,1.0,19,26.0,7.0,2.0,1.0,0.0,663.0,1.0,14.0,30.0,22.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,11,8.0,6.0,2.0,2.0,6.0,33.3,4.0,5.0,0.0,5.0,5,21,26.0,0.0,72,865.0,51.0,181.0,462.0,227.0,25.0,865.0,17.0,10.0,58.8,5.0,29.4,530.0,2609.0,1466.0,25.0,24.0,2.0,13.0,5.0,660.0,65.0,2,0,0,10,6,1,19,5,11,0.0,0.0,0,46.0,15.0,14.0,51.7,1
2017-08-20,16:00 (08:00),Premier League,Matchweek 2,Sun,Home,L,1,2,Chelsea,0,18,6,33.3,0.0,0.0,18.8,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,2,2,0,0.0,0,0.8,-1.2,0,0,0,0,6.0,11.0,54.5,24.0,5.0,29.2,33.9,5.0,80.0,53.8,11.0,1.0,9.1,0.0,9.7,536.0,659.0,81.3,10558.0,3616.0,185.0,212.0,87.3,262.0,300.0,87.3,80.0,121.0,66.1,0,0.6,0.7,14.0,65.0,11.0,0.0,68.0,659.0,591.0,68.0,21.0,0.0,4.0,37,25.0,14.0,8.0,3.0,0.0,536.0,0.0,18.0,32.0,21.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,9.0,5.0,0.0,6.0,15.0,40.0,9.0,10.0,3.0,7.0,4,18,15.0,1.0,68,758.0,41.0,154.0,395.0,215.0,30.0,758.0,27.0,16.0,59.3,11.0,40.7,366.0,1891.0,912.0,19.0,16.0,5.0,10.0,20.0,531.0,64.0,4,0,0,14,20,0,37,4,9,0.0,0.0,0,41.0,9.0,14.0,39.1,1
2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,D,1,1,Burnley,1,28,5,17.9,0.04,0.2,17.2,1.0,0,0,2.3,2.3,0.09,-1.3,-1.3,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,3.0,14.0,21.4,29.0,9.0,20.7,30.8,13.0,61.5,46.7,18.0,0.0,0.0,6.0,18.7,534.0,638.0,83.7,9384.0,3049.0,250.0,278.0,89.9,216.0,238.0,90.8,56.0,94.0,59.6,0,1.2,1.9,19.0,46.0,15.0,3.0,59.0,638.0,584.0,53.0,14.0,1.0,3.0,26,14.0,10.0,1.0,7.0,0.0,534.0,1.0,14.0,50.0,33.0,4.0,4.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,7,1.0,5.0,3.0,4.0,10.0,40.0,6.0,7.0,2.0,5.0,6,15,21.0,1.0,66,735.0,58.0,165.0,350.0,227.0,30.0,735.0,18.0,10.0,55.6,8.0,44.4,481.0,2912.0,1744.0,39.0,22.0,6.0,10.0,8.0,526.0,59.0,0,0,0,9,9,1,26,6,7,0.0,0.0,0,48.0,14.0,27.0,34.1,1
2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,3,0,Everton,3,15,6,40.0,0.2,0.5,17.3,1.0,0,0,1.8,1.8,0.12,1.2,1.2,1,0,1,100.0,1,0.5,0.5,0,0,0,0,4.0,15.0,26.7,29.0,7.0,41.4,41.1,6.0,50.0,45.2,18.0,0.0,0.0,0.0,11.0,395.0,507.0,77.9,8111.0,2966.0,139.0,160.0,86.9,186.0,212.0,87.7,65.0,116.0,56.0,2,1.1,1.0,10.0,43.0,14.0,5.0,39.0,507.0,455.0,49.0,17.0,0.0,11.0,17,22.0,3.0,1.0,2.0,0.0,395.0,3.0,6.0,26.0,23.0,0.0,1.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,13.0,9,3.0,8.0,2.0,3.0,9.0,33.3,6.0,17.0,6.0,11.0,11,24,34.0,1.0,49,620.0,70.0,210.0,247.0,168.0,23.0,620.0,17.0,10.0,58.8,7.0,41.2,277.0,1611.0,768.0,17.0,10.0,3.0,8.0,10.0,392.0,39.0,1,0,0,14,14,3,17,11,9,0.0,0.0,0,50.0,15.0,12.0,55.6,1
2017-09-13,19:45 (11:45),Champions Lg,Group stage,Wed,Home,W,3,1,de Dortmund,3,13,4,30.8,0.23,0.75,16.4,0.0,0,0,1.2,1.2,0.09,1.8,1.8,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,4.0,17.0,23.5,28.0,5.0,53.6,42.4,4.0,50.0,48.8,13.0,0.0,0.0,3.0,20.4,261.0,372.0,70.2,4945.0,2311.0,120.0,152.0,78.9,87.0,109.0,79.8,45.0,85.0,52.9,3,1.1,0.5,11.0,22.0,8.0,1.0,32.0,372.0,331.0,37.0,12.0,2.0,6.0,10,17.0,2.0,0.0,1.0,0.0,261.0,4.0,8.0,22.0,20.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,16.0,11,9.0,6.0,1.0,7.0,18.0,38.9,11.0,9.0,3.0,6.0,10,26,28.0,0.0,33,474.0,65.0,191.0,197.0,91.0,18.0,474.0,15.0,9.0,60.0,6.0,40.0,231.0,1284.0,563.0,16.0,10.0,8.0,15.0,11.0,261.0,32.0,3,1,1,15,6,4,10,10,11,0.0,0.0,0,57.0,13.0,11.0,54.2,2
2017-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Home,D,0,0,Swansea City,0,26,8,30.8,0.0,0.0,20.5,2.0,0,0,1.1,1.1,0.04,-1.1,-1.1,0,0,0,,1,0.0,0.0,0,0,0,0,0.0,3.0,0.0,24.0,7.0,12.5,30.1,4.0,0.0,25.5,7.0,0.0,0.0,1.0,14.0,713.0,833.0,85.6,13004.0,3966.0,282.0,315.0,89.5,339.0,380.0,89.2,73.0,105.0,69.5,0,0.9,1.2,19.0,89.0,14.0,2.0,89.0,833.0,783.0,50.0,7.0,1.0,5.0,42,27.0,11.0,3.0,5.0,1.0,713.0,0.0,13.0,51.0,38.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,3.0,6.0,5.0,3.0,13.0,23.1,10.0,7.0,0.0,7.0,4,18,11.0,0.0,75,924.0,38.0,154.0,404.0,370.0,27.0,924.0,16.0,7.0,43.8,9.0,56.3,555.0,2489.0,1425.0,27.0,23.0,3.0,15.0,8.0,709.0,89.0,1,0,0,11,9,0,42,4,8,0.0,0.0,0,51.0,16.0,13.0,55.2,1
2017-09-23,12:30 (04:30),Premier League,Matchweek 6,Sat,Away,W,3,2,West Ham,3,15,5,33.3,0.2,0.6,21.0,2.0,0,0,1.2,1.2,0.08,1.8,1.8,4,2,2,50.0,0,0.6,-1.4,0,0,0,0,5.0,16.0,31.3,21.0,3.0,42.9,36.5,8.0,87.5,61.8,20.0,0.0,0.0,6.0,20.3,323.0,447.0,72.3,6205.0,2539.0,123.0,148.0,83.1,144.0,176.0,81.8,49.0,97.0,50.5,1,0.7,0.7,9.0,22.0,6.0,1.0,46.0,447.0,385.0,57.0,14.0,5.0,2.0,16,29.0,3.0,0.0,3.0,0.0,323.0,5.0,13.0,26.0,19.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,19.0,13,13.0,6.0,0.0,7.0,13.0,53.8,6.0,12.0,1.0,11.0,9,28,42.0,0.0,51,584.0,60.0,199.0,282.0,110.0,14.0,584.0,14.0,9.0,64.3,5.0,35.7,281.0,1634.0,724.0,14.0,16.0,2.0,14.0,14.0,319.0,45.0,4,1,1,20,10,5,16,9,13,0.0,0.0,0,62.0,22.0,15.0,59.5,1
2017-09-26,21:45 (11:45),Champions Lg,Group stage,Tue,Away,W,3,0,cy APOEL FC,3,16,4,25.0,0.19,0.75,17.9,0.0,0,0,1.8,1.8,0.12,1.2,1.2,3,0,3,100.0,1,0.2,0.2,0,0,0,0,7.0,19.0,36.8,28.0,5.0,39.3,36.8,12.0,66.7,50.1,13.0,0.0,0.0,2.0,30.5,518.0,621.0,83.4,9649.0,3448.0,233.0,258.0,90.3,197.0,226.0,87.2,72.0,108.0,66.7,3,1.6,1.0,13.0,45.0,7.0,2.0,47.0,621.0,570.0,50.0,12.0,1.0,7.0,16,19.0,6.0,4.0,0.0,0.0,518.0,1.0,9.0,31.0,27.0,1.0,2.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,13,7.0,11.0,3.0,6.0,11.0,54.5,5.0,9.0,2.0,7.0,8,29,17.0,0.0,58,730.0,56.0,200.0,397.0,140.0,21.0,730.0,19.0,11.0,57.9,8.0,42.1,414.0,2095.0,1063.0,22.0,11.0,8.0,21.0,9.0,516.0,47.0,1,0,0,10,9,1,16,8,13,0.0,0.0,0,61.0,10.0,17.0,37.0,2
2017-09-30,12:30 (04:30),Premier League,Matchweek 7,Sat,Away,W,4,0,Huddersfield,4,14,7,50.0,0.29,0.57,16.4,0.0,0,0,1.5,1.5,0.11,2.5,2.5,1,0,1,100.0,1,0.1,0.1,0,0,0,0,4.0,8.0,50.0,23.0,5.0,26.1,30.7,10.0,20.0,27.2,18.0,0.0,0.0,5.0,16.3,488.0,611.0,79.9,9748.0,3544.0,158.0,185.0,85.4,257.0,297.0,86.5,67.0,103.0,65.0,3,0.9,0.8,9.0,35.0,10.0,1.0,44.0,611.0,550.0,59.0,11.0,0.0,7.0,16,30.0,7.0,5.0,1.0,0.0,488.0,2.0,14.0,23.0,16.0,2.0,4.0,0.0,0.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,16.0,11,7.0,6.0,3.0,9.0,14.0,64.3,5.0,13.0,3.0,10.0,7,23,35.0,0.0,59,728.0,62.0,256.0,343.0,136.0,30.0,728.0,21.0,12.0,57.1,9.0,42.9,363.0,1578.0,858.0,14.0,7.0,3.0,13.0,16.0,486.0,44.0,1,0,0,4,6,2,16,7,11,0.0,0.0,0,59.0,14.0,11.0,56.0,1
2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,W,1,0,Bournemouth,1,18,6,33.3,0.06,0.17,17.3,1.0,0,0,1.8,1.8,0.1,-0.8,-0.8,1,0,1,100.0,1,0.3,0.3,0,0,0,0,2.0,5.0,40.0,19.0,2.0,15.8,31.6,6.0,33.3,40.5,8.0,0.0,0.0,1.0,27.0,653.0,757.0,86.3,13110.0,3730.0,244.0,266.0,91.7,297.0,324.0,91.7,103.0,143.0,72.0,0,1.5,1.9,13.0,65.0,16.0,2.0,73.0,757.0,699.0,55.0,7.0,0.0,14.0,32,32.0,9.0,6.0,3.0,0.0,653.0,3.0,7.0,32.0,25.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,9,1.0,15.0,3.0,5.0,7.0,71.4,2.0,12.0,1.0,11.0,7,26,20.0,0.0,72,858.0,42.0,171.0,454.0,243.0,31.0,858.0,12.0,8.0,66.7,4.0,33.3,457.0,2300.0,1135.0,22.0,13.0,4.0,16.0,7.0,653.0,73.0,1,0,0,9,7,3,32,7,9,0.0,0.0,0,43.0,18.0,16.0,52.9,1
