Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Bournemouth,1,16,6,37.5,0.06,0.17,16.5,0.0,0,0,1.3,1.3,0.08,-0.3,-0.3,2,0,2,100.0,1,0.3,0.3,0,0,0,0,5.0,18.0,27.8,13.0,1.0,76.9,52.1,8.0,100.0,69.9,20.0,1.0,5.0,0.0,10.2,181.0,291.0,62.2,3861.0,1889.0,75.0,85.0,88.2,61.0,98.0,62.2,37.0,87.0,42.5,1,1.2,1.7,15.0,17.0,5.0,1.0,21.0,291.0,239.0,50.0,3.0,2.0,4.0,16,30.0,8.0,6.0,1.0,0.0,181.0,2.0,7.0,28.0,21.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,15,9.0,10.0,0.0,4.0,9.0,44.4,5.0,8.0,5.0,3.0,14,33,30.0,0.0,31,395.0,65.0,138.0,155.0,109.0,19.0,395.0,11.0,1.0,9.1,10.0,90.9,176.0,947.0,451.0,11.0,16.0,2.0,4.0,6.0,176.0,21.0,3,0,0,15,2,2,16,14,15,0.0,0.0,0,49.0,12.0,16.0,42.9,1
2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,1,0,Burnley,1,8,1,12.5,0.13,1.0,15.1,1.0,0,0,0.9,0.9,0.11,0.1,0.1,0,0,0,,1,0.0,0.0,0,0,0,0,11.0,29.0,37.9,14.0,1.0,85.7,57.3,17.0,100.0,67.9,28.0,1.0,3.6,0.0,9.0,147.0,274.0,53.6,3097.0,1773.0,63.0,88.0,71.6,43.0,76.0,56.6,32.0,89.0,36.0,1,0.7,0.6,5.0,16.0,1.0,1.0,17.0,274.0,208.0,63.0,11.0,0.0,2.0,13,29.0,5.0,5.0,0.0,0.0,147.0,3.0,5.0,14.0,4.0,3.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,3,4.0,3.0,2.0,0.0,9.0,0.0,9.0,8.0,5.0,3.0,8,17,39.0,0.0,34,374.0,73.0,165.0,148.0,65.0,9.0,374.0,8.0,6.0,75.0,2.0,25.0,129.0,760.0,414.0,5.0,8.0,3.0,19.0,7.0,144.0,17.0,0,1,0,11,11,3,13,8,3,0.0,0.0,0,33.0,18.0,23.0,43.9,1
2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Home,D,1,1,Stoke City,1,10,2,20.0,0.1,0.5,15.3,0.0,0,0,0.8,0.8,0.08,0.2,0.2,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,3.0,16.0,18.8,13.0,1.0,53.8,40.5,11.0,81.8,61.6,16.0,3.0,18.8,0.0,6.0,267.0,372.0,71.8,5147.0,1922.0,104.0,117.0,88.9,113.0,143.0,79.0,39.0,89.0,43.8,1,0.8,0.8,7.0,25.0,6.0,5.0,28.0,372.0,317.0,53.0,9.0,1.0,1.0,34,21.0,10.0,10.0,0.0,0.0,267.0,2.0,10.0,18.0,12.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,13,12.0,5.0,0.0,9.0,19.0,47.4,10.0,9.0,5.0,4.0,3,20,25.0,1.0,43,461.0,56.0,160.0,187.0,118.0,16.0,461.0,8.0,4.0,50.0,4.0,50.0,249.0,1284.0,670.0,13.0,7.0,1.0,10.0,16.0,263.0,27.0,2,0,0,10,8,2,34,3,13,0.0,0.0,0,36.0,12.0,28.0,30.0,1
2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Brighton,1,12,3,25.0,0.08,0.33,21.2,0.0,0,0,1.0,1.0,0.09,0.0,0.0,6,3,3,50.0,0,1.0,-2.0,0,0,0,0,2.0,18.0,11.1,31.0,1.0,45.2,37.1,6.0,66.7,51.7,11.0,2.0,18.2,2.0,13.6,408.0,526.0,77.6,7181.0,2598.0,197.0,225.0,87.6,153.0,176.0,86.9,49.0,100.0,49.0,1,0.9,0.5,9.0,35.0,9.0,4.0,52.0,526.0,471.0,54.0,10.0,1.0,3.0,35,28.0,6.0,5.0,0.0,0.0,408.0,1.0,16.0,23.0,20.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,4,4.0,2.0,2.0,2.0,5.0,40.0,3.0,10.0,3.0,7.0,10,18,28.0,0.0,52,622.0,45.0,182.0,285.0,161.0,19.0,622.0,15.0,10.0,66.7,5.0,33.3,361.0,2100.0,1097.0,28.0,17.0,0.0,12.0,12.0,408.0,52.0,0,0,0,4,8,1,35,10,4,0.0,0.0,0,49.0,23.0,14.0,62.2,1
2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,0,0,West Ham,0,6,1,16.7,0.0,0.0,13.6,0.0,0,0,0.7,0.7,0.12,-0.7,-0.7,1,0,1,100.0,1,0.1,0.1,0,0,0,0,6.0,24.0,25.0,20.0,0.0,55.0,42.8,13.0,100.0,68.5,22.0,1.0,4.5,0.0,10.0,231.0,325.0,71.1,4145.0,1886.0,120.0,137.0,87.6,75.0,99.0,75.8,31.0,80.0,38.8,0,0.6,0.5,5.0,14.0,4.0,3.0,21.0,325.0,281.0,41.0,8.0,0.0,3.0,15,17.0,2.0,2.0,0.0,0.0,231.0,3.0,2.0,12.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7,4.0,2.0,1.0,4.0,9.0,44.4,5.0,6.0,3.0,3.0,9,16,33.0,0.0,37,410.0,59.0,184.0,158.0,74.0,8.0,410.0,13.0,9.0,69.2,4.0,30.8,194.0,1224.0,632.0,10.0,13.0,2.0,11.0,7.0,228.0,21.0,2,0,0,15,7,3,15,9,7,0.0,0.0,0,42.0,6.0,15.0,28.6,1
2017-09-25,20:00 (12:00),Premier League,Matchweek 6,Mon,Away,L,0,2,Arsenal,0,7,2,28.6,0.0,0.0,16.6,0.0,0,0,0.9,0.9,0.13,-0.9,-0.9,6,2,4,83.3,0,2.1,0.1,1,1,0,0,9.0,28.0,32.1,24.0,2.0,79.2,50.0,9.0,100.0,68.7,14.0,1.0,7.1,2.0,13.9,203.0,303.0,67.0,4034.0,1765.0,80.0,95.0,84.2,77.0,104.0,74.0,33.0,77.0,42.9,0,0.2,0.3,4.0,15.0,5.0,1.0,24.0,303.0,263.0,40.0,8.0,1.0,1.0,13,16.0,4.0,4.0,0.0,0.0,203.0,0.0,5.0,12.0,6.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12,6.0,7.0,3.0,6.0,19.0,31.6,13.0,7.0,4.0,3.0,20,36,25.0,0.0,31,407.0,59.0,140.0,178.0,93.0,14.0,407.0,14.0,10.0,71.4,4.0,28.6,211.0,1301.0,531.0,4.0,6.0,1.0,14.0,11.0,201.0,24.0,4,0,0,17,6,0,13,20,12,0.0,1.0,0,47.0,21.0,24.0,46.7,1
2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,2,2,Watford,2,9,4,44.4,0.22,0.5,15.4,0.0,0,0,1.9,1.9,0.22,0.1,0.1,3,2,1,33.3,0,1.7,-0.3,0,0,0,0,10.0,25.0,40.0,18.0,1.0,72.2,51.7,12.0,100.0,70.5,23.0,2.0,8.7,0.0,8.0,216.0,326.0,66.3,4460.0,2123.0,89.0,103.0,86.4,80.0,113.0,70.8,40.0,90.0,44.4,1,1.1,0.5,5.0,26.0,5.0,1.0,28.0,326.0,280.0,45.0,12.0,2.0,1.0,18,11.0,7.0,6.0,0.0,0.0,216.0,1.0,6.0,15.0,12.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,25.0,18,13.0,10.0,2.0,9.0,18.0,50.0,9.0,13.0,6.0,7.0,10,35,46.0,0.0,35,452.0,72.0,213.0,163.0,83.0,16.0,452.0,18.0,10.0,55.6,8.0,44.4,214.0,1245.0,532.0,12.0,7.0,3.0,12.0,13.0,213.0,28.0,3,0,0,12,11,1,18,10,18,0.0,0.0,0,66.0,31.0,26.0,54.4,1
2017-10-16,20:00 (12:00),Premier League,Matchweek 8,Mon,Away,D,1,1,Leicester City,1,5,1,20.0,0.2,1.0,23.8,1.0,0,0,0.2,0.2,0.04,0.8,0.8,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,7.0,16.0,43.8,12.0,0.0,83.3,50.2,9.0,88.9,54.8,22.0,3.0,13.6,0.0,7.5,288.0,423.0,68.1,5151.0,2173.0,140.0,170.0,82.4,107.0,155.0,69.0,36.0,80.0,45.0,0,0.2,0.2,4.0,28.0,3.0,2.0,26.0,423.0,366.0,56.0,13.0,0.0,5.0,13,31.0,1.0,0.0,0.0,0.0,288.0,1.0,10.0,9.0,6.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,8,6.0,6.0,3.0,4.0,18.0,22.2,14.0,9.0,4.0,5.0,19,34,31.0,0.0,43,537.0,61.0,170.0,273.0,103.0,6.0,537.0,14.0,7.0,50.0,7.0,50.0,314.0,1377.0,627.0,15.0,14.0,4.0,11.0,14.0,287.0,26.0,2,0,0,6,13,1,13,19,8,0.0,0.0,0,74.0,20.0,19.0,51.3,1
2017-10-21,17:30 (09:30),Premier League,Matchweek 9,Sat,Away,L,0,1,Southampton,0,7,2,28.6,0.0,0.0,22.9,1.0,0,0,0.4,0.4,0.06,-0.4,-0.4,6,1,5,83.3,0,1.2,0.2,0,0,0,0,12.0,32.0,37.5,19.0,1.0,84.2,51.1,17.0,94.1,62.1,26.0,1.0,3.8,0.0,11.2,221.0,342.0,64.6,3940.0,1907.0,115.0,142.0,81.0,65.0,93.0,69.9,30.0,83.0,36.1,0,0.3,0.3,4.0,22.0,5.0,2.0,17.0,342.0,292.0,49.0,11.0,1.0,2.0,17,16.0,3.0,1.0,2.0,0.0,221.0,1.0,8.0,12.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7,5.0,4.0,1.0,4.0,21.0,19.0,17.0,14.0,3.0,11.0,12,22,33.0,0.0,35,452.0,66.0,164.0,192.0,99.0,7.0,452.0,4.0,1.0,25.0,3.0,75.0,213.0,1142.0,497.0,7.0,6.0,0.0,10.0,18.0,220.0,17.0,1,0,0,8,10,1,17,12,7,0.0,0.0,0,50.0,19.0,20.0,48.7,1
2017-10-28,15:00 (07:00),Premier League,Matchweek 10,Sat,Home,L,2,3,Manchester City,2,7,4,57.1,0.29,0.5,16.3,0.0,0,0,1.5,1.5,0.22,0.5,0.5,5,3,2,40.0,0,2.3,-0.7,0,0,0,0,9.0,23.0,39.1,19.0,2.0,68.4,49.2,10.0,100.0,63.6,5.0,0.0,0.0,1.0,22.0,168.0,284.0,59.2,3400.0,1703.0,69.0,102.0,67.6,60.0,82.0,73.2,33.0,80.0,41.3,1,0.7,0.5,4.0,16.0,4.0,2.0,14.0,284.0,239.0,40.0,8.0,2.0,3.0,6,17.0,1.0,1.0,0.0,0.0,168.0,5.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,11,9.0,10.0,2.0,5.0,20.0,25.0,15.0,12.0,2.0,10.0,17,38,18.0,0.0,23,375.0,60.0,187.0,137.0,58.0,6.0,375.0,15.0,12.0,80.0,3.0,20.0,164.0,837.0,384.0,5.0,7.0,0.0,11.0,13.0,166.0,13.0,2,0,0,10,7,5,6,17,11,0.0,0.0,0,52.0,11.0,17.0,39.3,1
