Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,0,Cardiff City,2,11,3,27.3,0.18,0.67,16.7,0.0,0,1,2.2,1.4,0.13,-0.2,0.6,1,0,1,100.0,1,1.0,1.0,0,0,0,0,5.0,10.0,50.0,11.0,3.0,45.5,36.2,7.0,71.4,52.9,14.0,0.0,0.0,0.0,,432.0,547.0,79.0,7484.0,2691.0,201.0,238.0,84.5,189.0,223.0,84.8,38.0,66.0,57.6,2,1.3,1.1,8.0,21.0,12.0,4.0,48.0,547.0,491.0,56.0,10.0,2.0,0.0,11,31.0,7.0,2.0,2.0,0.0,432.0,0.0,15.0,21.0,12.0,1.0,5.0,1.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,5,5.0,6.0,0.0,8.0,17.0,47.1,9.0,11.0,3.0,8.0,4,15,40.0,0.0,63,678.0,44.0,171.0,324.0,187.0,34.0,678.0,21.0,11.0,52.4,10.0,47.6,445.0,2625.0,1527.0,25.0,19.0,8.0,27.0,12.0,432.0,48.0,1,0,0,11,8,0,11,4,5,1,0,0,58.0,32.0,31.0,50.8,1
2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,West Ham,2,12,5,41.7,0.17,0.4,17.0,0.0,0,0,1.3,1.3,0.11,0.7,0.7,5,1,4,100.0,0,1.6,0.6,1,1,0,0,5.0,18.0,27.8,15.0,3.0,73.3,50.6,9.0,77.8,49.7,17.0,0.0,0.0,0.0,,265.0,354.0,74.9,4328.0,2112.0,141.0,158.0,89.2,93.0,116.0,80.2,25.0,60.0,41.7,2,1.3,1.1,12.0,17.0,12.0,2.0,35.0,354.0,306.0,48.0,14.0,3.0,4.0,11,19.0,4.0,2.0,2.0,0.0,265.0,0.0,6.0,24.0,16.0,2.0,4.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,11.0,9,4.0,6.0,1.0,5.0,16.0,31.3,11.0,11.0,3.0,8.0,6,17,34.0,0.0,39,473.0,65.0,162.0,204.0,114.0,23.0,473.0,22.0,12.0,54.5,10.0,45.5,268.0,1632.0,830.0,24.0,16.0,4.0,10.0,11.0,262.0,34.0,2,0,0,10,14,0,11,6,9,0,1,0,42.0,17.0,25.0,40.5,1
2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Everton,2,16,4,25.0,0.06,0.25,16.8,0.0,1,1,2.2,1.4,0.09,-0.2,-0.4,3,2,1,33.3,0,0.4,-1.6,0,0,0,0,3.0,9.0,33.3,21.0,3.0,19.0,28.1,9.0,55.6,46.7,12.0,1.0,8.3,0.0,9.2,337.0,440.0,76.6,6239.0,2410.0,145.0,178.0,81.5,154.0,183.0,84.2,35.0,63.0,55.6,0,1.1,1.0,12.0,26.0,14.0,3.0,46.0,440.0,380.0,55.0,9.0,1.0,2.0,22,28.0,6.0,1.0,3.0,0.0,337.0,5.0,7.0,29.0,18.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,17.0,11,8.0,9.0,0.0,8.0,16.0,50.0,8.0,9.0,3.0,6.0,8,25,17.0,2.0,50,540.0,44.0,174.0,234.0,138.0,25.0,539.0,15.0,6.0,40.0,9.0,60.0,318.0,1878.0,977.0,20.0,16.0,5.0,12.0,12.0,335.0,45.0,0,1,0,12,10,5,22,8,11,1,0,0,44.0,15.0,18.0,45.5,1
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,2,Chelsea,0,8,1,12.5,0.0,0.0,18.0,0.0,0,0,0.9,0.9,0.11,-0.9,-0.9,6,2,4,66.7,0,0.7,-1.3,0,0,0,0,9.0,20.0,45.0,20.0,9.0,55.0,37.9,9.0,100.0,70.6,22.0,3.0,13.6,0.0,6.5,198.0,297.0,66.7,3508.0,1918.0,100.0,134.0,74.6,62.0,86.0,72.1,28.0,61.0,45.9,0,0.8,0.4,5.0,17.0,5.0,1.0,30.0,297.0,246.0,50.0,12.0,0.0,0.0,15,20.0,6.0,3.0,1.0,0.0,198.0,1.0,8.0,14.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,7.0,2.0,5.0,5.0,14.0,35.7,9.0,18.0,11.0,7.0,13,27,38.0,0.0,28,431.0,86.0,177.0,128.0,132.0,17.0,431.0,13.0,3.0,23.1,10.0,76.9,208.0,976.0,484.0,11.0,5.0,3.0,16.0,2.0,198.0,30.0,2,0,0,7,10,1,15,13,8,0,0,0,41.0,12.0,18.0,40.0,1
2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,4,2,Leicester City,4,9,4,44.4,0.33,0.75,22.1,0.0,1,1,2.3,1.5,0.16,1.7,1.5,7,2,5,85.7,0,2.7,0.7,1,1,0,0,5.0,15.0,33.3,24.0,7.0,33.3,31.7,9.0,77.8,52.3,20.0,3.0,15.0,0.0,9.0,289.0,407.0,71.0,4965.0,2294.0,148.0,174.0,85.1,113.0,149.0,75.8,27.0,66.0,40.9,3,1.4,0.5,6.0,24.0,6.0,0.0,31.0,407.0,343.0,63.0,17.0,2.0,2.0,9,30.0,4.0,1.0,0.0,0.0,289.0,1.0,14.0,13.0,10.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,8,7.0,5.0,0.0,1.0,9.0,11.1,8.0,11.0,3.0,8.0,6,18,27.0,0.0,47,515.0,68.0,212.0,212.0,96.0,19.0,514.0,11.0,5.0,45.5,6.0,54.5,299.0,1355.0,715.0,17.0,5.0,7.0,17.0,14.0,284.0,31.0,3,0,0,13,14,1,9,6,8,0,1,0,44.0,15.0,22.0,40.5,1
2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,4,Burnley,0,19,5,26.3,0.0,0.0,22.2,2.0,0,0,1.0,1.0,0.05,-1.0,-1.0,5,4,1,20.0,0,3.4,-0.6,0,0,0,0,6.0,14.0,42.9,19.0,5.0,52.6,40.4,6.0,66.7,44.5,17.0,1.0,5.9,0.0,6.5,523.0,653.0,80.1,8653.0,2983.0,267.0,308.0,86.7,220.0,253.0,87.0,29.0,62.0,46.8,0,0.7,0.7,14.0,36.0,14.0,2.0,55.0,653.0,600.0,51.0,16.0,1.0,5.0,26,16.0,8.0,1.0,3.0,0.0,523.0,2.0,16.0,35.0,28.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5,5.0,2.0,1.0,2.0,2.0,100.0,0.0,7.0,4.0,3.0,8,16,31.0,0.0,62,767.0,55.0,219.0,351.0,203.0,31.0,767.0,16.0,11.0,68.8,5.0,31.3,505.0,2451.0,1313.0,24.0,24.0,6.0,19.0,10.0,518.0,54.0,0,0,0,6,17,2,26,8,5,0,0,0,53.0,21.0,23.0,47.7,1
2018-10-01,20:00 (12:00),Premier League,Matchweek 7,Mon,Home,W,2,1,Crystal Palace,2,10,4,40.0,0.1,0.25,18.7,0.0,1,1,1.8,1.0,0.1,0.2,0.0,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,9.0,18.0,50.0,22.0,4.0,68.2,45.1,6.0,50.0,45.2,13.0,2.0,15.4,0.0,9.7,364.0,465.0,78.3,6638.0,2570.0,168.0,198.0,84.8,156.0,183.0,85.2,36.0,67.0,53.7,1,0.9,0.6,8.0,32.0,11.0,5.0,34.0,465.0,418.0,45.0,13.0,2.0,1.0,13,21.0,3.0,0.0,2.0,0.0,364.0,2.0,10.0,19.0,11.0,3.0,1.0,1.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0,8,5.0,6.0,1.0,4.0,10.0,40.0,6.0,7.0,3.0,4.0,9,21,26.0,0.0,45,579.0,59.0,178.0,272.0,137.0,21.0,578.0,13.0,3.0,23.1,10.0,76.9,371.0,1733.0,886.0,14.0,9.0,2.0,21.0,9.0,361.0,33.0,3,0,0,9,12,2,13,9,8,1,0,0,57.0,14.0,9.0,60.9,1
2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,W,4,0,Watford,4,9,6,66.7,0.33,0.5,11.1,0.0,1,1,3.2,2.4,0.3,0.8,0.6,2,0,2,100.0,1,0.1,0.1,0,0,0,0,8.0,15.0,53.3,19.0,6.0,42.1,37.1,8.0,87.5,55.0,19.0,3.0,15.8,1.0,8.2,378.0,464.0,81.5,6683.0,2578.0,187.0,210.0,89.0,147.0,167.0,88.0,35.0,60.0,58.3,2,2.0,1.3,7.0,30.0,8.0,2.0,46.0,464.0,421.0,41.0,11.0,2.0,4.0,14,14.0,7.0,2.0,1.0,0.0,378.0,2.0,7.0,19.0,14.0,2.0,0.0,1.0,1.0,1.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,9.0,6,5.0,3.0,1.0,6.0,9.0,66.7,3.0,16.0,10.0,6.0,8,17,40.0,0.0,52,588.0,62.0,228.0,227.0,138.0,16.0,587.0,8.0,3.0,37.5,5.0,62.5,364.0,1757.0,989.0,23.0,10.0,5.0,16.0,14.0,377.0,46.0,1,0,0,9,11,2,14,8,6,1,0,0,49.0,16.0,15.0,51.6,1
2018-10-20,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,0,0,Southampton,0,9,2,22.2,0.0,0.0,12.8,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,4,0,4,100.0,1,0.2,0.2,0,0,0,0,7.0,12.0,58.3,30.0,10.0,26.7,32.5,7.0,57.1,48.9,15.0,0.0,0.0,0.0,12.0,386.0,522.0,73.9,6758.0,2803.0,191.0,222.0,86.0,152.0,195.0,77.9,39.0,88.0,44.3,0,0.7,0.6,6.0,26.0,7.0,2.0,37.0,522.0,458.0,64.0,18.0,0.0,1.0,22,32.0,6.0,2.0,2.0,0.0,386.0,0.0,12.0,14.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7,5.0,2.0,2.0,5.0,8.0,62.5,3.0,7.0,2.0,5.0,5,14,33.0,1.0,58,629.0,71.0,243.0,263.0,128.0,17.0,629.0,18.0,7.0,38.9,11.0,61.1,414.0,2278.0,1117.0,17.0,18.0,4.0,14.0,7.0,381.0,37.0,1,0,0,11,14,0,22,5,7,0,0,0,51.0,24.0,26.0,48.0,1
2018-10-27,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,W,3,0,Fulham,3,11,4,36.4,0.18,0.5,18.8,0.0,1,1,2.0,1.2,0.11,1.0,0.8,1,0,1,100.0,1,0.1,0.1,0,0,0,0,4.0,8.0,50.0,15.0,7.0,20.0,32.1,8.0,62.5,51.1,14.0,1.0,7.1,0.0,14.0,451.0,550.0,82.0,7867.0,2791.0,225.0,250.0,90.0,181.0,216.0,83.8,42.0,70.0,60.0,2,1.0,1.0,9.0,41.0,18.0,6.0,58.0,550.0,495.0,54.0,16.0,5.0,2.0,23,24.0,5.0,3.0,1.0,0.0,451.0,1.0,10.0,24.0,22.0,1.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,4,2.0,4.0,1.0,2.0,7.0,28.6,5.0,9.0,1.0,8.0,10,17,27.0,1.0,49,656.0,50.0,176.0,317.0,168.0,28.0,655.0,12.0,7.0,58.3,5.0,41.7,467.0,2413.0,1353.0,26.0,19.0,8.0,11.0,5.0,449.0,58.0,1,0,0,3,15,1,23,10,4,1,0,0,46.0,8.0,27.0,22.9,1
