Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,2,Bournemouth,0,10,1,10.0,0.0,0.0,13.1,1.0,0,0,1.4,1.4,0.16,-1.4,-1.4,4,2,1,50.0,0,2.4,0.4,1,0,1,0,9.0,35.0,25.7,27.0,0.0,92.6,59.9,10.0,100.0,68.4,9.0,0.0,0.0,1.0,20.0,191.0,327.0,58.4,4015.0,1807.0,69.0,95.0,72.6,79.0,114.0,69.3,33.0,91.0,36.3,0,1.5,1.2,8.0,25.0,4.0,1.0,27.0,327.0,278.0,47.0,10.0,0.0,1.0,18,20.0,4.0,4.0,0.0,0.0,191.0,2.0,11.0,18.0,12.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12,13.0,7.0,2.0,10.0,21.0,47.6,11.0,16.0,2.0,14.0,15,37,31.0,0.0,37.0,456.0,60.0,159.0,188.0,111.0,22.0,456.0,17.0,9.0,52.9,8.0,47.1,179.0,1015.0,483.0,11.0,6.0,6.0,9.0,3.0,190.0,27.0,1,0,0,9,11,2,18,15,12,0,1,0,61.0,31.0,32.0,49.2,1
2018-08-18,12:30 (04:30),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,0,12,0,0.0,0.0,,16.4,1.0,0,0,0.9,0.9,0.08,-0.9,-0.9,6,0,5,100.0,1,1.3,1.3,1,0,1,0,6.0,26.0,23.1,27.0,3.0,85.2,52.3,3.0,100.0,68.0,10.0,0.0,0.0,5.0,22.0,225.0,369.0,61.0,4196.0,1735.0,100.0,131.0,76.3,71.0,111.0,64.0,43.0,96.0,44.8,0,0.7,1.0,9.0,22.0,9.0,4.0,30.0,369.0,316.0,51.0,15.0,1.0,1.0,23,27.0,5.0,4.0,1.0,0.0,225.0,2.0,12.0,21.0,15.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12,9.0,11.0,2.0,6.0,9.0,66.7,3.0,10.0,5.0,5.0,12,34,42.0,0.0,51.0,494.0,51.0,154.0,207.0,140.0,13.0,494.0,9.0,8.0,88.9,1.0,11.1,205.0,1409.0,721.0,18.0,14.0,0.0,8.0,11.0,220.0,28.0,2,0,0,14,16,2,23,12,12,0,1,0,52.0,34.0,33.0,50.7,1
2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Huddersfield,0,14,4,28.6,0.0,0.0,17.8,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,1,0,1,100.0,1,0.2,0.2,0,0,0,0,10.0,22.0,45.5,25.0,5.0,72.0,46.8,4.0,100.0,64.0,22.0,0.0,0.0,0.0,6.0,222.0,344.0,64.5,4394.0,2017.0,89.0,115.0,77.4,85.0,115.0,73.9,43.0,93.0,46.2,0,0.8,0.9,12.0,27.0,5.0,1.0,26.0,344.0,288.0,55.0,9.0,0.0,1.0,15,34.0,7.0,7.0,0.0,0.0,222.0,1.0,8.0,21.0,16.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13,11.0,7.0,1.0,0.0,3.0,0.0,3.0,5.0,2.0,3.0,12,31,33.0,1.0,43.0,469.0,47.0,142.0,188.0,145.0,16.0,469.0,8.0,3.0,37.5,5.0,62.5,188.0,1134.0,556.0,11.0,8.0,2.0,14.0,9.0,219.0,25.0,1,0,0,10,8,1,15,12,13,0,0,0,42.0,35.0,27.0,56.5,1
2018-09-02,13:30 (05:30),Premier League,Matchweek 4,Sun,Home,L,2,3,Arsenal,2,14,3,21.4,0.14,0.67,16.2,0.0,0,0,1.0,1.0,0.07,1.0,1.0,11,3,8,72.7,0,2.0,-1.0,0,0,0,0,5.0,16.0,31.3,11.0,0.0,100.0,60.0,5.0,100.0,68.0,16.0,0.0,0.0,0.0,5.5,162.0,263.0,61.6,3069.0,1488.0,81.0,104.0,77.9,49.0,71.0,69.0,27.0,70.0,38.6,2,0.6,1.0,8.0,17.0,4.0,2.0,29.0,263.0,227.0,33.0,14.0,0.0,2.0,19,7.0,3.0,3.0,0.0,0.0,162.0,3.0,7.0,22.0,14.0,3.0,1.0,2.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,8,7.0,2.0,3.0,5.0,11.0,45.5,6.0,13.0,2.0,11.0,15,27,34.0,1.0,28.0,387.0,66.0,134.0,145.0,112.0,21.0,387.0,4.0,2.0,50.0,2.0,50.0,147.0,790.0,397.0,8.0,6.0,2.0,13.0,9.0,159.0,28.0,3,0,0,12,12,3,19,15,8,0,0,0,53.0,24.0,22.0,52.2,1
2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,1,4,Chelsea,1,6,2,33.3,0.17,0.5,10.7,0.0,0,0,0.7,0.7,0.12,0.3,0.3,7,4,3,57.1,0,3.8,-0.2,1,1,0,0,15.0,34.0,44.1,20.0,0.0,100.0,58.1,14.0,100.0,69.1,13.0,0.0,0.0,0.0,11.0,144.0,254.0,56.7,3483.0,1852.0,52.0,79.0,65.8,50.0,69.0,72.5,36.0,84.0,42.9,1,0.7,0.5,5.0,20.0,4.0,1.0,16.0,254.0,206.0,48.0,8.0,0.0,4.0,10,17.0,4.0,4.0,0.0,0.0,144.0,0.0,9.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,8,9.0,3.0,1.0,3.0,13.0,23.1,10.0,15.0,3.0,12.0,24,37,18.0,0.0,24.0,347.0,55.0,126.0,139.0,84.0,12.0,347.0,9.0,6.0,66.7,3.0,33.3,146.0,889.0,339.0,7.0,4.0,2.0,10.0,7.0,141.0,16.0,0,0,0,10,8,0,10,24,8,0,1,0,51.0,23.0,18.0,56.1,1
2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,5,Manchester City,0,2,2,100.0,0.0,0.0,19.2,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,10,5,5,50.0,0,2.6,-2.4,0,0,0,0,9.0,27.0,33.3,24.0,1.0,91.7,56.0,5.0,100.0,64.8,17.0,0.0,0.0,0.0,5.0,159.0,243.0,65.4,3035.0,1415.0,67.0,82.0,81.7,67.0,92.0,72.8,20.0,57.0,35.1,0,0.1,0.1,2.0,14.0,3.0,1.0,11.0,243.0,209.0,32.0,5.0,0.0,0.0,7,15.0,1.0,1.0,0.0,0.0,159.0,2.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6,13.0,3.0,0.0,9.0,15.0,60.0,6.0,11.0,7.0,4.0,14,30,26.0,1.0,22.0,342.0,79.0,164.0,128.0,53.0,4.0,342.0,5.0,2.0,40.0,3.0,60.0,142.0,809.0,368.0,9.0,3.0,2.0,12.0,9.0,157.0,11.0,1,0,0,6,4,2,7,14,6,0,0,0,41.0,10.0,9.0,52.6,1
2018-09-30,16:00 (08:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Burnley,1,20,4,20.0,0.05,0.25,16.2,1.0,0,0,1.7,1.7,0.09,-0.7,-0.7,2,2,0,0.0,0,0.9,-1.1,0,0,0,0,12.0,26.0,46.2,22.0,2.0,100.0,59.5,4.0,100.0,71.0,5.0,1.0,20.0,1.0,11.7,226.0,386.0,58.5,4730.0,2358.0,91.0,125.0,72.8,79.0,121.0,65.3,48.0,106.0,45.3,1,1.0,1.3,14.0,33.0,11.0,2.0,46.0,386.0,319.0,65.0,15.0,1.0,1.0,31,33.0,10.0,3.0,3.0,2.0,226.0,2.0,9.0,34.0,22.0,4.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,8,3.0,3.0,3.0,1.0,4.0,25.0,3.0,8.0,0.0,8.0,8,17,26.0,0.0,54.0,490.0,25.0,99.0,201.0,194.0,47.0,490.0,5.0,5.0,100.0,0.0,0.0,182.0,1042.0,525.0,10.0,6.0,7.0,13.0,12.0,222.0,46.0,1,0,0,11,15,2,31,8,8,0,0,0,42.0,65.0,38.0,63.1,1
2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,0,1,Tottenham,0,8,5,62.5,0.0,0.0,19.0,0.0,0,0,1.2,1.2,0.18,-1.2,-1.2,6,1,5,83.3,0,1.3,0.3,0,0,0,0,8.0,26.0,30.8,25.0,0.0,80.0,55.7,6.0,100.0,70.8,14.0,0.0,0.0,1.0,18.0,155.0,253.0,61.3,3388.0,1618.0,59.0,83.0,71.1,57.0,79.0,72.2,32.0,68.0,47.1,0,0.7,0.3,5.0,24.0,3.0,0.0,22.0,253.0,214.0,36.0,7.0,1.0,3.0,8,20.0,2.0,0.0,0.0,2.0,155.0,3.0,6.0,11.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8,11.0,3.0,2.0,5.0,17.0,29.4,12.0,18.0,7.0,11.0,16,32,37.0,1.0,25.0,388.0,63.0,145.0,128.0,121.0,11.0,388.0,14.0,5.0,35.7,9.0,64.3,166.0,991.0,347.0,5.0,8.0,4.0,14.0,9.0,154.0,22.0,1,1,0,11,6,3,8,16,8,0,0,0,50.0,16.0,9.0,64.0,1
2018-10-20,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,4,2,Fulham,4,22,5,22.7,0.18,0.8,18.6,0.0,0,0,1.5,1.5,0.07,2.5,2.5,4,2,2,50.0,0,1.5,-0.5,0,0,0,0,8.0,24.0,33.3,22.0,0.0,90.9,55.0,4.0,100.0,61.5,7.0,0.0,0.0,2.0,21.5,224.0,356.0,62.9,4091.0,1873.0,114.0,141.0,80.9,60.0,100.0,60.0,35.0,89.0,39.3,3,1.1,1.5,18.0,25.0,9.0,6.0,25.0,356.0,308.0,48.0,16.0,2.0,2.0,22,21.0,4.0,3.0,1.0,0.0,224.0,0.0,8.0,34.0,24.0,3.0,0.0,5.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,12.0,9,2.0,9.0,1.0,0.0,4.0,0.0,4.0,10.0,2.0,8.0,14,26,21.0,0.0,41.0,478.0,38.0,104.0,197.0,183.0,32.0,478.0,16.0,9.0,56.3,7.0,43.8,183.0,1017.0,488.0,15.0,5.0,8.0,16.0,9.0,223.0,25.0,3,0,0,15,15,0,22,14,9,0,0,0,62.0,25.0,23.0,52.1,1
2018-10-27,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,L,1,4,Liverpool,1,2,1,50.0,0.5,1.0,13.2,0.0,0,0,0.8,0.8,0.41,0.2,0.2,6,4,2,33.3,0,3.7,-0.3,0,0,0,0,7.0,25.0,28.0,21.0,4.0,81.0,54.3,8.0,100.0,66.5,17.0,0.0,0.0,4.0,19.2,136.0,243.0,56.0,2258.0,1160.0,71.0,89.0,79.8,41.0,65.0,63.1,15.0,60.0,25.0,0,0.0,0.0,1.0,12.0,1.0,0.0,13.0,243.0,200.0,39.0,5.0,0.0,1.0,7,21.0,0.0,0.0,0.0,0.0,136.0,4.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,8,9.0,4.0,1.0,6.0,15.0,40.0,9.0,14.0,6.0,8.0,20,34,45.0,1.0,22.0,357.0,82.0,165.0,125.0,74.0,2.0,357.0,14.0,8.0,57.1,6.0,42.9,128.0,1066.0,595.0,11.0,11.0,1.0,12.0,6.0,135.0,13.0,0,0,0,4,6,4,7,20,8,0,0,0,41.0,14.0,17.0,45.2,1
