Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Huddersfield,3,12,3,25.0,0.17,0.67,17.7,2.0,1,1,1.9,1.1,0.1,1.1,0.9,1,0,1,100.0,1,0.0,0.0,0,0,0,0,4.0,14.0,28.6,33.0,1.0,24.2,27.9,6.0,100.0,59.7,21.0,1.0,4.8,4.0,21.9,615.0,701.0,87.7,9605.0,3105.0,330.0,358.0,92.2,212.0,228.0,93.0,44.0,72.0,61.1,2,0.9,0.5,9.0,34.0,5.0,2.0,32.0,701.0,650.0,50.0,8.0,0.0,3.0,11,30.0,5.0,1.0,2.0,1.0,615.0,1.0,7.0,25.0,15.0,2.0,2.0,3.0,3.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,12.0,6,7.0,5.0,0.0,5.0,11.0,45.5,6.0,6.0,1.0,5.0,9,21,22.0,0.0,62,806.0,73.0,203.0,435.0,177.0,17.0,805.0,21.0,17.0,81.0,4.0,19.0,464.0,2541.0,1317.0,29.0,25.0,8.0,15.0,21.0,611.0,32.0,1,0,0,8,8,1,11,9,6,1,0,0,55.0,16.0,21.0,43.2,1.0
2018-08-18,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,3,2,Arsenal,3,24,11,45.8,0.13,0.27,20.4,1.0,0,0,1.6,1.6,0.07,1.4,1.4,6,2,4,66.7,0,2.2,0.2,0,0,0,0,4.0,11.0,36.4,26.0,3.0,26.9,30.4,10.0,40.0,34.2,10.0,1.0,10.0,0.0,3.0,665.0,762.0,87.3,10516.0,3181.0,361.0,383.0,94.3,234.0,268.0,87.3,47.0,73.0,64.4,3,1.4,1.4,19.0,55.0,9.0,1.0,48.0,762.0,709.0,50.0,11.0,4.0,6.0,15,21.0,5.0,0.0,1.0,1.0,665.0,3.0,7.0,43.0,37.0,0.0,2.0,2.0,1.0,1.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,16.0,9,5.0,10.0,1.0,7.0,12.0,58.3,5.0,9.0,3.0,6.0,7,23,11.0,0.0,62,851.0,48.0,210.0,434.0,213.0,24.0,851.0,12.0,9.0,75.0,3.0,25.0,472.0,2608.0,1464.0,29.0,23.0,7.0,11.0,11.0,661.0,48.0,0,0,0,12,9,3,15,7,9,0,0,0,49.0,15.0,12.0,55.6,1.0
2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,1,14,2,14.3,0.0,0.0,19.6,0.0,1,1,1.5,0.7,0.05,-0.5,-0.7,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,1.0,2.0,50.0,11.0,3.0,0.0,18.0,6.0,33.3,35.3,13.0,0.0,0.0,0.0,,863.0,961.0,89.8,11951.0,3050.0,542.0,570.0,95.1,251.0,285.0,88.1,38.0,49.0,77.6,0,0.4,1.6,9.0,71.0,12.0,0.0,66.0,961.0,909.0,50.0,17.0,0.0,5.0,23,20.0,5.0,1.0,2.0,1.0,863.0,2.0,11.0,29.0,23.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,8,6.0,4.0,7.0,6.0,8.0,75.0,2.0,6.0,2.0,4.0,5,22,22.0,0.0,80,1053.0,44.0,163.0,438.0,457.0,39.0,1052.0,12.0,7.0,58.3,5.0,41.7,665.0,3302.0,1825.0,21.0,44.0,4.0,10.0,16.0,861.0,66.0,1,0,0,8,16,2,23,5,8,1,0,0,53.0,13.0,11.0,54.2,1.0
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,2,0,Bournemouth,2,24,6,25.0,0.08,0.33,20.3,1.0,0,0,1.1,1.1,0.05,0.9,0.9,1,0,1,100.0,1,0.0,0.0,0,0,0,0,9.0,13.0,69.2,19.0,4.0,36.8,30.5,12.0,50.0,43.6,12.0,0.0,0.0,1.0,29.0,642.0,754.0,85.1,10318.0,3080.0,312.0,336.0,92.9,266.0,297.0,89.6,40.0,73.0,54.8,2,0.8,1.1,19.0,36.0,13.0,1.0,61.0,754.0,706.0,46.0,7.0,6.0,2.0,25,19.0,7.0,3.0,2.0,0.0,642.0,2.0,10.0,45.0,37.0,3.0,2.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,7,10.0,1.0,1.0,10.0,13.0,76.9,3.0,7.0,1.0,6.0,7,19,25.0,0.0,72,858.0,59.0,199.0,387.0,277.0,40.0,858.0,14.0,9.0,64.3,5.0,35.7,504.0,2818.0,1604.0,35.0,24.0,11.0,16.0,9.0,637.0,59.0,2,0,0,10,7,2,25,7,7,0,0,0,54.0,18.0,12.0,60.0,1.0
2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,4,1,Cardiff City,4,17,6,35.3,0.18,0.5,16.0,1.0,1,1,2.6,1.8,0.11,1.4,1.2,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,4.0,8.0,50.0,23.0,5.0,13.0,25.2,8.0,62.5,51.9,8.0,0.0,0.0,0.0,7.5,693.0,801.0,86.5,11242.0,3602.0,351.0,386.0,90.9,225.0,257.0,87.5,73.0,92.0,79.3,2,1.6,1.2,14.0,59.0,13.0,3.0,60.0,801.0,763.0,38.0,8.0,1.0,17.0,15,15.0,5.0,3.0,1.0,0.0,693.0,0.0,13.0,33.0,28.0,0.0,3.0,0.0,2.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,10.0,9,3.0,6.0,1.0,3.0,9.0,33.3,6.0,7.0,0.0,7.0,7,17,18.0,0.0,76,880.0,49.0,177.0,484.0,220.0,22.0,879.0,13.0,10.0,76.9,3.0,23.1,431.0,2649.0,1524.0,25.0,21.0,4.0,9.0,10.0,686.0,60.0,0,0,0,8,10,0,15,7,9,1,0,0,55.0,18.0,23.0,43.9,1.0
2018-09-20,19:55 (09:55),Europa Lg,Group stage,Thu,Away,W,1,0,gr PAOK,1,22,5,22.7,0.05,0.2,14.9,1.0,0,0,2.6,2.6,0.12,-1.6,-1.6,1,0,1,100.0,1,0.1,0.1,0,0,0,0,2.0,4.0,50.0,41.0,2.0,9.8,24.5,5.0,0.0,25.4,8.0,0.0,0.0,0.0,8.3,659.0,742.0,88.8,11067.0,3469.0,300.0,322.0,93.2,263.0,282.0,93.3,66.0,88.0,75.0,1,2.6,1.7,21.0,36.0,9.0,4.0,49.0,742.0,693.0,47.0,9.0,3.0,4.0,28,21.0,11.0,7.0,3.0,0.0,659.0,2.0,9.0,44.0,31.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,7,2.0,7.0,5.0,5.0,10.0,50.0,5.0,5.0,0.0,5.0,9,23,9.0,0.0,68,824.0,58.0,226.0,408.0,198.0,35.0,824.0,16.0,12.0,75.0,4.0,25.0,507.0,2483.0,1484.0,33.0,33.0,10.0,11.0,3.0,654.0,49.0,2,0,0,13,6,2,28,9,7,0,0,0,47.0,15.0,12.0,55.6,2.0
2018-09-23,13:30 (05:30),Premier League,Matchweek 6,Sun,Away,D,0,0,West Ham,0,17,6,35.3,0.0,0.0,16.0,1.0,0,0,1.5,1.5,0.09,-1.5,-1.5,1,0,1,100.0,1,0.9,0.9,0,0,0,0,2.0,5.0,40.0,18.0,2.0,22.2,25.1,9.0,11.1,30.8,9.0,0.0,0.0,2.0,33.0,695.0,814.0,85.4,10686.0,3489.0,396.0,430.0,92.1,235.0,277.0,84.8,47.0,66.0,71.2,0,1.3,1.7,15.0,83.0,17.0,4.0,88.0,814.0,758.0,53.0,12.0,3.0,4.0,28,23.0,8.0,2.0,4.0,0.0,695.0,3.0,19.0,33.0,28.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3,1.0,4.0,3.0,3.0,10.0,30.0,7.0,8.0,1.0,7.0,8,16,9.0,0.0,71,900.0,38.0,122.0,485.0,302.0,30.0,900.0,18.0,7.0,38.9,11.0,61.1,535.0,3020.0,1848.0,29.0,38.0,7.0,12.0,11.0,692.0,88.0,1,0,0,9,11,3,28,8,3,0,0,0,57.0,12.0,10.0,54.5,1.0
2018-09-29,17:30 (09:30),Premier League,Matchweek 7,Sat,Home,D,1,1,Liverpool,1,10,4,40.0,0.1,0.25,13.2,0.0,0,0,1.1,1.1,0.11,-0.1,-0.1,4,1,3,75.0,0,1.0,0.0,0,0,0,0,4.0,11.0,36.4,31.0,1.0,25.8,30.6,13.0,23.1,34.9,17.0,1.0,5.9,0.0,12.3,483.0,588.0,82.1,7854.0,2948.0,248.0,277.0,89.5,182.0,214.0,85.0,41.0,65.0,63.1,1,1.0,1.2,8.0,22.0,3.0,1.0,25.0,588.0,541.0,45.0,11.0,5.0,5.0,12,15.0,4.0,2.0,1.0,0.0,483.0,2.0,11.0,18.0,10.0,4.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9,10.0,3.0,0.0,4.0,11.0,36.4,7.0,13.0,3.0,10.0,12,25,24.0,1.0,47,701.0,86.0,323.0,266.0,114.0,16.0,701.0,8.0,4.0,50.0,4.0,50.0,298.0,1725.0,878.0,17.0,8.0,7.0,13.0,11.0,479.0,25.0,0,0,0,7,9,2,12,12,9,0,0,0,56.0,11.0,13.0,45.8,1.0
2018-10-04,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,hu Vidi,1,28,5,17.9,0.04,0.2,17.7,1.0,0,0,3.5,3.5,0.13,-2.5,-2.5,3,0,3,100.0,1,0.7,0.7,0,0,0,0,1.0,1.0,100.0,15.0,3.0,6.7,24.9,7.0,0.0,22.4,8.0,0.0,0.0,0.0,7.0,664.0,753.0,88.2,10324.0,3292.0,347.0,373.0,93.0,241.0,257.0,93.8,45.0,70.0,64.3,0,3.0,1.8,22.0,52.0,10.0,2.0,61.0,753.0,685.0,67.0,18.0,7.0,6.0,33,23.0,18.0,8.0,4.0,4.0,664.0,1.0,12.0,49.0,30.0,7.0,5.0,3.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,8,3.0,7.0,2.0,6.0,12.0,50.0,6.0,7.0,1.0,6.0,7,19,11.0,1.0,75,866.0,42.0,124.0,411.0,335.0,41.0,866.0,30.0,16.0,53.3,14.0,46.7,480.0,2883.0,1721.0,43.0,32.0,15.0,11.0,8.0,662.0,61.0,1,0,0,9,14,1,33,7,8,0,0,0,45.0,15.0,13.0,53.6,2.0
2018-10-07,14:15 (06:15),Premier League,Matchweek 8,Sun,Away,W,3,0,Southampton,3,21,6,28.6,0.14,0.5,15.1,0.0,0,0,2.9,2.9,0.14,0.1,0.1,6,0,6,100.0,1,1.0,1.0,0,0,0,0,3.0,7.0,42.9,27.0,3.0,11.1,24.9,8.0,50.0,41.0,9.0,0.0,0.0,2.0,21.0,607.0,706.0,86.0,9107.0,3182.0,326.0,348.0,93.7,200.0,227.0,88.1,42.0,62.0,67.7,3,2.7,1.4,16.0,35.0,14.0,1.0,58.0,706.0,647.0,59.0,13.0,4.0,5.0,27,25.0,12.0,3.0,3.0,6.0,607.0,0.0,16.0,35.0,23.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,13.0,4,5.0,5.0,3.0,7.0,9.0,77.8,2.0,12.0,3.0,9.0,2,15,20.0,1.0,65,807.0,51.0,153.0,388.0,273.0,41.0,807.0,13.0,4.0,30.8,9.0,69.2,449.0,2267.0,1241.0,21.0,26.0,8.0,11.0,12.0,603.0,58.0,0,0,0,11,13,0,27,2,4,0,0,0,41.0,17.0,12.0,58.6,1.0
