Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,2,0,Fulham,2,12,10,83.3,0.17,0.2,17.8,0.0,0,0,1.0,1.0,0.08,1.0,1.0,6,0,6,100.0,1,0.4,0.4,0,0,0,0,7.0,19.0,36.8,21.0,3.0,61.9,45.5,8.0,75.0,65.0,27.0,1.0,3.7,0.0,12.0,286.0,388.0,73.7,5249.0,2459.0,127.0,154.0,82.5,118.0,148.0,79.7,34.0,68.0,50.0,2,0.9,0.7,10.0,19.0,8.0,2.0,36.0,388.0,335.0,50.0,11.0,2.0,1.0,12,25.0,5.0,0.0,0.0,3.0,286.0,3.0,4.0,22.0,16.0,3.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,22.0,15,11.0,11.0,0.0,6.0,14.0,42.9,8.0,8.0,4.0,4.0,14,36,32.0,0.0,35,514.0,71.0,216.0,208.0,101.0,24.0,514.0,21.0,12.0,57.1,9.0,42.9,233.0,1446.0,827.0,19.0,8.0,7.0,14.0,18.0,284.0,36.0,2,0,0,11,9,3,12,14,15,0,0,0,57.0,20.0,10.0,66.7,1
2018-08-20,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,L,0,2,Liverpool,0,8,2,25.0,0.0,0.0,20.7,1.0,0,0,0.4,0.4,0.05,-0.4,-0.4,6,2,4,83.3,0,2.5,0.5,1,1,0,0,6.0,22.0,27.3,22.0,5.0,59.1,45.3,9.0,100.0,75.2,19.0,1.0,5.3,1.0,9.8,305.0,400.0,76.3,5941.0,2464.0,128.0,151.0,84.8,129.0,149.0,86.6,43.0,78.0,55.1,0,0.3,0.4,5.0,22.0,7.0,3.0,34.0,400.0,349.0,49.0,13.0,1.0,4.0,16,18.0,6.0,0.0,0.0,6.0,305.0,2.0,12.0,14.0,10.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,11.0,3.0,0.0,5.0,21.0,23.8,16.0,14.0,5.0,9.0,14,28,23.0,0.0,37,507.0,73.0,197.0,219.0,98.0,16.0,507.0,27.0,17.0,63.0,10.0,37.0,256.0,1406.0,649.0,13.0,6.0,5.0,10.0,12.0,300.0,34.0,1,1,0,6,13,2,16,14,9,0,1,0,39.0,19.0,13.0,59.4,1
2018-08-26,13:30 (05:30),Premier League,Matchweek 3,Sun,Away,L,1,2,Watford,1,9,3,33.3,0.11,0.33,12.4,0.0,0,0,1.0,1.0,0.11,0.0,0.0,5,2,3,60.0,0,2.0,0.0,0,0,0,0,12.0,21.0,57.1,17.0,4.0,47.1,43.9,13.0,100.0,70.6,15.0,1.0,6.7,0.0,12.0,359.0,485.0,74.0,6930.0,3024.0,160.0,198.0,80.8,132.0,168.0,78.6,53.0,90.0,58.9,1,0.5,0.6,8.0,29.0,7.0,2.0,32.0,485.0,415.0,67.0,15.0,2.0,7.0,9,33.0,3.0,1.0,0.0,0.0,359.0,3.0,5.0,17.0,13.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,12,10.0,8.0,1.0,9.0,17.0,52.9,8.0,14.0,4.0,10.0,5,24,30.0,0.0,57,608.0,62.0,186.0,291.0,136.0,15.0,608.0,12.0,3.0,25.0,9.0,75.0,278.0,1323.0,552.0,12.0,13.0,5.0,19.0,17.0,356.0,32.0,2,0,0,11,12,3,9,5,12,0,0,0,49.0,23.0,24.0,48.9,1
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,2,Southampton,0,20,6,30.0,0.0,0.0,17.4,0.0,0,0,2.4,2.4,0.13,-2.4,-2.4,6,2,3,66.7,0,1.7,-0.3,1,0,1,0,8.0,15.0,53.3,20.0,6.0,45.0,39.3,12.0,50.0,49.2,13.0,1.0,7.7,0.0,5.0,369.0,480.0,76.9,7201.0,3145.0,138.0,159.0,86.8,160.0,190.0,84.2,57.0,92.0,62.0,0,2.6,1.3,18.0,34.0,15.0,6.0,47.0,480.0,427.0,53.0,13.0,0.0,2.0,24,18.0,7.0,1.0,1.0,4.0,369.0,0.0,13.0,34.0,24.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,12.0,1.0,3.0,6.0,13.0,46.2,7.0,18.0,6.0,12.0,12,28,29.0,0.0,50,624.0,56.0,184.0,268.0,179.0,37.0,624.0,13.0,7.0,53.8,6.0,46.2,308.0,1923.0,881.0,19.0,17.0,4.0,16.0,13.0,369.0,47.0,1,0,0,11,12,0,24,12,11,0,1,0,49.0,33.0,20.0,62.3,1
2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,1,0,Huddersfield,1,7,2,28.6,0.14,0.5,14.6,0.0,0,0,0.7,0.7,0.09,0.3,0.3,2,0,2,100.0,1,0.1,0.1,0,0,0,0,6.0,24.0,25.0,22.0,3.0,72.7,49.6,8.0,100.0,69.6,27.0,0.0,0.0,0.0,4.0,305.0,394.0,77.4,5148.0,2109.0,151.0,168.0,89.9,112.0,136.0,82.4,27.0,63.0,42.9,1,0.6,0.5,6.0,22.0,1.0,0.0,28.0,394.0,348.0,44.0,16.0,1.0,0.0,10,16.0,3.0,2.0,0.0,1.0,305.0,2.0,7.0,14.0,12.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9,9.0,4.0,0.0,4.0,11.0,36.4,7.0,8.0,4.0,4.0,9,22,29.0,0.0,41,493.0,64.0,184.0,245.0,71.0,12.0,493.0,9.0,6.0,66.7,3.0,33.3,254.0,1287.0,741.0,16.0,8.0,8.0,14.0,14.0,305.0,28.0,2,0,0,17,11,2,10,9,9,0,0,0,42.0,17.0,23.0,42.5,1
2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,0,0,Newcastle Utd,0,16,4,25.0,0.0,0.0,18.2,3.0,0,0,0.9,0.9,0.05,-0.9,-0.9,3,0,3,100.0,1,0.2,0.2,0,0,0,0,3.0,13.0,23.1,29.0,10.0,34.5,35.3,4.0,75.0,60.0,11.0,2.0,18.2,2.0,17.6,422.0,550.0,76.7,7377.0,2681.0,188.0,209.0,90.0,173.0,210.0,82.4,42.0,86.0,48.8,0,0.5,0.6,8.0,26.0,9.0,4.0,45.0,550.0,489.0,59.0,9.0,2.0,4.0,21,36.0,9.0,5.0,4.0,0.0,422.0,2.0,13.0,30.0,23.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,25,16.0,9.0,4.0,8.0,10.0,80.0,2.0,8.0,0.0,8.0,8,37,17.0,1.0,61,667.0,42.0,194.0,290.0,191.0,19.0,667.0,21.0,15.0,71.4,6.0,28.6,299.0,2051.0,1070.0,27.0,17.0,1.0,18.0,19.0,417.0,45.0,1,0,0,8,11,2,21,8,25,0,0,0,52.0,17.0,14.0,54.8,1
2018-10-01,20:00 (12:00),Premier League,Matchweek 7,Mon,Away,L,1,2,Bournemouth,1,10,2,20.0,0.1,0.5,21.5,1.0,0,0,0.4,0.4,0.04,0.6,0.6,5,2,3,80.0,0,2.1,0.1,1,1,0,0,7.0,17.0,41.2,21.0,5.0,57.1,42.4,6.0,83.3,60.3,12.0,0.0,0.0,0.0,,467.0,569.0,82.1,8377.0,2729.0,214.0,234.0,91.5,200.0,232.0,86.2,47.0,87.0,54.0,1,0.3,0.8,8.0,31.0,13.0,2.0,49.0,569.0,531.0,36.0,10.0,0.0,3.0,16,14.0,3.0,1.0,1.0,0.0,467.0,2.0,5.0,19.0,15.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,10,10.0,7.0,2.0,10.0,13.0,76.9,3.0,12.0,2.0,10.0,12,31,15.0,1.0,55,682.0,55.0,193.0,331.0,161.0,25.0,682.0,10.0,6.0,60.0,4.0,40.0,389.0,2123.0,1120.0,17.0,20.0,4.0,16.0,8.0,464.0,48.0,4,0,0,12,9,2,16,12,10,0,1,0,59.0,9.0,14.0,39.1,1
2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,0,1,Wolves,0,11,4,36.4,0.0,0.0,20.5,1.0,0,0,1.4,1.4,0.13,-1.4,-1.4,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,7.0,23.0,30.4,29.0,1.0,58.6,43.0,8.0,75.0,57.9,6.0,0.0,0.0,3.0,25.5,564.0,693.0,81.4,10587.0,3409.0,225.0,262.0,85.9,271.0,310.0,87.4,62.0,98.0,63.3,0,0.5,1.2,6.0,43.0,5.0,1.0,59.0,693.0,633.0,59.0,13.0,0.0,4.0,20,30.0,6.0,6.0,0.0,0.0,564.0,1.0,12.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13,3.0,9.0,5.0,9.0,13.0,69.2,4.0,10.0,0.0,10.0,10,27,18.0,0.0,67,792.0,41.0,204.0,428.0,170.0,21.0,792.0,19.0,9.0,47.4,10.0,52.6,447.0,2271.0,1342.0,23.0,20.0,3.0,11.0,10.0,559.0,57.0,3,0,0,11,13,1,20,10,13,0,0,0,54.0,17.0,19.0,47.2,1
2018-10-21,16:00 (08:00),Premier League,Matchweek 9,Sun,Away,L,0,2,Everton,0,6,2,33.3,0.0,0.0,20.7,1.0,0,1,1.3,0.5,0.09,-1.3,-0.5,4,2,2,50.0,0,2.2,0.2,0,0,0,0,8.0,28.0,28.6,19.0,1.0,89.5,53.8,11.0,100.0,67.3,18.0,0.0,0.0,0.0,,272.0,384.0,70.8,4767.0,1951.0,142.0,165.0,86.1,87.0,114.0,76.3,33.0,81.0,40.7,0,0.5,0.7,4.0,22.0,4.0,0.0,31.0,384.0,333.0,51.0,12.0,1.0,3.0,13,20.0,5.0,4.0,0.0,0.0,272.0,0.0,7.0,11.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17,10.0,11.0,2.0,10.0,18.0,55.6,8.0,14.0,7.0,7.0,13,36,28.0,0.0,41,512.0,58.0,183.0,216.0,121.0,19.0,511.0,12.0,6.0,50.0,6.0,50.0,197.0,1225.0,706.0,18.0,11.0,5.0,17.0,15.0,269.0,30.0,1,0,0,17,13,0,13,13,17,1,0,0,57.0,16.0,22.0,42.1,1
2018-10-28,13:30 (06:30),Premier League,Matchweek 10,Sun,Home,D,2,2,Arsenal,2,14,1,7.1,0.0,0.0,22.6,0.0,2,2,2.3,0.7,0.05,-0.3,-0.7,2,2,0,0.0,0,1.6,-0.4,0,0,0,0,6.0,16.0,37.5,14.0,2.0,78.6,49.4,5.0,100.0,66.6,6.0,1.0,16.7,0.0,8.0,336.0,442.0,76.0,5870.0,2185.0,158.0,187.0,84.5,127.0,154.0,82.5,38.0,72.0,52.8,0,0.7,0.5,11.0,28.0,8.0,1.0,36.0,442.0,390.0,50.0,12.0,3.0,2.0,15,24.0,6.0,6.0,0.0,0.0,336.0,2.0,14.0,28.0,22.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,22.0,11,10.0,8.0,4.0,5.0,12.0,41.7,7.0,7.0,2.0,5.0,14,36,11.0,0.0,43,568.0,33.0,131.0,296.0,144.0,26.0,566.0,18.0,10.0,55.6,8.0,44.4,254.0,1553.0,836.0,23.0,12.0,8.0,22.0,17.0,332.0,36.0,1,0,0,10,15,2,15,14,11,2,0,0,62.0,13.0,17.0,43.3,1
