Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,0,Brighton,2,19,5,26.3,0.11,0.4,17.7,2.0,0,0,1.2,1.2,0.07,0.8,0.8,0,0,0,,1,0.0,0.0,0,0,0,0,11.0,27.0,40.7,33.0,3.0,60.6,43.6,8.0,87.5,66.0,12.0,2.0,16.7,3.0,14.9,348.0,476.0,73.1,6348.0,2583.0,168.0,197.0,85.3,118.0,150.0,78.7,50.0,103.0,48.5,2,0.9,0.7,13.0,21.0,11.0,3.0,44.0,476.0,426.0,50.0,17.0,1.0,3.0,20,16.0,8.0,3.0,2.0,0.0,348.0,0.0,9.0,29.0,14.0,5.0,0.0,5.0,4.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,18.0,11,5.0,12.0,1.0,2.0,8.0,25.0,6.0,6.0,1.0,5.0,12,30,13.0,0.0,53,566.0,40.0,151.0,266.0,155.0,26.0,566.0,12.0,6.0,50.0,6.0,50.0,313.0,1423.0,727.0,9.0,9.0,4.0,10.0,10.0,346.0,43.0,2,0,0,10,15,0,20,12,11,0,0,0,56.0,15.0,24.0,38.5,1
2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Away,W,3,1,Burnley,3,9,6,66.7,0.33,0.5,18.4,0.0,0,0,1.5,1.5,0.17,1.5,1.5,3,1,2,66.7,0,1.1,0.1,0,0,0,0,9.0,30.0,30.0,22.0,2.0,86.4,52.0,11.0,100.0,67.0,24.0,5.0,20.8,0.0,7.3,255.0,383.0,66.6,4156.0,1966.0,140.0,164.0,85.4,76.0,111.0,68.5,24.0,75.0,32.0,2,0.7,0.8,7.0,15.0,9.0,2.0,26.0,383.0,330.0,49.0,9.0,1.0,2.0,7,25.0,2.0,0.0,0.0,0.0,255.0,4.0,2.0,14.0,11.0,1.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,18.0,10,11.0,4.0,3.0,5.0,9.0,55.6,4.0,9.0,1.0,8.0,13,31,32.0,0.0,42,501.0,64.0,160.0,218.0,129.0,17.0,501.0,11.0,4.0,36.4,7.0,63.6,240.0,1084.0,542.0,13.0,13.0,3.0,14.0,8.0,252.0,26.0,2,0,0,19,8,4,7,13,10,0,0,0,59.0,26.0,30.0,46.4,1
2018-08-26,13:30 (05:30),Premier League,Matchweek 3,Sun,Home,W,2,1,Crystal Palace,2,13,5,38.5,0.15,0.4,18.1,0.0,0,0,1.2,1.2,0.09,0.8,0.8,3,1,2,66.7,0,1.0,0.0,0,0,0,0,8.0,26.0,30.8,17.0,0.0,76.5,47.9,13.0,100.0,67.5,8.0,1.0,12.5,2.0,20.5,245.0,369.0,66.4,4737.0,1935.0,95.0,115.0,82.6,95.0,136.0,69.9,39.0,82.0,47.6,2,0.5,0.5,12.0,24.0,9.0,3.0,39.0,369.0,314.0,54.0,14.0,1.0,6.0,18,19.0,6.0,0.0,5.0,0.0,245.0,1.0,12.0,24.0,20.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,26.0,16,15.0,7.0,4.0,9.0,12.0,75.0,3.0,6.0,1.0,5.0,19,45,16.0,0.0,43,491.0,44.0,150.0,206.0,135.0,22.0,491.0,17.0,8.0,47.1,9.0,52.9,223.0,1212.0,654.0,20.0,12.0,6.0,21.0,10.0,243.0,39.0,4,0,0,14,11,1,18,19,16,0,0,0,59.0,24.0,23.0,51.1,1
2018-09-02,16:00 (08:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Tottenham,2,7,3,42.9,0.29,0.67,17.4,1.0,0,0,0.4,0.4,0.06,1.6,1.6,2,1,2,50.0,0,0.1,0.1,0,0,0,0,6.0,29.0,20.7,21.0,0.0,95.2,58.1,9.0,100.0,68.2,23.0,3.0,13.0,5.0,17.0,199.0,312.0,63.8,3780.0,1935.0,85.0,106.0,80.2,61.0,91.0,67.0,36.0,85.0,42.4,2,0.4,0.6,6.0,20.0,7.0,2.0,31.0,312.0,277.0,33.0,9.0,0.0,3.0,11,10.0,3.0,0.0,1.0,0.0,199.0,2.0,5.0,14.0,7.0,3.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,15.0,13,8.0,5.0,2.0,8.0,18.0,44.4,10.0,16.0,2.0,14.0,21,36,56.0,1.0,34,473.0,79.0,203.0,172.0,103.0,20.0,473.0,16.0,8.0,50.0,8.0,50.0,205.0,1150.0,492.0,11.0,5.0,4.0,25.0,15.0,197.0,30.0,2,0,0,9,8,2,11,21,13,0,0,1,65.0,26.0,15.0,63.4,1
2018-09-15,17:30 (09:30),Premier League,Matchweek 5,Sat,Home,L,1,2,Manchester Utd,1,14,5,35.7,0.07,0.2,19.2,1.0,0,0,1.3,1.3,0.09,-0.3,-0.3,6,2,4,66.7,0,2.3,0.3,0,0,0,0,4.0,19.0,21.1,20.0,0.0,85.0,54.7,2.0,100.0,63.5,15.0,0.0,0.0,3.0,20.5,307.0,426.0,72.1,4991.0,1870.0,176.0,192.0,91.7,88.0,119.0,73.9,32.0,83.0,38.6,1,1.2,0.9,12.0,29.0,7.0,1.0,41.0,426.0,385.0,39.0,12.0,1.0,4.0,21,16.0,6.0,4.0,2.0,0.0,307.0,2.0,9.0,25.0,19.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,18,13.0,10.0,2.0,9.0,13.0,69.2,4.0,8.0,2.0,6.0,9,34,30.0,0.0,43,547.0,46.0,149.0,248.0,160.0,21.0,547.0,12.0,7.0,58.3,5.0,41.7,282.0,1593.0,925.0,23.0,15.0,6.0,10.0,6.0,307.0,41.0,2,0,0,9,10,2,21,9,18,0,0,0,64.0,18.0,21.0,46.2,1
2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Away,D,1,1,Fulham,1,11,6,54.5,0.09,0.17,16.2,0.0,0,0,1.4,1.4,0.13,-0.4,-0.4,3,1,2,66.7,0,1.1,0.1,0,0,0,0,12.0,41.0,29.3,31.0,0.0,96.8,62.2,12.0,91.7,66.1,21.0,2.0,9.5,0.0,5.7,231.0,383.0,60.3,4564.0,2227.0,102.0,129.0,79.1,83.0,130.0,63.8,40.0,99.0,40.4,1,0.7,0.7,6.0,27.0,4.0,0.0,34.0,383.0,324.0,53.0,15.0,0.0,2.0,26,16.0,8.0,3.0,2.0,0.0,231.0,6.0,7.0,12.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,5,3.0,7.0,1.0,3.0,7.0,42.9,4.0,15.0,6.0,9.0,18,29,26.0,0.0,40,504.0,67.0,147.0,221.0,141.0,21.0,504.0,9.0,4.0,44.4,5.0,55.6,219.0,1013.0,542.0,13.0,6.0,8.0,17.0,9.0,229.0,33.0,1,0,0,9,11,6,26,18,5,0,0,0,63.0,16.0,28.0,36.4,1
2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Arsenal,0,14,5,35.7,0.0,0.0,17.6,1.0,0,0,2.8,2.8,0.21,-2.8,-2.8,2,2,1,0.0,0,0.8,-0.2,0,0,0,0,10.0,25.0,40.0,20.0,2.0,80.0,54.8,9.0,100.0,72.3,16.0,1.0,6.3,2.0,18.8,228.0,346.0,65.9,4712.0,2034.0,89.0,111.0,80.2,85.0,118.0,72.0,42.0,87.0,48.3,0,2.3,1.0,10.0,22.0,7.0,3.0,31.0,346.0,298.0,45.0,11.0,3.0,9.0,27,16.0,6.0,4.0,1.0,0.0,228.0,3.0,14.0,24.0,14.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10,13.0,6.0,1.0,8.0,15.0,53.3,7.0,7.0,1.0,6.0,15,35,29.0,0.0,37,463.0,52.0,147.0,203.0,121.0,26.0,463.0,12.0,8.0,66.7,4.0,33.3,218.0,1142.0,664.0,13.0,11.0,3.0,15.0,6.0,223.0,30.0,2,0,0,17,10,3,27,15,10,0,0,1,52.0,21.0,26.0,44.7,1
2018-10-06,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,0,4,Bournemouth,0,14,2,14.3,0.0,0.0,16.7,1.0,0,0,1.0,1.0,0.08,-1.0,-1.0,7,4,3,57.1,0,4.0,0.0,1,1,0,0,16.0,30.0,53.3,25.0,1.0,96.0,51.1,6.0,100.0,65.2,11.0,0.0,0.0,2.0,21.7,311.0,423.0,73.5,6163.0,2426.0,122.0,147.0,83.0,129.0,153.0,84.3,48.0,96.0,50.0,0,0.8,0.8,9.0,31.0,4.0,0.0,35.0,423.0,369.0,53.0,9.0,0.0,1.0,24,23.0,10.0,7.0,3.0,0.0,311.0,1.0,10.0,23.0,15.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11,9.0,6.0,4.0,5.0,8.0,62.5,3.0,7.0,0.0,7.0,8,27,12.0,0.0,48,520.0,41.0,129.0,248.0,148.0,23.0,520.0,9.0,3.0,33.3,6.0,66.7,280.0,1209.0,498.0,9.0,5.0,4.0,8.0,3.0,304.0,32.0,5,1,1,11,9,1,24,8,11,0,1,0,44.0,15.0,16.0,48.4,1
2018-10-20,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,W,2,0,Wolves,2,9,3,33.3,0.22,0.67,19.7,1.0,0,0,1.1,1.1,0.13,0.9,0.9,1,0,1,100.0,1,0.1,0.1,0,0,0,0,8.0,28.0,28.6,26.0,1.0,73.1,46.6,9.0,100.0,66.1,19.0,1.0,5.3,0.0,7.0,482.0,576.0,83.7,7509.0,2492.0,251.0,274.0,91.6,174.0,197.0,88.3,32.0,64.0,50.0,2,0.9,0.3,7.0,25.0,8.0,0.0,37.0,576.0,519.0,56.0,24.0,0.0,1.0,4,20.0,2.0,0.0,0.0,0.0,482.0,1.0,8.0,17.0,16.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,12,10.0,6.0,1.0,6.0,11.0,54.5,5.0,13.0,3.0,10.0,9,26,32.0,0.0,55,695.0,57.0,172.0,376.0,155.0,17.0,695.0,17.0,9.0,52.9,8.0,47.1,430.0,1700.0,700.0,13.0,17.0,5.0,19.0,14.0,482.0,37.0,1,0,0,13,22,1,4,9,12,0,0,0,41.0,21.0,21.0,50.0,1
2018-10-27,15:00 (07:00),Premier League,Matchweek 10,Sat,Home,W,3,0,Huddersfield,3,12,6,50.0,0.25,0.5,15.8,0.0,0,0,2.0,2.0,0.17,1.0,1.0,7,0,7,100.0,1,1.1,1.1,0,0,0,0,13.0,25.0,52.0,21.0,2.0,85.7,48.0,7.0,100.0,66.7,10.0,0.0,0.0,8.0,26.4,392.0,510.0,76.9,6636.0,2764.0,185.0,223.0,83.0,146.0,175.0,83.4,37.0,66.0,56.1,3,2.0,1.1,12.0,27.0,5.0,0.0,30.0,510.0,450.0,57.0,15.0,1.0,6.0,7,31.0,3.0,1.0,1.0,0.0,392.0,3.0,10.0,22.0,15.0,0.0,5.0,1.0,0.0,1.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,19.0,11,10.0,6.0,3.0,5.0,15.0,33.3,10.0,11.0,2.0,9.0,9,28,24.0,0.0,48,639.0,44.0,189.0,289.0,165.0,19.0,639.0,23.0,10.0,43.5,13.0,56.5,369.0,1598.0,752.0,18.0,13.0,10.0,18.0,13.0,391.0,30.0,1,0,0,9,12,3,7,9,11,0,0,0,53.0,11.0,16.0,40.7,1
