Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-12,13:30 (05:30),Premier League,Matchweek 1,Sun,Away,L,0,4,Liverpool,0,5,2,40.0,0.0,0.0,16.1,0.0,0,0,0.7,0.7,0.13,-0.7,-0.7,8,4,4,50.0,0,4.4,0.4,0,0,0,0,9.0,22.0,40.9,21.0,7.0,52.4,41.2,11.0,100.0,66.6,15.0,2.0,13.3,0.0,10.2,318.0,401.0,79.3,5353.0,2236.0,169.0,183.0,92.3,105.0,128.0,82.0,33.0,64.0,51.6,0,0.7,0.8,4.0,16.0,3.0,0.0,14.0,401.0,341.0,57.0,18.0,2.0,5.0,12,19.0,4.0,1.0,3.0,0.0,318.0,3.0,10.0,9.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14,17.0,5.0,1.0,8.0,15.0,53.3,7.0,15.0,3.0,12.0,11,34,20.0,0.0,36,509.0,70.0,194.0,257.0,61.0,10.0,509.0,15.0,7.0,46.7,8.0,53.3,242.0,1477.0,772.0,18.0,8.0,2.0,9.0,11.0,317.0,14.0,2,0,0,9,14,3,12,11,14,0,0,0,42.0,10.0,5.0,66.7,1
2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,L,1,2,Bournemouth,1,10,4,40.0,0.0,0.0,23.6,0.0,1,1,1.2,0.4,0.04,-0.2,-0.4,5,2,3,60.0,0,1.6,-0.4,0,0,0,0,4.0,15.0,26.7,18.0,7.0,38.9,37.6,8.0,100.0,67.1,10.0,0.0,0.0,0.0,6.3,428.0,544.0,78.7,7938.0,2623.0,170.0,196.0,86.7,185.0,213.0,86.9,58.0,97.0,59.8,0,0.4,0.7,10.0,40.0,8.0,1.0,49.0,544.0,498.0,46.0,9.0,2.0,4.0,23,20.0,6.0,2.0,3.0,0.0,428.0,0.0,11.0,22.0,21.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,6,12.0,6.0,3.0,10.0,22.0,45.5,12.0,9.0,4.0,5.0,9,30,17.0,0.0,61,637.0,53.0,160.0,306.0,175.0,19.0,636.0,16.0,11.0,68.8,5.0,31.3,343.0,2224.0,1131.0,23.0,16.0,7.0,8.0,6.0,427.0,49.0,6,0,0,14,10,0,23,9,6,1,0,0,48.0,25.0,17.0,59.5,1
2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,1,3,Arsenal,1,13,5,38.5,0.08,0.2,18.1,0.0,0,0,1.1,1.1,0.08,-0.1,-0.1,10,3,8,70.0,0,2.6,0.6,0,0,0,0,10.0,24.0,41.7,22.0,3.0,77.3,48.5,7.0,100.0,62.9,15.0,0.0,0.0,0.0,5.0,281.0,384.0,73.2,5017.0,2031.0,129.0,151.0,85.4,96.0,125.0,76.8,36.0,63.0,57.1,1,1.0,1.2,11.0,19.0,12.0,4.0,28.0,384.0,327.0,54.0,19.0,3.0,8.0,15,22.0,2.0,1.0,0.0,0.0,281.0,3.0,11.0,25.0,23.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,10,10.0,3.0,1.0,6.0,15.0,40.0,9.0,12.0,5.0,7.0,17,31,29.0,1.0,39,499.0,71.0,162.0,213.0,133.0,26.0,499.0,24.0,17.0,70.8,7.0,29.2,230.0,1577.0,924.0,21.0,13.0,6.0,11.0,8.0,280.0,28.0,3,0,0,13,16,3,15,17,10,0,0,1,49.0,14.0,14.0,50.0,1
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Wolves,0,13,3,23.1,0.0,0.0,16.5,1.0,0,0,1.1,1.1,0.08,-1.1,-1.1,6,1,5,83.3,0,1.0,0.0,0,0,0,0,3.0,12.0,25.0,16.0,7.0,25.0,35.4,9.0,88.9,57.0,14.0,1.0,7.1,0.0,12.7,389.0,494.0,78.7,6702.0,2502.0,178.0,205.0,86.8,153.0,183.0,83.6,42.0,71.0,59.2,0,0.8,0.8,9.0,21.0,7.0,2.0,53.0,494.0,444.0,49.0,10.0,1.0,2.0,18,24.0,4.0,1.0,2.0,0.0,389.0,1.0,15.0,21.0,15.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15,14.0,7.0,1.0,7.0,20.0,35.0,13.0,12.0,2.0,10.0,9,31,19.0,1.0,48,601.0,50.0,157.0,318.0,135.0,23.0,601.0,16.0,9.0,56.3,7.0,43.8,311.0,1912.0,1116.0,25.0,19.0,4.0,11.0,18.0,389.0,53.0,2,0,0,10,11,1,18,9,15,0,0,0,58.0,14.0,24.0,36.8,1
2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Away,W,3,1,Everton,3,9,4,44.4,0.33,0.75,16.6,0.0,0,0,1.2,1.2,0.14,1.8,1.8,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,10.0,27.0,37.0,19.0,2.0,89.5,55.3,11.0,90.9,64.8,19.0,1.0,5.3,0.0,6.7,302.0,408.0,74.0,5213.0,2282.0,157.0,178.0,88.2,87.0,118.0,73.7,41.0,81.0,50.6,3,1.2,0.9,8.0,26.0,6.0,1.0,26.0,408.0,355.0,53.0,18.0,5.0,3.0,5,21.0,2.0,1.0,0.0,0.0,302.0,0.0,8.0,17.0,13.0,0.0,1.0,1.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,19.0,14,11.0,6.0,2.0,8.0,21.0,38.1,13.0,15.0,6.0,9.0,15,34,27.0,1.0,44,543.0,64.0,171.0,253.0,124.0,19.0,543.0,20.0,10.0,50.0,10.0,50.0,257.0,1498.0,716.0,19.0,13.0,6.0,15.0,12.0,299.0,26.0,5,0,0,12,15,0,5,15,14,0,0,0,66.0,16.0,14.0,53.3,1
2018-09-23,13:30 (05:30),Premier League,Matchweek 6,Sun,Home,D,0,0,Chelsea,0,6,1,16.7,0.0,0.0,18.3,0.0,0,0,1.0,1.0,0.17,-1.0,-1.0,6,0,6,100.0,1,1.0,1.0,0,0,0,0,7.0,23.0,30.4,26.0,2.0,65.4,47.5,6.0,100.0,69.0,22.0,2.0,9.1,0.0,8.0,236.0,330.0,71.5,4283.0,1754.0,118.0,135.0,87.4,84.0,112.0,75.0,30.0,68.0,44.1,0,1.0,0.5,5.0,17.0,5.0,2.0,21.0,330.0,290.0,38.0,12.0,1.0,5.0,11,18.0,1.0,1.0,0.0,0.0,236.0,2.0,8.0,12.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8,15.0,6.0,1.0,11.0,18.0,61.1,7.0,21.0,5.0,16.0,15,37,47.0,2.0,29,471.0,81.0,213.0,187.0,77.0,8.0,471.0,10.0,7.0,70.0,3.0,30.0,276.0,1517.0,825.0,15.0,10.0,2.0,20.0,5.0,235.0,21.0,2,0,0,11,7,2,11,15,8,0,0,0,54.0,10.0,12.0,45.5,1
2018-09-29,12:30 (04:30),Premier League,Matchweek 7,Sat,Home,W,3,1,Manchester Utd,2,8,3,37.5,0.25,0.67,18.0,0.0,0,0,1.4,1.4,0.17,0.6,0.6,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,3.0,26.0,11.5,28.0,3.0,71.4,48.9,6.0,100.0,64.2,27.0,1.0,3.7,0.0,5.0,390.0,486.0,80.2,6917.0,2277.0,173.0,188.0,92.0,150.0,170.0,88.2,45.0,89.0,50.6,2,1.4,0.9,8.0,30.0,10.0,2.0,44.0,486.0,447.0,37.0,16.0,2.0,7.0,17,9.0,4.0,2.0,1.0,0.0,390.0,2.0,10.0,15.0,13.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,14,19.0,3.0,3.0,14.0,21.0,66.7,7.0,10.0,4.0,6.0,9,34,30.0,0.0,48,601.0,67.0,177.0,287.0,144.0,20.0,601.0,7.0,4.0,57.1,3.0,42.9,306.0,1887.0,882.0,15.0,14.0,2.0,12.0,6.0,389.0,44.0,0,0,0,12,11,2,17,9,14,0,0,0,55.0,11.0,19.0,36.7,1
2018-10-05,20:00 (12:00),Premier League,Matchweek 8,Fri,Away,L,0,1,Brighton,0,17,4,23.5,0.0,0.0,16.8,2.0,0,0,1.4,1.4,0.09,-1.4,-1.4,4,1,3,75.0,0,1.3,0.3,0,0,0,0,5.0,17.0,29.4,27.0,5.0,33.3,34.1,8.0,100.0,68.6,8.0,0.0,0.0,2.0,35.0,462.0,564.0,81.9,7488.0,2725.0,252.0,284.0,88.7,154.0,177.0,87.0,40.0,76.0,52.6,0,1.2,1.2,12.0,40.0,11.0,2.0,47.0,564.0,503.0,60.0,15.0,1.0,4.0,18,26.0,9.0,2.0,7.0,0.0,462.0,1.0,9.0,30.0,21.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9,3.0,7.0,2.0,7.0,18.0,38.9,11.0,7.0,1.0,6.0,8,20,18.0,0.0,64,657.0,43.0,169.0,302.0,189.0,36.0,657.0,8.0,5.0,62.5,3.0,37.5,345.0,2138.0,1189.0,21.0,13.0,8.0,16.0,14.0,457.0,47.0,2,0,0,8,12,1,18,8,9,0,0,0,46.0,16.0,18.0,47.1,1
2018-10-20,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,L,0,1,Tottenham,0,13,4,30.8,0.0,0.0,15.9,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8,2,1,1,50.0,0,1.2,0.2,0,0,0,0,8.0,15.0,53.3,19.0,5.0,42.1,38.5,7.0,100.0,65.0,11.0,1.0,9.1,0.0,5.0,338.0,432.0,78.2,6385.0,2403.0,143.0,165.0,86.7,123.0,151.0,81.5,53.0,75.0,70.7,0,0.7,0.7,12.0,32.0,8.0,4.0,37.0,432.0,381.0,48.0,12.0,1.0,3.0,30,17.0,10.0,7.0,3.0,0.0,338.0,3.0,7.0,24.0,13.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,15,9.0,19.0,3.0,12.0,26.0,46.2,14.0,17.0,4.0,13.0,14,45,16.0,0.0,44,554.0,45.0,113.0,288.0,158.0,28.0,554.0,12.0,7.0,58.3,5.0,41.7,287.0,1422.0,649.0,10.0,11.0,3.0,15.0,8.0,335.0,37.0,3,0,0,8,10,3,30,14,15,0,0,0,47.0,22.0,3.0,88.0,1
2018-10-27,17:30 (09:30),Premier League,Matchweek 10,Sat,Away,D,1,1,Leicester City,1,11,3,27.3,0.09,0.33,15.6,0.0,0,0,1.4,1.4,0.14,-0.4,-0.4,7,1,6,85.7,0,0.8,-0.2,0,0,0,0,8.0,39.0,20.5,37.0,2.0,70.3,47.6,13.0,100.0,60.5,36.0,1.0,2.8,0.0,10.5,243.0,354.0,68.6,4293.0,1697.0,109.0,131.0,83.2,93.0,119.0,78.2,30.0,80.0,37.5,0,0.5,0.6,5.0,14.0,6.0,0.0,26.0,354.0,296.0,57.0,24.0,0.0,0.0,6,18.0,0.0,0.0,0.0,0.0,243.0,1.0,6.0,19.0,11.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,8,10.0,9.0,2.0,7.0,21.0,33.3,14.0,16.0,3.0,13.0,15,36,53.0,0.0,36,501.0,109.0,197.0,231.0,78.0,13.0,501.0,17.0,10.0,58.8,7.0,41.2,223.0,1304.0,729.0,14.0,11.0,0.0,15.0,9.0,241.0,25.0,1,1,0,5,16,1,6,15,8,0,0,0,48.0,9.0,23.0,28.1,1
