Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Watford,2,5,3,60.0,0.4,0.67,17.7,0.0,0,0,0.8,0.8,0.17,1.2,1.2,3,0,3,100.0,1,0.1,0.1,0,0,0,0,5.0,15.0,33.3,31.0,8.0,32.3,31.6,8.0,62.5,45.4,13.0,0.0,0.0,0.0,6.7,370.0,484.0,76.4,7051.0,2522.0,155.0,181.0,85.6,160.0,189.0,84.7,51.0,87.0,58.6,2,0.8,0.6,4.0,21.0,7.0,1.0,30.0,484.0,436.0,45.0,15.0,1.0,8.0,12,19.0,2.0,1.0,1.0,0.0,370.0,3.0,14.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,24.0,14,15.0,7.0,2.0,6.0,15.0,40.0,9.0,11.0,4.0,7.0,11,35,25.0,1.0,51,597.0,68.0,250.0,248.0,104.0,11.0,597.0,12.0,6.0,50.0,6.0,50.0,289.0,1481.0,745.0,15.0,10.0,2.0,19.0,6.0,364.0,30.0,1,0,0,11,14,3,12,11,14,0.0,0.0,0,56.0,18.0,14.0,56.3,1
2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,1,1,West Ham,1,16,4,25.0,0.06,0.25,16.9,0.0,0,0,2.0,2.0,0.13,-1.0,-1.0,3,1,2,66.7,0,1.0,0.0,0,0,0,0,4.0,5.0,80.0,25.0,6.0,16.0,28.1,7.0,14.3,21.9,12.0,0.0,0.0,0.0,,439.0,560.0,78.4,8339.0,2979.0,188.0,215.0,87.4,191.0,232.0,82.3,58.0,92.0,63.0,0,1.9,1.4,13.0,32.0,11.0,7.0,37.0,560.0,498.0,60.0,13.0,0.0,5.0,25,30.0,8.0,5.0,2.0,0.0,439.0,2.0,8.0,27.0,18.0,4.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,9,5.0,13.0,2.0,4.0,23.0,17.4,19.0,11.0,1.0,10.0,12,32,17.0,0.0,57,683.0,58.0,192.0,325.0,172.0,25.0,683.0,16.0,6.0,37.5,10.0,62.5,334.0,2171.0,1048.0,21.0,12.0,4.0,17.0,12.0,431.0,37.0,0,0,0,11,10,2,25,12,9,0.0,0.0,0,60.0,31.0,14.0,68.9,1
2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Southampton,0,12,3,25.0,0.0,0.0,15.4,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,5.0,13.0,38.5,30.0,7.0,33.3,29.4,5.0,60.0,44.6,5.0,0.0,0.0,0.0,,329.0,450.0,73.1,6386.0,2530.0,126.0,148.0,85.1,165.0,199.0,82.9,34.0,82.0,41.5,0,0.8,1.0,12.0,22.0,7.0,0.0,40.0,450.0,393.0,56.0,10.0,1.0,8.0,18,30.0,8.0,4.0,3.0,0.0,329.0,1.0,14.0,21.0,13.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10,9.0,5.0,2.0,5.0,16.0,31.3,11.0,7.0,3.0,4.0,15,31,10.0,0.0,51,560.0,58.0,195.0,226.0,141.0,30.0,560.0,20.0,11.0,55.0,9.0,45.0,274.0,1567.0,838.0,22.0,16.0,9.0,17.0,10.0,327.0,39.0,1,1,0,9,10,1,18,15,10,0.0,0.0,0,62.0,24.0,14.0,63.2,1
2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester City,0,6,1,16.7,0.0,0.0,14.7,0.0,0,0,0.9,0.9,0.15,-0.9,-0.9,6,4,2,33.3,0,2.2,-1.8,0,0,0,0,3.0,6.0,50.0,33.0,6.0,18.2,24.3,12.0,0.0,14.4,11.0,0.0,0.0,1.0,11.3,472.0,557.0,84.7,8547.0,2426.0,190.0,209.0,90.9,234.0,253.0,92.5,43.0,75.0,57.3,0,0.8,0.7,4.0,22.0,6.0,1.0,33.0,557.0,511.0,43.0,10.0,1.0,7.0,10,15.0,1.0,1.0,0.0,0.0,472.0,3.0,6.0,11.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8,8.0,7.0,3.0,6.0,12.0,50.0,6.0,4.0,0.0,4.0,8,26,15.0,0.0,47,643.0,110.0,303.0,251.0,96.0,17.0,643.0,12.0,8.0,66.7,4.0,33.3,364.0,1869.0,1043.0,10.0,6.0,4.0,13.0,11.0,471.0,33.0,1,0,0,6,9,3,10,8,8,0.0,0.0,0,46.0,6.0,6.0,50.0,1
2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,1,14,5,35.7,0.07,0.2,16.1,0.0,0,0,1.4,1.4,0.1,-0.4,-0.4,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,5.0,16.0,31.3,25.0,1.0,52.0,36.4,8.0,37.5,33.9,15.0,1.0,6.7,0.0,14.0,402.0,543.0,74.0,7096.0,2599.0,187.0,224.0,83.5,171.0,204.0,83.8,38.0,85.0,44.7,1,0.9,1.2,11.0,29.0,14.0,1.0,71.0,543.0,486.0,55.0,9.0,2.0,7.0,16,33.0,3.0,1.0,1.0,0.0,402.0,2.0,15.0,25.0,21.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,13,8.0,12.0,1.0,7.0,12.0,58.3,5.0,6.0,0.0,6.0,12,33,22.0,0.0,62,663.0,49.0,179.0,301.0,188.0,31.0,663.0,13.0,6.0,46.2,7.0,53.8,307.0,1758.0,870.0,18.0,14.0,7.0,20.0,10.0,400.0,69.0,0,0,0,13,7,2,16,12,13,0.0,0.0,0,61.0,26.0,24.0,52.0,1
2019-09-21,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,0,16,2,12.5,0.0,0.0,18.3,0.0,0,0,1.4,1.4,0.09,-1.4,-1.4,4,0,4,100.0,1,1.4,1.4,0,0,0,0,6.0,8.0,75.0,45.0,14.0,15.6,23.3,8.0,12.5,21.1,15.0,2.0,13.3,1.0,13.0,670.0,773.0,86.7,11720.0,3742.0,310.0,338.0,91.7,293.0,318.0,92.1,56.0,83.0,67.5,0,1.3,1.1,15.0,49.0,7.0,1.0,61.0,773.0,725.0,45.0,12.0,1.0,4.0,17,21.0,3.0,2.0,1.0,0.0,670.0,3.0,14.0,30.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7,9.0,4.0,1.0,6.0,17.0,35.3,11.0,12.0,2.0,10.0,11,25,16.0,0.0,71,881.0,75.0,216.0,481.0,189.0,27.0,881.0,12.0,6.0,50.0,6.0,50.0,509.0,2816.0,1423.0,19.0,14.0,9.0,16.0,12.0,668.0,60.0,1,0,0,8,12,3,17,11,7,0.0,0.0,0,48.0,18.0,19.0,48.6,1
2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Chelsea,0,8,1,12.5,0.0,0.0,17.4,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,10,2,8,90.0,0,3.6,1.6,1,1,0,0,3.0,10.0,30.0,43.0,10.0,23.3,25.1,5.0,0.0,12.4,10.0,1.0,10.0,0.0,10.0,443.0,543.0,81.6,8004.0,2459.0,192.0,216.0,88.9,200.0,226.0,88.5,48.0,83.0,57.8,0,0.6,0.4,7.0,20.0,3.0,1.0,39.0,543.0,509.0,32.0,6.0,2.0,10.0,13,16.0,2.0,1.0,1.0,0.0,443.0,2.0,6.0,14.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12,11.0,8.0,2.0,9.0,15.0,60.0,6.0,12.0,10.0,2.0,14,35,24.0,2.0,47,670.0,102.0,305.0,268.0,102.0,14.0,670.0,13.0,7.0,53.8,6.0,46.2,323.0,1895.0,943.0,17.0,9.0,3.0,19.0,12.0,435.0,38.0,3,0,0,13,5,2,13,14,12,0.0,1.0,0,55.0,9.0,10.0,47.4,1
2019-10-05,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,W,3,0,Tottenham,3,17,6,35.3,0.18,0.5,17.6,1.0,0,0,2.4,2.4,0.15,0.6,0.6,3,0,3,100.0,1,0.3,0.3,0,0,0,0,7.0,12.0,58.3,38.0,9.0,26.3,29.8,4.0,50.0,38.5,13.0,0.0,0.0,1.0,22.0,438.0,541.0,81.0,7661.0,2803.0,222.0,250.0,88.8,166.0,189.0,87.8,44.0,73.0,60.3,1,0.7,1.2,12.0,38.0,13.0,3.0,54.0,541.0,503.0,37.0,7.0,2.0,5.0,16,21.0,4.0,2.0,1.0,0.0,438.0,1.0,14.0,33.0,25.0,3.0,1.0,2.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,22.0,12,6.0,11.0,5.0,7.0,19.0,36.8,12.0,13.0,2.0,11.0,14,36,19.0,0.0,48,677.0,69.0,180.0,291.0,213.0,27.0,677.0,20.0,10.0,50.0,10.0,50.0,338.0,1919.0,1038.0,18.0,13.0,6.0,17.0,13.0,437.0,54.0,2,0,0,11,7,1,16,14,12,0.0,0.0,0,66.0,13.0,10.0,56.5,1
2019-10-19,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,L,1,2,Aston Villa,1,20,5,25.0,0.05,0.2,20.3,0.0,0,0,1.2,1.2,0.06,-0.2,-0.2,8,2,6,75.0,0,2.6,0.6,0,0,0,0,7.0,12.0,58.3,27.0,8.0,29.6,29.2,12.0,33.3,28.1,28.0,2.0,7.1,1.0,12.0,423.0,512.0,82.6,7494.0,2823.0,179.0,199.0,89.9,211.0,235.0,89.8,30.0,62.0,48.4,1,1.1,1.1,17.0,26.0,12.0,2.0,53.0,512.0,470.0,42.0,10.0,1.0,2.0,17,12.0,5.0,2.0,3.0,0.0,423.0,0.0,7.0,36.0,29.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,8,7.0,3.0,1.0,5.0,25.0,20.0,20.0,12.0,6.0,6.0,10,21,29.0,0.0,51,626.0,107.0,250.0,223.0,158.0,28.0,626.0,10.0,8.0,80.0,2.0,20.0,318.0,2079.0,1291.0,29.0,21.0,7.0,9.0,4.0,417.0,51.0,4,1,1,17,9,0,17,10,8,0.0,0.0,0,52.0,16.0,8.0,66.7,1
2019-10-26,15:00 (07:00),Premier League,Matchweek 10,Sat,Home,W,3,2,Everton,2,7,3,42.9,0.14,0.33,20.4,2.0,1,1,1.2,0.4,0.06,0.8,0.6,6,2,5,66.7,0,0.9,-0.1,0,0,0,0,2.0,4.0,50.0,45.0,12.0,8.9,23.4,7.0,0.0,11.3,10.0,0.0,0.0,1.0,21.0,466.0,578.0,80.6,8470.0,3084.0,186.0,222.0,83.8,238.0,261.0,91.2,37.0,69.0,53.6,0,0.2,0.3,5.0,29.0,10.0,2.0,48.0,578.0,532.0,43.0,11.0,1.0,3.0,8,22.0,0.0,0.0,0.0,0.0,466.0,3.0,5.0,15.0,12.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,18.0,10,5.0,12.0,1.0,11.0,17.0,64.7,6.0,11.0,2.0,9.0,17,35,9.0,0.0,55,677.0,77.0,258.0,304.0,121.0,16.0,676.0,15.0,10.0,66.7,5.0,33.3,352.0,2030.0,1093.0,17.0,11.0,6.0,17.0,12.0,465.0,48.0,2,0,0,12,12,3,8,17,10,1.0,0.0,1,57.0,8.0,11.0,42.1,1
