Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-11,14:00 (06:00),Premier League,Matchweek 1,Sun,Home,D,0,0,Wolves,0,16,1,6.3,0.0,0.0,23.9,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,2,0,2,100.0,1,0.2,0.2,0,0,0,0,1.0,3.0,33.3,17.0,2.0,17.6,27.8,7.0,0.0,26.3,5.0,0.0,0.0,1.0,27.0,593.0,720.0,82.4,10076.0,3123.0,258.0,294.0,87.8,279.0,310.0,90.0,40.0,75.0,53.3,0,0.6,0.7,10.0,36.0,8.0,1.0,59.0,720.0,662.0,58.0,14.0,1.0,3.0,29,24.0,12.0,6.0,4.0,1.0,593.0,0.0,15.0,29.0,23.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13,4.0,12.0,4.0,8.0,20.0,40.0,12.0,10.0,1.0,9.0,7,27,13.0,0.0,69,834.0,41.0,182.0,446.0,213.0,27.0,834.0,28.0,16.0,57.1,12.0,42.9,543.0,2335.0,1307.0,26.0,21.0,7.0,13.0,7.0,589.0,57.0,0,0,0,3,11,0,29,7,13,0.0,0.0,0,63.0,24.0,21.0,53.3,1
2019-08-18,16:30 (08:30),Premier League,Matchweek 2,Sun,Away,D,1,1,Chelsea,1,12,3,25.0,0.08,0.33,20.8,0.0,0,0,0.8,0.8,0.06,0.2,0.2,5,1,4,80.0,0,0.3,-0.7,0,0,0,0,7.0,14.0,50.0,30.0,5.0,20.0,30.7,9.0,88.9,51.8,18.0,0.0,0.0,0.0,5.0,377.0,500.0,75.4,7014.0,2674.0,136.0,163.0,83.4,182.0,224.0,81.3,45.0,79.0,57.0,1,0.4,0.4,7.0,21.0,4.0,0.0,38.0,500.0,448.0,49.0,12.0,5.0,4.0,16,21.0,5.0,1.0,2.0,0.0,377.0,3.0,15.0,17.0,14.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,16,11.0,17.0,1.0,9.0,19.0,47.4,10.0,18.0,2.0,16.0,15,44,21.0,1.0,50,640.0,68.0,209.0,302.0,136.0,19.0,640.0,23.0,13.0,56.5,10.0,43.5,344.0,1506.0,782.0,12.0,16.0,1.0,19.0,15.0,376.0,38.0,0,0,0,14,9,3,16,15,16,0.0,0.0,0,69.0,13.0,23.0,36.1,1
2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,2,10,2,20.0,0.2,1.0,19.1,2.0,0,0,0.8,0.8,0.08,1.2,1.2,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,3.0,11.0,27.3,29.0,5.0,20.7,34.3,12.0,41.7,38.2,28.0,1.0,3.6,0.0,5.0,398.0,509.0,78.2,7281.0,2480.0,158.0,185.0,85.4,178.0,211.0,84.4,49.0,85.0,57.6,2,0.6,0.9,8.0,18.0,11.0,4.0,24.0,509.0,443.0,61.0,10.0,2.0,5.0,14,33.0,4.0,2.0,2.0,0.0,398.0,5.0,4.0,19.0,14.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,7,8.0,4.0,1.0,3.0,14.0,21.4,11.0,13.0,2.0,11.0,11,24,41.0,0.0,51,634.0,85.0,266.0,236.0,133.0,18.0,634.0,15.0,9.0,60.0,6.0,40.0,364.0,1837.0,1024.0,17.0,15.0,3.0,14.0,10.0,397.0,24.0,0,0,0,6,11,5,14,11,7,0.0,0.0,0,40.0,21.0,25.0,45.7,1
2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,1,Bournemouth,3,15,6,40.0,0.2,0.5,20.5,0.0,0,0,2.0,2.0,0.14,1.0,1.0,2,1,1,50.0,0,1.0,0.0,0,0,0,0,2.0,13.0,15.4,27.0,3.0,29.6,34.5,6.0,83.3,57.5,14.0,0.0,0.0,1.0,25.0,462.0,588.0,78.6,7954.0,2687.0,211.0,244.0,86.5,184.0,215.0,85.6,46.0,85.0,54.1,3,1.9,1.5,14.0,26.0,7.0,1.0,42.0,588.0,534.0,52.0,12.0,2.0,4.0,14,28.0,4.0,0.0,1.0,0.0,462.0,2.0,11.0,27.0,23.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,13,10.0,10.0,2.0,6.0,21.0,28.6,15.0,19.0,4.0,15.0,14,36,28.0,1.0,55,722.0,58.0,231.0,337.0,161.0,28.0,722.0,16.0,8.0,50.0,8.0,50.0,424.0,1893.0,845.0,14.0,14.0,4.0,15.0,6.0,461.0,42.0,1,0,0,9,10,2,14,14,13,0.0,0.0,0,62.0,15.0,21.0,41.7,1
2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester Utd,0,9,3,33.3,0.0,0.0,24.7,1.0,0,0,0.6,0.6,0.07,-0.6,-0.6,5,1,4,100.0,0,1.5,0.5,1,1,0,0,8.0,14.0,57.1,23.0,2.0,43.5,34.3,7.0,57.1,46.1,7.0,0.0,0.0,1.0,30.0,398.0,525.0,75.8,6996.0,2542.0,203.0,232.0,87.5,138.0,174.0,79.3,48.0,89.0,53.9,0,0.4,0.3,4.0,25.0,4.0,0.0,33.0,525.0,466.0,57.0,13.0,2.0,6.0,24,26.0,9.0,3.0,3.0,0.0,398.0,2.0,7.0,15.0,10.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,17,11.0,16.0,3.0,16.0,29.0,55.2,13.0,12.0,0.0,12.0,10,40,12.0,0.0,58,641.0,48.0,200.0,287.0,158.0,26.0,641.0,23.0,12.0,52.2,11.0,47.8,389.0,1756.0,775.0,12.0,13.0,4.0,13.0,8.0,394.0,33.0,2,0,0,14,14,2,24,10,17,0.0,1.0,0,54.0,16.0,11.0,59.3,1
2019-09-21,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,W,2,1,Tottenham,2,16,7,43.8,0.13,0.29,18.0,0.0,0,0,1.3,1.3,0.08,0.7,0.7,4,1,3,75.0,0,1.2,0.2,0,0,0,0,8.0,16.0,50.0,27.0,9.0,44.4,38.4,9.0,44.4,39.0,17.0,2.0,11.8,0.0,10.5,308.0,426.0,72.3,5660.0,2372.0,149.0,176.0,84.7,99.0,137.0,72.3,47.0,84.0,56.0,1,0.7,1.0,11.0,29.0,6.0,0.0,35.0,426.0,373.0,50.0,16.0,3.0,6.0,19,15.0,8.0,4.0,1.0,1.0,308.0,3.0,7.0,26.0,19.0,0.0,5.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,14,14.0,9.0,0.0,9.0,16.0,56.3,7.0,13.0,1.0,12.0,12,35,24.0,0.0,44,549.0,70.0,195.0,221.0,138.0,24.0,549.0,17.0,11.0,64.7,6.0,35.3,320.0,1731.0,902.0,21.0,9.0,10.0,17.0,12.0,302.0,34.0,1,0,0,16,13,3,19,12,14,0.0,0.0,0,60.0,12.0,15.0,44.4,1
2019-09-29,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,4,13,5,38.5,0.31,0.8,15.4,0.0,0,0,1.6,1.6,0.13,2.4,2.4,0,0,0,,1,0.0,0.0,0,0,0,0,0.0,1.0,0.0,16.0,3.0,6.3,25.3,6.0,0.0,18.2,6.0,1.0,16.7,0.0,11.0,674.0,778.0,86.6,11822.0,3385.0,274.0,303.0,90.4,326.0,356.0,91.6,54.0,81.0,66.7,3,1.6,1.9,11.0,60.0,15.0,5.0,68.0,778.0,729.0,49.0,10.0,1.0,7.0,28,23.0,9.0,3.0,3.0,0.0,674.0,0.0,8.0,25.0,23.0,0.0,2.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,13,8.0,12.0,4.0,7.0,16.0,43.8,9.0,12.0,0.0,12.0,15,39,9.0,0.0,68,891.0,32.0,170.0,449.0,275.0,28.0,891.0,16.0,6.0,37.5,10.0,62.5,628.0,2579.0,1423.0,20.0,21.0,3.0,17.0,7.0,670.0,67.0,1,0,0,12,9,0,28,15,13,0.0,0.0,0,55.0,8.0,12.0,40.0,1
2019-10-05,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Liverpool,1,2,1,50.0,0.5,1.0,19.5,0.0,0,0,0.1,0.1,0.05,0.9,0.9,8,2,6,87.5,0,3.4,1.4,1,1,0,0,11.0,23.0,47.8,31.0,6.0,51.6,37.7,9.0,77.8,58.8,16.0,1.0,6.3,2.0,15.4,377.0,523.0,72.1,6460.0,2450.0,179.0,207.0,86.5,149.0,195.0,76.4,38.0,81.0,46.9,1,0.1,0.4,1.0,20.0,6.0,0.0,43.0,523.0,474.0,47.0,11.0,4.0,5.0,19,18.0,6.0,3.0,2.0,0.0,377.0,2.0,11.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,10,10.0,2.0,4.0,8.0,24.0,33.3,16.0,12.0,4.0,8.0,19,35,29.0,0.0,49,635.0,75.0,253.0,251.0,140.0,15.0,635.0,25.0,13.0,52.0,12.0,48.0,380.0,1635.0,907.0,17.0,13.0,6.0,11.0,7.0,377.0,43.0,4,0,0,17,8,2,19,19,10,0.0,1.0,0,68.0,17.0,11.0,60.7,1
2019-10-19,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,2,1,Burnley,2,19,3,15.8,0.11,0.67,19.0,1.0,0,0,1.0,1.0,0.05,1.0,1.0,4,1,3,75.0,0,1.7,0.7,0,0,0,0,8.0,12.0,66.7,27.0,8.0,25.9,32.8,6.0,83.3,47.5,13.0,1.0,7.7,1.0,15.6,505.0,613.0,82.4,8517.0,2630.0,222.0,248.0,89.5,216.0,245.0,88.2,46.0,77.0,59.7,2,0.8,0.8,15.0,28.0,9.0,5.0,29.0,613.0,557.0,54.0,12.0,1.0,0.0,22,25.0,9.0,3.0,3.0,0.0,505.0,2.0,12.0,36.0,28.0,4.0,2.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,22.0,13,8.0,10.0,4.0,9.0,14.0,64.3,5.0,11.0,6.0,5.0,11,33,23.0,0.0,63,736.0,60.0,248.0,289.0,200.0,26.0,736.0,16.0,7.0,43.8,9.0,56.3,421.0,2034.0,1123.0,18.0,14.0,6.0,9.0,6.0,501.0,29.0,0,0,0,4,10,2,22,11,13,0.0,0.0,0,33.0,22.0,24.0,47.8,1
2019-10-25,20:00 (12:00),Premier League,Matchweek 10,Fri,Away,W,9,0,Southampton,9,24,14,58.3,0.33,0.57,17.5,1.0,1,1,4.6,3.8,0.16,4.4,4.2,3,0,3,100.0,1,0.3,0.3,0,0,0,0,2.0,3.0,66.7,15.0,6.0,20.0,27.7,7.0,0.0,16.9,6.0,1.0,16.7,0.0,16.3,648.0,766.0,84.6,11017.0,3549.0,299.0,330.0,90.6,284.0,324.0,87.7,54.0,76.0,71.1,4,2.7,1.8,16.0,69.0,10.0,2.0,83.0,766.0,724.0,42.0,2.0,3.0,2.0,26,25.0,7.0,2.0,1.0,0.0,648.0,0.0,18.0,43.0,29.0,0.0,7.0,3.0,2.0,2.0,16.0,10.0,0.0,3.0,1.0,2.0,0.0,26.0,15,11.0,10.0,5.0,7.0,26.0,26.9,19.0,10.0,1.0,9.0,5,31,9.0,0.0,72,886.0,36.0,203.0,420.0,270.0,38.0,885.0,38.0,24.0,63.2,14.0,36.8,588.0,2694.0,1433.0,25.0,18.0,11.0,13.0,6.0,644.0,83.0,0,0,0,12,3,0,26,5,15,1.0,0.0,0,70.0,10.0,10.0,50.0,1
