Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-09,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,W,4,1,Norwich City,3,15,7,46.7,0.2,0.43,17.1,1.0,0,0,1.8,1.8,0.12,1.2,1.2,5,1,4,66.7,0.0,1.3,0.1,0,0,0,0,3.0,7.0,42.9,24.0,1.0,25.0,31.9,6.0,16.7,23.7,1.0,0.0,0.0,1.0,14.5,410.0,528.0,77.7,7145.0,2296.0,164.0,192.0,85.4,182.0,221.0,82.4,43.0,75.0,57.3,3,1.6,1.4,12.0,33.0,16.0,4.0,54.0,528.0,478.0,50.0,13.0,0.0,2.0,32,18.0,11.0,2.0,6.0,0.0,410.0,0.0,11.0,25.0,19.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,21.0,13,9.0,10.0,2.0,5.0,15.0,33.3,10.0,11.0,2.0,9.0,14,35,6.0,1.0,57,627.0,44.0,117.0,307.0,209.0,35.0,627.0,15.0,11.0,73.3,4.0,26.7,383.0,2189.0,1197.0,32.0,19.0,10.0,14.0,8.0,408.0,54.0,0,0,0,9,9,0,32,14,13,0.0,0.0,0,54.0,15.0,7.0,68.2,1.0
2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Southampton,2,15,6,40.0,0.13,0.33,18.6,1.0,0,0,1.3,1.3,0.09,0.7,0.7,3,1,2,66.7,0.0,0.3,-0.7,0,0,0,0,1.0,6.0,16.7,24.0,6.0,16.7,26.3,11.0,18.2,25.1,13.0,0.0,0.0,0.0,7.0,450.0,590.0,76.3,8357.0,2741.0,195.0,227.0,85.9,185.0,228.0,81.1,60.0,95.0,63.2,2,1.2,0.6,12.0,32.0,10.0,2.0,36.0,590.0,525.0,64.0,13.0,4.0,9.0,24,29.0,9.0,2.0,4.0,0.0,450.0,1.0,16.0,26.0,21.0,1.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,2,2.0,4.0,1.0,1.0,11.0,9.1,10.0,9.0,4.0,5.0,10,17,30.0,2.0,63,707.0,70.0,244.0,306.0,160.0,19.0,707.0,18.0,10.0,55.6,8.0,44.4,443.0,2211.0,1088.0,24.0,14.0,7.0,15.0,7.0,444.0,35.0,1,0,0,6,9,1,24,10,2,0.0,0.0,0,52.0,19.0,15.0,55.9,1.0
2019-08-24,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,3,1,Arsenal,3,24,4,16.7,0.08,0.5,18.8,0.0,1,1,2.5,1.7,0.07,0.5,0.3,3,1,2,66.7,0.0,0.6,-0.4,0,0,0,0,3.0,7.0,42.9,16.0,4.0,31.3,34.5,10.0,20.0,29.3,9.0,0.0,0.0,4.0,21.8,502.0,604.0,83.1,8579.0,2843.0,235.0,249.0,94.4,189.0,222.0,85.1,53.0,82.0,64.6,2,1.5,1.5,19.0,46.0,14.0,2.0,64.0,604.0,558.0,45.0,8.0,1.0,7.0,27,19.0,6.0,0.0,4.0,0.0,502.0,1.0,9.0,46.0,37.0,4.0,3.0,1.0,1.0,0.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,25.0,17,3.0,12.0,10.0,7.0,21.0,33.3,14.0,7.0,2.0,5.0,9,34,14.0,2.0,52,714.0,40.0,121.0,275.0,326.0,47.0,713.0,15.0,9.0,60.0,6.0,40.0,494.0,2597.0,1480.0,38.0,36.0,13.0,16.0,10.0,500.0,64.0,1,0,0,8,4,1,27,9,17,1.0,0.0,0,54.0,7.0,11.0,38.9,1.0
2019-08-31,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,W,3,0,Burnley,2,15,7,46.7,0.13,0.29,21.0,0.0,0,0,1.0,1.0,0.07,1.0,1.0,2,0,2,100.0,1.0,1.0,1.0,0,0,0,0,5.0,14.0,35.7,38.0,8.0,28.9,31.9,8.0,37.5,37.3,11.0,0.0,0.0,0.0,11.7,469.0,617.0,76.0,8209.0,2747.0,204.0,238.0,85.7,197.0,243.0,81.1,48.0,102.0,47.1,2,0.8,0.6,12.0,30.0,11.0,0.0,52.0,617.0,566.0,50.0,15.0,2.0,5.0,18,22.0,4.0,0.0,3.0,0.0,469.0,1.0,6.0,27.0,21.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,6,4.0,4.0,3.0,4.0,10.0,40.0,6.0,8.0,1.0,7.0,9,20,20.0,1.0,63,706.0,68.0,231.0,331.0,151.0,21.0,706.0,18.0,10.0,55.6,8.0,44.4,475.0,2206.0,1285.0,28.0,19.0,5.0,12.0,6.0,464.0,52.0,0,0,0,16,10,1,18,9,6,0.0,0.0,0,61.0,23.0,21.0,52.3,1.0
2019-09-14,12:30 (04:30),Premier League,Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,3,21,8,38.1,0.14,0.38,13.6,0.0,0,0,3.0,3.0,0.14,0.0,0.0,1,1,0,0.0,0.0,0.3,-0.7,0,0,0,0,2.0,3.0,66.7,20.0,4.0,15.0,22.9,4.0,0.0,14.3,5.0,0.0,0.0,0.0,13.0,791.0,900.0,87.9,13568.0,3730.0,351.0,386.0,90.9,360.0,392.0,91.8,59.0,77.0,76.6,2,2.1,2.0,19.0,66.0,18.0,3.0,79.0,900.0,857.0,41.0,12.0,2.0,10.0,34,13.0,10.0,0.0,7.0,0.0,791.0,2.0,13.0,38.0,28.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,13.0,11,1.0,9.0,3.0,8.0,17.0,47.1,9.0,8.0,3.0,5.0,8,21,8.0,0.0,74,994.0,38.0,137.0,548.0,315.0,45.0,994.0,18.0,10.0,55.6,8.0,44.4,786.0,3452.0,1969.0,22.0,34.0,8.0,20.0,12.0,786.0,76.0,0,0,0,5,4,2,34,8,11,0.0,0.0,0,65.0,25.0,13.0,65.8,1.0
2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Away,L,0,2,it Napoli,0,13,4,30.8,0.0,0.0,18.0,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,5,2,3,80.0,0.0,2.5,0.5,1,1,0,0,3.0,9.0,33.3,26.0,7.0,30.8,33.9,1.0,100.0,47.0,14.0,1.0,7.1,0.0,6.5,514.0,613.0,83.8,9153.0,2883.0,240.0,262.0,91.6,207.0,238.0,87.0,56.0,87.0,64.4,0,0.7,0.8,11.0,48.0,12.0,3.0,49.0,613.0,573.0,39.0,8.0,2.0,7.0,13,21.0,6.0,0.0,3.0,0.0,514.0,1.0,11.0,23.0,17.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19,9.0,13.0,2.0,6.0,16.0,37.5,10.0,11.0,3.0,8.0,9,33,17.0,1.0,52,727.0,48.0,157.0,397.0,180.0,21.0,727.0,17.0,9.0,52.9,8.0,47.1,518.0,2127.0,1078.0,14.0,13.0,6.0,12.0,6.0,512.0,49.0,2,0,0,10,4,1,13,9,19,0.0,1.0,0,57.0,9.0,12.0,42.9,2.0
2019-09-22,16:30 (08:30),Premier League,Matchweek 6,Sun,Away,W,2,1,Chelsea,2,6,3,50.0,0.33,0.67,13.9,0.0,0,0,0.6,0.6,0.09,1.4,1.4,2,1,1,50.0,0.0,1.1,0.1,0,0,0,0,5.0,15.0,33.3,23.0,3.0,47.8,40.7,11.0,36.4,30.2,23.0,2.0,8.7,2.0,14.6,334.0,458.0,72.9,5737.0,2275.0,147.0,175.0,84.0,125.0,154.0,81.2,39.0,81.0,48.1,2,0.6,1.0,6.0,28.0,9.0,3.0,34.0,458.0,396.0,61.0,15.0,1.0,7.0,10,29.0,4.0,0.0,2.0,0.0,334.0,1.0,10.0,11.0,7.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,11.0,5,2.0,8.0,1.0,2.0,9.0,22.2,7.0,8.0,3.0,5.0,12,23,40.0,0.0,45,573.0,76.0,181.0,263.0,132.0,21.0,573.0,10.0,8.0,80.0,2.0,20.0,321.0,1432.0,601.0,9.0,3.0,3.0,14.0,13.0,333.0,33.0,3,0,0,13,7,1,10,12,5,0.0,0.0,0,60.0,18.0,20.0,47.4,1.0
2019-09-28,12:30 (04:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1,16,4,25.0,0.06,0.25,19.2,1.0,0,0,1.9,1.9,0.12,-0.9,-0.9,2,0,2,100.0,1.0,0.2,0.2,0,0,0,0,5.0,10.0,50.0,26.0,7.0,34.6,35.0,9.0,11.1,23.2,14.0,2.0,14.3,2.0,15.8,640.0,762.0,84.0,11395.0,3278.0,278.0,310.0,89.7,279.0,307.0,90.9,62.0,101.0,61.4,0,1.1,1.1,6.0,35.0,12.0,0.0,48.0,762.0,715.0,46.0,8.0,1.0,10.0,23,23.0,5.0,2.0,2.0,0.0,640.0,1.0,10.0,23.0,17.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,9,5.0,5.0,1.0,3.0,11.0,27.3,8.0,12.0,4.0,8.0,6,17,27.0,0.0,70,866.0,71.0,218.0,446.0,207.0,26.0,866.0,12.0,7.0,58.3,5.0,41.7,602.0,2762.0,1574.0,24.0,22.0,5.0,15.0,6.0,635.0,47.0,1,0,0,4,8,1,23,6,9,0.0,0.0,0,51.0,26.0,20.0,56.5,1.0
2019-10-02,20:00 (12:00),Champions Lg,Group stage,Wed,Home,W,4,3,at RB Salzburg,4,10,5,50.0,0.4,0.8,14.2,0.0,0,0,2.5,2.5,0.26,1.5,1.5,5,3,2,40.0,0.0,1.8,-1.2,0,0,0,0,10.0,14.0,71.4,25.0,3.0,48.0,38.0,9.0,22.2,31.4,5.0,1.0,20.0,1.0,14.0,680.0,822.0,82.7,13519.0,4857.0,275.0,310.0,88.7,290.0,333.0,87.1,107.0,154.0,69.5,3,2.1,1.8,9.0,61.0,15.0,2.0,72.0,822.0,755.0,66.0,16.0,4.0,17.0,15,31.0,6.0,2.0,4.0,0.0,680.0,1.0,11.0,19.0,17.0,0.0,1.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,22.0,13,11.0,8.0,3.0,10.0,16.0,62.5,6.0,6.0,0.0,6.0,11,33,4.0,0.0,69,914.0,50.0,227.0,480.0,210.0,29.0,914.0,36.0,23.0,63.9,13.0,36.1,413.0,1970.0,996.0,24.0,18.0,5.0,16.0,14.0,675.0,72.0,1,0,0,7,12,1,15,11,13,0.0,0.0,0,75.0,17.0,8.0,68.0,2.0
2019-10-05,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,W,2,1,Leicester City,2,17,7,41.2,0.06,0.14,15.0,1.0,1,1,3.5,2.8,0.17,-1.5,-1.8,1,1,0,0.0,0.0,0.0,-1.0,0,0,0,0,7.0,13.0,53.8,27.0,7.0,48.1,37.5,1.0,0.0,38.0,16.0,1.0,6.3,0.0,5.5,423.0,554.0,76.4,7570.0,2742.0,194.0,217.0,89.4,148.0,192.0,77.1,59.0,104.0,56.7,1,2.1,1.5,14.0,31.0,10.0,3.0,36.0,554.0,494.0,57.0,17.0,5.0,6.0,17,33.0,4.0,1.0,2.0,0.0,423.0,3.0,10.0,32.0,24.0,2.0,3.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,19.0,10,9.0,7.0,3.0,12.0,25.0,48.0,13.0,8.0,0.0,8.0,14,33,28.0,0.0,51,686.0,65.0,197.0,318.0,178.0,31.0,685.0,24.0,16.0,66.7,8.0,33.3,453.0,2289.0,1182.0,37.0,26.0,11.0,16.0,8.0,422.0,36.0,1,0,0,9,17,3,17,14,10,1.0,0.0,0,72.0,11.0,17.0,39.3,1.0
