Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,3,13,5,38.5,0.23,0.6,14.1,2.0,0,0,1.9,1.9,0.2,1.1,1.1,2,0,2,100.0,1.0,0.1,0.1,0,0,0,0,1.0,1.0,100.0,29.0,3.0,0.0,18.2,4.0,25.0,27.3,14.0,0.0,0.0,1.0,17.0,589.0,668.0,88.2,11292.0,2683.0,210.0,229.0,91.7,299.0,322.0,92.9,73.0,96.0,76.0,2,0.8,1.0,8.0,38.0,11.0,1.0,47.0,668.0,625.0,41.0,12.0,2.0,6.0,16,21.0,3.0,1.0,1.0,0.0,589.0,2.0,9.0,23.0,13.0,3.0,0.0,4.0,3.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,12.0,5,7.0,4.0,1.0,6.0,12.0,50.0,6.0,5.0,1.0,4.0,18,30,11.0,0.0,54,742.0,59.0,258.0,343.0,145.0,26.0,742.0,9.0,6.0,66.7,3.0,33.3,490.0,2435.0,1329.0,24.0,15.0,4.0,8.0,8.0,589.0,47.0,2,0,0,12,12,2,16,18,5,0.0,0.0,0,42.0,5.0,8.0,38.5,1.0
2020-09-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,2,7,3,42.9,0.29,0.67,14.8,0.0,0,0,1.1,1.1,0.16,0.9,0.9,2,1,1,50.0,0.0,0.7,-0.3,0,0,0,0,1.0,2.0,50.0,32.0,6.0,3.1,19.2,5.0,20.0,23.2,18.0,1.0,5.6,2.0,19.2,599.0,710.0,84.4,10170.0,2713.0,247.0,276.0,89.5,281.0,309.0,90.9,45.0,71.0,63.4,2,1.1,1.6,6.0,38.0,16.0,3.0,52.0,710.0,663.0,42.0,15.0,3.0,5.0,17,13.0,7.0,2.0,2.0,1.0,599.0,5.0,14.0,14.0,13.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,5,3.0,4.0,1.0,6.0,11.0,54.5,5.0,13.0,6.0,7.0,11,19,17.0,1.0,62,804.0,70.0,219.0,423.0,166.0,28.0,804.0,12.0,8.0,66.7,4.0,33.3,464.0,2705.0,1521.0,17.0,14.0,4.0,16.0,6.0,591.0,50.0,0,0,0,11,12,5,17,11,5,0.0,0.0,0,41.0,16.0,14.0,53.3,1.0
2020-09-28,20:00 (12:00),Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,1,4,3,75.0,0.25,0.33,15.0,0.0,0,0,1.3,1.3,0.32,-0.3,-0.3,8,3,5,62.5,0.0,2.6,-0.4,0,0,0,0,2.0,5.0,40.0,34.0,6.0,11.8,18.9,9.0,11.1,14.0,20.0,1.0,5.0,2.0,15.0,312.0,425.0,73.4,5470.0,1559.0,142.0,167.0,85.0,129.0,161.0,80.1,30.0,64.0,46.9,0,0.8,0.6,3.0,11.0,1.0,0.0,13.0,425.0,382.0,38.0,11.0,4.0,3.0,8,11.0,3.0,2.0,1.0,0.0,312.0,5.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,6,6.0,5.0,0.0,4.0,12.0,33.3,8.0,13.0,6.0,7.0,7,18,37.0,1.0,34,532.0,119.0,319.0,174.0,44.0,10.0,532.0,8.0,5.0,62.5,3.0,37.5,240.0,1245.0,679.0,13.0,8.0,4.0,12.0,7.0,309.0,13.0,2,0,0,7,11,5,8,7,6,0.0,0.0,0,49.0,11.0,6.0,64.7,1.0
2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,2,6,5,83.3,0.33,0.4,16.3,0.0,0,0,0.6,0.6,0.09,1.4,1.4,2,1,1,50.0,0.0,0.4,-0.6,0,0,0,0,1.0,7.0,14.3,37.0,2.0,8.1,23.1,9.0,44.4,36.0,13.0,0.0,0.0,2.0,36.0,646.0,741.0,87.2,11120.0,2988.0,286.0,305.0,93.8,280.0,304.0,92.1,62.0,94.0,66.0,2,0.6,0.6,6.0,41.0,4.0,1.0,49.0,741.0,694.0,47.0,12.0,1.0,4.0,18,22.0,2.0,0.0,1.0,1.0,646.0,0.0,12.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,4,2.0,6.0,0.0,3.0,10.0,30.0,7.0,12.0,2.0,10.0,10,18,20.0,1.0,64,827.0,81.0,250.0,410.0,169.0,14.0,827.0,18.0,12.0,66.7,6.0,33.3,523.0,3066.0,1610.0,25.0,18.0,4.0,15.0,5.0,644.0,49.0,0,0,0,3,8,0,18,10,4,0.0,0.0,0,39.0,17.0,14.0,54.8,1.0
2020-10-17,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,0,11,3,27.3,0.0,0.0,18.4,2.0,0,0,0.9,0.9,0.08,-0.9,-0.9,5,1,4,80.0,0.0,1.4,0.4,0,0,0,0,4.0,11.0,36.4,48.0,4.0,18.8,22.5,4.0,50.0,36.0,8.0,1.0,12.5,0.0,7.0,411.0,496.0,82.9,6975.0,1890.0,178.0,194.0,91.8,190.0,211.0,90.0,32.0,67.0,47.8,0,0.7,0.6,7.0,17.0,5.0,3.0,22.0,496.0,454.0,40.0,13.0,2.0,1.0,13,15.0,6.0,3.0,1.0,2.0,411.0,2.0,4.0,19.0,10.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10,6.0,7.0,0.0,8.0,18.0,44.4,10.0,13.0,4.0,9.0,6,19,13.0,0.0,42,587.0,91.0,259.0,239.0,92.0,13.0,587.0,14.0,9.0,64.3,5.0,35.7,346.0,1924.0,947.0,17.0,11.0,5.0,14.0,6.0,410.0,22.0,1,0,0,10,15,2,13,6,10,0.0,0.0,0,52.0,12.0,15.0,44.4,1.0
2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,2,11,4,36.4,0.18,0.5,16.4,1.0,0,0,1.5,1.5,0.13,0.5,0.5,4,1,3,75.0,0.0,0.6,-0.4,0,0,0,0,3.0,5.0,60.0,35.0,7.0,5.7,21.7,8.0,37.5,35.8,14.0,0.0,0.0,3.0,16.8,561.0,671.0,83.6,9183.0,2966.0,282.0,307.0,91.9,219.0,253.0,86.6,44.0,68.0,64.7,2,1.3,1.3,8.0,40.0,12.0,2.0,49.0,671.0,615.0,53.0,19.0,0.0,1.0,21,20.0,4.0,3.0,0.0,0.0,561.0,3.0,11.0,17.0,9.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,6,4.0,6.0,1.0,2.0,8.0,25.0,6.0,7.0,3.0,4.0,8,19,15.0,4.0,66,766.0,53.0,169.0,417.0,184.0,23.0,766.0,18.0,9.0,50.0,9.0,50.0,527.0,2722.0,1509.0,23.0,19.0,1.0,15.0,5.0,558.0,48.0,4,0,0,14,18,3,21,8,6,0.0,0.0,0,52.0,19.0,9.0,67.9,2.0
2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,0,12,4,33.3,0.0,0.0,15.0,1.0,0,0,0.7,0.7,0.06,-0.7,-0.7,2,1,1,50.0,0.0,0.3,-0.7,0,0,0,0,0.0,1.0,0.0,24.0,6.0,0.0,18.4,2.0,50.0,36.5,3.0,0.0,0.0,2.0,21.0,525.0,621.0,84.5,9316.0,2146.0,218.0,238.0,91.6,249.0,275.0,90.5,47.0,75.0,62.7,0,0.6,0.7,10.0,41.0,11.0,5.0,50.0,621.0,580.0,40.0,8.0,0.0,7.0,20,19.0,9.0,6.0,1.0,0.0,525.0,1.0,13.0,22.0,16.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11,6.0,9.0,0.0,6.0,13.0,46.2,7.0,9.0,1.0,8.0,12,27,5.0,0.0,56,724.0,34.0,138.0,437.0,153.0,21.0,724.0,8.0,2.0,25.0,6.0,75.0,496.0,2695.0,1621.0,12.0,7.0,1.0,17.0,5.0,520.0,49.0,3,0,0,13,9,1,20,12,11,0.0,0.0,0,49.0,10.0,15.0,40.0,1.0
2020-10-29,20:00 (13:00),Europa Lg,Group stage,Thu,Home,W,3,0,ie Dundalk,3,25,6,24.0,0.12,0.5,17.0,0.0,0,0,3.0,3.0,0.12,0.0,0.0,1,0,1,100.0,1.0,0.5,0.5,0,0,0,0,1.0,2.0,50.0,14.0,4.0,7.1,28.6,2.0,50.0,39.0,6.0,2.0,33.3,2.0,19.0,565.0,640.0,88.3,9405.0,2798.0,264.0,276.0,95.7,214.0,235.0,91.1,55.0,78.0,70.5,1,1.1,2.5,16.0,63.0,25.0,5.0,89.0,640.0,603.0,36.0,0.0,0.0,6.0,37,18.0,15.0,5.0,1.0,3.0,565.0,1.0,10.0,41.0,37.0,2.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0,4,0.0,6.0,1.0,0.0,6.0,0.0,6.0,16.0,1.0,15.0,10,17,1.0,0.0,63,737.0,18.0,52.0,313.0,373.0,63.0,737.0,19.0,7.0,36.8,12.0,63.2,475.0,2696.0,1453.0,42.0,28.0,13.0,15.0,10.0,560.0,87.0,0,0,0,20,0,1,37,10,4,0.0,0.0,0,51.0,9.0,11.0,45.0,2.0
2020-11-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Away,W,1,0,Manchester Utd,1,6,1,16.7,0.0,0.0,24.6,0.0,1,1,1.0,0.3,0.04,0.0,-0.3,2,0,2,100.0,1.0,0.1,0.1,0,0,0,0,3.0,14.0,21.4,43.0,0.0,27.9,30.0,4.0,50.0,41.0,18.0,1.0,5.6,0.0,14.5,438.0,526.0,83.3,6884.0,2011.0,233.0,254.0,91.7,166.0,182.0,91.2,25.0,56.0,44.6,0,0.2,0.4,5.0,24.0,7.0,2.0,40.0,526.0,494.0,32.0,15.0,0.0,1.0,16,9.0,3.0,3.0,0.0,0.0,438.0,0.0,10.0,14.0,11.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,15,12.0,7.0,1.0,8.0,13.0,61.5,5.0,8.0,2.0,6.0,12,32,25.0,0.0,46,645.0,82.0,222.0,298.0,130.0,14.0,644.0,12.0,6.0,50.0,6.0,50.0,396.0,1978.0,1064.0,18.0,16.0,2.0,19.0,4.0,435.0,40.0,3,0,0,12,11,0,16,12,15,1.0,0.0,0,57.0,9.0,18.0,33.3,1.0
2020-11-05,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,4,1,no Molde,2,17,5,29.4,0.12,0.4,14.4,0.0,0,0,2.6,2.6,0.16,-0.6,-0.6,4,1,3,75.0,0.0,0.6,-0.4,0,0,0,0,1.0,4.0,25.0,27.0,4.0,14.8,22.9,0.0,,,13.0,0.0,0.0,0.0,,567.0,651.0,87.1,9735.0,3026.0,273.0,297.0,91.9,241.0,262.0,92.0,49.0,71.0,69.0,2,1.7,1.6,15.0,61.0,24.0,4.0,69.0,651.0,615.0,33.0,9.0,2.0,6.0,20,15.0,7.0,2.0,2.0,0.0,567.0,3.0,7.0,34.0,29.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,4,1.0,6.0,3.0,6.0,12.0,50.0,6.0,9.0,1.0,8.0,11,21,11.0,0.0,58,736.0,53.0,177.0,320.0,245.0,36.0,736.0,15.0,9.0,60.0,6.0,40.0,555.0,2650.0,1412.0,27.0,23.0,2.0,10.0,8.0,562.0,68.0,2,0,0,7,8,3,20,11,4,0.0,0.0,0,51.0,12.0,10.0,54.5,2.0
