Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Arsenal,0,5,2,40.0,0.0,0.0,25.1,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,5,3,2,40.0,0,1.8,-1.2,0,0,0,0,6.0,12.0,50.0,23.0,2.0,43.5,34.4,4.0,50.0,44.0,8.0,0.0,0.0,1.0,26.0,485.0,562.0,86.3,8521.0,2697.0,224.0,241.0,92.9,202.0,223.0,90.6,50.0,76.0,65.8,0,0.1,0.2,3.0,35.0,2.0,2.0,27.0,562.0,517.0,43.0,13.0,0.0,2.0,15,20.0,2.0,0.0,2.0,0.0,485.0,2.0,4.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7,5.0,4.0,2.0,3.0,9.0,33.3,6.0,9.0,4.0,5.0,10,21,11.0,1.0,46,638.0,72.0,221.0,290.0,133.0,3.0,638.0,12.0,6.0,50.0,6.0,50.0,391.0,1686.0,741.0,10.0,11.0,1.0,18.0,6.0,483.0,27.0,2,0,0,12,11,2,15,10,7,0.0,0.0,0,46.0,8.0,5.0,61.5,1
2020-09-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,3,4,Leeds United,3,13,5,38.5,0.15,0.4,21.5,1.0,1,1,1.7,0.9,0.07,1.3,1.1,7,4,3,57.1,0,2.3,-1.7,1,1,0,0,4.0,9.0,44.4,34.0,8.0,20.6,23.6,3.0,66.7,45.0,15.0,0.0,0.0,5.0,21.9,380.0,480.0,79.2,5979.0,2318.0,201.0,232.0,86.6,135.0,161.0,83.9,29.0,60.0,48.3,2,0.8,0.6,9.0,24.0,10.0,3.0,35.0,480.0,439.0,41.0,14.0,0.0,2.0,18,16.0,3.0,0.0,3.0,0.0,380.0,0.0,7.0,22.0,15.0,1.0,2.0,2.0,2.0,0.0,6.0,3.0,0.0,1.0,1.0,1.0,0.0,18.0,11,8.0,9.0,1.0,5.0,17.0,29.4,12.0,16.0,1.0,15.0,16,34,15.0,0.0,49,615.0,55.0,195.0,282.0,151.0,13.0,614.0,29.0,20.0,69.0,9.0,31.0,394.0,2304.0,1231.0,20.0,16.0,3.0,29.0,13.0,375.0,34.0,2,0,0,18,12,0,18,16,11,1.0,1.0,0,70.0,20.0,18.0,52.6,1
2020-09-28,17:45 (09:45),Premier League,Matchweek 3,Mon,Home,L,0,3,Aston Villa,0,16,2,12.5,0.0,0.0,16.6,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,5,3,2,40.0,0,1.8,-1.2,0,0,0,0,2.0,5.0,40.0,17.0,3.0,23.5,26.9,7.0,14.3,22.9,8.0,1.0,12.5,1.0,17.0,493.0,605.0,81.5,9534.0,3155.0,189.0,215.0,87.9,228.0,254.0,89.8,67.0,109.0,61.5,0,0.6,0.8,13.0,47.0,12.0,8.0,59.0,605.0,551.0,54.0,17.0,0.0,8.0,43,21.0,5.0,2.0,3.0,0.0,493.0,0.0,9.0,29.0,24.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4,3.0,3.0,3.0,2.0,12.0,16.7,10.0,8.0,3.0,5.0,7,16,7.0,0.0,64,712.0,53.0,203.0,311.0,202.0,30.0,712.0,36.0,22.0,61.1,14.0,38.9,357.0,2029.0,1090.0,25.0,16.0,7.0,18.0,9.0,492.0,59.0,6,0,0,18,14,0,43,7,4,0.0,0.0,0,55.0,19.0,20.0,48.7,1
2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,0,1,Wolves,0,10,2,20.0,0.0,0.0,18.3,1.0,0,0,0.9,0.9,0.09,-0.9,-0.9,5,1,4,80.0,0,1.1,0.1,0,0,0,0,2.0,5.0,40.0,18.0,9.0,22.2,30.4,6.0,16.7,27.7,15.0,3.0,20.0,0.0,6.0,490.0,580.0,84.5,9058.0,2671.0,188.0,203.0,92.6,235.0,262.0,89.7,58.0,94.0,61.7,0,0.8,0.5,8.0,33.0,7.0,3.0,37.0,580.0,537.0,43.0,14.0,0.0,11.0,28,19.0,2.0,0.0,0.0,1.0,490.0,0.0,5.0,18.0,12.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11,9.0,3.0,2.0,8.0,14.0,57.1,6.0,13.0,6.0,7.0,5,19,14.0,1.0,52,673.0,49.0,209.0,315.0,153.0,16.0,673.0,12.0,10.0,83.3,2.0,16.7,344.0,2068.0,1040.0,22.0,11.0,2.0,17.0,7.0,486.0,36.0,1,0,0,8,15,0,28,5,11,0.0,0.0,0,44.0,9.0,12.0,42.9,1
2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Away,D,1,1,Sheffield Utd,1,14,6,42.9,0.07,0.17,18.8,1.0,0,1,1.5,0.7,0.05,-0.5,0.3,6,1,5,100.0,0,1.6,0.6,1,1,0,0,7.0,16.0,43.8,26.0,7.0,46.2,33.8,4.0,100.0,61.3,11.0,3.0,27.3,0.0,7.7,505.0,606.0,83.3,8118.0,2569.0,261.0,294.0,88.8,182.0,205.0,88.8,41.0,74.0,55.4,0,0.6,0.6,12.0,26.0,7.0,4.0,33.0,606.0,567.0,39.0,8.0,0.0,3.0,16,20.0,5.0,3.0,2.0,0.0,505.0,0.0,8.0,27.0,20.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,8,7.0,6.0,1.0,8.0,12.0,66.7,4.0,1.0,1.0,0.0,12,26,24.0,0.0,58,709.0,65.0,232.0,350.0,134.0,19.0,708.0,23.0,15.0,65.2,8.0,34.8,500.0,2424.0,1294.0,24.0,15.0,4.0,11.0,7.0,502.0,33.0,2,0,0,9,4,0,16,12,8,0.0,1.0,0,50.0,20.0,24.0,45.5,1
2020-10-24,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,1,2,Crystal Palace,1,16,3,18.8,0.06,0.33,18.5,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,10,2,8,80.0,0,2.6,0.6,0,0,0,0,1.0,1.0,100.0,13.0,5.0,0.0,13.8,5.0,20.0,22.0,5.0,0.0,0.0,0.0,16.7,607.0,698.0,87.0,9810.0,2846.0,333.0,354.0,94.1,214.0,241.0,88.8,44.0,66.0,66.7,1,0.7,0.7,15.0,43.0,12.0,3.0,64.0,698.0,652.0,45.0,13.0,0.0,5.0,29,20.0,4.0,0.0,2.0,1.0,607.0,1.0,10.0,30.0,20.0,5.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,7,7.0,6.0,6.0,4.0,17.0,23.5,13.0,7.0,1.0,6.0,10,29,13.0,0.0,64,800.0,46.0,167.0,397.0,242.0,27.0,800.0,21.0,13.0,61.9,8.0,38.1,577.0,2971.0,1644.0,25.0,26.0,8.0,17.0,14.0,605.0,64.0,0,1,0,11,11,1,29,10,7,0.0,0.0,0,47.0,9.0,5.0,64.3,1
2020-11-02,17:30 (09:30),Premier League,Matchweek 7,Mon,Home,W,2,0,West Brom,2,13,4,30.8,0.15,0.5,18.8,0.0,0,0,1.5,1.5,0.11,0.5,0.5,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6.0,16.0,37.5,20.0,4.0,50.0,36.7,8.0,75.0,52.8,9.0,0.0,0.0,1.0,18.0,331.0,455.0,72.7,5121.0,1980.0,178.0,205.0,86.8,107.0,138.0,77.5,24.0,70.0,34.3,2,0.9,0.9,8.0,17.0,4.0,1.0,25.0,455.0,386.0,68.0,15.0,0.0,3.0,16,39.0,5.0,1.0,2.0,0.0,331.0,1.0,8.0,22.0,17.0,0.0,4.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,6,6.0,5.0,4.0,7.0,16.0,43.8,9.0,18.0,5.0,13.0,10,25,14.0,1.0,47,577.0,54.0,168.0,250.0,170.0,15.0,577.0,33.0,24.0,72.7,9.0,27.3,325.0,1712.0,917.0,24.0,20.0,5.0,24.0,19.0,330.0,25.0,3,0,0,13,10,1,16,10,6,0.0,0.0,0,50.0,15.0,16.0,48.4,1
2020-11-07,20:00 (12:00),Premier League,Matchweek 8,Sat,Away,L,0,1,West Ham,0,12,2,16.7,0.0,0.0,21.1,2.0,0,1,1.7,1.0,0.08,-1.7,-1.0,7,1,6,85.7,0,1.0,0.0,0,0,0,0,7.0,18.0,38.9,14.0,2.0,57.1,34.4,11.0,90.9,60.7,28.0,0.0,0.0,2.0,17.3,402.0,500.0,80.4,6831.0,2340.0,181.0,202.0,89.6,173.0,199.0,86.9,32.0,59.0,54.2,0,0.7,1.0,8.0,28.0,13.0,6.0,37.0,500.0,453.0,45.0,10.0,0.0,0.0,19,17.0,5.0,1.0,1.0,0.0,402.0,2.0,7.0,23.0,16.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7,7.0,5.0,0.0,7.0,12.0,58.3,5.0,6.0,1.0,5.0,5,17,24.0,0.0,47,596.0,60.0,173.0,265.0,163.0,22.0,595.0,13.0,9.0,69.2,4.0,30.8,329.0,1355.0,639.0,12.0,13.0,0.0,15.0,10.0,398.0,36.0,2,0,0,9,9,2,19,5,7,1.0,0.0,0,35.0,23.0,21.0,52.3,1
2020-11-22,12:00 (04:00),Premier League,Matchweek 9,Sun,Home,L,2,3,Everton,2,13,6,46.2,0.15,0.33,20.1,0.0,0,1,1.9,1.2,0.09,0.1,0.8,7,3,4,57.1,0,3.5,0.5,0,0,0,0,0.0,1.0,0.0,21.0,11.0,4.8,20.0,0.0,,,14.0,3.0,21.4,1.0,11.2,561.0,669.0,83.9,9002.0,2990.0,272.0,302.0,90.1,214.0,249.0,85.9,47.0,69.0,68.1,2,1.2,0.9,13.0,45.0,9.0,3.0,42.0,669.0,623.0,44.0,12.0,1.0,4.0,10,26.0,2.0,0.0,0.0,0.0,561.0,2.0,7.0,28.0,26.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,6,5.0,4.0,3.0,5.0,16.0,31.3,11.0,15.0,2.0,13.0,10,22,20.0,0.0,54,779.0,55.0,206.0,331.0,245.0,21.0,778.0,23.0,19.0,82.6,4.0,17.4,389.0,2500.0,1301.0,34.0,21.0,7.0,22.0,18.0,557.0,41.0,2,0,0,14,8,2,10,10,6,1.0,0.0,0,55.0,12.0,18.0,40.0,1
2020-11-30,17:30 (09:30),Premier League,Matchweek 10,Mon,Away,W,2,1,Leicester City,2,9,4,44.4,0.11,0.25,21.5,1.0,1,1,2.2,1.5,0.16,-0.2,-0.5,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,5.0,17.0,29.4,16.0,1.0,68.8,45.0,6.0,100.0,56.2,19.0,1.0,5.3,0.0,6.5,238.0,342.0,69.6,4026.0,1736.0,119.0,138.0,86.2,80.0,108.0,74.1,26.0,64.0,40.6,1,1.4,0.5,8.0,16.0,6.0,1.0,19.0,342.0,306.0,36.0,7.0,1.0,3.0,8,16.0,5.0,1.0,2.0,1.0,238.0,0.0,7.0,19.0,12.0,1.0,3.0,0.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,24.0,12,15.0,6.0,3.0,11.0,19.0,57.9,8.0,9.0,6.0,3.0,18,42,34.0,0.0,32,464.0,58.0,167.0,199.0,107.0,14.0,463.0,16.0,11.0,68.8,5.0,31.3,181.0,1138.0,519.0,10.0,12.0,3.0,9.0,14.0,236.0,19.0,2,0,0,21,9,0,8,18,12,1.0,0.0,0,50.0,10.0,10.0,50.0,1
