Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,L,1,3,Crystal Palace,1,17,4,23.5,0.06,0.25,20.2,1.0,0,0,1.2,1.2,0.07,-0.2,-0.2,5,3,2,60.0,0,2.1,-0.9,1,1,0,0,1.0,3.0,33.3,19.0,2.0,15.8,25.3,4.0,0.0,18.3,7.0,0.0,0.0,5.0,30.4,634.0,758.0,83.6,11012.0,3272.0,263.0,304.0,86.5,288.0,315.0,91.4,57.0,79.0,72.2,0,0.7,0.9,12.0,61.0,17.0,1.0,82.0,758.0,705.0,52.0,11.0,0.0,8.0,28,24.0,9.0,1.0,5.0,0.0,634.0,1.0,21.0,31.0,26.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,9,8.0,6.0,0.0,6.0,15.0,40.0,9.0,13.0,3.0,10.0,9,23,14.0,0.0,75,870.0,45.0,165.0,374.0,332.0,34.0,870.0,20.0,12.0,60.0,8.0,40.0,466.0,2568.0,1356.0,27.0,18.0,5.0,16.0,16.0,631.0,82.0,2,0,0,13,10,1,28,9,9,0.0,1.0,0,56.0,11.0,16.0,40.7,1
2020-09-26,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,W,3,2,Brighton,2,6,2,33.3,0.17,0.5,18.2,0.0,1,1,1.5,0.8,0.13,0.5,0.2,5,2,3,80.0,0,2.3,0.3,1,1,0,0,1.0,6.0,16.7,12.0,2.0,25.0,27.0,9.0,33.3,28.7,25.0,0.0,0.0,0.0,10.0,386.0,470.0,82.1,5785.0,2046.0,229.0,257.0,89.1,116.0,130.0,89.2,28.0,49.0,57.1,1,0.6,0.5,4.0,20.0,5.0,0.0,31.0,470.0,425.0,41.0,17.0,1.0,5.0,8,11.0,1.0,1.0,0.0,0.0,386.0,4.0,8.0,11.0,7.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,15.0,10,9.0,5.0,1.0,6.0,26.0,23.1,20.0,17.0,4.0,13.0,11,26,23.0,0.0,47,581.0,68.0,209.0,276.0,103.0,17.0,580.0,22.0,14.0,63.6,8.0,36.4,378.0,1886.0,1018.0,17.0,17.0,5.0,15.0,4.0,382.0,30.0,2,0,0,16,17,4,8,11,10,0.0,1.0,0,51.0,10.0,10.0,50.0,1
2020-10-04,16:30 (08:30),Premier League,Matchweek 4,Sun,Home,L,1,6,Tottenham,1,4,1,25.0,0.0,0.0,25.4,0.0,1,1,0.9,0.2,0.04,0.1,-0.2,8,6,2,37.5,0,5.1,-0.9,1,1,0,0,4.0,5.0,80.0,16.0,4.0,6.3,19.4,6.0,66.7,45.3,7.0,0.0,0.0,0.0,1.0,371.0,450.0,82.4,5803.0,2004.0,202.0,218.0,92.7,128.0,154.0,83.1,23.0,36.0,63.9,0,0.2,0.4,4.0,19.0,5.0,0.0,24.0,450.0,404.0,45.0,10.0,0.0,2.0,9,20.0,2.0,2.0,0.0,0.0,371.0,1.0,12.0,8.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,5,5.0,10.0,0.0,4.0,15.0,26.7,11.0,15.0,8.0,7.0,11,26,11.0,2.0,39,545.0,50.0,159.0,256.0,138.0,12.0,544.0,24.0,17.0,70.8,7.0,29.2,359.0,1885.0,1039.0,18.0,17.0,1.0,15.0,16.0,368.0,24.0,2,1,0,14,11,1,9,11,5,1.0,1.0,0,40.0,10.0,3.0,76.9,1
2020-10-17,20:00 (12:00),Premier League,Matchweek 5,Sat,Away,W,4,1,Newcastle Utd,4,27,11,40.7,0.15,0.36,20.5,0.0,0,1,2.3,1.5,0.05,1.7,2.5,4,1,4,75.0,0,1.4,1.4,0,0,0,0,2.0,4.0,50.0,17.0,3.0,23.5,27.5,1.0,0.0,10.0,7.0,0.0,0.0,0.0,,565.0,673.0,84.0,9385.0,3064.0,291.0,324.0,89.8,230.0,264.0,87.1,40.0,69.0,58.0,4,1.4,0.9,24.0,53.0,11.0,0.0,59.0,673.0,634.0,37.0,7.0,1.0,6.0,19,20.0,7.0,2.0,5.0,0.0,565.0,2.0,7.0,49.0,38.0,4.0,1.0,4.0,1.0,1.0,8.0,5.0,1.0,0.0,1.0,0.0,1.0,14.0,10,5.0,8.0,1.0,3.0,18.0,16.7,15.0,16.0,1.0,15.0,16,30,13.0,0.0,63,786.0,39.0,186.0,381.0,228.0,39.0,785.0,21.0,11.0,52.4,10.0,47.6,574.0,2720.0,1441.0,34.0,22.0,14.0,10.0,8.0,562.0,59.0,1,0,0,12,9,2,19,16,10,1.0,0.0,1,68.0,21.0,17.0,55.3,1
2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,1,fr Paris S-G,2,13,5,38.5,0.08,0.2,21.3,0.0,1,1,1.4,0.6,0.05,0.6,0.4,5,1,5,80.0,0,0.9,0.9,0,0,0,0,9.0,19.0,47.4,21.0,4.0,52.4,39.4,10.0,80.0,53.2,19.0,2.0,10.5,3.0,13.8,294.0,381.0,77.2,5079.0,2183.0,140.0,160.0,87.5,94.0,118.0,79.7,35.0,60.0,58.3,1,0.5,0.8,12.0,26.0,10.0,2.0,35.0,381.0,335.0,44.0,10.0,1.0,9.0,13,14.0,8.0,5.0,2.0,0.0,294.0,2.0,5.0,23.0,16.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,24.0,14,11.0,9.0,4.0,11.0,25.0,44.0,14.0,14.0,3.0,11.0,8,32,30.0,0.0,39,518.0,85.0,181.0,198.0,146.0,24.0,517.0,20.0,9.0,45.0,11.0,55.0,244.0,1576.0,926.0,24.0,16.0,9.0,13.0,9.0,292.0,35.0,2,0,0,14,8,2,13,8,14,1.0,0.0,1,55.0,6.0,8.0,42.9,2
2020-10-24,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,D,0,0,Chelsea,0,14,4,28.6,0.0,0.0,17.9,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,1,0,1,100.0,1,0.0,0.0,0,0,0,0,1.0,8.0,12.5,18.0,5.0,33.3,30.8,6.0,33.3,30.5,15.0,0.0,0.0,0.0,,515.0,635.0,81.1,8017.0,2141.0,241.0,266.0,90.6,179.0,207.0,86.5,47.0,76.0,61.8,0,0.6,0.6,12.0,34.0,6.0,1.0,35.0,635.0,585.0,48.0,6.0,0.0,3.0,20,26.0,9.0,1.0,4.0,2.0,515.0,2.0,18.0,27.0,24.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7,4.0,7.0,2.0,10.0,16.0,62.5,6.0,17.0,3.0,14.0,12,25,23.0,1.0,51,750.0,60.0,185.0,378.0,195.0,20.0,750.0,16.0,8.0,50.0,8.0,50.0,379.0,2158.0,1148.0,24.0,17.0,4.0,13.0,9.0,513.0,35.0,3,0,0,8,6,2,20,12,7,0.0,0.0,0,52.0,11.0,7.0,61.1,1
2020-10-28,20:00 (13:00),Champions Lg,Group stage,Wed,Home,W,5,0,de RB Leipzig,5,14,7,50.0,0.29,0.57,18.1,0.0,1,1,3.2,2.4,0.17,1.8,1.6,2,0,2,100.0,1,0.5,0.5,0,0,0,0,5.0,8.0,62.5,14.0,3.0,28.6,29.4,8.0,50.0,37.1,13.0,0.0,0.0,0.0,12.0,402.0,484.0,83.1,6507.0,2238.0,188.0,211.0,89.1,150.0,169.0,88.8,37.0,61.0,60.7,3,2.1,1.2,11.0,19.0,5.0,1.0,25.0,484.0,436.0,47.0,21.0,2.0,3.0,8,15.0,2.0,0.0,1.0,0.0,402.0,1.0,6.0,22.0,14.0,1.0,2.0,3.0,2.0,0.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,13.0,9,4.0,8.0,1.0,7.0,15.0,46.7,8.0,11.0,2.0,9.0,14,27,20.0,0.0,47,600.0,57.0,222.0,263.0,119.0,24.0,599.0,19.0,12.0,63.2,7.0,36.8,279.0,1506.0,723.0,16.0,7.0,11.0,16.0,13.0,398.0,24.0,1,0,0,18,20,1,8,14,9,1.0,0.0,0,52.0,7.0,11.0,38.9,2
2020-11-01,16:30 (08:30),Premier League,Matchweek 7,Sun,Home,L,0,1,Arsenal,0,8,2,25.0,0.0,0.0,19.9,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,2,1,1,100.0,0,1.0,0.0,1,1,0,0,1.0,9.0,11.1,15.0,2.0,53.3,37.3,9.0,11.1,17.9,11.0,0.0,0.0,0.0,4.0,512.0,615.0,83.3,8080.0,2264.0,261.0,283.0,92.2,202.0,224.0,90.2,32.0,64.0,50.0,0,0.4,0.7,8.0,32.0,7.0,1.0,26.0,615.0,560.0,51.0,13.0,1.0,1.0,18,21.0,6.0,1.0,5.0,0.0,512.0,4.0,6.0,15.0,11.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7,6.0,3.0,1.0,6.0,12.0,50.0,6.0,9.0,0.0,9.0,8,18,12.0,0.0,54,700.0,58.0,212.0,339.0,154.0,24.0,700.0,13.0,5.0,38.5,8.0,61.5,394.0,2209.0,1062.0,14.0,9.0,1.0,11.0,12.0,506.0,26.0,3,0,0,12,12,4,18,8,7,0.0,1.0,0,54.0,18.0,9.0,66.7,1
2020-11-04,20:55 (09:55),Champions Lg,Group stage,Wed,Away,L,1,2,tr Başakşehir,1,10,2,20.0,0.1,0.5,19.3,2.0,0,0,0.7,0.7,0.07,0.3,0.3,3,2,1,33.3,0,1.1,-0.9,0,0,0,0,3.0,5.0,60.0,12.0,5.0,33.3,34.1,6.0,16.7,17.5,7.0,0.0,0.0,0.0,,670.0,801.0,83.6,10308.0,3001.0,345.0,382.0,90.3,235.0,271.0,86.7,46.0,68.0,67.6,1,0.6,0.9,8.0,54.0,11.0,1.0,70.0,801.0,758.0,42.0,8.0,2.0,8.0,22,20.0,5.0,2.0,2.0,0.0,670.0,1.0,18.0,20.0,14.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,6,1.0,6.0,3.0,6.0,9.0,66.7,3.0,12.0,3.0,9.0,8,18,4.0,1.0,68,883.0,34.0,96.0,505.0,287.0,23.0,883.0,19.0,9.0,47.4,10.0,52.6,515.0,2730.0,1568.0,29.0,26.0,5.0,12.0,10.0,665.0,70.0,1,0,0,9,9,1,22,8,6,0.0,0.0,0,62.0,10.0,13.0,43.5,2
2020-11-07,12:30 (04:30),Premier League,Matchweek 8,Sat,Away,W,3,1,Everton,3,13,5,38.5,0.23,0.6,21.1,2.0,0,0,1.5,1.5,0.12,1.5,1.5,1,1,0,0.0,0,0.3,-0.7,0,0,0,0,3.0,10.0,30.0,12.0,4.0,33.3,33.6,10.0,60.0,43.0,15.0,0.0,0.0,0.0,,394.0,485.0,81.2,6396.0,2347.0,198.0,216.0,91.7,152.0,176.0,86.4,26.0,54.0,48.1,3,1.2,0.9,9.0,29.0,9.0,2.0,40.0,485.0,438.0,46.0,13.0,1.0,3.0,8,19.0,2.0,2.0,0.0,0.0,394.0,1.0,10.0,22.0,15.0,0.0,1.0,2.0,3.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,13.0,4,6.0,7.0,0.0,7.0,19.0,36.8,12.0,9.0,1.0,8.0,9,22,28.0,0.0,45,604.0,60.0,182.0,287.0,139.0,18.0,604.0,13.0,6.0,46.2,7.0,53.8,313.0,1860.0,881.0,18.0,16.0,6.0,14.0,18.0,393.0,40.0,2,0,0,19,12,1,8,9,4,0.0,0.0,0,59.0,14.0,18.0,43.8,1
