Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-13,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,W,2,0,Arsenal,2,8,3,37.5,0.25,0.67,12.1,0.0,0,0,1.2,1.2,0.15,0.8,0.8,4,0,4,100.0,1,0.4,0.4,0,0,0,0,11.0,34.0,32.4,35.0,5.0,51.4,41.1,16.0,100.0,65.5,16.0,2.0,12.5,1.0,17.8,217.0,343.0,63.3,4166.0,1935.0,94.0,123.0,76.4,83.0,107.0,77.6,34.0,82.0,41.5,1,0.8,0.5,6.0,20.0,8.0,1.0,22.0,343.0,295.0,47.0,9.0,1.0,0.0,9,19.0,2.0,2.0,0.0,0.0,217.0,1.0,11.0,13.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,12,10.0,8.0,2.0,11.0,20.0,55.0,9.0,8.0,4.0,4.0,9,29,22.0,0.0,36,455.0,75.0,202.0,167.0,90.0,18.0,455.0,11.0,7.0,63.6,4.0,36.4,165.0,1010.0,450.0,9.0,10.0,4.0,16.0,5.0,216.0,22.0,0,0,0,12,7,1,9,9,12,0.0,0.0,0,44.0,17.0,20.0,45.9,1
2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,0,0,Crystal Palace,0,14,3,21.4,0.0,0.0,18.0,1.0,0,0,0.9,0.9,0.06,-0.9,-0.9,2,0,2,100.0,1,0.4,0.4,0,0,0,0,5.0,21.0,23.8,41.0,6.0,39.0,32.3,6.0,83.3,60.7,8.0,2.0,25.0,1.0,14.0,294.0,424.0,69.3,4872.0,1906.0,152.0,175.0,86.9,105.0,140.0,75.0,25.0,74.0,33.8,0,0.8,0.6,11.0,29.0,6.0,1.0,26.0,424.0,379.0,43.0,12.0,0.0,6.0,15,19.0,5.0,4.0,0.0,0.0,294.0,2.0,10.0,25.0,15.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8,11.0,9.0,4.0,8.0,16.0,50.0,8.0,10.0,0.0,10.0,11,35,12.0,0.0,47,545.0,69.0,199.0,223.0,127.0,14.0,545.0,13.0,9.0,69.2,4.0,30.8,247.0,988.0,513.0,11.0,4.0,1.0,21.0,11.0,292.0,25.0,1,0,0,9,10,2,15,11,8,0.0,0.0,0,69.0,20.0,26.0,43.5,1
2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,1,1,Aston Villa,1,9,2,22.2,0.11,0.5,15.6,0.0,0,0,0.9,0.9,0.1,0.1,0.1,5,1,4,80.0,0,1.1,0.1,0,0,0,0,9.0,16.0,56.3,59.0,7.0,25.4,28.7,4.0,25.0,34.5,18.0,0.0,0.0,5.0,28.3,358.0,472.0,75.8,6499.0,2605.0,143.0,165.0,86.7,164.0,192.0,85.4,38.0,82.0,46.3,1,0.9,1.1,9.0,17.0,6.0,0.0,29.0,472.0,425.0,45.0,16.0,3.0,4.0,7,21.0,2.0,2.0,0.0,0.0,358.0,2.0,10.0,17.0,13.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,12,5.0,9.0,2.0,4.0,14.0,28.6,10.0,9.0,0.0,9.0,6,22,24.0,0.0,54,566.0,91.0,270.0,211.0,88.0,20.0,566.0,12.0,5.0,41.7,7.0,58.3,317.0,1489.0,853.0,9.0,4.0,2.0,13.0,6.0,355.0,28.0,3,0,0,14,14,2,7,6,12,0.0,0.0,0,48.0,20.0,21.0,48.8,1
2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Brighton,0,7,1,14.3,0.0,0.0,20.3,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,10.0,18.0,55.6,33.0,3.0,39.4,33.8,6.0,83.3,50.8,8.0,0.0,0.0,3.0,26.3,272.0,381.0,71.4,4194.0,2079.0,151.0,179.0,84.4,77.0,110.0,70.0,23.0,48.0,47.9,0,0.4,0.3,7.0,20.0,7.0,2.0,21.0,381.0,336.0,45.0,14.0,0.0,1.0,20,22.0,1.0,0.0,0.0,0.0,272.0,0.0,12.0,14.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17,14.0,6.0,1.0,9.0,18.0,50.0,9.0,11.0,1.0,10.0,13,34,20.0,0.0,41,491.0,59.0,216.0,174.0,104.0,14.0,491.0,9.0,8.0,88.9,1.0,11.1,239.0,1296.0,563.0,14.0,8.0,3.0,20.0,15.0,267.0,21.0,3,0,0,9,12,0,20,13,17,0.0,0.0,0,48.0,15.0,11.0,57.7,1
2021-09-18,12:30 (04:30),Premier League,Matchweek 5,Sat,Away,W,2,0,Wolves,2,8,2,25.0,0.13,0.5,18.7,0.0,1,1,2.5,1.7,0.21,-0.5,-0.7,0,0,0,,1,0.0,0.0,0,0,0,0,12.0,25.0,48.0,36.0,4.0,52.8,40.0,11.0,54.5,44.8,15.0,0.0,0.0,2.0,18.3,256.0,353.0,72.5,4822.0,2152.0,104.0,121.0,86.0,118.0,146.0,80.8,26.0,61.0,42.6,1,1.3,0.9,6.0,24.0,1.0,0.0,18.0,353.0,310.0,41.0,11.0,5.0,1.0,7,16.0,2.0,2.0,0.0,0.0,256.0,2.0,8.0,17.0,11.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,15.0,9,9.0,4.0,2.0,7.0,27.0,25.9,20.0,13.0,3.0,10.0,10,25,30.0,0.0,38,457.0,79.0,214.0,166.0,80.0,11.0,456.0,14.0,8.0,57.1,6.0,42.9,207.0,1254.0,719.0,11.0,8.0,4.0,14.0,3.0,255.0,18.0,4,1,1,7,10,2,7,10,9,1.0,0.0,0,46.0,14.0,12.0,53.8,1
2021-09-25,17:30 (09:30),Premier League,Matchweek 6,Sat,Home,D,3,3,Liverpool,3,12,3,25.0,0.25,1.0,12.0,0.0,0,0,2.1,2.1,0.19,0.9,0.9,5,3,2,40.0,0,2.2,-0.8,0,0,0,0,13.0,37.0,35.1,34.0,4.0,79.4,50.2,10.0,100.0,65.4,21.0,1.0,4.8,5.0,21.0,201.0,307.0,65.5,3746.0,2037.0,87.0,109.0,79.8,75.0,108.0,69.4,25.0,63.0,39.7,1,1.3,1.8,6.0,27.0,8.0,5.0,27.0,307.0,261.0,42.0,11.0,5.0,2.0,13,15.0,2.0,1.0,1.0,0.0,201.0,4.0,7.0,19.0,15.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,14.0,6,9.0,5.0,0.0,10.0,15.0,66.7,5.0,11.0,5.0,6.0,15,29,31.0,0.0,33,422.0,75.0,158.0,168.0,100.0,21.0,422.0,11.0,8.0,72.7,3.0,27.3,184.0,949.0,400.0,10.0,5.0,4.0,9.0,8.0,198.0,25.0,1,0,0,8,7,4,13,15,6,0.0,0.0,0,38.0,24.0,22.0,52.2,1
2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Away,W,2,1,West Ham,2,13,6,46.2,0.15,0.33,13.9,1.0,0,0,1.2,1.2,0.1,0.8,0.8,5,1,4,80.0,0,1.0,0.0,0,0,0,0,5.0,25.0,20.0,26.0,5.0,53.8,42.9,15.0,73.3,48.9,25.0,1.0,4.0,0.0,7.5,205.0,329.0,62.3,3616.0,1779.0,100.0,125.0,80.0,79.0,122.0,64.8,21.0,61.0,34.4,0,0.6,0.6,6.0,16.0,4.0,2.0,31.0,329.0,268.0,60.0,17.0,2.0,1.0,17,20.0,6.0,5.0,1.0,0.0,205.0,1.0,10.0,21.0,12.0,1.0,1.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4,4.0,1.0,0.0,3.0,12.0,25.0,9.0,14.0,7.0,7.0,10,15,30.0,0.0,41,445.0,77.0,187.0,185.0,78.0,16.0,445.0,12.0,5.0,41.7,7.0,58.3,197.0,872.0,391.0,8.0,6.0,5.0,14.0,8.0,203.0,31.0,3,0,0,13,16,1,17,10,4,0.0,0.0,0,41.0,25.0,25.0,50.0,1
2021-10-16,17:30 (09:30),Premier League,Matchweek 8,Sat,Home,L,0,1,Chelsea,0,17,6,35.3,0.0,0.0,14.5,0.0,0,0,1.4,1.4,0.09,-1.4,-1.4,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,11.0,21.0,52.4,51.0,8.0,41.2,33.3,5.0,0.0,13.6,10.0,3.0,30.0,3.0,15.4,340.0,469.0,72.5,5810.0,2579.0,181.0,212.0,85.4,118.0,159.0,74.2,35.0,71.0,49.3,0,0.9,1.8,7.0,28.0,15.0,7.0,36.0,469.0,415.0,53.0,12.0,0.0,1.0,26,29.0,5.0,2.0,2.0,0.0,340.0,1.0,12.0,25.0,17.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7,7.0,7.0,2.0,8.0,19.0,42.1,11.0,6.0,1.0,5.0,4,20,13.0,0.0,45,573.0,79.0,203.0,210.0,163.0,39.0,573.0,18.0,11.0,61.1,7.0,38.9,276.0,1131.0,580.0,12.0,7.0,1.0,18.0,13.0,339.0,36.0,1,0,0,13,8,1,26,4,7,0.0,0.0,0,49.0,35.0,17.0,67.3,1
2021-10-24,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,L,1,2,Leicester City,1,15,5,33.3,0.07,0.2,16.3,0.0,0,0,1.0,1.0,0.07,0.0,0.0,6,2,4,66.7,0,1.3,-0.7,0,0,0,0,6.0,11.0,54.5,36.0,2.0,30.6,31.2,6.0,0.0,20.0,5.0,0.0,0.0,2.0,24.5,367.0,497.0,73.8,6729.0,2511.0,169.0,201.0,84.1,152.0,189.0,80.4,42.0,86.0,48.8,1,0.8,1.1,13.0,29.0,7.0,1.0,42.0,497.0,447.0,47.0,8.0,2.0,4.0,26,21.0,9.0,3.0,4.0,0.0,367.0,3.0,9.0,24.0,14.0,5.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,12,6.0,13.0,1.0,7.0,11.0,63.6,4.0,9.0,1.0,8.0,13,33,10.0,0.0,54,611.0,44.0,152.0,314.0,152.0,26.0,611.0,13.0,4.0,30.8,9.0,69.2,379.0,1918.0,1056.0,19.0,8.0,4.0,17.0,9.0,361.0,42.0,1,0,0,13,7,3,26,13,12,0.0,0.0,0,72.0,21.0,21.0,50.0,1
2021-10-30,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,L,1,3,Burnley,1,12,4,33.3,0.08,0.25,18.2,1.0,0,0,0.8,0.8,0.07,0.2,0.2,5,3,2,40.0,0,2.5,-0.5,0,0,0,0,6.0,15.0,40.0,40.0,8.0,30.0,29.3,8.0,37.5,30.9,12.0,2.0,16.7,1.0,8.2,423.0,575.0,73.6,7730.0,2599.0,184.0,223.0,82.5,184.0,227.0,81.1,52.0,102.0,51.0,1,0.4,0.4,5.0,28.0,4.0,1.0,34.0,575.0,528.0,43.0,9.0,0.0,3.0,22,20.0,2.0,1.0,0.0,0.0,423.0,4.0,9.0,20.0,14.0,1.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,10,6.0,4.0,2.0,8.0,15.0,53.3,7.0,8.0,1.0,7.0,15,27,17.0,1.0,59,672.0,75.0,255.0,310.0,111.0,13.0,672.0,7.0,2.0,28.6,5.0,71.4,326.0,1636.0,1008.0,11.0,10.0,0.0,16.0,3.0,418.0,33.0,1,0,0,10,7,4,22,15,10,0.0,0.0,0,63.0,17.0,20.0,45.9,1
