Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,1,2,Brighton,1,14,3,21.4,0.07,0.33,16.2,1.0,0,0,1.5,1.5,0.1,-0.5,-0.5,6,2,4,66.7,0,1.1,-0.9,0,0,0,0,4.0,8.0,50.0,17.0,7.0,35.3,36.5,4.0,50.0,43.0,12.0,1.0,8.3,2.0,15.0,213.0,327.0,65.1,3912.0,1881.0,107.0,137.0,78.1,69.0,90.0,76.7,31.0,79.0,39.2,1,1.0,0.7,9.0,22.0,6.0,3.0,33.0,327.0,282.0,44.0,6.0,2.0,1.0,36,24.0,7.0,7.0,0.0,0.0,213.0,1.0,10.0,23.0,19.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,12,7.0,7.0,2.0,4.0,7.0,57.1,3.0,9.0,4.0,5.0,10,26,14.0,0.0,37,428.0,41.0,134.0,154.0,145.0,12.0,428.0,18.0,12.0,66.7,6.0,33.3,196.0,1243.0,535.0,16.0,12.0,0.0,10.0,10.0,209.0,33.0,2,0,0,10,7,1,36,10,12,0.0,0.0,0,50.0,26.0,20.0,56.5,1
2021-08-21,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,L,0,2,Liverpool,0,9,3,33.3,0.0,0.0,15.3,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,8,2,6,75.0,0,1.5,-0.5,0,0,0,0,12.0,31.0,38.7,22.0,1.0,81.8,55.8,13.0,100.0,68.3,20.0,2.0,10.0,3.0,16.0,202.0,317.0,63.7,4352.0,2014.0,81.0,102.0,79.4,68.0,98.0,69.4,45.0,91.0,49.5,0,0.9,0.5,8.0,23.0,6.0,3.0,18.0,317.0,254.0,56.0,9.0,0.0,3.0,19,27.0,4.0,4.0,0.0,0.0,202.0,7.0,7.0,15.0,9.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9,8.0,7.0,3.0,8.0,12.0,66.7,4.0,13.0,8.0,5.0,11,29,23.0,0.0,35,429.0,67.0,138.0,171.0,127.0,15.0,429.0,14.0,9.0,64.3,5.0,35.7,130.0,881.0,372.0,11.0,11.0,3.0,16.0,9.0,201.0,18.0,0,0,0,12,6,7,19,11,9,0.0,0.0,0,38.0,24.0,24.0,50.0,1
2021-08-29,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,D,1,1,Leeds United,1,12,3,25.0,0.08,0.33,16.5,0.0,0,0,1.0,1.0,0.09,0.0,0.0,2,1,1,50.0,0,1.0,0.0,0,0,0,0,14.0,30.0,46.7,24.0,1.0,87.5,53.9,9.0,100.0,64.6,17.0,1.0,5.9,2.0,15.8,214.0,332.0,64.5,4259.0,2239.0,96.0,117.0,82.1,74.0,112.0,66.1,37.0,83.0,44.6,1,1.0,0.4,10.0,25.0,3.0,1.0,19.0,332.0,285.0,45.0,11.0,1.0,0.0,20,18.0,5.0,5.0,0.0,0.0,214.0,2.0,10.0,19.0,9.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,16,12.0,9.0,2.0,10.0,17.0,58.8,7.0,13.0,5.0,8.0,8,31,30.0,0.0,36,446.0,60.0,158.0,178.0,116.0,16.0,446.0,13.0,8.0,61.5,5.0,38.5,214.0,1050.0,456.0,13.0,9.0,4.0,16.0,12.0,210.0,19.0,4,0,0,13,9,2,20,8,16,0.0,0.0,0,68.0,32.0,18.0,64.0,1
2021-09-13,20:00 (12:00),Premier League,Matchweek 4,Mon,Away,L,1,3,Everton,1,11,6,54.5,0.09,0.17,16.8,0.0,0,0,1.0,1.0,0.09,0.0,0.0,6,3,3,50.0,0,2.0,-1.0,0,0,0,0,6.0,13.0,46.2,16.0,5.0,62.5,46.4,5.0,60.0,55.0,9.0,0.0,0.0,0.0,,299.0,440.0,68.0,5788.0,2220.0,128.0,164.0,78.0,122.0,150.0,81.3,44.0,94.0,46.8,1,1.0,1.2,10.0,23.0,9.0,5.0,26.0,440.0,390.0,48.0,5.0,0.0,5.0,21,28.0,6.0,6.0,0.0,0.0,299.0,2.0,15.0,19.0,15.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,7,5.0,4.0,1.0,5.0,11.0,45.5,6.0,11.0,4.0,7.0,19,29,13.0,0.0,48,540.0,39.0,157.0,269.0,120.0,13.0,540.0,11.0,9.0,81.8,2.0,18.2,251.0,1407.0,547.0,5.0,9.0,1.0,12.0,8.0,297.0,26.0,1,0,0,6,3,2,21,19,7,0.0,0.0,0,59.0,22.0,26.0,45.8,1
2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0,1,Arsenal,0,18,3,16.7,0.0,0.0,15.4,0.0,0,0,1.0,1.0,0.06,-1.0,-1.0,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,12.0,17.0,70.6,25.0,10.0,52.0,38.6,5.0,80.0,57.4,8.0,0.0,0.0,5.0,20.7,326.0,472.0,69.1,6517.0,2688.0,137.0,163.0,84.0,129.0,166.0,77.7,54.0,106.0,50.9,0,0.5,1.1,11.0,31.0,12.0,7.0,37.0,472.0,421.0,47.0,10.0,1.0,3.0,41,22.0,8.0,5.0,0.0,0.0,326.0,4.0,12.0,34.0,27.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6,6.0,5.0,3.0,8.0,13.0,61.5,5.0,13.0,6.0,7.0,15,29,15.0,0.0,46,574.0,38.0,136.0,254.0,186.0,34.0,574.0,6.0,3.0,50.0,3.0,50.0,284.0,1302.0,704.0,11.0,9.0,1.0,11.0,15.0,325.0,37.0,2,0,0,9,8,4,41,15,6,0.0,0.0,0,56.0,29.0,23.0,55.8,1
2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,D,2,2,Leicester City,1,9,3,33.3,0.11,0.33,22.7,1.0,0,0,0.5,0.5,0.05,0.5,0.5,4,2,2,50.0,0,0.9,-1.1,0,0,0,0,7.0,24.0,29.2,14.0,1.0,85.7,53.1,13.0,92.3,63.5,15.0,2.0,13.3,0.0,9.0,213.0,321.0,66.4,4176.0,2010.0,103.0,123.0,83.7,70.0,87.0,80.5,32.0,87.0,36.8,1,0.3,0.5,6.0,19.0,11.0,2.0,22.0,321.0,271.0,46.0,9.0,0.0,2.0,12,18.0,3.0,3.0,0.0,0.0,213.0,4.0,6.0,12.0,10.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,5,6.0,5.0,2.0,3.0,13.0,23.1,10.0,17.0,12.0,5.0,11,24,31.0,0.0,34,447.0,82.0,162.0,184.0,110.0,19.0,447.0,15.0,6.0,40.0,9.0,60.0,162.0,685.0,272.0,5.0,4.0,0.0,16.0,8.0,213.0,22.0,4,0,0,8,10,4,12,11,5,0.0,0.0,0,54.0,18.0,20.0,47.4,1
2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,D,0,0,Norwich City,0,14,4,28.6,0.0,0.0,16.6,1.0,0,0,1.2,1.2,0.08,-1.2,-1.2,2,0,2,100.0,1,0.6,0.6,0,0,0,0,4.0,10.0,40.0,26.0,12.0,26.9,32.4,4.0,75.0,54.8,15.0,2.0,13.3,4.0,19.3,378.0,517.0,73.1,6890.0,2723.0,191.0,215.0,88.8,120.0,163.0,73.6,57.0,109.0,52.3,0,1.1,1.3,11.0,37.0,13.0,5.0,46.0,517.0,472.0,43.0,3.0,1.0,8.0,45,26.0,9.0,7.0,0.0,1.0,378.0,2.0,15.0,27.0,23.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7,3.0,6.0,4.0,10.0,22.0,45.5,12.0,9.0,5.0,4.0,8,21,17.0,1.0,56,619.0,54.0,136.0,261.0,230.0,28.0,619.0,22.0,14.0,63.6,8.0,36.4,318.0,1596.0,800.0,15.0,11.0,3.0,15.0,8.0,375.0,46.0,5,0,0,13,3,2,45,8,7,0.0,0.0,0,64.0,27.0,15.0,64.3,1
2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,0,2,Manchester City,0,7,2,28.6,0.0,0.0,14.5,0.0,0,0,0.9,0.9,0.13,-0.9,-0.9,6,2,4,66.7,0,1.8,-0.2,0,0,0,0,9.0,27.0,33.3,26.0,3.0,80.8,49.2,8.0,75.0,55.0,15.0,0.0,0.0,1.0,10.8,248.0,351.0,70.7,4822.0,2186.0,113.0,140.0,80.7,76.0,93.0,81.7,42.0,87.0,48.3,0,0.8,0.6,5.0,23.0,3.0,1.0,24.0,351.0,309.0,39.0,11.0,1.0,10.0,12,15.0,2.0,2.0,0.0,0.0,248.0,3.0,5.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13,11.0,3.0,3.0,9.0,18.0,50.0,9.0,10.0,4.0,6.0,10,27,23.0,2.0,30,457.0,71.0,153.0,208.0,100.0,14.0,457.0,12.0,5.0,41.7,7.0,58.3,246.0,798.0,256.0,3.0,1.0,1.0,12.0,4.0,246.0,23.0,0,0,0,5,10,3,12,10,13,0.0,0.0,0,50.0,15.0,11.0,57.7,1
2021-10-23,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,2,2,Southampton,2,9,5,55.6,0.22,0.4,20.9,0.0,0,0,0.7,0.7,0.08,1.3,1.3,4,2,2,50.0,0,0.9,-1.1,0,0,0,0,12.0,26.0,46.2,19.0,4.0,84.2,52.7,11.0,90.9,64.5,23.0,4.0,17.4,0.0,4.8,199.0,331.0,60.1,3774.0,2175.0,99.0,135.0,73.3,54.0,91.0,59.3,34.0,79.0,43.0,2,0.7,0.4,8.0,23.0,5.0,1.0,19.0,331.0,280.0,50.0,10.0,0.0,1.0,18,24.0,2.0,2.0,0.0,0.0,199.0,1.0,4.0,15.0,13.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,6,4.0,7.0,1.0,8.0,16.0,50.0,8.0,18.0,5.0,13.0,15,27,19.0,0.0,39,450.0,54.0,148.0,164.0,143.0,12.0,450.0,9.0,6.0,66.7,3.0,33.3,154.0,614.0,261.0,5.0,5.0,1.0,18.0,8.0,197.0,19.0,3,0,0,11,10,1,18,15,6,0.0,0.0,0,52.0,29.0,14.0,67.4,1
2021-10-30,15:00 (07:00),Premier League,Matchweek 10,Sat,Home,W,3,1,Brentford,3,15,5,33.3,0.2,0.6,16.6,1.0,0,0,2.3,2.3,0.18,0.7,0.7,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,10.0,23.0,43.5,29.0,5.0,69.0,46.3,3.0,100.0,68.3,19.0,4.0,21.1,1.0,13.1,273.0,401.0,68.1,4865.0,2250.0,138.0,164.0,84.1,88.0,123.0,71.5,37.0,84.0,44.0,2,1.7,0.9,8.0,27.0,6.0,3.0,32.0,401.0,354.0,44.0,13.0,3.0,3.0,15,22.0,4.0,4.0,0.0,0.0,273.0,3.0,7.0,25.0,19.0,1.0,0.0,3.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,5,1.0,6.0,1.0,5.0,7.0,71.4,2.0,14.0,5.0,9.0,21,29,29.0,1.0,41,527.0,66.0,165.0,248.0,117.0,13.0,527.0,15.0,7.0,46.7,8.0,53.3,260.0,1276.0,593.0,14.0,6.0,2.0,19.0,4.0,269.0,31.0,1,0,0,7,10,3,15,21,5,0.0,0.0,0,68.0,20.0,17.0,54.1,1
