Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,0,14,3,21.4,0.0,0.0,17.1,0.0,0,0,1.4,1.4,0.16,-1.4,-1.4,6,3,3,50.0,0,1.2,-1.8,0,0,0,0,5.0,17.0,29.4,37.0,5.0,40.5,32.7,8.0,25.0,20.6,20.0,0.0,0.0,2.0,21.0,466.0,563.0,82.8,7899.0,2686.0,220.0,236.0,93.2,183.0,207.0,88.4,48.0,88.0,54.5,0,1.7,0.8,11.0,23.0,6.0,3.0,29.0,563.0,515.0,46.0,14.0,3.0,6.0,19,17.0,3.0,2.0,1.0,0.0,466.0,2.0,11.0,22.0,18.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13,12.0,7.0,0.0,13.0,20.0,65.0,7.0,14.0,6.0,8.0,9,28,36.0,0.0,50,689.0,105.0,322.0,274.0,97.0,14.0,689.0,18.0,10.0,55.6,8.0,44.4,431.0,2000.0,936.0,16.0,10.0,5.0,15.0,8.0,464.0,29.0,1,0,0,4,14,2,19,9,13,0.0,0.0,0,51.0,8.0,14.0,36.4,1
2021-08-21,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,0,1,0,0.0,0.0,,16.8,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,4,5,0,-25.0,0,2.7,-1.3,0,0,0,0,3.0,13.0,23.1,48.0,8.0,22.9,29.5,9.0,22.2,25.0,18.0,2.0,11.1,0.0,4.5,326.0,389.0,83.8,5294.0,1692.0,171.0,181.0,94.5,130.0,144.0,90.3,21.0,48.0,43.8,0,0.0,0.1,0.0,5.0,0.0,0.0,13.0,389.0,345.0,41.0,15.0,3.0,1.0,6,10.0,1.0,1.0,0.0,0.0,326.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11,13.0,3.0,2.0,6.0,15.0,40.0,9.0,11.0,6.0,5.0,8,26,26.0,0.0,33,479.0,121.0,291.0,162.0,27.0,4.0,479.0,13.0,6.0,46.2,7.0,53.8,266.0,1369.0,603.0,6.0,8.0,1.0,6.0,7.0,325.0,13.0,0,0,0,7,13,3,6,8,11,0.0,0.0,1,28.0,3.0,9.0,25.0,1
2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,1,13,3,23.1,0.0,0.0,22.6,1.0,1,1,1.5,0.7,0.06,-0.5,-0.7,3,2,1,33.3,0,1.6,-0.4,0,0,0,0,5.0,16.0,31.3,27.0,3.0,44.4,38.1,10.0,40.0,38.9,18.0,0.0,0.0,3.0,31.7,311.0,421.0,73.9,5696.0,2049.0,133.0,157.0,84.7,135.0,168.0,80.4,35.0,77.0,45.5,0,0.5,0.4,8.0,16.0,7.0,4.0,26.0,421.0,364.0,55.0,9.0,1.0,3.0,23,24.0,9.0,7.0,2.0,0.0,311.0,2.0,6.0,22.0,16.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,15,7.0,10.0,1.0,9.0,23.0,39.1,14.0,6.0,1.0,5.0,15,33,20.0,0.0,45,533.0,60.0,200.0,219.0,120.0,11.0,532.0,14.0,6.0,42.9,8.0,57.1,306.0,1555.0,877.0,13.0,13.0,0.0,20.0,9.0,311.0,26.0,2,0,0,8,9,2,23,15,15,1.0,0.0,0,42.0,13.0,14.0,48.1,1
2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,0,10,1,10.0,0.0,0.0,19.9,1.0,0,0,0.7,0.7,0.07,-0.7,-0.7,6,1,5,83.3,0,1.5,0.5,0,0,0,0,10.0,24.0,41.7,36.0,3.0,41.7,34.5,15.0,60.0,46.2,17.0,0.0,0.0,0.0,11.7,348.0,454.0,76.7,5776.0,2237.0,182.0,208.0,87.5,128.0,162.0,79.0,31.0,61.0,50.8,0,0.5,0.8,7.0,18.0,8.0,4.0,26.0,454.0,398.0,56.0,10.0,1.0,2.0,18,25.0,4.0,3.0,0.0,0.0,348.0,0.0,13.0,19.0,14.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13,10.0,7.0,3.0,11.0,18.0,61.1,7.0,14.0,11.0,3.0,8,28,22.0,0.0,49,565.0,106.0,244.0,197.0,125.0,21.0,565.0,23.0,7.0,30.4,16.0,69.6,338.0,1684.0,722.0,9.0,9.0,4.0,14.0,0.0,344.0,26.0,2,0,0,11,9,0,18,8,13,0.0,0.0,0,45.0,16.0,19.0,45.7,1
2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,1,12,5,41.7,0.08,0.2,20.7,1.0,0,0,1.0,1.0,0.08,0.0,0.0,8,3,5,62.5,0,3.6,0.6,0,0,0,0,2.0,7.0,28.6,29.0,5.0,24.1,26.3,4.0,0.0,21.3,17.0,0.0,0.0,1.0,23.0,332.0,424.0,78.3,6273.0,2523.0,138.0,159.0,86.8,156.0,186.0,83.9,35.0,68.0,51.5,1,0.9,1.0,9.0,32.0,12.0,2.0,44.0,424.0,374.0,49.0,13.0,2.0,6.0,19,24.0,4.0,1.0,3.0,0.0,332.0,1.0,6.0,18.0,12.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,11,7.0,8.0,2.0,8.0,21.0,38.1,13.0,8.0,1.0,7.0,15,32,19.0,0.0,49,537.0,58.0,186.0,232.0,123.0,26.0,537.0,14.0,9.0,64.3,5.0,35.7,295.0,1669.0,881.0,14.0,11.0,2.0,23.0,6.0,331.0,44.0,1,0,0,10,14,1,19,15,11,0.0,0.0,0,55.0,17.0,15.0,53.1,1
2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,0,10,2,20.0,0.0,0.0,22.3,1.0,0,0,0.5,0.5,0.05,-0.5,-0.5,4,2,2,75.0,0,1.9,-0.1,1,1,0,0,0.0,5.0,0.0,27.0,8.0,18.5,32.5,5.0,0.0,19.8,14.0,0.0,0.0,0.0,5.0,441.0,534.0,82.6,7976.0,2652.0,190.0,214.0,88.8,194.0,212.0,91.5,47.0,82.0,57.3,0,0.4,0.5,8.0,27.0,5.0,0.0,45.0,534.0,485.0,49.0,12.0,0.0,7.0,14,25.0,4.0,4.0,0.0,0.0,441.0,0.0,12.0,20.0,12.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5,5.0,7.0,0.0,7.0,11.0,63.6,4.0,14.0,4.0,10.0,17,29,21.0,0.0,53,649.0,60.0,250.0,267.0,134.0,13.0,649.0,24.0,12.0,50.0,12.0,50.0,382.0,1910.0,1013.0,15.0,16.0,4.0,15.0,6.0,437.0,44.0,3,0,0,9,11,0,14,17,5,0.0,1.0,0,44.0,14.0,8.0,63.6,1
2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,0,10,2,20.0,0.0,0.0,20.7,2.0,0,0,0.6,0.6,0.06,-0.6,-0.6,4,0,4,100.0,1,0.6,0.6,0,0,0,0,11.0,27.0,40.7,38.0,7.0,47.4,38.1,12.0,75.0,55.2,34.0,0.0,0.0,1.0,13.0,283.0,400.0,70.8,5254.0,2277.0,132.0,152.0,86.8,104.0,147.0,70.7,37.0,79.0,46.8,0,0.3,0.7,6.0,15.0,9.0,0.0,23.0,400.0,351.0,48.0,13.0,2.0,7.0,19,17.0,5.0,2.0,2.0,0.0,283.0,1.0,5.0,16.0,11.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12,8.0,7.0,1.0,8.0,22.0,36.4,14.0,18.0,7.0,11.0,7,23,47.0,1.0,44,541.0,105.0,265.0,191.0,92.0,25.0,541.0,22.0,12.0,54.5,10.0,45.5,280.0,1492.0,845.0,16.0,7.0,4.0,16.0,3.0,280.0,23.0,2,0,0,3,13,1,19,7,12,0.0,0.0,0,55.0,15.0,27.0,35.7,1
2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,0,15,2,13.3,0.0,0.0,21.7,1.0,0,0,1.2,1.2,0.08,-1.2,-1.2,3,0,3,100.0,1,0.3,0.3,0,0,0,0,4.0,12.0,33.3,21.0,7.0,28.6,33.4,9.0,66.7,44.7,14.0,1.0,7.1,0.0,10.0,235.0,344.0,68.3,4370.0,1893.0,96.0,123.0,78.0,104.0,138.0,75.4,27.0,59.0,45.8,0,0.6,0.7,10.0,20.0,6.0,1.0,17.0,344.0,290.0,54.0,13.0,2.0,3.0,22,23.0,8.0,5.0,3.0,0.0,235.0,0.0,11.0,29.0,21.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8,4.0,2.0,3.0,4.0,10.0,40.0,6.0,14.0,4.0,10.0,8,17,20.0,0.0,36,452.0,65.0,175.0,162.0,118.0,16.0,452.0,16.0,11.0,68.8,5.0,31.3,183.0,1115.0,588.0,14.0,4.0,5.0,15.0,14.0,230.0,17.0,3,0,0,5,14,0,22,8,8,0.0,0.0,0,47.0,14.0,21.0,40.0,1
2021-10-23,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,0,3,1,33.3,0.0,0.0,20.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,13,7,7,53.8,0,4.5,-1.5,1,1,0,0,10.0,20.0,50.0,42.0,12.0,33.3,33.2,10.0,60.0,44.7,6.0,1.0,16.7,0.0,5.0,326.0,409.0,79.7,6007.0,2283.0,146.0,165.0,88.5,132.0,148.0,89.2,42.0,74.0,56.8,0,0.1,0.1,2.0,12.0,0.0,0.0,15.0,409.0,361.0,48.0,15.0,2.0,2.0,2,15.0,0.0,0.0,0.0,0.0,326.0,0.0,12.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5,8.0,4.0,0.0,3.0,11.0,27.3,8.0,9.0,2.0,7.0,7,19,11.0,0.0,38,499.0,87.0,269.0,190.0,46.0,2.0,499.0,16.0,11.0,68.8,5.0,31.3,241.0,1253.0,465.0,8.0,3.0,1.0,18.0,14.0,324.0,15.0,4,1,1,16,13,0,2,7,5,0.0,1.0,1,47.0,6.0,10.0,37.5,1
2021-10-31,14:00 (07:00),Premier League,Matchweek 10,Sun,Home,L,1,2,Leeds United,1,14,3,21.4,0.07,0.33,21.8,3.0,0,0,0.8,0.8,0.06,0.2,0.2,5,2,3,60.0,0,0.6,-1.4,0,0,0,0,5.0,20.0,25.0,43.0,6.0,41.9,38.5,3.0,66.7,48.0,5.0,0.0,0.0,0.0,12.5,240.0,358.0,67.0,4706.0,1797.0,93.0,114.0,81.6,104.0,130.0,80.0,37.0,93.0,39.8,1,0.3,0.4,6.0,17.0,3.0,1.0,21.0,358.0,303.0,55.0,20.0,2.0,2.0,18,24.0,5.0,5.0,0.0,0.0,240.0,0.0,8.0,22.0,10.0,3.0,1.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,8,10.0,7.0,0.0,9.0,22.0,40.9,13.0,14.0,6.0,8.0,7,24,8.0,1.0,48,469.0,47.0,182.0,175.0,119.0,10.0,469.0,23.0,14.0,60.9,9.0,39.1,205.0,1551.0,855.0,14.0,10.0,2.0,13.0,12.0,234.0,21.0,1,0,0,14,23,0,18,7,8,0.0,0.0,0,52.0,20.0,21.0,48.8,1
