Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,1,3,Everton,1,6,3,50.0,0.17,0.33,15.5,0.0,0,0,0.8,0.8,0.14,0.2,0.2,6,3,3,50.0,0,3.0,0.0,0,0,0,0,6.0,18.0,33.3,19.0,6.0,47.4,38.9,10.0,90.0,58.1,22.0,3.0,13.6,0.0,6.8,283.0,424.0,66.7,4650.0,1784.0,136.0,174.0,78.2,119.0,160.0,74.4,16.0,60.0,26.7,1,0.8,0.8,4.0,19.0,5.0,2.0,21.0,424.0,364.0,60.0,12.0,4.0,1.0,22,26.0,8.0,6.0,2.0,0.0,283.0,0.0,10.0,10.0,5.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,21.0,12,10.0,7.0,4.0,7.0,14.0,50.0,7.0,8.0,3.0,5.0,5,26,22.0,0.0,52,539.0,46.0,159.0,242.0,145.0,24.0,539.0,23.0,10.0,43.5,13.0,56.5,281.0,1429.0,740.0,13.0,11.0,7.0,15.0,10.0,282.0,21.0,0,0,0,15,11,0,22,5,12,0.0,0.0,0,40.0,19.0,24.0,44.2,1
2021-08-22,14:00 (06:00),Premier League,Matchweek 2,Sun,Home,D,1,1,Manchester Utd,0,8,3,37.5,0.0,0.0,21.5,2.0,0,0,0.7,0.7,0.08,-0.7,-0.7,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,4.0,20.0,20.0,14.0,2.0,71.4,47.0,11.0,90.9,63.7,17.0,2.0,11.8,0.0,5.8,216.0,329.0,65.7,3753.0,1377.0,93.0,109.0,85.3,103.0,134.0,76.9,13.0,60.0,21.7,0,0.6,0.4,5.0,14.0,2.0,0.0,19.0,329.0,280.0,49.0,10.0,1.0,0.0,17,19.0,7.0,3.0,3.0,0.0,216.0,0.0,7.0,13.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13,11.0,5.0,7.0,4.0,15.0,26.7,11.0,13.0,5.0,8.0,20,43,21.0,0.0,37,463.0,57.0,140.0,218.0,110.0,13.0,463.0,19.0,9.0,47.4,10.0,52.6,167.0,1157.0,500.0,15.0,13.0,4.0,18.0,9.0,215.0,19.0,2,0,0,12,10,0,17,20,13,0.0,0.0,0,58.0,11.0,15.0,42.3,1
2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,2,2,Newcastle Utd,2,21,5,23.8,0.05,0.2,19.2,1.0,1,1,3.6,2.9,0.16,-1.6,-1.9,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,2.0,12.0,16.7,14.0,6.0,42.9,34.9,7.0,85.7,57.1,13.0,3.0,23.1,0.0,8.3,469.0,571.0,82.1,6886.0,2313.0,284.0,309.0,91.9,154.0,193.0,79.8,20.0,44.0,45.5,0,2.5,1.8,18.0,42.0,9.0,2.0,51.0,571.0,524.0,47.0,14.0,4.0,1.0,21,19.0,4.0,3.0,1.0,0.0,469.0,0.0,4.0,40.0,25.0,2.0,5.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,10,8.0,3.0,4.0,3.0,13.0,23.1,10.0,10.0,1.0,9.0,2,17,13.0,0.0,63,678.0,51.0,142.0,334.0,214.0,31.0,677.0,27.0,15.0,55.6,12.0,44.4,394.0,2695.0,1640.0,42.0,33.0,8.0,13.0,19.0,464.0,51.0,3,0,0,6,10,0,21,2,10,1.0,0.0,0,63.0,14.0,16.0,46.7,1
2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,D,0,0,West Ham,0,11,2,18.2,0.0,0.0,14.2,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,3,0,3,100.0,1,0.3,0.3,0,0,0,0,2.0,6.0,33.3,31.0,6.0,12.9,23.3,3.0,66.7,51.7,20.0,4.0,20.0,0.0,4.0,329.0,423.0,77.8,5593.0,2083.0,153.0,175.0,87.4,147.0,178.0,82.6,24.0,53.0,45.3,0,0.6,0.4,8.0,24.0,6.0,1.0,40.0,423.0,386.0,37.0,14.0,0.0,2.0,13,14.0,5.0,2.0,3.0,0.0,329.0,0.0,7.0,18.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4,7.0,1.0,0.0,5.0,11.0,45.5,6.0,8.0,6.0,2.0,12,20,24.0,0.0,42,527.0,60.0,203.0,227.0,105.0,20.0,527.0,9.0,5.0,55.6,4.0,44.4,353.0,2236.0,1346.0,26.0,14.0,5.0,20.0,10.0,327.0,40.0,3,0,0,10,12,0,13,12,4,0.0,0.0,0,50.0,16.0,16.0,50.0,1
2021-09-18,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,0,0,Manchester City,0,10,2,20.0,0.0,0.0,19.8,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,1,0,1,100.0,1,0.2,0.2,0,0,0,0,8.0,28.0,28.6,25.0,0.0,68.0,45.3,12.0,91.7,65.4,17.0,1.0,5.9,0.0,7.3,250.0,349.0,71.6,4432.0,1811.0,109.0,128.0,85.2,108.0,129.0,83.7,23.0,67.0,34.3,0,0.4,0.2,8.0,16.0,5.0,0.0,29.0,349.0,306.0,43.0,8.0,0.0,3.0,13,17.0,5.0,3.0,1.0,0.0,250.0,0.0,7.0,15.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11,12.0,6.0,3.0,12.0,25.0,48.0,13.0,13.0,7.0,6.0,17,38,23.0,0.0,36,463.0,69.0,179.0,188.0,101.0,17.0,463.0,18.0,13.0,72.2,5.0,27.8,219.0,1379.0,742.0,26.0,16.0,9.0,14.0,8.0,249.0,29.0,2,0,0,12,5,0,13,17,11,0.0,0.0,0,54.0,15.0,22.0,40.5,1
2021-09-26,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,L,0,1,Wolves,0,18,6,33.3,0.0,0.0,20.7,1.0,0,0,1.0,1.0,0.06,-1.0,-1.0,3,1,2,66.7,0,1.4,0.4,0,0,0,0,2.0,5.0,40.0,22.0,3.0,18.2,27.2,3.0,33.3,26.7,5.0,1.0,20.0,0.0,9.8,438.0,550.0,79.6,7123.0,2460.0,220.0,244.0,90.2,170.0,201.0,84.6,35.0,74.0,47.3,0,1.0,0.7,15.0,33.0,6.0,0.0,43.0,550.0,508.0,39.0,8.0,1.0,2.0,26,21.0,5.0,2.0,3.0,0.0,438.0,3.0,9.0,30.0,25.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,5.0,6.0,2.0,6.0,14.0,42.9,8.0,11.0,2.0,9.0,11,24,10.0,0.0,57,655.0,47.0,166.0,278.0,217.0,24.0,655.0,14.0,7.0,50.0,7.0,50.0,329.0,2044.0,1050.0,23.0,21.0,6.0,18.0,5.0,435.0,42.0,0,0,0,12,8,3,26,11,9,0.0,0.0,0,64.0,14.0,15.0,48.3,1
2021-10-02,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,1,3,Chelsea,1,5,1,20.0,0.0,0.0,24.0,0.0,1,1,1.3,0.6,0.11,-0.3,-0.6,9,3,6,66.7,0,2.8,-0.2,0,0,0,0,7.0,22.0,31.8,25.0,2.0,56.0,40.0,9.0,88.9,61.8,14.0,1.0,7.1,0.0,5.0,274.0,371.0,73.9,4266.0,1791.0,144.0,163.0,88.3,92.0,111.0,82.9,20.0,57.0,35.1,0,0.5,0.5,4.0,21.0,6.0,0.0,34.0,371.0,327.0,44.0,11.0,1.0,1.0,7,18.0,2.0,1.0,1.0,0.0,274.0,0.0,12.0,12.0,10.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,9,10.0,11.0,3.0,5.0,24.0,20.8,19.0,10.0,4.0,6.0,10,34,14.0,1.0,38,485.0,57.0,173.0,220.0,101.0,16.0,484.0,19.0,12.0,63.2,7.0,36.8,260.0,1530.0,682.0,17.0,15.0,5.0,24.0,9.0,273.0,34.0,3,1,0,13,11,0,7,10,9,1.0,0.0,0,62.0,4.0,14.0,22.2,1
2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,W,1,0,Leeds United,1,19,4,21.1,0.05,0.25,18.7,1.0,0,0,1.9,1.9,0.1,-0.9,-0.9,0,0,0,,1,0.0,0.0,0,0,0,0,4.0,9.0,44.4,23.0,4.0,21.7,25.3,4.0,100.0,63.8,8.0,0.0,0.0,1.0,21.5,305.0,412.0,74.0,4998.0,2269.0,144.0,174.0,82.8,126.0,151.0,83.4,22.0,58.0,37.9,1,0.8,1.0,13.0,24.0,9.0,4.0,33.0,412.0,357.0,54.0,14.0,1.0,1.0,18,27.0,8.0,3.0,4.0,0.0,305.0,1.0,10.0,32.0,24.0,4.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,15,8.0,10.0,4.0,8.0,19.0,42.1,11.0,11.0,1.0,10.0,10,32,10.0,1.0,46,527.0,30.0,129.0,250.0,158.0,25.0,527.0,26.0,17.0,65.4,9.0,34.6,278.0,1843.0,794.0,19.0,20.0,8.0,19.0,12.0,301.0,32.0,2,0,0,16,14,1,18,10,15,0.0,0.0,0,67.0,20.0,14.0,58.8,1
2021-10-23,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Burnley,2,16,4,25.0,0.13,0.5,16.9,0.0,0,0,1.6,1.6,0.1,0.4,0.4,5,2,3,60.0,0,1.6,-0.4,0,0,0,0,2.0,8.0,25.0,33.0,8.0,21.2,31.2,6.0,16.7,13.3,16.0,1.0,6.3,0.0,6.5,381.0,517.0,73.7,5890.0,2141.0,185.0,219.0,84.5,146.0,189.0,77.2,21.0,55.0,38.2,2,0.9,0.6,13.0,26.0,13.0,5.0,48.0,517.0,458.0,58.0,12.0,0.0,2.0,27,31.0,6.0,2.0,4.0,0.0,381.0,1.0,14.0,26.0,23.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,5,4.0,6.0,1.0,3.0,9.0,33.3,6.0,6.0,1.0,5.0,12,23,22.0,0.0,61,627.0,58.0,189.0,267.0,177.0,27.0,627.0,16.0,8.0,50.0,8.0,50.0,394.0,2264.0,1220.0,29.0,22.0,6.0,19.0,4.0,378.0,48.0,1,0,0,10,11,1,27,12,5,0.0,0.0,0,56.0,14.0,29.0,32.6,1
2021-10-30,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,W,1,0,Watford,1,12,1,8.3,0.08,1.0,15.0,0.0,0,0,1.8,1.8,0.15,-0.8,-0.8,3,0,3,100.0,1,0.8,0.8,0,0,0,0,5.0,13.0,38.5,30.0,11.0,33.3,29.9,10.0,30.0,29.5,23.0,4.0,17.4,0.0,8.2,390.0,532.0,73.3,7006.0,2918.0,163.0,198.0,82.3,176.0,212.0,83.0,40.0,81.0,49.4,1,1.7,1.2,11.0,33.0,8.0,1.0,51.0,532.0,482.0,50.0,18.0,3.0,4.0,26,13.0,8.0,4.0,3.0,1.0,390.0,0.0,8.0,21.0,18.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,10,10.0,4.0,1.0,6.0,16.0,37.5,10.0,6.0,1.0,5.0,12,27,28.0,0.0,60,633.0,60.0,218.0,275.0,143.0,30.0,633.0,14.0,7.0,50.0,7.0,50.0,279.0,1736.0,1132.0,21.0,11.0,7.0,2.0,8.0,383.0,50.0,2,0,0,6,16,0,26,12,10,0.0,0.0,0,59.0,35.0,21.0,62.5,1
