Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,1,12,4,33.3,0.08,0.25,18.6,1.0,0,0,0.8,0.8,0.07,0.2,0.2,6,1,5,83.3,0,1.3,0.3,0,0,0,0,1.0,8.0,12.5,20.0,8.0,35.0,31.3,9.0,11.1,19.8,15.0,1.0,6.7,1.0,12.5,295.0,399.0,73.9,5083.0,2117.0,127.0,156.0,81.4,127.0,156.0,81.4,28.0,62.0,45.2,1,0.7,0.5,9.0,30.0,7.0,1.0,37.0,399.0,357.0,42.0,9.0,0.0,3.0,20,16.0,6.0,1.0,4.0,1.0,295.0,0.0,4.0,18.0,9.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14,9.0,7.0,5.0,14.0,39.0,35.9,25.0,13.0,3.0,10.0,14,35,23.0,0.0,40,515.0,65.0,166.0,221.0,132.0,26.0,515.0,14.0,7.0,50.0,6.0,42.9,288.0,1282.0,635.0,15.0,14.0,4.0,13.0,10.0,292.0,37.0,2,0,0,13,8,0,20,14,14,0.0,0.0,0,62.0,9.0,7.0,56.3,1
2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,2,13,5,38.5,0.15,0.4,12.0,0.0,0,0,1.8,1.8,0.15,0.2,0.2,4,2,2,50.0,0,2.2,0.2,0,0,0,0,1.0,11.0,9.1,21.0,7.0,38.1,35.1,9.0,33.3,36.9,14.0,1.0,7.1,2.0,15.3,370.0,501.0,73.9,6178.0,2522.0,180.0,205.0,87.8,157.0,204.0,77.0,28.0,69.0,40.6,2,1.9,0.6,12.0,20.0,8.0,1.0,38.0,501.0,444.0,56.0,11.0,1.0,1.0,11,28.0,5.0,1.0,3.0,0.0,370.0,1.0,9.0,23.0,18.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,20,11.0,13.0,3.0,8.0,25.0,32.0,17.0,15.0,3.0,12.0,10,37,21.0,0.0,57,623.0,63.0,263.0,245.0,123.0,20.0,623.0,14.0,6.0,42.9,7.0,50.0,347.0,1258.0,496.0,8.0,5.0,1.0,18.0,10.0,365.0,38.0,3,0,0,12,9,1,11,10,20,0.0,0.0,0,54.0,23.0,17.0,57.5,1
2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,3,12,6,50.0,0.25,0.5,16.3,0.0,0,0,2.1,2.1,0.18,0.9,0.9,3,0,3,100.0,1,0.6,0.6,0,0,0,0,1.0,16.0,6.3,27.0,2.0,55.6,42.5,7.0,14.3,24.0,11.0,0.0,0.0,3.0,48.0,251.0,352.0,71.3,4255.0,1686.0,117.0,141.0,83.0,97.0,122.0,79.5,25.0,60.0,41.7,2,1.2,0.5,9.0,25.0,4.0,1.0,26.0,352.0,298.0,53.0,22.0,0.0,3.0,12,19.0,4.0,2.0,2.0,0.0,251.0,1.0,9.0,17.0,10.0,3.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,26.0,14,16.0,8.0,2.0,14.0,27.0,51.9,13.0,21.0,5.0,16.0,16,42,17.0,0.0,39,477.0,66.0,191.0,170.0,122.0,14.0,477.0,24.0,8.0,33.3,12.0,50.0,174.0,849.0,409.0,13.0,7.0,2.0,10.0,10.0,250.0,26.0,0,0,0,16,15,1,12,16,14,0.0,0.0,0,49.0,9.0,21.0,30.0,1
2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,L,0,1,Brighton,0,10,2,20.0,0.0,0.0,18.0,1.0,0,0,1.8,1.8,0.18,-1.8,-1.8,4,1,3,75.0,0,1.3,0.3,0,0,0,0,1.0,11.0,9.1,29.0,6.0,20.7,27.9,11.0,45.5,37.0,10.0,0.0,0.0,0.0,3.7,387.0,515.0,75.1,6744.0,2453.0,168.0,191.0,88.0,172.0,219.0,78.5,32.0,78.0,41.0,0,0.8,0.4,7.0,30.0,5.0,0.0,39.0,515.0,466.0,48.0,11.0,0.0,3.0,12,21.0,3.0,1.0,2.0,0.0,387.0,1.0,8.0,19.0,14.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12,9.0,12.0,1.0,8.0,15.0,53.3,7.0,8.0,1.0,7.0,16,38,14.0,0.0,56,619.0,67.0,235.0,274.0,115.0,13.0,619.0,20.0,11.0,55.0,5.0,25.0,327.0,1557.0,793.0,18.0,8.0,4.0,14.0,9.0,384.0,39.0,3,0,0,14,10,1,12,16,12,0.0,0.0,0,62.0,10.0,14.0,41.7,1
2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,1,14,5,35.7,0.07,0.2,16.9,0.0,0,0,1.0,1.0,0.07,0.0,0.0,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,0.0,6.0,0.0,19.0,0.0,31.6,31.8,2.0,0.0,15.0,3.0,0.0,0.0,3.0,17.0,580.0,715.0,81.1,9247.0,2911.0,273.0,309.0,88.3,250.0,286.0,87.4,31.0,65.0,47.7,1,0.5,0.8,11.0,48.0,10.0,3.0,73.0,715.0,650.0,63.0,11.0,2.0,2.0,31,38.0,10.0,4.0,3.0,0.0,580.0,2.0,19.0,25.0,18.0,5.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,13,7.0,13.0,5.0,15.0,21.0,71.4,6.0,10.0,3.0,7.0,11,36,11.0,1.0,69,852.0,35.0,179.0,408.0,273.0,27.0,852.0,28.0,12.0,42.9,14.0,50.0,488.0,2356.0,1236.0,21.0,17.0,5.0,26.0,14.0,577.0,73.0,3,0,0,10,9,2,31,11,13,0.0,0.0,0,65.0,24.0,12.0,66.7,1
2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,2,5,Brentford,2,17,6,35.3,0.12,0.33,21.9,1.0,0,0,1.7,1.7,0.11,0.3,0.3,8,5,3,50.0,0,3.7,-1.3,1,1,0,0,3.0,12.0,25.0,20.0,5.0,40.0,34.4,8.0,50.0,40.4,8.0,0.0,0.0,2.0,23.3,433.0,538.0,80.5,7046.0,2604.0,217.0,244.0,88.9,170.0,204.0,83.3,28.0,57.0,49.1,1,1.7,1.3,12.0,50.0,11.0,3.0,50.0,538.0,484.0,53.0,8.0,0.0,3.0,19,25.0,6.0,3.0,2.0,1.0,433.0,1.0,9.0,29.0,23.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,24.0,17,5.0,14.0,5.0,9.0,22.0,40.9,13.0,5.0,1.0,4.0,3,27,12.0,2.0,68,652.0,51.0,147.0,298.0,209.0,25.0,652.0,31.0,16.0,51.6,13.0,41.9,317.0,1623.0,818.0,17.0,14.0,2.0,20.0,11.0,427.0,50.0,2,0,0,9,8,1,19,3,17,0.0,1.0,0,58.0,11.0,17.0,39.3,1
2022-10-02,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,0,6,1,16.7,0.0,0.0,16.8,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,6,0,6,100.0,1,1.3,1.3,0,0,0,0,5.0,18.0,27.8,31.0,10.0,38.7,34.8,8.0,75.0,47.4,18.0,3.0,16.7,0.0,7.6,295.0,415.0,71.1,5313.0,2083.0,127.0,154.0,82.5,130.0,163.0,79.8,31.0,83.0,37.3,0,0.3,0.3,5.0,19.0,5.0,0.0,26.0,415.0,370.0,45.0,14.0,0.0,4.0,10,20.0,2.0,1.0,1.0,0.0,295.0,0.0,4.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9,8.0,3.0,1.0,6.0,16.0,37.5,10.0,12.0,5.0,7.0,6,18,22.0,0.0,44,510.0,68.0,222.0,222.0,71.0,16.0,510.0,14.0,6.0,42.9,6.0,42.9,256.0,1060.0,565.0,11.0,5.0,3.0,12.0,10.0,293.0,26.0,5,1,1,23,12,0,10,6,9,0.0,0.0,0,49.0,16.0,22.0,42.1,1
2022-10-09,14:00 (06:00),Premier League,Matchweek 10,Sun,Away,L,1,2,Crystal Palace,1,10,4,40.0,0.1,0.25,18.1,0.0,0,0,1.0,1.0,0.1,0.0,0.0,5,2,3,60.0,0,1.7,-0.3,0,0,0,0,2.0,16.0,12.5,21.0,8.0,52.4,36.8,9.0,55.6,46.1,13.0,1.0,7.7,1.0,27.0,265.0,404.0,65.6,3944.0,2078.0,138.0,175.0,78.9,84.0,119.0,70.6,19.0,59.0,32.2,0,0.8,0.8,8.0,18.0,11.0,2.0,31.0,404.0,340.0,62.0,15.0,1.0,0.0,17,32.0,3.0,1.0,2.0,0.0,265.0,2.0,17.0,15.0,9.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,13,11.0,10.0,8.0,11.0,18.0,61.1,7.0,13.0,3.0,10.0,10,39,12.0,0.0,46,521.0,44.0,157.0,203.0,165.0,21.0,521.0,17.0,8.0,47.1,8.0,47.1,248.0,1035.0,450.0,5.0,5.0,2.0,14.0,10.0,262.0,31.0,3,0,0,23,13,2,17,10,13,0.0,0.0,0,58.0,13.0,15.0,46.4,1
2022-10-16,14:00 (06:00),Premier League,Matchweek 11,Sun,Home,L,0,1,Arsenal,0,15,4,26.7,0.0,0.0,18.1,0.0,0,1,1.8,1.1,0.07,-1.8,-1.1,4,1,3,75.0,0,1.0,0.0,0,0,0,0,2.0,9.0,22.2,24.0,8.0,29.2,28.7,5.0,40.0,44.6,7.0,1.0,14.3,2.0,16.8,359.0,478.0,75.1,5374.0,2078.0,185.0,210.0,88.1,121.0,157.0,77.1,23.0,59.0,39.0,0,0.8,0.8,11.0,29.0,8.0,1.0,36.0,478.0,432.0,42.0,10.0,1.0,4.0,19,19.0,6.0,5.0,1.0,0.0,359.0,4.0,12.0,23.0,20.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14,12.0,11.0,2.0,14.0,30.0,46.7,16.0,10.0,2.0,8.0,13,38,6.0,0.0,47,578.0,37.0,153.0,246.0,184.0,22.0,577.0,16.0,6.0,37.5,9.0,56.3,373.0,1783.0,847.0,18.0,10.0,6.0,10.0,8.0,359.0,36.0,0,0,0,10,9,4,19,13,14,0.0,0.0,0,61.0,13.0,10.0,56.5,1
2022-10-20,20:15 (12:15),Premier League,Matchweek 12,Thu,Away,L,0,2,Leicester City,0,14,2,14.3,0.0,0.0,18.3,0.0,0,0,1.3,1.3,0.1,-1.3,-1.3,1,2,0,-100.0,0,0.3,-0.7,0,0,0,0,5.0,7.0,71.4,33.0,5.0,12.1,23.9,7.0,42.9,40.0,7.0,0.0,0.0,1.0,18.7,443.0,570.0,77.7,7700.0,2697.0,181.0,218.0,83.0,215.0,238.0,90.3,33.0,72.0,45.8,0,1.2,0.7,11.0,28.0,5.0,1.0,33.0,570.0,501.0,67.0,19.0,1.0,1.0,16,29.0,9.0,5.0,1.0,0.0,443.0,2.0,17.0,23.0,17.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,16,11.0,17.0,2.0,13.0,18.0,72.2,5.0,9.0,3.0,6.0,12,42,13.0,1.0,54,685.0,51.0,217.0,352.0,123.0,23.0,685.0,19.0,4.0,21.1,12.0,63.2,365.0,1796.0,854.0,15.0,7.0,6.0,11.0,14.0,441.0,33.0,1,0,0,11,14,2,16,12,16,0.0,0.0,1,56.0,12.0,6.0,66.7,1
