Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,1,Fulham,0,19,9,47.4,0.0,0.0,15.8,0.0,0,0,2.7,2.7,0.14,-2.7,-2.7,2,1,1,50.0,0,1.1,0.1,0,0,0,0,9.0,19.0,47.4,25.0,1.0,56.0,40.7,9.0,55.6,46.4,9.0,0.0,0.0,0.0,,316.0,426.0,74.2,5926.0,2172.0,131.0,147.0,89.1,130.0,152.0,85.5,44.0,94.0,46.8,0,2.4,1.0,14.0,31.0,8.0,2.0,29.0,426.0,363.0,57.0,9.0,1.0,4.0,26,27.0,10.0,4.0,5.0,0.0,316.0,6.0,10.0,36.0,22.0,5.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6,5.0,3.0,5.0,4.0,10.0,40.0,6.0,13.0,1.0,12.0,13,26,16.0,0.0,42,531.0,47.0,145.0,223.0,169.0,24.0,531.0,14.0,7.0,50.0,7.0,50.0,292.0,1577.0,767.0,15.0,10.0,5.0,12.0,3.0,313.0,29.0,0,0,0,12,6,6,26,13,6,0.0,0.0,0,52.0,9.0,14.0,39.1,1
2023-08-20,14:00 (06:00),Premier League,Matchweek 2,Sun,Away,L,0,4,Aston Villa,0,9,2,22.2,0.0,0.0,14.7,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,7,4,3,57.1,0,3.1,-0.9,1,1,0,0,4.0,10.0,40.0,20.0,4.0,30.0,34.3,6.0,66.7,45.5,8.0,0.0,0.0,0.0,,311.0,399.0,77.9,5706.0,1982.0,127.0,142.0,89.4,139.0,158.0,88.0,35.0,76.0,46.1,0,0.6,0.5,7.0,22.0,4.0,0.0,24.0,399.0,357.0,41.0,9.0,1.0,4.0,18,15.0,6.0,3.0,3.0,0.0,311.0,1.0,8.0,14.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10,8.0,4.0,2.0,10.0,23.0,43.5,13.0,8.0,2.0,6.0,6,20,10.0,2.0,40,479.0,47.0,134.0,224.0,126.0,19.0,479.0,13.0,9.0,69.2,2.0,15.4,286.0,1267.0,685.0,15.0,13.0,3.0,17.0,7.0,306.0,23.0,4,0,0,12,8,1,18,6,10,0.0,1.0,0,50.0,8.0,9.0,47.1,1
2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,1,Wolves,0,15,7,46.7,0.0,0.0,13.8,0.0,0,0,1.3,1.3,0.09,-1.3,-1.3,2,1,1,50.0,0,1.1,0.1,0,0,0,0,8.0,19.0,42.1,32.0,3.0,50.0,35.9,7.0,42.9,33.1,11.0,0.0,0.0,4.0,29.3,362.0,460.0,78.7,6254.0,2475.0,169.0,188.0,89.9,144.0,167.0,86.2,35.0,80.0,43.8,0,0.9,1.1,8.0,30.0,9.0,3.0,35.0,460.0,405.0,54.0,15.0,1.0,2.0,27,23.0,7.0,6.0,1.0,0.0,362.0,1.0,4.0,21.0,10.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16,12.0,10.0,4.0,13.0,18.0,72.2,5.0,11.0,4.0,7.0,10,36,8.0,0.0,47,566.0,47.0,162.0,243.0,167.0,26.0,566.0,14.0,6.0,42.9,6.0,42.9,344.0,1747.0,847.0,18.0,20.0,5.0,17.0,12.0,357.0,35.0,3,0,0,10,14,1,27,10,16,0.0,0.0,0,60.0,14.0,9.0,60.9,1
2023-09-02,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Sheffield Utd,2,16,6,37.5,0.13,0.33,14.8,2.0,0,0,2.5,2.5,0.21,-0.5,-0.5,7,2,6,71.4,0,1.9,0.9,0,0,0,0,7.0,22.0,31.8,34.0,7.0,58.8,42.7,2.0,100.0,66.0,11.0,2.0,18.2,4.0,21.9,383.0,518.0,73.9,6682.0,2601.0,182.0,207.0,87.9,147.0,187.0,78.6,43.0,87.0,49.4,1,2.1,0.8,10.0,32.0,5.0,1.0,41.0,518.0,469.0,47.0,10.0,1.0,4.0,24,26.0,6.0,2.0,3.0,1.0,383.0,2.0,15.0,25.0,14.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,23.0,18,13.0,9.0,1.0,9.0,16.0,56.3,7.0,16.0,2.0,14.0,7,30,18.0,0.0,54,635.0,52.0,174.0,301.0,163.0,24.0,635.0,20.0,10.0,50.0,9.0,45.0,388.0,1863.0,1028.0,22.0,16.0,8.0,9.0,7.0,380.0,41.0,2,0,0,13,11,2,24,7,18,0.0,0.0,1,59.0,19.0,18.0,51.4,1
2023-09-17,16:30 (08:30),Premier League,Matchweek 5,Sun,Home,L,0,1,Arsenal,0,8,1,12.5,0.0,0.0,21.6,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,9.0,32.0,28.1,36.0,3.0,72.2,48.5,9.0,66.7,55.6,14.0,0.0,0.0,0.0,4.0,170.0,255.0,66.7,3261.0,1418.0,70.0,89.0,78.7,76.0,92.0,82.6,20.0,62.0,32.3,0,0.3,0.1,8.0,13.0,3.0,1.0,10.0,255.0,218.0,36.0,13.0,0.0,1.0,5,11.0,1.0,1.0,0.0,0.0,170.0,1.0,5.0,15.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13,13.0,3.0,3.0,7.0,17.0,41.2,10.0,13.0,6.0,7.0,10,29,17.0,0.0,26,348.0,81.0,171.0,117.0,63.0,9.0,348.0,8.0,3.0,37.5,4.0,50.0,188.0,810.0,411.0,6.0,1.0,2.0,7.0,5.0,166.0,10.0,1,0,0,12,8,1,5,10,13,0.0,0.0,0,41.0,10.0,9.0,52.6,1
2023-09-23,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,W,3,1,Brentford,3,18,6,33.3,0.17,0.5,17.8,0.0,0,0,1.9,1.9,0.11,1.1,1.1,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,7.0,20.0,35.0,31.0,5.0,51.6,39.7,4.0,100.0,63.3,9.0,1.0,11.1,0.0,11.3,367.0,473.0,77.6,6234.0,2720.0,182.0,202.0,90.1,138.0,172.0,80.2,36.0,73.0,49.3,3,1.7,1.3,14.0,28.0,9.0,2.0,36.0,473.0,429.0,43.0,11.0,2.0,1.0,20,22.0,4.0,4.0,0.0,0.0,367.0,1.0,11.0,30.0,24.0,4.0,0.0,0.0,0.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,16.0,11,5.0,7.0,4.0,10.0,17.0,58.8,7.0,14.0,4.0,10.0,7,23,20.0,0.0,43,586.0,50.0,176.0,240.0,171.0,22.0,586.0,10.0,4.0,40.0,6.0,60.0,310.0,1512.0,811.0,20.0,15.0,5.0,14.0,14.0,362.0,36.0,2,0,0,12,9,1,20,7,11,0.0,0.0,0,61.0,28.0,17.0,62.2,1
2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,L,1,2,Luton Town,1,23,4,17.4,0.04,0.25,14.4,0.0,0,0,2.9,2.9,0.16,-1.9,-1.9,2,2,0,0.0,0,1.4,-0.6,0,0,0,0,3.0,18.0,16.7,39.0,2.0,28.2,33.8,8.0,87.5,59.6,10.0,1.0,10.0,2.0,21.7,502.0,649.0,77.3,8314.0,3228.0,283.0,318.0,89.0,151.0,185.0,81.6,56.0,103.0,54.4,0,2.2,2.5,18.0,40.0,22.0,7.0,49.0,649.0,584.0,63.0,12.0,3.0,3.0,32,37.0,3.0,3.0,0.0,0.0,502.0,2.0,13.0,42.0,35.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,11,10.0,8.0,5.0,13.0,18.0,72.2,5.0,22.0,3.0,19.0,5,28,16.0,1.0,67,801.0,51.0,202.0,356.0,246.0,35.0,801.0,28.0,10.0,35.7,16.0,57.1,418.0,2371.0,1157.0,19.0,19.0,2.0,18.0,8.0,498.0,49.0,0,0,0,8,9,2,32,5,11,0.0,0.0,0,75.0,30.0,25.0,54.5,1
2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,W,3,0,Bournemouth,3,25,8,32.0,0.12,0.38,15.8,0.0,0,0,2.4,2.4,0.1,0.6,0.6,3,0,3,100.0,1,0.4,0.4,0,0,0,0,17.0,26.0,65.4,34.0,7.0,55.9,43.3,8.0,87.5,64.5,15.0,1.0,6.7,4.0,20.6,332.0,443.0,74.9,6271.0,2924.0,156.0,178.0,87.6,114.0,138.0,82.6,49.0,84.0,58.3,1,1.5,1.6,13.0,23.0,8.0,1.0,31.0,443.0,386.0,55.0,15.0,5.0,1.0,25,23.0,8.0,8.0,0.0,0.0,332.0,2.0,12.0,40.0,29.0,3.0,3.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,28.0,12,10.0,11.0,7.0,5.0,17.0,29.4,12.0,15.0,5.0,10.0,5,33,18.0,0.0,48,590.0,58.0,173.0,234.0,191.0,38.0,590.0,22.0,12.0,54.5,7.0,31.8,299.0,1733.0,891.0,23.0,15.0,10.0,19.0,13.0,330.0,31.0,1,0,0,14,15,2,25,5,12,0.0,0.0,0,55.0,23.0,16.0,59.0,1
2023-10-21,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,2,Liverpool,0,6,1,16.7,0.0,0.0,35.2,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,6,2,4,83.3,0,1.8,-0.2,1,1,0,0,8.0,31.0,25.8,25.0,6.0,68.0,50.3,14.0,100.0,67.1,20.0,2.0,10.0,2.0,12.4,131.0,244.0,53.7,2747.0,1627.0,52.0,71.0,73.2,51.0,83.0,61.4,24.0,71.0,33.8,0,0.1,0.2,4.0,6.0,4.0,1.0,12.0,244.0,193.0,50.0,11.0,0.0,0.0,6,18.0,4.0,4.0,0.0,0.0,131.0,1.0,6.0,11.0,6.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14,13.0,3.0,1.0,8.0,16.0,50.0,8.0,15.0,11.0,4.0,14,31,28.0,1.0,23,369.0,102.0,188.0,137.0,48.0,6.0,369.0,21.0,12.0,57.1,8.0,38.1,103.0,569.0,244.0,4.0,3.0,0.0,18.0,5.0,131.0,12.0,3,1,1,9,8,1,6,14,14,0.0,1.0,0,63.0,24.0,24.0,50.0,1
2023-10-29,13:00 (06:00),Premier League,Matchweek 10,Sun,Away,W,1,0,West Ham,1,10,4,40.0,0.1,0.25,17.4,0.0,0,0,0.8,0.8,0.08,0.2,0.2,2,0,2,100.0,1,0.3,0.3,0,0,0,0,8.0,19.0,42.1,30.0,4.0,50.0,40.0,8.0,50.0,47.1,16.0,0.0,0.0,0.0,9.0,303.0,404.0,75.0,5472.0,2428.0,147.0,175.0,84.0,105.0,124.0,84.7,43.0,83.0,51.8,1,0.6,0.4,8.0,20.0,6.0,4.0,28.0,404.0,363.0,38.0,8.0,1.0,2.0,14,18.0,3.0,3.0,0.0,0.0,303.0,3.0,7.0,17.0,13.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,14,11.0,17.0,1.0,9.0,27.0,33.3,18.0,11.0,2.0,9.0,14,43,30.0,0.0,36,541.0,68.0,186.0,272.0,90.0,17.0,541.0,14.0,5.0,35.7,7.0,50.0,258.0,1551.0,750.0,18.0,14.0,5.0,18.0,10.0,301.0,28.0,1,0,0,11,7,3,14,14,14,0.0,0.0,0,57.0,18.0,13.0,58.1,1
