Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,1,4,Brighton,1,8,2,25.0,0.0,0.0,16.6,0.0,1,1,1.5,0.7,0.09,-0.5,-0.7,12,4,8,75.0,0,4.9,0.9,1,1,0,0,11.0,26.0,42.3,25.0,6.0,72.0,45.0,11.0,72.7,49.8,18.0,0.0,0.0,0.0,8.0,189.0,276.0,68.5,4180.0,2101.0,75.0,94.0,79.8,73.0,89.0,82.0,40.0,79.0,50.6,0,0.7,1.1,7.0,17.0,6.0,3.0,27.0,276.0,228.0,45.0,11.0,0.0,4.0,22,11.0,7.0,1.0,6.0,0.0,189.0,3.0,6.0,16.0,12.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,12,9.0,6.0,2.0,9.0,15.0,60.0,6.0,10.0,5.0,5.0,9,26,28.0,2.0,30,395.0,87.0,185.0,131.0,83.0,19.0,394.0,11.0,1.0,9.1,7.0,63.6,189.0,1218.0,542.0,13.0,12.0,5.0,13.0,6.0,187.0,27.0,2,0,0,12,9,3,22,9,12,0.0,1.0,0,41.0,21.0,12.0,63.6,1
2023-08-25,20:00 (12:00),Premier League,Matchweek 3,Fri,Away,L,0,3,Chelsea,0,11,1,9.1,0.0,0.0,19.0,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,8,3,5,62.5,0,2.7,-0.3,0,0,0,0,5.0,20.0,25.0,26.0,4.0,65.4,43.7,8.0,37.5,33.6,11.0,0.0,0.0,1.0,28.0,256.0,338.0,75.7,4614.0,1626.0,114.0,131.0,87.0,116.0,128.0,90.6,21.0,63.0,33.3,0,0.2,0.5,6.0,26.0,2.0,0.0,30.0,338.0,298.0,40.0,14.0,0.0,5.0,18,10.0,4.0,2.0,2.0,0.0,256.0,0.0,7.0,20.0,11.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10,11.0,5.0,2.0,7.0,14.0,50.0,7.0,7.0,5.0,2.0,5,23,19.0,0.0,33,427.0,57.0,128.0,189.0,118.0,17.0,427.0,12.0,7.0,58.3,4.0,33.3,259.0,1509.0,768.0,8.0,5.0,4.0,8.0,6.0,253.0,30.0,3,0,0,12,15,0,18,5,10,0.0,0.0,0,47.0,6.0,14.0,30.0,1
2023-09-01,20:00 (12:00),Premier League,Matchweek 4,Fri,Home,L,1,2,West Ham,1,16,1,6.3,0.06,1.0,11.9,0.0,0,0,1.4,1.4,0.09,-0.4,-0.4,3,2,1,33.3,0,1.3,-0.7,0,0,0,0,8.0,30.0,26.7,36.0,1.0,77.8,48.7,7.0,28.6,27.3,12.0,1.0,8.3,1.0,18.5,295.0,419.0,70.4,5318.0,2199.0,146.0,171.0,85.4,108.0,137.0,78.8,35.0,90.0,38.9,1,1.1,1.5,12.0,27.0,10.0,5.0,37.0,419.0,361.0,58.0,18.0,0.0,2.0,31,21.0,9.0,6.0,1.0,2.0,295.0,0.0,10.0,29.0,19.0,4.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,12,8.0,3.0,3.0,8.0,16.0,50.0,8.0,14.0,2.0,12.0,7,21,25.0,0.0,39,547.0,60.0,158.0,206.0,188.0,30.0,547.0,24.0,9.0,37.5,14.0,58.3,219.0,1299.0,528.0,12.0,10.0,5.0,17.0,8.0,294.0,37.0,1,0,0,8,11,0,31,7,12,0.0,0.0,0,60.0,20.0,19.0,51.3,1
2023-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,1,Fulham,0,7,2,28.6,0.0,0.0,10.0,0.0,0,0,1.1,1.1,0.16,-1.1,-1.1,2,1,1,50.0,0,1.0,0.0,0,0,0,0,5.0,17.0,29.4,19.0,7.0,36.8,34.4,10.0,100.0,66.0,22.0,2.0,9.1,0.0,3.7,176.0,260.0,67.7,3175.0,1583.0,91.0,109.0,83.5,65.0,92.0,70.7,17.0,51.0,33.3,0,1.1,0.6,7.0,11.0,7.0,4.0,14.0,260.0,221.0,38.0,6.0,0.0,1.0,12,18.0,2.0,2.0,0.0,0.0,176.0,1.0,5.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13,16.0,4.0,0.0,8.0,12.0,66.7,4.0,11.0,6.0,5.0,11,31,17.0,1.0,23,366.0,50.0,166.0,136.0,65.0,16.0,366.0,12.0,4.0,33.3,7.0,58.3,170.0,985.0,501.0,7.0,5.0,3.0,16.0,10.0,174.0,14.0,2,0,0,14,6,1,12,11,13,0.0,0.0,0,44.0,18.0,11.0,62.1,1
2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,1,19,3,15.8,0.0,0.0,17.3,0.0,1,1,2.1,1.4,0.07,-1.1,-1.4,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,3.0,15.0,20.0,29.0,5.0,48.3,38.1,2.0,50.0,52.5,5.0,0.0,0.0,1.0,24.0,364.0,501.0,72.7,6341.0,2529.0,179.0,207.0,86.5,126.0,159.0,79.2,45.0,96.0,46.9,0,1.2,1.4,15.0,35.0,12.0,1.0,58.0,501.0,448.0,52.0,17.0,0.0,4.0,44,21.0,10.0,5.0,5.0,0.0,364.0,1.0,16.0,36.0,30.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,9,7.0,9.0,4.0,9.0,17.0,52.9,8.0,3.0,0.0,3.0,8,28,5.0,0.0,57,609.0,24.0,109.0,283.0,226.0,40.0,608.0,16.0,8.0,50.0,4.0,25.0,372.0,2031.0,1219.0,34.0,21.0,8.0,11.0,10.0,357.0,56.0,0,0,0,12,16,1,44,8,9,0.0,0.0,0,67.0,19.0,21.0,47.5,1
2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,W,2,1,Everton,2,9,2,22.2,0.22,1.0,13.4,0.0,0,0,0.9,0.9,0.1,1.1,1.1,4,1,3,75.0,0,1.3,0.3,0,0,0,0,13.0,33.0,39.4,23.0,5.0,73.9,50.2,18.0,88.9,59.2,28.0,2.0,7.1,1.0,13.7,172.0,321.0,53.6,3865.0,2191.0,62.0,85.0,72.9,61.0,96.0,63.5,43.0,95.0,45.3,1,0.5,0.3,7.0,17.0,3.0,0.0,20.0,321.0,256.0,62.0,10.0,0.0,4.0,12,26.0,6.0,2.0,4.0,0.0,172.0,3.0,21.0,16.0,7.0,5.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,24.0,14,11.0,13.0,0.0,16.0,26.0,61.5,10.0,17.0,5.0,12.0,10,34,30.0,0.0,33,474.0,94.0,212.0,155.0,109.0,16.0,474.0,20.0,5.0,25.0,13.0,65.0,158.0,1021.0,395.0,8.0,11.0,4.0,17.0,10.0,168.0,18.0,1,0,0,10,8,3,12,10,14,0.0,0.0,0,74.0,25.0,30.0,45.5,1
2023-10-03,19:30 (11:30),Premier League,Matchweek 2,Tue,Home,L,1,2,Burnley,1,18,2,11.1,0.06,0.5,13.1,0.0,0,0,1.3,1.3,0.07,-0.3,-0.3,4,2,2,50.0,0,1.7,-0.3,0,0,0,0,11.0,33.0,33.3,31.0,4.0,77.4,50.0,10.0,90.0,56.7,8.0,0.0,0.0,3.0,30.0,292.0,437.0,66.8,5881.0,2333.0,106.0,136.0,77.9,120.0,154.0,77.9,48.0,102.0,47.1,1,0.9,1.0,15.0,28.0,11.0,6.0,35.0,437.0,376.0,58.0,9.0,0.0,5.0,31,29.0,7.0,4.0,3.0,0.0,292.0,3.0,13.0,33.0,23.0,6.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,8,9.0,5.0,0.0,8.0,16.0,50.0,8.0,11.0,2.0,9.0,8,22,17.0,0.0,49,563.0,47.0,178.0,210.0,184.0,33.0,563.0,16.0,9.0,56.3,6.0,37.5,239.0,1324.0,656.0,17.0,13.0,5.0,20.0,9.0,291.0,35.0,4,0,0,14,6,3,31,8,8,0.0,0.0,0,63.0,35.0,23.0,60.3,1
2023-10-07,12:30 (04:30),Premier League,Matchweek 8,Sat,Home,L,0,1,Tottenham,0,12,2,16.7,0.0,0.0,16.3,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8,4,1,3,75.0,0,1.1,0.1,0,0,0,0,13.0,26.0,50.0,24.0,3.0,70.8,47.1,10.0,90.0,60.2,10.0,0.0,0.0,0.0,9.0,195.0,306.0,63.7,4241.0,2198.0,79.0,105.0,75.2,73.0,99.0,73.7,38.0,78.0,48.7,0,0.6,1.0,10.0,24.0,6.0,4.0,23.0,306.0,253.0,49.0,11.0,0.0,6.0,26,21.0,5.0,2.0,3.0,0.0,195.0,4.0,11.0,20.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15,16.0,6.0,4.0,15.0,24.0,62.5,9.0,19.0,2.0,17.0,12,38,25.0,1.0,34,440.0,66.0,167.0,130.0,149.0,29.0,440.0,19.0,8.0,42.1,11.0,57.9,168.0,988.0,458.0,13.0,6.0,8.0,17.0,9.0,195.0,23.0,2,0,0,16,5,4,26,12,15,0.0,0.0,0,54.0,9.0,15.0,37.5,1
2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,2,2,Nott'ham Forest,2,13,4,30.8,0.15,0.5,17.6,0.0,0,0,1.7,1.7,0.13,0.3,0.3,8,2,6,75.0,0,2.9,0.9,0,0,0,0,10.0,30.0,33.3,34.0,3.0,67.6,44.9,8.0,87.5,57.1,15.0,0.0,0.0,8.0,24.9,276.0,412.0,67.0,5319.0,2256.0,108.0,138.0,78.3,115.0,148.0,77.7,40.0,91.0,44.0,1,1.1,0.7,6.0,20.0,12.0,5.0,33.0,412.0,363.0,49.0,14.0,0.0,3.0,26,22.0,2.0,0.0,2.0,0.0,276.0,0.0,15.0,23.0,18.0,1.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,6,4.0,3.0,2.0,5.0,12.0,41.7,7.0,15.0,2.0,13.0,7,16,26.0,2.0,43,537.0,57.0,154.0,244.0,147.0,24.0,537.0,12.0,6.0,50.0,5.0,41.7,235.0,1683.0,733.0,17.0,11.0,4.0,20.0,9.0,272.0,33.0,0,0,0,11,12,0,26,7,6,0.0,0.0,0,60.0,23.0,33.0,41.1,1
2023-10-29,14:00 (07:00),Premier League,Matchweek 10,Sun,Away,L,1,3,Aston Villa,0,7,1,14.3,0.0,0.0,17.3,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,6,3,4,50.0,0,3.5,1.5,0,0,0,0,8.0,18.0,44.4,19.0,7.0,42.1,36.5,10.0,100.0,59.5,12.0,1.0,8.3,0.0,6.7,207.0,282.0,73.4,3597.0,1506.0,114.0,119.0,95.8,66.0,85.0,77.6,22.0,55.0,40.0,0,0.3,0.5,5.0,12.0,2.0,0.0,18.0,282.0,239.0,37.0,11.0,2.0,1.0,18,8.0,4.0,3.0,0.0,0.0,207.0,6.0,7.0,12.0,3.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8,4.0,10.0,3.0,9.0,16.0,56.3,7.0,11.0,6.0,5.0,7,24,9.0,0.0,30,358.0,49.0,120.0,166.0,74.0,13.0,358.0,15.0,5.0,33.3,5.0,33.3,197.0,1319.0,767.0,15.0,6.0,2.0,7.0,6.0,204.0,17.0,2,0,0,10,11,6,18,7,8,0.0,0.0,1,41.0,14.0,13.0,51.9,1
