Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,3,17,8,47.1,0.18,0.38,13.9,0.0,0,0,1.9,1.9,0.12,1.1,1.1,1,0,1,100.0,1.0,0.0,0.0,0,0,0,0,12.0,22.0,54.5,68.0,5.0,29.4,31.5,7.0,28.6,28.9,7.0,1.0,14.3,1.0,18.8,655.0,740.0,88.5,10790.0,3194.0,325.0,339.0,95.9,252.0,277.0,91.0,51.0,84.0,60.7,2,1.3,1.3,14.0,42.0,10.0,2.0,28.0,740.0,703.0,36.0,10.0,7.0,1.0,15,13.0,5.0,0.0,4.0,0.0,655.0,1.0,7.0,29.0,20.0,3.0,1.0,2.0,3.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,17.0,12,10.0,5.0,2.0,12.0,15.0,80.0,3.0,9.0,2.0,7.0,4,21,7.0,2.0,65,835.0,75.0,267.0,412.0,158.0,23.0,835.0,10.0,3.0,30.0,3.0,30.0,558.0,2724.0,1240.0,12.0,13.0,3.0,9.0,9.0,632.0,28.0,0,0,0,8,11,1.0,15,4,12,0.0,0.0,0.0,54.0,13.0,13.0,50.0,1.0
2023-08-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1,14,4,28.6,0.07,0.25,17.9,0.0,0,0,1.0,1.0,0.07,0.0,0.0,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,7.0,15.0,46.7,46.0,3.0,26.1,31.3,4.0,75.0,55.3,1.0,1.0,100.0,3.0,20.1,632.0,714.0,88.5,10155.0,2989.0,343.0,366.0,93.7,234.0,263.0,89.0,38.0,58.0,65.5,1,1.0,0.8,13.0,29.0,7.0,0.0,42.0,714.0,671.0,42.0,15.0,4.0,4.0,7,19.0,3.0,1.0,0.0,0.0,632.0,1.0,4.0,27.0,24.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,7,4.0,6.0,1.0,4.0,9.0,44.4,5.0,9.0,3.0,6.0,4,15,10.0,1.0,59,788.0,65.0,212.0,411.0,174.0,21.0,788.0,19.0,14.0,73.7,5.0,26.3,434.0,2418.0,1223.0,25.0,16.0,9.0,11.0,5.0,627.0,42.0,1,0,0,13,11,1.0,7,4,7,0.0,0.0,0.0,54.0,3.0,6.0,33.3,1.0
2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,2,29,9,31.0,0.07,0.22,17.3,2.0,0,1,3.5,2.8,0.1,-1.5,-0.8,1,1,0,0.0,0.0,0.4,-0.6,0,0,0,0,2.0,7.0,28.6,27.0,3.0,18.5,28.5,6.0,33.3,39.3,2.0,0.0,0.0,1.0,23.0,707.0,793.0,89.2,12243.0,3342.0,311.0,326.0,95.4,326.0,352.0,92.6,55.0,81.0,67.9,2,2.5,2.7,25.0,50.0,23.0,3.0,75.0,793.0,752.0,39.0,8.0,3.0,4.0,35,11.0,12.0,6.0,2.0,0.0,707.0,2.0,9.0,58.0,52.0,1.0,1.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0,8,4.0,7.0,1.0,7.0,13.0,53.8,6.0,10.0,1.0,9.0,4,16,6.0,0.0,79,893.0,40.0,153.0,440.0,304.0,53.0,892.0,17.0,9.0,52.9,6.0,35.3,676.0,3919.0,2285.0,42.0,40.0,10.0,13.0,5.0,700.0,73.0,0,0,0,2,9,2.0,35,4,8,0.0,0.0,0.0,53.0,12.0,5.0,70.6,1.0
2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,5,6,4,66.7,0.67,1.0,14.8,0.0,1,1,2.2,1.4,0.25,2.8,2.6,4,1,3,75.0,0.0,1.7,0.7,0,0,0,0,3.0,8.0,37.5,41.0,2.0,19.5,28.0,4.0,0.0,23.8,8.0,0.0,0.0,1.0,33.0,681.0,766.0,88.9,11763.0,3078.0,305.0,329.0,92.7,288.0,311.0,92.6,65.0,90.0,72.2,3,0.9,0.6,5.0,39.0,8.0,1.0,38.0,766.0,722.0,43.0,12.0,4.0,3.0,9,21.0,4.0,0.0,3.0,0.0,681.0,1.0,11.0,13.0,9.0,1.0,1.0,1.0,1.0,0.0,9.0,5.0,1.0,1.0,1.0,1.0,0.0,17.0,10,7.0,8.0,2.0,6.0,10.0,60.0,4.0,2.0,0.0,2.0,8,25,11.0,0.0,68,838.0,64.0,222.0,483.0,138.0,20.0,837.0,17.0,12.0,70.6,4.0,23.5,524.0,2539.0,1472.0,18.0,10.0,3.0,9.0,7.0,673.0,38.0,2,0,0,12,11,1.0,9,8,10,1.0,0.0,0.0,46.0,8.0,6.0,57.1,1.0
2023-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3,29,13,44.8,0.1,0.23,16.4,1.0,0,0,3.6,3.6,0.13,-0.6,-0.6,3,1,2,66.7,0.0,1.3,0.3,0,0,0,0,2.0,5.0,40.0,29.0,5.0,17.2,26.3,2.0,0.0,15.0,8.0,0.0,0.0,0.0,11.5,676.0,747.0,90.5,10979.0,2860.0,337.0,359.0,93.9,280.0,301.0,93.0,47.0,63.0,74.6,3,3.3,3.5,24.0,60.0,18.0,3.0,75.0,747.0,712.0,35.0,7.0,4.0,2.0,25,13.0,11.0,0.0,6.0,0.0,676.0,0.0,10.0,55.0,45.0,1.0,2.0,5.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,7,5.0,5.0,1.0,5.0,9.0,55.6,4.0,7.0,1.0,6.0,7,18,9.0,0.0,68,837.0,49.0,148.0,382.0,311.0,49.0,837.0,15.0,7.0,46.7,7.0,46.7,678.0,3574.0,2229.0,53.0,27.0,15.0,9.0,7.0,670.0,74.0,2,0,0,11,7,0.0,25,7,7,0.0,0.0,0.0,43.0,8.0,12.0,40.0,1.0
2023-09-19,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,1,rs Red Star,3,37,16,43.2,0.08,0.19,15.2,1.0,0,0,4.1,4.1,0.11,-1.1,-1.1,2,1,1,50.0,0.0,0.4,-0.6,0,0,0,0,3.0,3.0,100.0,26.0,4.0,11.5,23.1,4.0,0.0,24.8,1.0,0.0,0.0,3.0,20.7,709.0,782.0,90.7,11385.0,3401.0,382.0,405.0,94.3,254.0,282.0,90.1,58.0,68.0,85.3,2,3.3,4.7,28.0,70.0,27.0,5.0,90.0,782.0,738.0,43.0,9.0,6.0,2.0,28,16.0,12.0,2.0,6.0,0.0,709.0,1.0,7.0,68.0,50.0,5.0,4.0,8.0,1.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,14.0,7,4.0,7.0,3.0,12.0,17.0,70.6,5.0,6.0,0.0,6.0,3,17,5.0,0.0,76,882.0,29.0,112.0,378.0,403.0,76.0,882.0,28.0,15.0,53.6,10.0,35.7,577.0,3612.0,2398.0,47.0,38.0,16.0,13.0,7.0,699.0,89.0,2,0,0,5,9,1.0,28,3,7,0.0,0.0,0.0,54.0,7.0,7.0,50.0,2.0
2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,2,7,4,57.1,0.29,0.5,17.2,2.0,0,0,1.3,1.3,0.19,0.7,0.7,3,0,3,100.0,1.0,0.4,0.4,0,0,0,0,7.0,19.0,36.8,30.0,3.0,36.7,37.9,8.0,100.0,71.9,13.0,3.0,23.1,1.0,11.0,525.0,599.0,87.6,8966.0,2736.0,259.0,275.0,94.2,211.0,230.0,91.7,41.0,71.0,57.7,2,1.1,1.1,5.0,62.0,5.0,0.0,31.0,599.0,551.0,48.0,18.0,3.0,3.0,11,15.0,6.0,2.0,2.0,0.0,525.0,0.0,5.0,14.0,10.0,1.0,1.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,6,3.0,5.0,0.0,2.0,6.0,33.3,4.0,10.0,4.0,6.0,6,14,22.0,1.0,57,689.0,65.0,152.0,362.0,179.0,13.0,689.0,20.0,8.0,40.0,10.0,50.0,439.0,2009.0,992.0,11.0,16.0,2.0,16.0,8.0,519.0,31.0,3,1,0,5,17,0.0,11,6,6,0.0,0.0,0.0,42.0,7.0,7.0,50.0,1.0
2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,1,23,8,34.8,0.04,0.13,19.3,1.0,0,0,0.9,0.9,0.04,0.1,0.1,1,2,0,-100.0,0.0,0.8,-0.2,0,0,0,0,0.0,1.0,0.0,15.0,2.0,6.7,21.3,3.0,0.0,22.3,5.0,0.0,0.0,0.0,9.0,557.0,645.0,86.4,8910.0,2052.0,285.0,305.0,93.4,232.0,258.0,89.9,28.0,45.0,62.2,0,0.6,1.3,17.0,67.0,14.0,2.0,68.0,645.0,589.0,56.0,19.0,4.0,3.0,21,25.0,6.0,0.0,4.0,0.0,557.0,0.0,14.0,41.0,27.0,4.0,0.0,5.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,6,7.0,3.0,5.0,7.0,16.0,43.8,9.0,7.0,2.0,5.0,4,19,7.0,0.0,68,732.0,24.0,116.0,294.0,324.0,39.0,732.0,18.0,12.0,66.7,5.0,27.8,488.0,3300.0,2259.0,41.0,36.0,10.0,12.0,7.0,552.0,68.0,4,0,0,12,18,0.0,21,4,6,0.0,0.0,1.0,37.0,2.0,5.0,28.6,1.0
2023-10-04,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,3,1,de RB Leipzig,3,18,5,27.8,0.17,0.6,14.7,1.0,0,0,2.2,2.2,0.13,0.8,0.8,1,1,0,0.0,0.0,1.0,0.0,0,0,0,0,4.0,5.0,80.0,27.0,2.0,14.8,28.1,4.0,25.0,24.0,8.0,0.0,0.0,0.0,4.0,736.0,809.0,91.0,12800.0,3407.0,341.0,362.0,94.2,320.0,345.0,92.8,66.0,80.0,82.5,3,2.0,1.7,14.0,62.0,14.0,2.0,69.0,809.0,762.0,46.0,14.0,2.0,7.0,16,23.0,3.0,1.0,1.0,0.0,736.0,1.0,7.0,33.0,28.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,4,5.0,0.0,2.0,4.0,7.0,57.1,3.0,5.0,1.0,4.0,7,14,13.0,0.0,68,882.0,41.0,130.0,485.0,271.0,36.0,882.0,13.0,6.0,46.2,5.0,38.5,578.0,3029.0,1736.0,33.0,19.0,10.0,9.0,9.0,729.0,68.0,1,0,0,6,12,1.0,16,7,4,0.0,0.0,0.0,41.0,7.0,3.0,70.0,2.0
2023-10-08,16:30 (08:30),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0,4,0,0.0,0.0,,14.9,0.0,0,0,0.5,0.5,0.12,-0.5,-0.5,2,1,1,50.0,0.0,0.2,-0.8,0,0,0,0,5.0,12.0,41.7,48.0,5.0,20.8,33.3,5.0,40.0,35.8,10.0,1.0,10.0,0.0,8.3,468.0,549.0,85.2,7781.0,2418.0,225.0,247.0,91.1,193.0,208.0,92.8,34.0,60.0,56.7,0,0.5,0.6,4.0,24.0,5.0,0.0,28.0,549.0,515.0,34.0,10.0,1.0,2.0,10,13.0,4.0,4.0,0.0,0.0,468.0,0.0,14.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12,12.0,4.0,6.0,11.0,18.0,61.1,7.0,10.0,3.0,7.0,5,27,16.0,0.0,51,638.0,72.0,229.0,311.0,103.0,14.0,638.0,20.0,8.0,40.0,10.0,50.0,391.0,1764.0,1061.0,14.0,13.0,2.0,12.0,10.0,460.0,27.0,3,0,0,7,8,0.0,10,5,12,0.0,0.0,0.0,43.0,8.0,5.0,61.5,1.0
