Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-16,20:45 (11:45),Champions Lg,Play-off round,Wed,Home,W,2,0,fr Nice,2,22,9,40.9,0.05,0.11,,,1,1,,,,,,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,23,0,,,54,,,,,,,,,,,,,,,,,,,,,,,1,0,0,14,11,3,28,23,8,1.0,0.0,0,,,,,2
2017-08-19,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,3,1,Hellas Verona,2,22,11,50.0,0.09,0.18,18.6,2.0,0,0,2.1,2.1,0.1,-0.1,-0.1,4,1,3,100.0,0,1.1,0.1,1,1,0,0,7.0,21.0,33.3,25.0,3.0,60.0,37.9,12.0,50.0,40.8,8.0,0.0,0.0,2.0,24.5,599.0,701.0,85.4,9088.0,3124.0,323.0,357.0,90.5,208.0,232.0,89.7,35.0,67.0,52.2,1,1.9,1.2,18.0,50.0,14.0,1.0,63.0,701.0,656.0,44.0,9.0,2.0,2.0,15,15.0,6.0,4.0,1.0,0.0,599.0,1.0,6.0,41.0,33.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,21.0,16,5.0,13.0,3.0,2.0,7.0,28.6,5.0,7.0,0.0,7.0,11,32,13.0,1.0,60,798.0,54.0,166.0,427.0,213.0,28.0,798.0,12.0,10.0,83.3,2.0,16.7,463.0,2209.0,1294.0,20.0,21.0,5.0,7.0,8.0,595.0,63.0,2,1,0,9,6,1,15,11,16,0.0,1.0,0,68.0,9.0,9.0,50.0,1
2017-08-22,20:45 (11:45),Champions Lg,Play-off round,Tue,Away,W,2,0,fr Nice,2,21,7,33.3,0.1,0.29,,,0,0,,,,,,5,0,5,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,12,0,,,53,,,,,,,,,,,,,,,,,,,,,,,1,0,0,7,9,0,13,12,14,0.0,0.0,0,,,,,2
2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,W,3,1,Atalanta,3,10,4,40.0,0.3,0.75,17.5,0.0,0,0,1.2,1.2,0.12,1.8,1.8,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,6.0,11.0,54.5,30.0,5.0,26.7,29.4,7.0,42.9,37.1,16.0,1.0,6.3,2.0,12.0,513.0,632.0,81.2,8279.0,3183.0,278.0,310.0,89.7,155.0,190.0,81.6,55.0,82.0,67.1,2,1.2,1.0,9.0,39.0,9.0,3.0,55.0,632.0,571.0,57.0,11.0,3.0,3.0,19,28.0,9.0,3.0,2.0,0.0,513.0,4.0,12.0,20.0,15.0,2.0,2.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,9,5.0,5.0,0.0,5.0,16.0,31.3,11.0,15.0,7.0,8.0,16,26,13.0,0.0,58,725.0,55.0,142.0,409.0,185.0,23.0,725.0,23.0,13.0,56.5,10.0,43.5,432.0,2308.0,1295.0,33.0,31.0,7.0,12.0,20.0,509.0,54.0,1,0,0,15,9,4,19,16,9,0.0,0.0,0,67.0,17.0,12.0,58.6,1
2017-09-10,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,3,0,Bologna,3,17,7,41.2,0.18,0.43,17.9,1.0,0,0,1.5,1.5,0.09,1.5,1.5,2,0,2,100.0,1,0.4,0.4,0,0,0,0,1.0,5.0,20.0,29.0,7.0,13.8,26.3,4.0,25.0,34.8,11.0,1.0,9.1,1.0,13.5,657.0,754.0,87.1,10432.0,3435.0,344.0,373.0,92.2,246.0,268.0,91.8,45.0,66.0,68.2,2,1.2,1.2,10.0,57.0,9.0,2.0,69.0,754.0,714.0,38.0,13.0,1.0,4.0,22,13.0,7.0,6.0,1.0,0.0,657.0,2.0,17.0,28.0,19.0,2.0,1.0,2.0,1.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,19.0,11,4.0,14.0,1.0,8.0,17.0,47.1,9.0,3.0,0.0,3.0,15,34,15.0,0.0,63,853.0,45.0,147.0,531.0,180.0,24.0,853.0,16.0,9.0,56.3,7.0,43.8,554.0,2557.0,1485.0,24.0,15.0,5.0,10.0,8.0,654.0,68.0,1,0,0,16,9,2,22,15,11,0.0,0.0,0,70.0,15.0,10.0,60.0,1
2017-09-13,21:45 (11:45),Champions Lg,Group stage,Wed,Away,L,1,2,ua Shakhtar,1,16,6,37.5,0.0,0.0,18.5,1.0,1,1,1.9,1.1,0.07,-0.9,-1.1,4,2,2,50.0,0,0.7,-1.3,0,0,0,0,5.0,7.0,71.4,19.0,5.0,26.3,28.5,4.0,50.0,44.8,6.0,0.0,0.0,0.0,8.3,538.0,638.0,84.3,9488.0,3236.0,241.0,264.0,91.3,230.0,267.0,86.1,56.0,89.0,62.9,0,0.9,0.7,13.0,51.0,10.0,4.0,71.0,638.0,583.0,51.0,12.0,4.0,2.0,32,21.0,11.0,6.0,3.0,0.0,538.0,4.0,6.0,32.0,28.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,8,6.0,3.0,3.0,6.0,13.0,46.2,7.0,7.0,2.0,5.0,8,20,8.0,2.0,58,709.0,34.0,113.0,404.0,200.0,17.0,708.0,8.0,6.0,75.0,2.0,25.0,536.0,2449.0,1338.0,23.0,19.0,6.0,8.0,6.0,536.0,71.0,3,0,0,16,10,4,32,8,8,1.0,0.0,0,55.0,6.0,5.0,54.5,2
2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,W,6,0,Benevento,6,25,12,48.0,0.16,0.33,18.7,0.0,2,2,4.8,3.3,0.13,1.2,0.7,0,0,0,,1,0.0,0.0,0,0,0,0,4.0,6.0,66.7,22.0,4.0,13.6,23.0,5.0,60.0,39.8,7.0,0.0,0.0,2.0,22.3,868.0,955.0,90.9,11720.0,4178.0,549.0,577.0,95.1,223.0,246.0,90.7,44.0,66.0,66.7,3,2.4,1.6,21.0,69.0,18.0,4.0,90.0,955.0,914.0,38.0,7.0,4.0,7.0,19,17.0,8.0,3.0,1.0,0.0,868.0,3.0,8.0,50.0,39.0,0.0,6.0,3.0,2.0,0.0,11.0,7.0,0.0,1.0,1.0,2.0,0.0,18.0,14,4.0,11.0,3.0,6.0,15.0,40.0,9.0,12.0,1.0,11.0,7,25,12.0,0.0,71,1059.0,40.0,148.0,642.0,278.0,36.0,1057.0,13.0,9.0,69.2,4.0,30.8,672.0,2348.0,1398.0,24.0,17.0,8.0,8.0,8.0,863.0,89.0,0,0,0,6,7,3,19,7,14,2.0,0.0,0,66.0,6.0,3.0,66.7,1
2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,W,4,1,Lazio,4,16,10,62.5,0.19,0.3,22.0,2.0,1,1,2.5,1.7,0.11,1.5,1.3,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,1.0,5.0,20.0,18.0,6.0,16.7,26.1,4.0,50.0,42.3,6.0,0.0,0.0,1.0,18.8,718.0,812.0,88.4,10394.0,3496.0,421.0,447.0,94.2,223.0,244.0,91.4,43.0,68.0,63.2,1,1.2,1.0,12.0,57.0,9.0,1.0,58.0,812.0,768.0,44.0,6.0,3.0,5.0,11,30.0,2.0,2.0,0.0,0.0,718.0,0.0,13.0,32.0,23.0,1.0,2.0,2.0,4.0,0.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,21.0,15,7.0,10.0,4.0,5.0,20.0,25.0,15.0,13.0,0.0,13.0,8,29,14.0,0.0,63,917.0,37.0,134.0,620.0,166.0,18.0,916.0,10.0,5.0,50.0,5.0,50.0,564.0,2157.0,1113.0,16.0,20.0,4.0,11.0,12.0,716.0,57.0,3,0,0,13,8,0,11,8,15,1.0,0.0,0,62.0,9.0,6.0,60.0,1
2017-09-23,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,W,3,2,SPAL,3,21,12,57.1,0.14,0.25,19.0,0.0,0,0,1.7,1.7,0.08,1.3,1.3,2,2,0,0.0,0,0.8,-1.2,0,0,0,0,2.0,5.0,40.0,16.0,3.0,18.8,31.9,2.0,100.0,50.0,7.0,0.0,0.0,3.0,21.0,594.0,677.0,87.7,8842.0,2864.0,329.0,351.0,93.7,193.0,215.0,89.8,37.0,60.0,61.7,3,1.6,1.0,19.0,63.0,12.0,3.0,64.0,677.0,636.0,41.0,13.0,0.0,3.0,22,17.0,6.0,4.0,1.0,0.0,594.0,0.0,11.0,41.0,34.0,0.0,5.0,2.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,11.0,7,4.0,6.0,1.0,7.0,16.0,43.8,9.0,10.0,2.0,8.0,7,18,16.0,0.0,59,762.0,33.0,113.0,381.0,276.0,20.0,762.0,14.0,7.0,50.0,7.0,50.0,492.0,2599.0,1631.0,35.0,22.0,6.0,9.0,8.0,591.0,64.0,1,0,0,11,7,0,22,7,7,0.0,0.0,0,51.0,4.0,9.0,30.8,1
2017-09-26,20:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,1,nl Feyenoord,3,11,4,36.4,0.27,0.75,18.0,0.0,0,0,0.9,0.9,0.08,2.1,2.1,6,1,4,83.3,0,2.2,1.2,1,0,1,0,3.0,5.0,60.0,36.0,6.0,11.1,22.0,4.0,25.0,29.8,7.0,0.0,0.0,1.0,20.0,578.0,687.0,84.1,8905.0,3150.0,296.0,331.0,89.4,208.0,232.0,89.7,41.0,64.0,64.1,2,0.5,1.0,8.0,22.0,7.0,1.0,52.0,687.0,637.0,48.0,17.0,6.0,2.0,9,21.0,5.0,2.0,3.0,0.0,578.0,2.0,15.0,16.0,12.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,9,5.0,7.0,3.0,6.0,21.0,28.6,15.0,9.0,0.0,9.0,9,24,13.0,0.0,56,768.0,56.0,204.0,490.0,88.0,17.0,768.0,16.0,11.0,68.8,5.0,31.3,459.0,2369.0,1476.0,29.0,17.0,6.0,12.0,9.0,575.0,52.0,2,0,0,12,13,2,9,9,9,0.0,1.0,0,68.0,13.0,4.0,76.5,2
