Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-07-26,20:30 (11:30),Europa Lg,Second qualifying round,Thu,Home,D,2,2,ba Sarajevo,2,,,,,,,,0,0,,,,,,,2,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,2
2018-08-02,20:15 (11:15),Europa Lg,Second qualifying round,Thu,Away,W,8,0,ba Sarajevo,7,,,,,,,,0,0,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,2
2018-08-09,19:00 (09:00),Europa Lg,Third qualifying round,Thu,Away,W,4,1,il Hapoel Haifa FC,4,,,,,,,,0,0,,,,,,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,,2
2018-08-16,20:00 (11:00),Europa Lg,Third qualifying round,Thu,Home,W,2,0,il Hapoel Haifa FC,2,,,,,,,,0,0,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0,,,,,2
2018-08-20,20:30 (11:30),Serie A,Matchweek 1,Mon,Home,W,4,0,Frosinone,4,17.0,9.0,52.9,0.24,0.44,17.1,0.0,0,0,2.2,2.2,0.13,1.8,1.8,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,6.0,13.0,46.2,15.0,1.0,40.0,36.7,12.0,58.3,47.4,12.0,0.0,0.0,0.0,8.0,514.0,611.0,84.1,8917.0,2921.0,254.0,278.0,91.4,203.0,236.0,86.0,48.0,71.0,67.6,4,2.1,1.5,14.0,39.0,9.0,2.0,57.0,611.0,557.0,48.0,14.0,2.0,7.0,14.0,17.0,4.0,4.0,0.0,0.0,514.0,6.0,9.0,33.0,27.0,1.0,3.0,1.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,4.0,6.0,1.0,5.0,11.0,45.5,6.0,15.0,0.0,15.0,10.0,21,12.0,0.0,57.0,707.0,37.0,129.0,359.0,226.0,26.0,707.0,8.0,6.0,75.0,2.0,25.0,511.0,3025.0,1653.0,40.0,36.0,7.0,20.0,12.0,512.0,57.0,0,0,0,15.0,10.0,6.0,14.0,10.0,7.0,0.0,0.0,0,55.0,15.0,13.0,53.6,1
2018-08-23,20:00 (11:00),Europa Lg,Play-off round,Thu,Home,D,0,0,dk FC Copenhagen,0,,,,,,,,0,0,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,2
2018-08-27,20:30 (11:30),Serie A,Matchweek 2,Mon,Away,D,3,3,Roma,3,23.0,5.0,21.7,0.13,0.6,16.9,0.0,0,0,3.0,3.0,0.13,0.0,0.0,10.0,3,7.0,70.0,0,2.0,-1.0,0,0,0,0,11.0,29.0,37.9,29.0,9.0,62.1,41.7,12.0,91.7,66.6,16.0,0.0,0.0,1.0,24.0,315.0,450.0,70.0,6027.0,2393.0,134.0,151.0,88.7,138.0,181.0,76.2,38.0,88.0,43.2,2,2.3,0.8,14.0,20.0,9.0,0.0,43.0,450.0,389.0,55.0,9.0,2.0,5.0,23.0,19.0,11.0,2.0,9.0,0.0,315.0,6.0,12.0,37.0,27.0,2.0,2.0,4.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,12.0,6.0,5.0,7.0,0.0,7.0,14.0,50.0,7.0,10.0,5.0,5.0,14.0,26,23.0,0.0,45.0,562.0,74.0,194.0,216.0,165.0,26.0,562.0,19.0,13.0,68.4,6.0,31.6,318.0,1826.0,1072.0,28.0,13.0,6.0,12.0,4.0,313.0,43.0,1,0,0,13.0,8.0,6.0,23.0,14.0,6.0,0.0,0.0,0,56.0,22.0,23.0,48.9,1
2018-08-30,18:30 (09:30),Europa Lg,Play-off round,Thu,Away,D,0,0,dk FC Copenhagen,0,,,,,,,,0,0,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,,2
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,L,0,1,Cagliari,0,10.0,2.0,20.0,0.0,0.0,21.2,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,3.0,1,2.0,66.7,0,0.7,-0.3,0,0,0,0,4.0,8.0,50.0,25.0,11.0,12.0,28.4,7.0,71.4,48.9,11.0,1.0,9.1,2.0,20.2,427.0,547.0,78.1,8107.0,2770.0,165.0,197.0,83.8,200.0,237.0,84.4,53.0,84.0,63.1,0,0.3,0.6,7.0,36.0,12.0,1.0,58.0,547.0,486.0,59.0,19.0,1.0,8.0,18.0,26.0,5.0,3.0,2.0,0.0,427.0,2.0,13.0,17.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,5.0,5.0,1.0,3.0,6.0,50.0,3.0,5.0,1.0,4.0,14.0,25,26.0,0.0,53.0,638.0,56.0,188.0,296.0,161.0,18.0,638.0,10.0,6.0,60.0,4.0,40.0,381.0,2545.0,1434.0,28.0,17.0,3.0,13.0,10.0,421.0,58.0,2,0,0,15.0,16.0,2.0,18.0,14.0,6.0,0.0,0.0,0,60.0,22.0,31.0,41.5,1
2018-09-17,20:30 (11:30),Serie A,Matchweek 4,Mon,Away,L,0,2,SPAL,0,13.0,1.0,7.7,0.0,0.0,19.5,1.0,0,0,0.8,0.8,0.06,-0.8,-0.8,5.0,2,3.0,60.0,0,1.6,-0.4,0,0,0,0,5.0,7.0,71.4,14.0,0.0,21.4,26.8,9.0,44.4,37.0,11.0,0.0,0.0,1.0,13.7,401.0,495.0,81.0,7511.0,2771.0,147.0,169.0,87.0,184.0,217.0,84.8,52.0,76.0,68.4,0,0.5,0.7,11.0,26.0,11.0,1.0,52.0,495.0,443.0,52.0,15.0,0.0,7.0,17.0,21.0,4.0,3.0,1.0,0.0,401.0,0.0,7.0,23.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,8.0,9.0,1.0,8.0,18.0,44.4,10.0,11.0,3.0,8.0,9.0,27,23.0,0.0,57.0,593.0,48.0,176.0,265.0,159.0,20.0,593.0,8.0,6.0,75.0,2.0,25.0,313.0,1700.0,941.0,21.0,12.0,7.0,16.0,19.0,400.0,52.0,5,0,0,19.0,16.0,0.0,17.0,9.0,16.0,0.0,0.0,0,63.0,15.0,16.0,48.4,1
