Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,1,Sassuolo,0,14.0,3.0,21.4,0.0,0.0,18.5,0.0,0,0,1.1,1.1,0.08,-1.1,-1.1,2.0,1,1.0,100.0,0,1.0,0.0,1,1,0,0,1.0,2.0,50.0,13.0,5.0,7.7,24.1,6.0,16.7,28.5,9.0,0.0,0.0,1.0,17.0,507.0,605.0,83.8,8417.0,2920.0,230.0,252.0,91.3,205.0,237.0,86.5,46.0,74.0,62.2,0,0.9,1.0,11.0,40.0,11.0,3.0,58.0,605.0,554.0,50.0,25.0,1.0,3.0,32.0,13.0,4.0,4.0,0.0,0.0,507.0,1.0,9.0,26.0,21.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,13.0,7.0,1.0,10.0,18.0,55.6,8.0,12.0,5.0,7.0,12.0,33,12.0,0.0,61.0,713.0,40.0,158.0,400.0,162.0,20.0,713.0,14.0,9.0,64.3,5.0,35.7,497.0,2523.0,1371.0,19.0,23.0,5.0,23.0,7.0,501.0,57.0,2,0,0,11.0,23.0,1.0,32.0,12.0,16.0,0.0,1.0,0,55.0,17.0,7.0,70.8,1
2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Torino,2,13.0,5.0,38.5,0.15,0.4,18.9,0.0,0,0,0.8,0.8,0.06,1.2,1.2,6.0,2,4.0,66.7,0,1.6,-0.4,0,0,0,0,1.0,10.0,10.0,27.0,6.0,29.6,33.4,3.0,66.7,46.7,12.0,0.0,0.0,0.0,12.0,465.0,581.0,80.0,8877.0,2591.0,191.0,216.0,88.4,198.0,220.0,90.0,69.0,116.0,59.5,2,0.7,0.9,11.0,29.0,6.0,3.0,44.0,581.0,524.0,55.0,17.0,0.0,8.0,21.0,27.0,5.0,4.0,0.0,0.0,465.0,2.0,9.0,23.0,16.0,3.0,0.0,1.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,17.0,13.0,7.0,9.0,1.0,6.0,16.0,37.5,10.0,6.0,3.0,3.0,13.0,30,22.0,1.0,55.0,667.0,55.0,170.0,371.0,133.0,18.0,667.0,7.0,3.0,42.9,4.0,57.1,319.0,1730.0,888.0,13.0,16.0,5.0,9.0,3.0,460.0,44.0,1,0,0,14.0,15.0,2.0,21.0,13.0,13.0,0.0,0.0,0,51.0,19.0,15.0,55.9,1
2018-09-01,18:00 (09:00),Serie A,Matchweek 3,Sat,Away,W,3,0,Bologna,3,13.0,3.0,23.1,0.23,1.0,17.5,0.0,0,0,1.9,1.9,0.14,1.1,1.1,1.0,0,1.0,100.0,1,0.1,0.1,0,0,0,0,4.0,7.0,57.1,24.0,3.0,16.7,26.5,9.0,33.3,34.0,13.0,1.0,7.7,1.0,14.0,755.0,865.0,87.3,11944.0,3859.0,405.0,433.0,93.5,226.0,264.0,85.6,73.0,103.0,70.9,2,1.4,1.2,9.0,63.0,9.0,2.0,53.0,865.0,808.0,55.0,11.0,3.0,12.0,28.0,27.0,7.0,2.0,1.0,0.0,755.0,2.0,10.0,23.0,19.0,1.0,1.0,0.0,1.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,13.0,6.0,4.0,3.0,6.0,4.0,5.0,80.0,1.0,4.0,0.0,4.0,6.0,19,20.0,0.0,73.0,955.0,44.0,152.0,543.0,265.0,20.0,955.0,21.0,13.0,61.9,8.0,38.1,643.0,2910.0,1511.0,29.0,25.0,4.0,16.0,6.0,753.0,53.0,1,0,0,10.0,7.0,2.0,28.0,6.0,6.0,0.0,0.0,0,58.0,10.0,21.0,32.3,1
2018-09-15,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,L,0,1,Parma,0,28.0,7.0,25.0,0.0,0.0,19.4,0.0,0,0,1.3,1.3,0.05,-1.3,-1.3,5.0,1,4.0,80.0,0,0.8,-0.2,0,0,0,0,0.0,1.0,0.0,24.0,8.0,4.2,22.3,3.0,0.0,24.3,3.0,0.0,0.0,1.0,19.5,604.0,720.0,83.9,10330.0,3481.0,278.0,301.0,92.4,250.0,292.0,85.6,58.0,94.0,61.7,0,1.1,1.4,22.0,53.0,16.0,7.0,85.0,720.0,657.0,61.0,12.0,1.0,5.0,51.0,34.0,10.0,10.0,0.0,0.0,604.0,2.0,9.0,53.0,46.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,7.0,4.0,3.0,2.0,9.0,22.2,7.0,10.0,2.0,8.0,2.0,16,4.0,0.0,73.0,799.0,36.0,117.0,400.0,287.0,41.0,799.0,10.0,7.0,70.0,3.0,30.0,511.0,2870.0,1596.0,38.0,29.0,10.0,14.0,8.0,599.0,84.0,2,0,0,10.0,8.0,2.0,51.0,2.0,11.0,0.0,0.0,0,53.0,10.0,9.0,52.6,1
2018-09-18,18:55 (09:55),Champions Lg,Group stage,Tue,Home,W,2,1,eng Tottenham,2,15.0,4.0,26.7,0.13,0.5,16.8,1.0,0,0,1.2,1.2,0.09,0.8,0.8,6.0,1,5.0,83.3,0,0.9,-0.1,0,0,0,0,4.0,9.0,44.4,27.0,6.0,25.9,28.4,5.0,40.0,35.6,12.0,2.0,16.7,0.0,9.2,374.0,479.0,78.1,6435.0,2527.0,169.0,186.0,90.9,150.0,168.0,89.3,39.0,78.0,50.0,2,1.1,1.1,12.0,33.0,7.0,2.0,47.0,479.0,431.0,45.0,18.0,6.0,4.0,29.0,12.0,8.0,4.0,3.0,0.0,374.0,3.0,16.0,27.0,17.0,5.0,0.0,2.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,18.0,12.0,6.0,10.0,2.0,3.0,13.0,23.1,10.0,16.0,1.0,15.0,10.0,28,17.0,0.0,46.0,594.0,60.0,174.0,280.0,142.0,25.0,594.0,10.0,4.0,40.0,6.0,60.0,284.0,1588.0,846.0,18.0,13.0,2.0,13.0,6.0,371.0,46.0,2,0,0,11.0,13.0,3.0,29.0,10.0,12.0,0.0,0.0,0,58.0,12.0,14.0,46.2,2
2018-09-22,20:30 (11:30),Serie A,Matchweek 5,Sat,Away,W,1,0,Sampdoria,1,16.0,3.0,18.8,0.06,0.33,17.0,0.0,0,0,0.9,0.9,0.05,0.1,0.1,3.0,0,3.0,100.0,1,0.3,0.3,0,0,0,0,2.0,10.0,20.0,22.0,6.0,36.4,32.7,9.0,22.2,30.9,4.0,0.0,0.0,0.0,,418.0,533.0,78.4,7559.0,2640.0,191.0,206.0,92.7,156.0,188.0,83.0,56.0,99.0,56.6,0,0.6,1.1,11.0,36.0,12.0,6.0,50.0,533.0,478.0,53.0,15.0,1.0,9.0,37.0,16.0,12.0,5.0,3.0,0.0,418.0,2.0,17.0,31.0,27.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,8.0,4.0,6.0,1.0,4.0,11.0,36.4,7.0,9.0,2.0,7.0,17.0,28,13.0,0.0,52.0,618.0,53.0,183.0,281.0,158.0,24.0,618.0,10.0,3.0,30.0,7.0,70.0,307.0,1643.0,857.0,18.0,12.0,4.0,9.0,6.0,415.0,50.0,2,0,0,15.0,13.0,2.0,37.0,17.0,8.0,0.0,0.0,0,55.0,9.0,11.0,45.0,1
2018-09-25,21:00 (12:00),Serie A,Matchweek 6,Tue,Home,W,2,1,Fiorentina,2,12.0,2.0,16.7,0.08,0.5,18.2,0.0,1,1,1.7,0.9,0.07,0.3,0.1,4.0,1,4.0,75.0,0,0.9,0.9,0,0,0,0,6.0,15.0,40.0,29.0,6.0,41.4,33.9,3.0,100.0,61.3,14.0,0.0,0.0,1.0,15.0,329.0,450.0,73.1,5600.0,2278.0,158.0,193.0,81.9,114.0,145.0,78.6,40.0,80.0,50.0,1,0.8,0.9,10.0,16.0,10.0,5.0,36.0,450.0,398.0,51.0,24.0,0.0,3.0,34.0,16.0,6.0,2.0,3.0,0.0,329.0,1.0,9.0,21.0,16.0,1.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,12.0,5.0,3.0,14.0,20.0,70.0,6.0,15.0,8.0,7.0,9.0,29,19.0,0.0,50.0,554.0,62.0,201.0,212.0,145.0,23.0,553.0,18.0,6.0,33.3,12.0,66.7,328.0,1945.0,1138.0,26.0,19.0,1.0,9.0,13.0,327.0,36.0,1,0,0,18.0,22.0,1.0,34.0,9.0,10.0,0.0,0.0,1,56.0,15.0,18.0,45.5,1
2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Home,W,2,0,Cagliari,2,16.0,6.0,37.5,0.13,0.33,18.1,0.0,0,0,1.0,1.0,0.07,1.0,1.0,2.0,0,2.0,100.0,1,0.2,0.2,0,0,0,0,4.0,10.0,40.0,23.0,6.0,30.4,28.7,5.0,60.0,39.8,11.0,0.0,0.0,2.0,21.0,424.0,530.0,80.0,7225.0,2503.0,183.0,206.0,88.8,195.0,226.0,86.3,32.0,69.0,46.4,1,0.9,0.9,13.0,40.0,9.0,4.0,51.0,530.0,483.0,46.0,13.0,1.0,5.0,28.0,18.0,9.0,3.0,0.0,1.0,424.0,1.0,9.0,29.0,23.0,4.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,17.0,14.0,7.0,9.0,1.0,4.0,10.0,40.0,6.0,11.0,2.0,9.0,5.0,22,25.0,0.0,50.0,628.0,49.0,164.0,317.0,152.0,22.0,628.0,8.0,6.0,75.0,2.0,25.0,383.0,2352.0,1163.0,22.0,14.0,5.0,14.0,7.0,422.0,51.0,1,0,0,13.0,10.0,1.0,28.0,5.0,14.0,0.0,0.0,0,53.0,18.0,24.0,42.9,1
2018-10-03,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,1,nl PSV Eindhoven,2,24.0,8.0,33.3,0.08,0.25,18.4,1.0,0,0,2.6,2.6,0.11,-0.6,-0.6,4.0,1,3.0,75.0,0,0.5,-0.5,0,0,0,0,5.0,9.0,55.6,29.0,7.0,20.7,27.7,7.0,42.9,35.1,23.0,1.0,4.3,1.0,9.5,521.0,602.0,86.5,9236.0,3242.0,245.0,262.0,93.5,194.0,214.0,90.7,68.0,92.0,73.9,1,2.2,1.8,16.0,35.0,15.0,5.0,51.0,602.0,553.0,48.0,12.0,2.0,7.0,22.0,21.0,6.0,3.0,0.0,0.0,521.0,1.0,12.0,43.0,32.0,4.0,1.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,3.0,6.0,7.0,0.0,2.0,10.0,20.0,8.0,4.0,2.0,2.0,10.0,23,30.0,0.0,59.0,721.0,67.0,211.0,352.0,165.0,30.0,721.0,9.0,7.0,77.8,2.0,22.2,355.0,1970.0,1146.0,22.0,20.0,2.0,12.0,9.0,520.0,51.0,3,0,0,12.0,11.0,1.0,22.0,10.0,3.0,0.0,0.0,0,44.0,13.0,17.0,43.3,2
2018-10-07,20:30 (11:30),Serie A,Matchweek 8,Sun,Away,W,2,1,SPAL,2,13.0,3.0,23.1,0.15,0.67,15.6,0.0,0,0,1.4,1.4,0.11,0.6,0.6,5.0,1,4.0,80.0,0,2.7,1.7,1,0,0,1,4.0,9.0,44.4,18.0,5.0,33.3,33.9,7.0,42.9,41.0,15.0,1.0,6.7,1.0,10.0,368.0,460.0,80.0,6151.0,2090.0,181.0,197.0,91.9,105.0,136.0,77.2,53.0,79.0,67.1,2,1.3,1.4,9.0,26.0,8.0,3.0,30.0,460.0,410.0,48.0,13.0,1.0,15.0,25.0,17.0,9.0,1.0,4.0,0.0,368.0,2.0,9.0,20.0,14.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,6.0,3.0,4.0,8.0,15.0,53.3,7.0,6.0,2.0,4.0,8.0,21,27.0,0.0,49.0,564.0,53.0,164.0,253.0,150.0,22.0,564.0,9.0,5.0,55.6,4.0,44.4,328.0,1728.0,878.0,20.0,14.0,4.0,10.0,11.0,364.0,30.0,2,0,0,21.0,11.0,2.0,25.0,8.0,10.0,0.0,1.0,0,51.0,12.0,18.0,40.0,1
