Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-19,18:00 (09:00),Serie A,Matchweek 1,Sun,Home,L,0,1,Roma,0,10.0,4.0,40.0,0.0,0.0,19.4,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,5.0,1,4.0,80.0,0,1.1,0.1,0,0,0,0,14.0,28.0,50.0,23.0,2.0,73.9,44.2,11.0,100.0,55.5,15.0,0.0,0.0,0.0,9.0,257.0,368.0,69.8,4889.0,2148.0,122.0,145.0,84.1,82.0,112.0,73.2,44.0,88.0,50.0,0,0.6,0.5,10.0,26.0,5.0,1.0,29.0,368.0,310.0,56.0,15.0,2.0,7.0,19.0,22.0,6.0,3.0,2.0,0.0,257.0,2.0,12.0,19.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,6.0,5.0,1.0,4.0,9.0,44.4,5.0,14.0,6.0,8.0,14.0,26,12.0,0.0,43.0,455.0,61.0,158.0,190.0,117.0,17.0,455.0,20.0,12.0,60.0,8.0,40.0,213.0,1493.0,758.0,16.0,12.0,3.0,10.0,5.0,257.0,29.0,1,0,0,10.0,14.0,2.0,19.0,14.0,12.0,0.0,0.0,0,48.0,16.0,21.0,43.2,1
2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,D,2,2,Inter,2,13.0,6.0,46.2,0.15,0.33,16.8,1.0,0,0,1.1,1.1,0.08,0.9,0.9,5.0,2,3.0,60.0,0,0.8,-1.2,0,0,0,0,9.0,19.0,47.4,31.0,4.0,41.9,36.6,7.0,85.7,51.4,18.0,0.0,0.0,0.0,,377.0,484.0,77.9,6658.0,2250.0,170.0,195.0,87.2,166.0,195.0,85.1,34.0,74.0,45.9,1,0.8,0.7,10.0,16.0,12.0,5.0,30.0,484.0,433.0,48.0,15.0,1.0,4.0,14.0,19.0,4.0,1.0,1.0,0.0,377.0,3.0,4.0,24.0,19.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,4.0,3.0,0.0,4.0,7.0,57.1,3.0,12.0,4.0,8.0,11.0,18,19.0,0.0,45.0,579.0,59.0,189.0,279.0,118.0,17.0,579.0,16.0,10.0,62.5,6.0,37.5,270.0,1456.0,725.0,13.0,15.0,2.0,11.0,11.0,377.0,30.0,2,0,0,15.0,14.0,3.0,14.0,11.0,6.0,0.0,0.0,0,56.0,15.0,19.0,44.1,1
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,1,0,SPAL,1,10.0,6.0,60.0,0.1,0.17,17.8,1.0,0,0,2.0,2.0,0.2,-1.0,-1.0,2.0,0,2.0,100.0,1,0.9,0.9,0,0,0,0,8.0,16.0,50.0,16.0,2.0,43.8,38.3,11.0,81.8,50.7,22.0,0.0,0.0,0.0,5.5,309.0,426.0,72.5,5704.0,2472.0,127.0,149.0,85.2,133.0,177.0,75.1,40.0,73.0,54.8,1,1.2,1.1,6.0,31.0,8.0,3.0,42.0,426.0,368.0,55.0,15.0,1.0,4.0,18.0,19.0,9.0,3.0,0.0,0.0,309.0,3.0,14.0,16.0,12.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,16.0,12.0,8.0,1.0,13.0,19.0,68.4,6.0,13.0,2.0,11.0,11.0,32,29.0,0.0,51.0,555.0,59.0,181.0,222.0,168.0,22.0,555.0,13.0,4.0,30.8,9.0,69.2,252.0,1627.0,851.0,18.0,13.0,2.0,14.0,14.0,308.0,42.0,1,0,0,16.0,13.0,3.0,18.0,11.0,16.0,0.0,0.0,0,63.0,26.0,18.0,59.1,1
2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,1,1,Udinese,1,14.0,4.0,28.6,0.07,0.25,20.8,0.0,0,0,0.7,0.7,0.05,0.3,0.3,1.0,1,0.0,0.0,0,0.2,-0.8,0,0,0,0,7.0,11.0,63.6,24.0,9.0,25.0,29.3,5.0,100.0,52.2,8.0,1.0,12.5,3.0,26.0,471.0,587.0,80.2,8954.0,2988.0,188.0,205.0,91.7,206.0,245.0,84.1,66.0,103.0,64.1,1,0.5,0.6,10.0,32.0,2.0,1.0,59.0,587.0,538.0,47.0,17.0,0.0,3.0,39.0,16.0,7.0,3.0,3.0,0.0,471.0,2.0,11.0,25.0,22.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,11.0,10.0,6.0,4.0,8.0,12.0,66.7,4.0,4.0,0.0,4.0,3.0,23,9.0,0.0,65.0,666.0,39.0,128.0,375.0,167.0,16.0,666.0,13.0,7.0,53.8,6.0,46.2,410.0,2331.0,1382.0,28.0,19.0,5.0,15.0,14.0,465.0,57.0,2,0,0,15.0,16.0,2.0,39.0,3.0,11.0,0.0,0.0,0,53.0,19.0,18.0,51.4,1
2018-09-23,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,L,1,3,Napoli,1,9.0,1.0,11.1,0.0,0.0,24.2,1.0,1,1,1.2,0.4,0.05,-0.2,-0.4,6.0,3,3.0,50.0,0,2.9,-0.1,0,0,0,0,7.0,11.0,63.6,23.0,4.0,39.1,37.5,7.0,28.6,37.1,11.0,0.0,0.0,4.0,18.3,389.0,473.0,82.2,7242.0,2528.0,178.0,196.0,90.8,153.0,175.0,87.4,53.0,82.0,64.6,0,0.3,0.3,5.0,32.0,7.0,1.0,36.0,473.0,423.0,48.0,16.0,1.0,6.0,15.0,17.0,4.0,1.0,0.0,1.0,389.0,2.0,11.0,18.0,12.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,7.0,6.0,4.0,0.0,5.0,7.0,71.4,2.0,12.0,3.0,9.0,7.0,17,13.0,1.0,47.0,553.0,43.0,151.0,303.0,102.0,14.0,552.0,16.0,11.0,68.8,5.0,31.3,314.0,1687.0,857.0,12.0,11.0,5.0,17.0,12.0,388.0,36.0,2,0,0,18.0,13.0,2.0,15.0,7.0,7.0,1.0,0.0,0,52.0,8.0,14.0,36.4,1
2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,D,0,0,Atalanta,0,7.0,0.0,0.0,0.0,,25.6,2.0,0,0,0.3,0.3,0.04,-0.3,-0.3,3.0,0,3.0,100.0,1,0.5,0.5,0,0,0,0,8.0,22.0,36.4,27.0,2.0,55.6,40.5,11.0,63.6,48.2,31.0,1.0,3.2,0.0,6.0,258.0,407.0,63.4,4646.0,2237.0,108.0,143.0,75.5,100.0,145.0,69.0,33.0,76.0,43.4,0,0.1,0.1,3.0,18.0,0.0,0.0,15.0,407.0,351.0,55.0,13.0,0.0,2.0,10.0,29.0,1.0,0.0,0.0,0.0,258.0,1.0,14.0,12.0,6.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,11.0,7.0,1.0,9.0,14.0,64.3,5.0,25.0,3.0,22.0,13.0,32,34.0,1.0,43.0,558.0,77.0,197.0,275.0,90.0,3.0,558.0,14.0,7.0,50.0,7.0,50.0,211.0,1246.0,512.0,11.0,11.0,1.0,28.0,11.0,254.0,14.0,1,0,0,17.0,11.0,1.0,10.0,13.0,14.0,0.0,0.0,0,68.0,19.0,33.0,36.5,1
2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,W,1,0,Chievo,1,19.0,5.0,26.3,0.05,0.2,17.0,0.0,0,0,1.6,1.6,0.08,-0.6,-0.6,1.0,0,1.0,100.0,1,0.1,0.1,0,0,0,0,3.0,6.0,50.0,19.0,6.0,26.3,32.4,5.0,20.0,34.6,9.0,1.0,11.1,0.0,8.3,506.0,613.0,82.5,9329.0,2825.0,207.0,233.0,88.8,212.0,248.0,85.5,69.0,96.0,71.9,1,1.5,1.7,17.0,33.0,11.0,3.0,58.0,613.0,557.0,55.0,17.0,1.0,13.0,21.0,24.0,8.0,2.0,2.0,0.0,506.0,1.0,11.0,36.0,27.0,6.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,6.0,14.0,3.0,5.0,7.0,71.4,2.0,15.0,2.0,13.0,13.0,36,25.0,0.0,63.0,744.0,46.0,166.0,405.0,177.0,26.0,744.0,13.0,5.0,38.5,8.0,61.5,432.0,2351.0,1334.0,25.0,21.0,3.0,20.0,17.0,506.0,58.0,3,0,0,16.0,13.0,1.0,21.0,13.0,13.0,0.0,0.0,0,61.0,28.0,18.0,60.9,1
2018-10-05,20:30 (11:30),Serie A,Matchweek 8,Fri,Home,W,3,2,Frosinone,3,17.0,9.0,52.9,0.18,0.33,17.2,1.0,0,0,1.8,1.8,0.12,1.2,1.2,5.0,2,3.0,60.0,0,2.0,0.0,0,0,0,0,6.0,13.0,46.2,18.0,4.0,33.3,33.6,9.0,77.8,52.1,16.0,0.0,0.0,0.0,1.0,439.0,539.0,81.4,8111.0,3061.0,175.0,194.0,90.2,199.0,224.0,88.8,52.0,84.0,61.9,1,1.1,0.8,12.0,28.0,8.0,3.0,34.0,539.0,484.0,53.0,18.0,0.0,6.0,11.0,21.0,2.0,1.0,0.0,0.0,439.0,2.0,13.0,26.0,17.0,2.0,2.0,4.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,16.0,9.0,6.0,8.0,2.0,4.0,11.0,36.4,7.0,9.0,3.0,6.0,13.0,29,21.0,0.0,61.0,662.0,38.0,215.0,326.0,126.0,19.0,662.0,13.0,10.0,76.9,3.0,23.1,302.0,1947.0,997.0,26.0,12.0,4.0,21.0,10.0,437.0,34.0,3,0,0,16.0,18.0,2.0,11.0,13.0,9.0,0.0,0.0,0,64.0,21.0,20.0,51.2,1
2018-10-21,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,D,2,2,Bologna,2,11.0,6.0,54.5,0.18,0.33,20.7,0.0,0,0,0.9,0.9,0.08,1.1,1.1,2.0,2,0.0,0.0,0,1.5,-0.5,0,0,0,0,11.0,21.0,52.4,23.0,4.0,52.2,41.1,9.0,100.0,57.1,12.0,1.0,8.3,4.0,20.6,363.0,464.0,78.2,6775.0,2345.0,161.0,179.0,89.9,142.0,171.0,83.0,51.0,87.0,58.6,2,0.7,0.8,7.0,30.0,3.0,1.0,29.0,464.0,418.0,45.0,11.0,0.0,8.0,13.0,18.0,4.0,3.0,0.0,0.0,363.0,1.0,12.0,19.0,16.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,8.0,2.0,1.0,4.0,10.0,40.0,6.0,8.0,1.0,7.0,11.0,22,22.0,0.0,52.0,571.0,39.0,142.0,317.0,121.0,15.0,571.0,12.0,7.0,58.3,5.0,41.7,367.0,1885.0,938.0,15.0,14.0,1.0,15.0,12.0,360.0,29.0,2,0,0,22.0,10.0,1.0,13.0,11.0,8.0,0.0,0.0,0,67.0,25.0,22.0,53.2,1
2018-10-27,20:30 (11:30),Serie A,Matchweek 10,Sat,Home,D,1,1,Fiorentina,0,21.0,2.0,9.5,0.0,0.0,24.0,2.0,0,0,0.9,0.9,0.04,-0.9,-0.9,5.0,1,4.0,80.0,0,2.1,1.1,0,0,0,0,9.0,13.0,69.2,13.0,4.0,38.5,37.6,8.0,100.0,55.1,7.0,0.0,0.0,0.0,18.0,308.0,429.0,71.8,5667.0,2659.0,125.0,157.0,79.6,111.0,147.0,75.5,45.0,81.0,55.6,0,0.8,0.9,19.0,34.0,12.0,2.0,51.0,429.0,364.0,64.0,23.0,1.0,8.0,27.0,27.0,4.0,1.0,3.0,0.0,308.0,1.0,13.0,40.0,31.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,9.0,9.0,5.0,11.0,18.0,61.1,7.0,8.0,1.0,7.0,13.0,36,18.0,1.0,55.0,540.0,41.0,117.0,247.0,190.0,27.0,540.0,15.0,9.0,60.0,6.0,40.0,251.0,1628.0,867.0,21.0,21.0,4.0,17.0,18.0,296.0,46.0,2,0,0,15.0,20.0,1.0,27.0,13.0,17.0,0.0,0.0,0,57.0,28.0,16.0,63.6,1
