Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Sampdoria,3,17,10,58.8,0.18,0.3,19.6,0.0,0,0,1.8,1.8,0.1,1.2,1.2,8,0,8,100.0,1.0,1.0,1.0,0,0,0,0,10.0,20.0,50.0,29.0,6.0,58.6,44.1,5.0,60.0,48.0,15.0,0.0,0.0,0.0,,391.0,487.0,80.3,7202.0,2793.0,183.0,204.0,89.7,145.0,167.0,86.8,53.0,83.0,63.9,2,1.3,0.8,15.0,29.0,9.0,5.0,32.0,487.0,438.0,43.0,12.0,2.0,9.0,22,16.0,9.0,1.0,8.0,0.0,391.0,6.0,10.0,33.0,26.0,2.0,0.0,1.0,1.0,3.0,6.0,3.0,1.0,0.0,0.0,1.0,1.0,25.0,12,11.0,11.0,3.0,7.0,15.0,46.7,8.0,5.0,3.0,2.0,12,37,21.0,0.0,50,597.0,60.0,202.0,247.0,158.0,26.0,597.0,14.0,5.0,35.7,9.0,64.3,360.0,2076.0,1147.0,26.0,18.0,6.0,10.0,9.0,387.0,32.0,2,0,0,12,12,6,22,12,12,0.0,0.0,0,53.0,19.0,13.0,59.4,1.0
2019-09-01,18:00 (09:00),Serie A,Matchweek 2,Sun,Home,D,1,1,Roma,1,22,7,31.8,0.05,0.14,18.1,0.0,0,0,2.2,2.2,0.1,-1.2,-1.2,2,1,1,100.0,0.0,1.1,0.1,1,1,0,0,2.0,4.0,50.0,12.0,7.0,16.7,26.4,9.0,22.2,34.0,8.0,0.0,0.0,1.0,14.5,338.0,419.0,80.7,6230.0,2371.0,138.0,161.0,85.7,145.0,160.0,90.6,41.0,73.0,56.2,1,2.1,1.2,20.0,37.0,8.0,3.0,44.0,419.0,372.0,45.0,13.0,0.0,6.0,23,13.0,8.0,3.0,2.0,0.0,338.0,2.0,6.0,38.0,27.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,10,6.0,7.0,4.0,5.0,21.0,23.8,16.0,8.0,3.0,5.0,7,24,13.0,0.0,50,519.0,38.0,118.0,225.0,182.0,29.0,519.0,13.0,7.0,53.8,6.0,46.2,242.0,1693.0,1104.0,30.0,18.0,8.0,14.0,4.0,336.0,44.0,4,0,0,15,13,2,23,7,10,0.0,1.0,0,41.0,18.0,14.0,56.3,1.0
2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,L,1,2,SPAL,1,11,4,36.4,0.0,0.0,22.4,1.0,1,1,1.4,0.6,0.05,-0.4,-0.6,3,2,1,33.3,0.0,0.5,-1.5,0,0,0,0,0.0,4.0,0.0,18.0,3.0,5.6,18.9,8.0,37.5,32.3,17.0,1.0,5.9,0.0,6.5,459.0,542.0,84.7,7151.0,2480.0,226.0,248.0,91.1,171.0,191.0,89.5,30.0,55.0,54.5,0,0.4,0.9,7.0,47.0,8.0,1.0,53.0,542.0,497.0,45.0,7.0,3.0,3.0,20,22.0,5.0,0.0,5.0,0.0,459.0,0.0,10.0,19.0,16.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,7,7.0,6.0,0.0,3.0,12.0,25.0,9.0,15.0,8.0,7.0,8,21,19.0,0.0,54,647.0,53.0,159.0,295.0,199.0,25.0,646.0,14.0,9.0,64.3,5.0,35.7,358.0,2143.0,1335.0,28.0,19.0,7.0,12.0,5.0,455.0,53.0,3,0,0,12,7,0,20,8,7,0.0,0.0,0,49.0,10.0,18.0,35.7,1.0
2019-09-19,19:55 (09:55),Europa Lg,Group stage,Thu,Away,L,1,2,ro CFR Cluj,1,13,5,38.5,0.08,0.2,13.3,1.0,0,0,2.0,2.0,0.15,-1.0,-1.0,2,2,0,50.0,0.0,1.8,-0.2,1,1,0,0,5.0,17.0,29.4,37.0,6.0,43.2,36.8,11.0,9.1,26.3,11.0,2.0,18.2,0.0,9.3,511.0,621.0,82.3,9063.0,3581.0,214.0,244.0,87.7,220.0,252.0,87.3,59.0,97.0,60.8,0,1.1,1.5,9.0,49.0,8.0,6.0,48.0,621.0,558.0,62.0,22.0,1.0,2.0,15,23.0,3.0,1.0,0.0,0.0,511.0,1.0,3.0,21.0,15.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,8,3.0,9.0,1.0,6.0,10.0,60.0,4.0,5.0,1.0,4.0,13,26,16.0,2.0,65,744.0,72.0,223.0,372.0,150.0,14.0,744.0,22.0,12.0,54.5,10.0,45.5,377.0,1893.0,922.0,15.0,9.0,4.0,23.0,10.0,507.0,48.0,3,0,0,17,19,1,15,13,8,0.0,1.0,0,58.0,22.0,25.0,46.8,2.0
2019-09-22,20:45 (11:45),Serie A,Matchweek 4,Sun,Home,W,2,0,Parma,2,25,9,36.0,0.08,0.22,18.8,0.0,0,0,1.7,1.7,0.07,0.3,0.3,1,0,1,100.0,1.0,0.2,0.2,0,0,0,0,3.0,9.0,33.3,23.0,2.0,34.8,34.1,3.0,33.3,31.7,10.0,0.0,0.0,0.0,13.0,623.0,708.0,88.0,10687.0,3380.0,298.0,323.0,92.3,209.0,228.0,91.7,80.0,106.0,75.5,2,1.5,1.4,19.0,52.0,11.0,1.0,68.0,708.0,668.0,39.0,11.0,2.0,7.0,21,14.0,10.0,2.0,7.0,0.0,623.0,1.0,10.0,45.0,32.0,3.0,5.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,16,11.0,4.0,3.0,8.0,13.0,61.5,5.0,7.0,2.0,5.0,10,28,15.0,0.0,62,817.0,50.0,173.0,449.0,201.0,30.0,817.0,20.0,13.0,65.0,6.0,30.0,399.0,2276.0,1276.0,34.0,20.0,6.0,8.0,9.0,621.0,68.0,1,0,0,7,10,1,21,10,16,0.0,0.0,0,60.0,9.0,8.0,52.9,1.0
2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Away,L,0,1,Inter,0,10,4,40.0,0.0,0.0,13.3,0.0,0,0,1.2,1.2,0.12,-1.2,-1.2,3,1,2,66.7,0.0,0.9,-0.1,0,0,0,0,3.0,10.0,30.0,16.0,3.0,43.8,35.8,9.0,33.3,35.1,14.0,0.0,0.0,0.0,11.5,318.0,405.0,78.5,5857.0,2217.0,139.0,163.0,85.3,137.0,166.0,82.5,36.0,57.0,63.2,0,1.1,1.1,9.0,33.0,10.0,3.0,37.0,405.0,357.0,47.0,11.0,2.0,2.0,12,19.0,6.0,3.0,1.0,0.0,318.0,1.0,8.0,18.0,12.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10,10.0,7.0,0.0,5.0,13.0,38.5,8.0,15.0,5.0,10.0,16,33,29.0,0.0,36,538.0,58.0,173.0,231.0,141.0,21.0,538.0,19.0,12.0,63.2,6.0,31.6,249.0,1608.0,806.0,16.0,13.0,2.0,16.0,10.0,314.0,37.0,3,0,0,8,9,1,12,16,10,0.0,0.0,0,49.0,12.0,21.0,36.4,1.0
2019-09-29,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,W,4,0,Genoa,4,15,10,66.7,0.27,0.4,18.7,1.0,0,0,1.4,1.4,0.09,2.6,2.6,6,0,6,100.0,1.0,0.6,0.6,0,0,0,0,4.0,6.0,66.7,17.0,2.0,35.3,29.3,9.0,0.0,7.9,18.0,0.0,0.0,0.0,13.0,499.0,576.0,86.6,8376.0,3132.0,250.0,272.0,91.9,178.0,198.0,89.9,51.0,72.0,70.8,4,1.4,1.0,14.0,31.0,13.0,2.0,43.0,576.0,536.0,39.0,10.0,2.0,6.0,10,14.0,5.0,1.0,2.0,0.0,499.0,1.0,7.0,27.0,20.0,0.0,4.0,1.0,1.0,1.0,8.0,5.0,0.0,2.0,1.0,0.0,0.0,17.0,10,9.0,7.0,1.0,7.0,17.0,41.2,10.0,7.0,1.0,6.0,12,29,19.0,0.0,55,675.0,67.0,182.0,345.0,152.0,34.0,675.0,11.0,8.0,72.7,3.0,27.3,388.0,2240.0,1199.0,20.0,13.0,9.0,13.0,9.0,495.0,42.0,1,0,0,8,9,1,10,12,10,0.0,0.0,0,51.0,7.0,12.0,36.8,1.0
2019-10-03,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,1,fr Rennes,2,12,4,33.3,0.17,0.5,20.3,1.0,0,0,0.5,0.5,0.05,1.5,1.5,4,1,3,75.0,0.0,0.9,-0.1,0,0,0,0,4.0,12.0,33.3,23.0,6.0,30.4,31.3,8.0,62.5,42.6,19.0,0.0,0.0,0.0,10.5,419.0,502.0,83.5,7419.0,2528.0,185.0,203.0,91.1,165.0,181.0,91.2,48.0,80.0,60.0,2,0.4,0.6,9.0,34.0,7.0,1.0,48.0,502.0,457.0,44.0,7.0,1.0,7.0,24,21.0,6.0,1.0,4.0,0.0,419.0,1.0,8.0,22.0,15.0,4.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0,7,7.0,3.0,2.0,8.0,18.0,44.4,10.0,8.0,4.0,4.0,6,18,22.0,0.0,48,596.0,60.0,151.0,290.0,156.0,14.0,596.0,12.0,7.0,58.3,5.0,41.7,313.0,1870.0,960.0,13.0,14.0,5.0,17.0,10.0,413.0,47.0,1,0,0,11,5,1,24,6,7,0.0,0.0,0,44.0,7.0,4.0,63.6,2.0
2019-10-06,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,2,2,Bologna,2,10,4,40.0,0.2,0.5,20.1,2.0,0,1,1.8,1.0,0.1,0.2,1.0,8,2,6,75.0,0.0,2.4,0.4,0,0,0,0,4.0,14.0,28.6,24.0,4.0,50.0,36.6,10.0,20.0,26.0,17.0,0.0,0.0,0.0,3.0,324.0,434.0,74.7,5908.0,2414.0,149.0,176.0,84.7,113.0,144.0,78.5,46.0,71.0,64.8,2,0.4,0.5,7.0,27.0,10.0,1.0,35.0,434.0,383.0,50.0,12.0,1.0,6.0,17,21.0,4.0,1.0,3.0,0.0,324.0,1.0,11.0,20.0,16.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,6,8.0,5.0,0.0,8.0,24.0,33.3,16.0,11.0,2.0,9.0,11,24,18.0,0.0,48,532.0,63.0,185.0,207.0,143.0,19.0,531.0,17.0,9.0,52.9,8.0,47.1,215.0,1344.0,764.0,15.0,14.0,1.0,11.0,6.0,321.0,35.0,4,1,1,16,12,1,17,11,6,1.0,0.0,0,42.0,23.0,11.0,67.6,1.0
2019-10-19,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,D,3,3,Atalanta,3,15,3,20.0,0.07,0.33,24.0,0.0,2,2,2.9,1.3,0.09,0.1,-0.3,9,3,6,66.7,0.0,3.8,0.8,0,0,0,0,7.0,15.0,46.7,34.0,1.0,35.3,31.5,12.0,25.0,27.3,5.0,0.0,0.0,2.0,19.7,407.0,531.0,76.6,7304.0,3144.0,203.0,240.0,84.6,147.0,180.0,81.7,50.0,84.0,59.5,1,1.3,0.6,13.0,39.0,14.0,6.0,48.0,531.0,480.0,50.0,12.0,2.0,4.0,16,19.0,3.0,0.0,2.0,0.0,407.0,1.0,8.0,32.0,25.0,2.0,2.0,1.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,18.0,10,6.0,11.0,1.0,8.0,19.0,42.1,11.0,14.0,4.0,10.0,11,29,7.0,1.0,51,639.0,72.0,179.0,303.0,164.0,17.0,637.0,19.0,11.0,57.9,8.0,42.1,309.0,1923.0,998.0,17.0,15.0,4.0,15.0,8.0,400.0,47.0,5,0,0,16,12,1,16,11,10,2.0,0.0,0,65.0,19.0,15.0,55.9,1.0
