Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-20,12:30 (03:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,0,6,2,33.3,0.0,0.0,25.1,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,6,2.0,4,66.7,0,1.7,-0.3,0,0,0,0,10.0,12.0,83.3,26.0,4.0,38.5,32.4,12.0,16.7,21.4,11.0,2.0,18.2,0.0,5.4,365.0,442.0,82.6,7117.0,2702.0,132.0,147.0,89.8,185.0,206.0,89.8,45.0,70.0,64.3,0,0.2,0.5,5.0,23.0,6.0,1.0,26.0,442.0,391.0,49.0,13.0,1.0,3.0,15,17.0,4.0,1.0,0.0,0.0,365.0,2.0,11.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7,12.0,4.0,1.0,13.0,24.0,54.2,11.0,15.0,5.0,10.0,17,34,15.0,2.0,39.0,549.0,71.0,238.0,225.0,89.0,13.0,549.0,15.0,7.0,46.7,8.0,53.3,260.0,1447.0,642.0,5.0,7.0,1.0,12.0,11.0,360.0,25.0,4,0,0,16,11,2,15,17,7,0.0,0.0,0,44.0,12.0,14.0,46.2,1
2020-09-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,1,9,3,33.3,0.11,0.33,17.2,1.0,0,0,1.4,1.4,0.16,-0.4,-0.4,8,4.0,4,50.0,0,2.4,-1.6,0,0,0,0,1.0,6.0,16.7,23.0,6.0,8.7,25.2,6.0,66.7,46.8,13.0,1.0,7.7,0.0,4.0,312.0,413.0,75.5,5438.0,2177.0,138.0,164.0,84.1,139.0,163.0,85.3,31.0,60.0,51.7,1,1.3,0.9,7.0,25.0,5.0,1.0,31.0,413.0,357.0,56.0,13.0,2.0,2.0,21,23.0,9.0,4.0,0.0,0.0,312.0,0.0,14.0,16.0,10.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,12,6.0,13.0,1.0,13.0,27.0,48.1,14.0,8.0,1.0,7.0,9,29,16.0,0.0,42.0,520.0,61.0,195.0,206.0,123.0,15.0,520.0,19.0,11.0,57.9,8.0,42.1,235.0,1432.0,707.0,14.0,7.0,6.0,19.0,16.0,311.0,31.0,2,1,0,9,12,0,21,9,12,0.0,0.0,0,50.0,13.0,9.0,59.1,1
2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,1,11,4,36.4,0.09,0.25,16.8,0.0,0,0,1.1,1.1,0.1,-0.1,-0.1,2,0.0,2,100.0,1,0.3,0.3,0,0,0,0,12.0,28.0,42.9,32.0,2.0,68.8,43.9,8.0,75.0,46.5,21.0,1.0,4.8,0.0,3.2,273.0,373.0,73.2,5202.0,2287.0,108.0,133.0,81.2,124.0,148.0,83.8,35.0,73.0,47.9,1,1.0,0.8,9.0,23.0,4.0,1.0,22.0,373.0,314.0,57.0,23.0,0.0,1.0,13,18.0,7.0,0.0,0.0,0.0,273.0,2.0,7.0,18.0,15.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4,5.0,3.0,1.0,5.0,12.0,41.7,7.0,7.0,3.0,4.0,13,22,29.0,0.0,40.0,476.0,71.0,174.0,196.0,110.0,17.0,476.0,10.0,4.0,40.0,6.0,60.0,176.0,1177.0,694.0,12.0,13.0,9.0,9.0,4.0,269.0,22.0,1,0,0,11,18,2,13,13,4,0.0,0.0,0,42.0,19.0,17.0,52.8,1
2020-10-18,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,2,9,3,33.3,0.22,0.67,18.6,0.0,0,0,1.0,1.0,0.11,1.0,1.0,4,3.0,2,25.0,0,1.1,-0.9,0,0,0,0,2.0,8.0,25.0,28.0,6.0,25.0,35.4,7.0,14.3,30.9,31.0,2.0,6.5,0.0,5.0,477.0,571.0,83.5,9148.0,2835.0,194.0,214.0,90.7,201.0,228.0,88.2,74.0,105.0,70.5,2,1.0,0.8,8.0,43.0,3.0,2.0,40.0,571.0,529.0,41.0,14.0,0.0,10.0,15,14.0,2.0,0.0,1.0,0.0,477.0,1.0,11.0,14.0,8.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,6,3.0,5.0,0.0,2.0,12.0,16.7,10.0,10.0,5.0,5.0,9,17,25.0,1.0,58.0,662.0,73.0,218.0,344.0,107.0,13.0,662.0,15.0,12.0,80.0,3.0,20.0,417.0,1988.0,1220.0,22.0,10.0,5.0,11.0,16.0,473.0,40.0,2,0,0,11,10,1,15,9,6,0.0,0.0,1,50.0,14.0,10.0,58.3,1
2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,2,16,5,31.3,0.06,0.2,15.2,1.0,1,1,3.5,2.8,0.18,-1.5,-1.8,6,2.0,4,66.7,0,1.3,-0.7,0,0,0,0,0.0,8.0,0.0,19.0,5.0,36.8,33.5,9.0,11.1,18.9,10.0,0.0,0.0,0.0,,363.0,469.0,77.4,7129.0,2565.0,127.0,148.0,85.8,171.0,191.0,89.5,52.0,94.0,55.3,0,1.5,1.3,12.0,26.0,10.0,5.0,35.0,469.0,398.0,67.0,20.0,1.0,4.0,28,23.0,12.0,2.0,7.0,0.0,363.0,4.0,11.0,29.0,20.0,4.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,8,8.0,7.0,0.0,2.0,12.0,16.7,10.0,16.0,2.0,14.0,8,23,7.0,0.0,49.0,558.0,53.0,163.0,281.0,122.0,27.0,557.0,19.0,11.0,57.9,8.0,42.1,276.0,1651.0,830.0,14.0,10.0,3.0,14.0,6.0,360.0,35.0,3,0,0,11,20,4,28,8,8,1.0,0.0,0,45.0,12.0,13.0,48.0,1
2020-10-31,18:00 (10:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,2,5,3,60.0,0.4,0.67,21.0,0.0,0,0,0.9,0.9,0.18,1.1,1.1,9,2.0,7,77.8,0,1.4,-0.6,0,0,0,0,13.0,22.0,59.1,28.0,6.0,46.4,37.8,16.0,56.3,42.6,36.0,1.0,2.8,0.0,7.7,209.0,309.0,67.6,4298.0,2049.0,92.0,122.0,75.4,80.0,108.0,74.1,36.0,67.0,53.7,2,0.8,0.5,3.0,13.0,2.0,0.0,13.0,309.0,254.0,53.0,16.0,2.0,2.0,6,16.0,2.0,0.0,1.0,0.0,209.0,2.0,9.0,7.0,5.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,14,17.0,6.0,1.0,11.0,19.0,57.9,8.0,12.0,5.0,7.0,11,35,49.0,0.0,32.0,437.0,108.0,262.0,140.0,41.0,4.0,437.0,13.0,7.0,53.8,6.0,46.2,211.0,1205.0,633.0,7.0,7.0,1.0,13.0,5.0,208.0,13.0,1,0,0,7,13,2,6,11,14,0.0,0.0,0,35.0,20.0,19.0,51.3,1
2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,0,5,0,0.0,0.0,,30.3,2.0,0,0,0.2,0.2,0.04,-0.2,-0.2,4,0.0,4,100.0,1,0.3,0.3,0,0,0,0,4.0,5.0,80.0,15.0,5.0,20.0,30.9,4.0,50.0,36.5,15.0,0.0,0.0,0.0,5.0,354.0,429.0,82.5,6647.0,2217.0,140.0,155.0,90.3,153.0,171.0,89.5,47.0,75.0,62.7,0,0.1,0.1,3.0,19.0,3.0,1.0,22.0,429.0,388.0,38.0,15.0,0.0,3.0,10,16.0,2.0,1.0,1.0,0.0,354.0,3.0,7.0,10.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10,13.0,16.0,0.0,16.0,32.0,50.0,16.0,8.0,1.0,7.0,9,38,17.0,0.0,36.0,530.0,51.0,196.0,273.0,68.0,10.0,530.0,10.0,5.0,50.0,5.0,50.0,285.0,1451.0,846.0,16.0,11.0,4.0,16.0,6.0,349.0,22.0,1,0,0,17,16,3,10,9,10,0.0,0.0,0,48.0,9.0,3.0,75.0,1
2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,0,1,1,100.0,0.0,0.0,18.6,0.0,0,0,0.0,0.0,0.05,0.0,0.0,7,3.0,4,57.1,0,2.6,-0.4,0,0,0,0,3.0,6.0,50.0,29.0,9.0,20.7,27.8,7.0,0.0,25.0,11.0,0.0,0.0,2.0,25.0,459.0,537.0,85.5,8808.0,2725.0,168.0,177.0,94.9,229.0,253.0,90.5,61.0,89.0,68.5,0,0.0,0.1,1.0,24.0,2.0,0.0,41.0,537.0,508.0,25.0,6.0,0.0,4.0,10,7.0,1.0,0.0,1.0,0.0,459.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7,11.0,6.0,0.0,8.0,22.0,36.4,14.0,13.0,7.0,6.0,20,37,19.0,1.0,42.0,635.0,85.0,301.0,273.0,66.0,4.0,635.0,12.0,9.0,75.0,3.0,25.0,412.0,1532.0,885.0,9.0,8.0,1.0,17.0,9.0,457.0,41.0,0,0,0,4,5,4,10,20,7,0.0,0.0,0,53.0,2.0,2.0,50.0,1
2020-11-30,20:45 (11:45),Serie A,Matchweek 9,Mon,Away,W,2,1,Genoa,2,9,3,33.3,0.22,0.67,13.9,0.0,0,0,1.1,1.1,0.13,0.9,0.9,5,1.0,4,80.0,0,1.0,0.0,0,0,0,0,20.0,33.0,60.6,36.0,6.0,61.1,43.9,14.0,78.6,55.2,20.0,0.0,0.0,1.0,15.3,369.0,484.0,76.2,7494.0,3405.0,145.0,173.0,83.8,147.0,177.0,83.1,68.0,107.0,63.6,1,1.1,0.9,8.0,22.0,7.0,2.0,29.0,484.0,422.0,56.0,16.0,2.0,1.0,6,22.0,2.0,2.0,0.0,0.0,369.0,6.0,12.0,18.0,13.0,1.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,17.0,5,8.0,5.0,4.0,7.0,18.0,38.9,11.0,16.0,1.0,15.0,11,28,21.0,0.0,48.0,594.0,71.0,227.0,259.0,116.0,20.0,594.0,17.0,14.0,82.4,3.0,17.6,353.0,1734.0,769.0,16.0,12.0,8.0,19.0,10.0,368.0,29.0,2,0,0,16,11,6,6,11,5,0.0,0.0,0,55.0,29.0,15.0,65.9,1
2020-12-06,15:00 (06:00),Serie A,Matchweek 10,Sun,Home,D,0,0,Benevento,0,10,0,0.0,0.0,,17.2,1.0,0,0,0.7,0.7,0.07,-0.7,-0.7,2,0.0,2,100.0,1,0.2,0.2,0,0,0,0,1.0,2.0,50.0,22.0,5.0,9.1,23.2,5.0,0.0,21.8,16.0,0.0,0.0,0.0,,498.0,580.0,85.9,9879.0,3294.0,167.0,186.0,89.8,253.0,277.0,91.3,71.0,96.0,74.0,0,0.6,0.6,7.0,48.0,7.0,2.0,62.0,580.0,539.0,41.0,12.0,0.0,5.0,21,17.0,6.0,3.0,2.0,0.0,498.0,0.0,7.0,20.0,10.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7,5.0,7.0,0.0,5.0,10.0,50.0,5.0,7.0,1.0,6.0,14,26,20.0,0.0,57.0,676.0,58.0,187.0,338.0,158.0,17.0,676.0,14.0,7.0,50.0,7.0,50.0,442.0,2123.0,1285.0,22.0,14.0,3.0,13.0,5.0,495.0,62.0,4,0,0,13,11,0,21,14,7,0.0,0.0,0,44.0,18.0,8.0,69.2,1
