Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-27,12:30 (03:30),Serie A,Matchweek 2,Sun,Home,L,1,4,Sassuolo,1,12,5,41.7,0.08,0.2,16.5,0.0,0,0,1.4,1.4,0.12,-0.4,-0.4,6,4.0,2,50.0,0,1.6,-2.4,1,1,0,0,4.0,10.0,40.0,26.0,9.0,34.6,32.8,5.0,20.0,22.8,14.0,0.0,0.0,0.0,4.0,284.0,363.0,78.2,5476.0,2226.0,125.0,144.0,86.8,113.0,138.0,81.9,43.0,68.0,63.2,1,1.1,0.8,10.0,21.0,7.0,2.0,27.0,363.0,324.0,39.0,12.0,0.0,4.0,15,14.0,3.0,0.0,2.0,0.0,284.0,0.0,10.0,22.0,16.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,7,8.0,3.0,0.0,6.0,18.0,33.3,12.0,13.0,7.0,6.0,12,23,16.0,1.0,34.0,472.0,69.0,212.0,151.0,113.0,21.0,472.0,18.0,9.0,50.0,9.0,50.0,261.0,1382.0,772.0,13.0,5.0,5.0,11.0,11.0,282.0,26.0,2,0,0,13,8,0,15,12,7,0.0,1.0,0,48.0,6.0,5.0,54.5,1
2020-09-30,18:00 (09:00),Serie A,Matchweek 1,Wed,Away,W,2,0,Udinese,2,4,2,50.0,0.5,1.0,13.5,0.0,0,0,0.8,0.8,0.21,1.2,1.2,3,0.0,3,100.0,1,0.6,0.6,0,0,0,0,4.0,11.0,36.4,36.0,4.0,25.0,29.9,7.0,28.6,30.3,12.0,2.0,16.7,0.0,6.5,435.0,526.0,82.7,8148.0,2774.0,193.0,208.0,92.8,165.0,188.0,87.8,66.0,96.0,68.8,2,0.8,0.3,4.0,19.0,3.0,1.0,33.0,526.0,471.0,52.0,19.0,0.0,8.0,7,23.0,2.0,1.0,0.0,0.0,435.0,3.0,10.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,10,8.0,8.0,0.0,7.0,19.0,36.8,12.0,8.0,4.0,4.0,14,30,23.0,1.0,51.0,623.0,78.0,242.0,324.0,64.0,10.0,623.0,6.0,2.0,33.3,4.0,66.7,322.0,1668.0,789.0,10.0,10.0,5.0,14.0,14.0,434.0,33.0,5,1,1,17,12,3,7,14,10,0.0,0.0,0,43.0,9.0,11.0,45.0,1
2020-10-04,18:00 (09:00),Serie A,Matchweek 3,Sun,Away,L,0,3,Milan,0,4,2,50.0,0.0,0.0,23.4,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,5,3.0,2,40.0,0,2.4,-0.6,0,0,0,0,5.0,16.0,31.3,37.0,5.0,37.8,35.5,6.0,33.3,29.2,18.0,0.0,0.0,0.0,5.0,290.0,388.0,74.7,5489.0,2198.0,125.0,140.0,89.3,118.0,147.0,80.3,39.0,78.0,50.0,0,0.1,0.2,3.0,24.0,5.0,1.0,29.0,388.0,336.0,52.0,15.0,0.0,5.0,14,21.0,6.0,3.0,0.0,0.0,290.0,0.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12,13.0,5.0,3.0,14.0,29.0,48.3,15.0,16.0,6.0,10.0,13,34,24.0,0.0,38.0,503.0,73.0,185.0,234.0,88.0,12.0,503.0,10.0,3.0,30.0,7.0,70.0,300.0,1293.0,545.0,9.0,5.0,3.0,15.0,15.0,289.0,29.0,2,0,0,19,13,0,14,13,12,0.0,0.0,0,51.0,9.0,17.0,34.6,1
2020-10-18,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,D,2,2,Fiorentina,2,12,2,16.7,0.17,1.0,21.7,0.0,0,0,0.9,0.9,0.08,1.1,1.1,3,2.0,1,33.3,0,0.4,-1.6,0,0,0,0,4.0,12.0,33.3,36.0,4.0,30.6,33.2,6.0,16.7,32.0,12.0,0.0,0.0,5.0,24.1,423.0,516.0,82.0,7894.0,2463.0,185.0,205.0,90.2,177.0,209.0,84.7,53.0,81.0,65.4,1,0.5,0.3,9.0,31.0,5.0,1.0,35.0,516.0,465.0,50.0,21.0,0.0,7.0,13,15.0,5.0,2.0,0.0,0.0,423.0,1.0,8.0,22.0,17.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,29.0,15,12.0,12.0,5.0,11.0,22.0,50.0,11.0,6.0,4.0,2.0,10,39,9.0,0.0,52.0,620.0,48.0,174.0,294.0,163.0,16.0,620.0,13.0,9.0,69.2,4.0,30.8,415.0,1929.0,996.0,15.0,16.0,2.0,13.0,9.0,422.0,35.0,2,0,0,15,16,1,13,10,15,0.0,0.0,0,38.0,12.0,14.0,46.2,1
2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Away,D,2,2,Parma,2,14,6,42.9,0.14,0.33,15.5,0.0,0,0,0.8,0.8,0.06,1.2,1.2,6,2.0,4,83.3,0,3.7,1.7,1,1,0,0,11.0,17.0,64.7,34.0,5.0,38.2,31.6,9.0,44.4,42.7,20.0,0.0,0.0,0.0,10.6,394.0,490.0,80.4,7779.0,2856.0,165.0,186.0,88.7,155.0,178.0,87.1,65.0,96.0,67.7,2,0.6,0.6,10.0,25.0,4.0,0.0,38.0,490.0,440.0,49.0,14.0,0.0,7.0,16,20.0,3.0,0.0,3.0,0.0,394.0,1.0,16.0,22.0,18.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,14.0,9,7.0,6.0,1.0,8.0,19.0,42.1,11.0,9.0,2.0,7.0,11,25,24.0,1.0,51.0,588.0,74.0,192.0,279.0,118.0,33.0,588.0,12.0,10.0,83.3,2.0,16.7,307.0,1778.0,886.0,18.0,10.0,8.0,10.0,13.0,388.0,38.0,2,0,0,21,11,1,16,11,9,0.0,1.0,0,40.0,13.0,12.0,52.0,1
2020-11-01,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,1,4,Juventus,1,16,3,18.8,0.06,0.33,20.9,0.0,0,0,0.7,0.7,0.05,0.3,0.3,4,4.0,0,25.0,0,3.4,-0.6,1,1,0,0,6.0,14.0,42.9,40.0,6.0,27.5,32.8,7.0,42.9,39.6,3.0,0.0,0.0,1.0,14.3,393.0,471.0,83.4,7863.0,2613.0,144.0,168.0,85.7,192.0,211.0,91.0,55.0,85.0,64.7,1,0.7,0.7,15.0,34.0,7.0,4.0,34.0,471.0,425.0,43.0,11.0,0.0,4.0,16,16.0,4.0,0.0,4.0,0.0,393.0,3.0,3.0,28.0,22.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,11,7.0,5.0,3.0,9.0,20.0,45.0,11.0,8.0,1.0,7.0,8,23,6.0,0.0,44.0,547.0,59.0,173.0,230.0,151.0,23.0,547.0,17.0,10.0,58.8,7.0,41.2,411.0,1986.0,1076.0,19.0,12.0,6.0,10.0,3.0,392.0,34.0,3,0,0,14,6,3,16,8,11,0.0,1.0,0,44.0,7.0,6.0,53.8,1
2020-11-07,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,W,3,0,Benevento,3,12,6,50.0,0.25,0.5,16.2,0.0,0,0,1.1,1.1,0.09,1.9,1.9,1,0.0,1,100.0,1,0.2,0.2,0,0,0,0,6.0,14.0,42.9,41.0,4.0,31.7,34.3,1.0,100.0,61.0,9.0,0.0,0.0,4.0,23.8,500.0,602.0,83.1,9894.0,2978.0,200.0,221.0,90.5,208.0,233.0,89.3,84.0,119.0,70.6,3,1.0,0.6,10.0,34.0,4.0,1.0,45.0,602.0,554.0,45.0,19.0,0.0,10.0,15,20.0,4.0,0.0,3.0,0.0,500.0,3.0,10.0,22.0,14.0,3.0,1.0,3.0,0.0,1.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,12.0,8,5.0,4.0,3.0,7.0,14.0,50.0,7.0,4.0,0.0,4.0,12,24,11.0,0.0,62.0,682.0,57.0,178.0,376.0,137.0,18.0,682.0,19.0,16.0,84.2,3.0,15.8,318.0,1762.0,935.0,17.0,12.0,5.0,18.0,9.0,494.0,45.0,3,0,0,19,13,3,15,12,8,0.0,0.0,0,51.0,19.0,15.0,55.9,1
2020-11-21,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,D,0,0,Atalanta,0,9,2,22.2,0.0,0.0,19.7,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,4,0.0,4,100.0,1,1.3,1.3,0,0,0,0,7.0,24.0,29.2,62.0,6.0,35.5,36.3,8.0,25.0,35.9,11.0,0.0,0.0,2.0,14.2,461.0,609.0,75.7,8801.0,3304.0,189.0,221.0,85.5,189.0,235.0,80.4,75.0,126.0,59.5,0,0.4,0.5,9.0,28.0,8.0,0.0,41.0,609.0,555.0,52.0,22.0,0.0,2.0,11,20.0,1.0,0.0,1.0,0.0,461.0,2.0,15.0,16.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15,11.0,8.0,1.0,8.0,19.0,42.1,11.0,8.0,3.0,5.0,10,30,22.0,0.0,55.0,720.0,93.0,287.0,326.0,112.0,21.0,720.0,16.0,14.0,87.5,2.0,12.5,351.0,1686.0,726.0,12.0,6.0,7.0,18.0,7.0,456.0,41.0,3,0,0,19,18,2,11,10,15,0.0,0.0,0,77.0,11.0,24.0,31.4,1
2020-11-29,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,2,2,Cagliari,2,14,4,28.6,0.07,0.25,16.5,0.0,1,1,2.5,1.7,0.12,-0.5,-0.7,5,2.0,3,60.0,0,1.1,-0.9,0,0,0,0,7.0,15.0,46.7,46.0,2.0,28.3,31.6,8.0,25.0,30.9,14.0,1.0,7.1,0.0,8.3,452.0,572.0,79.0,9258.0,2999.0,157.0,192.0,81.8,213.0,240.0,88.8,77.0,117.0,65.8,1,1.7,1.6,12.0,32.0,10.0,4.0,45.0,572.0,516.0,50.0,16.0,0.0,9.0,16,18.0,5.0,0.0,2.0,0.0,452.0,6.0,5.0,25.0,19.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,20.0,10,12.0,6.0,2.0,12.0,28.0,42.9,16.0,7.0,2.0,5.0,20,40,18.0,0.0,60.0,690.0,70.0,223.0,298.0,173.0,35.0,689.0,13.0,10.0,76.9,3.0,23.1,427.0,2237.0,1023.0,18.0,12.0,6.0,16.0,9.0,449.0,45.0,4,0,0,18,15,6,16,20,10,1.0,0.0,0,58.0,14.0,14.0,50.0,1
2020-12-05,15:00 (06:00),Serie A,Matchweek 10,Sat,Home,L,1,2,Lazio,1,15,4,26.7,0.07,0.25,16.1,1.0,0,0,1.5,1.5,0.1,-0.5,-0.5,2,2.0,0,0.0,0,0.4,-1.6,0,0,0,0,3.0,4.0,75.0,39.0,2.0,10.3,24.1,2.0,0.0,17.5,4.0,0.0,0.0,2.0,34.0,582.0,681.0,85.5,10333.0,3043.0,258.0,279.0,92.5,244.0,267.0,91.4,64.0,98.0,65.3,1,0.7,0.8,8.0,58.0,8.0,0.0,47.0,681.0,637.0,43.0,15.0,1.0,6.0,18,16.0,7.0,1.0,5.0,0.0,582.0,1.0,12.0,25.0,20.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,8,2.0,9.0,2.0,6.0,14.0,42.9,8.0,5.0,1.0,4.0,7,20,9.0,1.0,65.0,756.0,33.0,169.0,407.0,189.0,28.0,756.0,20.0,12.0,60.0,8.0,40.0,533.0,2919.0,1456.0,18.0,17.0,6.0,9.0,8.0,580.0,47.0,3,0,0,15,12,1,18,7,8,0.0,0.0,0,59.0,13.0,13.0,50.0,1
