Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-23,20:45 (11:45),Serie A,Matchweek 1,Mon,Home,L,0,1,Milan,0,16,3,18.8,0.0,0.0,18.3,2.0,0,0,1.1,1.1,0.07,-1.1,-1.1,4,1,3,75.0,0,1.6,0.6,0,0,0,0,6.0,14.0,42.9,25.0,9.0,32.0,32.2,9.0,66.7,52.1,12.0,2.0,16.7,0.0,8.7,337.0,446.0,75.6,6277.0,2822.0,139.0,161.0,86.3,147.0,179.0,82.1,39.0,71.0,54.9,0,0.8,0.9,11.0,33.0,9.0,3.0,43.0,446.0,390.0,53.0,16.0,1.0,7.0,21,18.0,8.0,1.0,2.0,0.0,337.0,3.0,9.0,29.0,20.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13,9.0,6.0,3.0,11.0,17.0,64.7,6.0,8.0,1.0,7.0,7,25,14.0,1.0,50,538.0,67.0,183.0,225.0,135.0,20.0,538.0,7.0,4.0,57.1,3.0,42.9,242.0,1239.0,587.0,11.0,9.0,0.0,14.0,13.0,336.0,43.0,3,0,0,17,14,3,21,7,13,0.0,0.0,0,56.0,18.0,16.0,52.9,1
2021-08-29,18:30 (09:30),Serie A,Matchweek 2,Sun,Away,D,0,0,Sassuolo,0,11,2,18.2,0.0,0.0,24.2,1.0,0,0,0.5,0.5,0.05,-0.5,-0.5,5,0,5,100.0,1,1.0,1.0,0,0,0,0,9.0,14.0,64.3,22.0,2.0,36.4,35.0,11.0,54.5,37.5,10.0,0.0,0.0,0.0,13.0,258.0,374.0,69.0,4440.0,2215.0,127.0,163.0,77.9,78.0,104.0,75.0,32.0,66.0,48.5,0,0.3,0.6,6.0,21.0,10.0,2.0,37.0,374.0,327.0,44.0,7.0,0.0,6.0,21,19.0,6.0,1.0,2.0,0.0,258.0,3.0,10.0,19.0,12.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17,11.0,10.0,0.0,8.0,24.0,33.3,16.0,16.0,4.0,12.0,13,34,16.0,1.0,37,486.0,68.0,188.0,155.0,148.0,15.0,486.0,13.0,5.0,38.5,8.0,61.5,266.0,1339.0,617.0,15.0,10.0,2.0,15.0,2.0,254.0,37.0,2,0,0,14,7,3,21,13,17,0.0,0.0,0,68.0,14.0,7.0,66.7,1
2021-09-12,12:30 (03:30),Serie A,Matchweek 3,Sun,Home,D,2,2,Inter,2,14,2,14.3,0.14,1.0,14.9,1.0,0,0,1.1,1.1,0.08,0.9,0.9,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,2.0,10.0,20.0,26.0,3.0,23.1,29.8,7.0,57.1,41.4,4.0,0.0,0.0,2.0,19.3,357.0,449.0,79.5,6487.0,2349.0,151.0,168.0,89.9,161.0,187.0,86.1,36.0,71.0,50.7,1,0.8,1.0,10.0,20.0,5.0,3.0,35.0,449.0,401.0,46.0,13.0,1.0,3.0,27,19.0,4.0,0.0,4.0,0.0,357.0,2.0,7.0,24.0,16.0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,4,4.0,3.0,5.0,8.0,13.0,61.5,5.0,13.0,1.0,12.0,11,23,15.0,0.0,52,548.0,56.0,158.0,246.0,147.0,21.0,548.0,9.0,5.0,55.6,4.0,44.4,300.0,1367.0,706.0,17.0,19.0,4.0,19.0,5.0,355.0,35.0,4,0,0,12,13,2,27,11,4,0.0,0.0,0,45.0,10.0,13.0,43.5,1
2021-09-19,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,W,3,0,Empoli,3,14,7,50.0,0.21,0.43,18.7,0.0,0,0,1.0,1.0,0.07,2.0,2.0,4,0,4,100.0,1,1.0,1.0,0,0,0,0,13.0,25.0,52.0,37.0,6.0,51.4,41.6,11.0,54.5,39.3,24.0,3.0,12.5,0.0,7.4,292.0,402.0,72.6,5645.0,2516.0,120.0,143.0,83.9,105.0,137.0,76.6,51.0,86.0,59.3,2,0.8,0.8,12.0,19.0,9.0,2.0,33.0,402.0,344.0,54.0,17.0,1.0,9.0,15,17.0,8.0,2.0,2.0,0.0,292.0,4.0,7.0,28.0,18.0,5.0,2.0,2.0,0.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,18.0,8,11.0,4.0,3.0,11.0,16.0,68.8,5.0,13.0,6.0,7.0,11,29,30.0,0.0,46,534.0,93.0,206.0,200.0,138.0,21.0,534.0,19.0,11.0,57.9,8.0,42.1,296.0,1414.0,722.0,18.0,10.0,6.0,16.0,2.0,291.0,33.0,2,0,0,10,9,4,15,11,8,0.0,0.0,0,51.0,11.0,8.0,57.9,1
2021-09-23,18:30 (09:30),Serie A,Matchweek 5,Thu,Home,L,0,4,Napoli,0,13,5,38.5,0.0,0.0,20.8,1.0,0,0,0.7,0.7,0.05,-0.7,-0.7,9,4,5,55.6,0,3.7,-0.3,0,0,0,0,4.0,13.0,30.8,24.0,4.0,50.0,35.9,7.0,14.3,24.9,10.0,0.0,0.0,1.0,13.7,409.0,504.0,81.2,7411.0,2841.0,180.0,198.0,90.9,183.0,212.0,86.3,41.0,76.0,53.9,0,0.5,0.7,9.0,41.0,12.0,1.0,60.0,504.0,460.0,42.0,7.0,0.0,5.0,24,18.0,5.0,0.0,4.0,0.0,409.0,2.0,10.0,24.0,18.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8,6.0,5.0,2.0,8.0,14.0,57.1,6.0,8.0,4.0,4.0,9,22,10.0,1.0,48,589.0,53.0,148.0,283.0,160.0,19.0,589.0,15.0,9.0,60.0,6.0,40.0,370.0,1526.0,701.0,13.0,16.0,1.0,9.0,8.0,404.0,59.0,2,0,0,10,6,2,24,9,8,0.0,0.0,0,56.0,5.0,5.0,50.0,1
2021-09-26,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,L,2,3,Juventus,2,5,3,60.0,0.4,0.67,16.8,0.0,0,0,0.4,0.4,0.09,1.6,1.6,6,3,3,66.7,0,2.6,-0.4,1,1,0,0,4.0,13.0,30.8,22.0,2.0,36.4,35.7,11.0,54.5,41.5,9.0,0.0,0.0,2.0,38.0,386.0,489.0,78.9,6488.0,2273.0,164.0,189.0,86.8,169.0,197.0,85.8,33.0,63.0,52.4,2,0.4,0.6,4.0,22.0,6.0,1.0,32.0,489.0,429.0,57.0,22.0,0.0,1.0,13,18.0,2.0,1.0,0.0,0.0,386.0,3.0,4.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,8,7.0,6.0,2.0,9.0,20.0,45.0,11.0,14.0,4.0,10.0,12,27,14.0,1.0,50,574.0,55.0,150.0,283.0,143.0,9.0,574.0,10.0,6.0,60.0,4.0,40.0,296.0,1519.0,856.0,15.0,25.0,0.0,17.0,2.0,382.0,32.0,3,0,0,16,21,3,13,12,8,0.0,1.0,0,43.0,16.0,10.0,61.5,1
2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,D,3,3,Udinese,2,11,2,18.2,0.09,0.5,19.8,0.0,1,1,1.5,0.7,0.06,0.5,0.3,7,3,4,57.1,0,2.0,-1.0,0,0,0,0,7.0,9.0,77.8,21.0,2.0,28.6,31.8,6.0,50.0,43.7,16.0,0.0,0.0,3.0,16.2,366.0,454.0,80.6,7418.0,2707.0,128.0,154.0,83.1,173.0,197.0,87.8,58.0,78.0,74.4,1,0.6,0.8,7.0,35.0,9.0,2.0,37.0,454.0,407.0,47.0,14.0,0.0,4.0,19,17.0,6.0,2.0,2.0,0.0,366.0,0.0,12.0,21.0,14.0,2.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,20.0,11,11.0,7.0,2.0,13.0,28.0,46.4,15.0,7.0,5.0,2.0,18,38,15.0,1.0,54,574.0,65.0,175.0,272.0,133.0,24.0,573.0,17.0,10.0,58.8,7.0,41.2,292.0,1271.0,674.0,16.0,7.0,2.0,17.0,10.0,358.0,36.0,4,0,0,12,14,0,19,18,11,1.0,0.0,0,47.0,12.0,15.0,44.4,1
2021-10-17,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,1,3,Cagliari,1,17,3,17.6,0.06,0.33,18.3,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2,5,3,2,40.0,0,1.6,-1.4,0,0,0,0,5.0,5.0,100.0,16.0,2.0,25.0,28.9,4.0,25.0,20.0,14.0,1.0,7.1,2.0,22.0,382.0,500.0,76.4,7167.0,2621.0,167.0,199.0,83.9,153.0,200.0,76.5,52.0,73.0,71.2,1,1.1,1.5,14.0,34.0,13.0,5.0,45.0,500.0,434.0,63.0,16.0,0.0,14.0,32,30.0,9.0,4.0,2.0,0.0,382.0,3.0,8.0,27.0,21.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,4,3.0,4.0,1.0,7.0,12.0,58.3,5.0,6.0,2.0,4.0,6,14,24.0,1.0,59,605.0,52.0,172.0,253.0,185.0,28.0,605.0,5.0,2.0,40.0,3.0,60.0,349.0,1682.0,934.0,22.0,9.0,2.0,18.0,10.0,379.0,45.0,2,0,0,18,14,3,32,6,4,0.0,0.0,0,51.0,28.0,11.0,71.8,1
2021-10-22,20:45 (11:45),Serie A,Matchweek 9,Fri,Home,W,2,1,Spezia,1,6,2,33.3,0.17,0.5,19.7,0.0,0,0,0.6,0.6,0.1,0.4,0.4,7,1,6,85.7,0,1.1,0.1,0,0,0,0,9.0,25.0,36.0,24.0,4.0,62.5,42.8,11.0,90.9,57.6,26.0,0.0,0.0,0.0,3.0,194.0,303.0,64.0,3762.0,1754.0,72.0,88.0,81.8,79.0,116.0,68.1,30.0,67.0,44.8,1,0.5,0.4,5.0,19.0,3.0,1.0,17.0,303.0,256.0,44.0,9.0,0.0,2.0,6,22.0,0.0,0.0,0.0,0.0,194.0,3.0,8.0,10.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,8,5.0,6.0,1.0,9.0,16.0,56.3,7.0,8.0,5.0,3.0,20,32,31.0,0.0,30,421.0,78.0,184.0,175.0,68.0,12.0,421.0,6.0,2.0,33.3,4.0,66.7,199.0,1010.0,445.0,5.0,1.0,3.0,14.0,5.0,191.0,17.0,3,0,0,9,8,3,6,20,8,0.0,0.0,0,53.0,20.0,12.0,62.5,1
2021-10-27,18:30 (09:30),Serie A,Matchweek 10,Wed,Home,L,1,3,Atalanta,1,8,3,37.5,0.13,0.33,18.0,0.0,0,0,1.3,1.3,0.17,-0.3,-0.3,4,3,2,25.0,0,1.6,-0.4,0,0,0,0,18.0,31.0,58.1,37.0,4.0,62.2,42.0,12.0,66.7,41.5,9.0,1.0,11.1,2.0,19.0,286.0,420.0,68.1,5716.0,2645.0,104.0,127.0,81.9,116.0,158.0,73.4,49.0,89.0,55.1,1,1.3,0.8,8.0,19.0,4.0,0.0,24.0,420.0,363.0,51.0,20.0,4.0,7.0,8,12.0,3.0,3.0,0.0,0.0,286.0,6.0,10.0,15.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,10,12.0,12.0,0.0,9.0,18.0,50.0,9.0,6.0,2.0,4.0,24,48,9.0,0.0,41,513.0,65.0,185.0,253.0,80.0,15.0,513.0,7.0,4.0,57.1,3.0,42.9,253.0,1426.0,735.0,14.0,6.0,3.0,10.0,5.0,284.0,24.0,4,0,0,15,18,6,8,24,10,0.0,0.0,1,61.0,20.0,21.0,48.8,1
