Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,1,2,Lazio,1,10,2,20.0,0.0,0.0,20.9,1.0,1,1,1.5,0.8,0.08,-0.5,-0.8,6,2,5,66.7,0,1.6,0.6,0,0,0,0,3.0,7.0,42.9,32.0,9.0,21.9,32.1,5.0,0.0,11.0,7.0,0.0,0.0,0.0,3.7,416.0,489.0,85.1,7724.0,2258.0,164.0,176.0,93.2,190.0,205.0,92.7,53.0,82.0,64.6,0,0.5,0.5,5.0,33.0,5.0,0.0,28.0,489.0,447.0,40.0,12.0,2.0,3.0,10,18.0,2.0,1.0,1.0,0.0,416.0,2.0,8.0,20.0,17.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,4,5.0,8.0,0.0,5.0,12.0,41.7,7.0,8.0,1.0,7.0,8,21,18.0,0.0,58,595.0,76.0,190.0,325.0,85.0,13.0,594.0,16.0,10.0,62.5,6.0,37.5,408.0,1862.0,883.0,12.0,8.0,2.0,18.0,9.0,413.0,27.0,6,1,1,18,10,2,10,8,4,1.0,0.0,1,45.0,9.0,7.0,56.3,1
2022-08-21,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,D,1,1,Hellas Verona,1,17,5,29.4,0.06,0.2,23.1,1.0,0,0,0.8,0.8,0.05,0.2,0.2,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,10.0,21.0,47.6,29.0,3.0,58.6,40.8,9.0,44.4,36.1,21.0,3.0,14.3,3.0,17.1,284.0,394.0,72.1,5182.0,2482.0,138.0,162.0,85.2,100.0,121.0,82.6,35.0,78.0,44.9,1,0.6,0.6,11.0,18.0,5.0,2.0,21.0,394.0,334.0,59.0,17.0,0.0,3.0,16,22.0,9.0,3.0,3.0,0.0,284.0,1.0,13.0,30.0,19.0,4.0,3.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,6,8.0,1.0,3.0,5.0,10.0,50.0,5.0,14.0,7.0,7.0,5,17,26.0,0.0,52,513.0,72.0,216.0,171.0,129.0,14.0,513.0,16.0,9.0,56.3,6.0,37.5,221.0,1061.0,507.0,13.0,9.0,3.0,19.0,7.0,275.0,21.0,3,1,0,10,14,1,16,5,6,0.0,0.0,0,53.0,11.0,18.0,37.9,1
2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Away,L,0,2,Milan,0,8,0,0.0,0.0,,24.5,1.0,0,0,0.5,0.5,0.07,-0.5,-0.5,7,2,5,71.4,0,3.0,1.0,0,0,0,0,5.0,11.0,45.5,26.0,5.0,34.6,33.3,9.0,22.2,19.3,12.0,1.0,8.3,4.0,17.9,408.0,502.0,81.3,7058.0,2811.0,183.0,206.0,88.8,150.0,178.0,84.3,54.0,79.0,68.4,0,0.5,0.4,7.0,28.0,3.0,1.0,27.0,502.0,457.0,43.0,14.0,0.0,6.0,4,16.0,1.0,0.0,0.0,0.0,408.0,2.0,8.0,16.0,12.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12,9.0,10.0,2.0,12.0,23.0,52.2,11.0,13.0,6.0,7.0,5,26,15.0,0.0,52,606.0,74.0,229.0,274.0,108.0,5.0,606.0,18.0,5.0,27.8,10.0,55.6,348.0,1702.0,824.0,10.0,11.0,0.0,18.0,11.0,406.0,27.0,1,0,0,9,12,2,4,5,12,0.0,0.0,0,57.0,4.0,12.0,25.0,1
2022-09-01,20:45 (11:45),Serie A,Matchweek 4,Thu,Home,D,1,1,Salernitana,1,10,3,30.0,0.0,0.0,19.1,0.0,1,1,1.8,1.0,0.1,-0.8,-1.0,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,1.0,6.0,16.7,29.0,3.0,20.7,28.1,12.0,0.0,9.8,20.0,2.0,10.0,2.0,19.5,307.0,418.0,73.4,5077.0,2208.0,137.0,163.0,84.0,118.0,150.0,78.7,30.0,70.0,42.9,0,0.7,0.5,9.0,14.0,9.0,4.0,30.0,418.0,368.0,49.0,10.0,2.0,6.0,16,24.0,1.0,1.0,0.0,0.0,307.0,1.0,6.0,19.0,17.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,6,5.0,9.0,1.0,3.0,19.0,15.8,16.0,12.0,7.0,5.0,11,26,26.0,0.0,47,547.0,95.0,226.0,205.0,124.0,15.0,546.0,13.0,8.0,61.5,3.0,23.1,295.0,1266.0,670.0,13.0,19.0,5.0,21.0,10.0,303.0,30.0,2,0,0,10,10,1,16,11,6,1.0,0.0,0,53.0,19.0,16.0,54.3,1
2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Away,D,2,2,Spezia,2,13,6,46.2,0.15,0.33,23.0,0.0,0,0,0.9,0.9,0.07,1.1,1.1,5,2,4,60.0,0,1.0,0.0,0,0,0,0,1.0,1.0,100.0,22.0,9.0,4.5,24.0,10.0,0.0,12.2,17.0,1.0,5.9,1.0,12.0,392.0,504.0,77.8,6835.0,2647.0,169.0,192.0,88.0,168.0,194.0,86.6,40.0,76.0,52.6,2,0.9,0.5,12.0,28.0,6.0,0.0,34.0,504.0,446.0,53.0,12.0,8.0,3.0,10,26.0,2.0,1.0,0.0,0.0,392.0,5.0,16.0,25.0,18.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,21.0,13,16.0,3.0,2.0,10.0,13.0,76.9,3.0,16.0,5.0,11.0,11,32,24.0,0.0,55,620.0,74.0,218.0,308.0,101.0,11.0,620.0,16.0,9.0,56.3,7.0,43.8,380.0,2162.0,1114.0,13.0,12.0,0.0,8.0,4.0,390.0,34.0,1,0,0,5,10,5,10,11,13,0.0,0.0,1,59.0,7.0,12.0,36.8,1
2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,W,2,1,Fiorentina,2,12,4,33.3,0.17,0.5,18.5,0.0,0,0,0.6,0.6,0.05,1.4,1.4,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,8.0,20.0,40.0,35.0,3.0,45.7,38.7,7.0,57.1,44.3,29.0,0.0,0.0,1.0,24.0,251.0,333.0,75.4,5356.0,2382.0,100.0,115.0,87.0,100.0,123.0,81.3,49.0,80.0,61.3,1,0.4,0.8,9.0,18.0,6.0,2.0,24.0,333.0,285.0,45.0,13.0,3.0,5.0,15,17.0,6.0,2.0,4.0,0.0,251.0,3.0,5.0,20.0,15.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,11,15.0,3.0,2.0,10.0,16.0,62.5,6.0,11.0,4.0,7.0,5,25,24.0,0.0,39,445.0,76.0,210.0,158.0,84.0,14.0,445.0,13.0,4.0,30.8,7.0,53.8,179.0,1138.0,521.0,7.0,12.0,4.0,17.0,7.0,244.0,24.0,1,0,0,8,13,3,15,5,11,0.0,0.0,0,55.0,9.0,8.0,52.9,1
2022-09-17,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,L,0,1,Empoli,0,16,3,18.8,0.0,0.0,18.6,1.0,0,0,1.6,1.6,0.1,-1.6,-1.6,5,1,4,80.0,0,1.4,0.4,0,0,0,0,4.0,8.0,50.0,27.0,8.0,18.5,27.2,6.0,50.0,37.7,16.0,0.0,0.0,0.0,8.3,360.0,466.0,77.3,6181.0,2411.0,186.0,215.0,86.5,118.0,154.0,76.6,44.0,67.0,65.7,0,1.1,1.0,14.0,30.0,8.0,7.0,35.0,466.0,402.0,60.0,15.0,0.0,7.0,25,32.0,5.0,2.0,0.0,0.0,360.0,4.0,13.0,31.0,24.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13,8.0,3.0,3.0,5.0,9.0,55.6,4.0,13.0,3.0,10.0,7,21,15.0,2.0,61,585.0,53.0,180.0,236.0,172.0,23.0,585.0,16.0,4.0,25.0,10.0,62.5,297.0,1729.0,954.0,21.0,12.0,3.0,19.0,8.0,360.0,35.0,2,0,0,11,16,4,25,7,13,0.0,0.0,0,45.0,12.0,8.0,60.0,1
2022-10-02,20:45 (11:45),Serie A,Matchweek 8,Sun,Away,L,0,3,Juventus,0,9,1,11.1,0.0,0.0,19.6,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,6,3,3,50.0,0,1.7,-1.3,0,0,0,0,3.0,7.0,42.9,23.0,7.0,13.0,26.4,12.0,33.3,34.3,14.0,0.0,0.0,0.0,6.0,443.0,536.0,82.6,8133.0,2523.0,188.0,204.0,92.2,209.0,238.0,87.8,42.0,73.0,57.5,0,0.3,0.2,6.0,39.0,4.0,3.0,35.0,536.0,482.0,53.0,12.0,0.0,5.0,16,21.0,4.0,4.0,0.0,0.0,443.0,1.0,14.0,14.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8,5.0,7.0,1.0,5.0,8.0,62.5,3.0,8.0,4.0,4.0,9,22,20.0,0.0,52,625.0,75.0,204.0,323.0,108.0,9.0,625.0,4.0,0.0,0.0,3.0,75.0,383.0,1880.0,931.0,10.0,9.0,1.0,15.0,8.0,440.0,35.0,1,0,0,15,11,1,16,9,8,0.0,0.0,0,46.0,9.0,6.0,60.0,1
2022-10-08,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,D,1,1,Sampdoria,1,10,3,30.0,0.1,0.33,19.8,1.0,0,0,0.8,0.8,0.08,0.2,0.2,3,1,2,66.7,0,1.2,0.2,0,0,0,0,4.0,11.0,36.4,27.0,3.0,33.3,33.9,6.0,33.3,35.3,16.0,0.0,0.0,0.0,13.5,332.0,444.0,74.8,5689.0,2410.0,165.0,199.0,82.9,136.0,159.0,85.5,26.0,63.0,41.3,0,0.4,0.3,6.0,22.0,5.0,3.0,26.0,444.0,380.0,59.0,21.0,1.0,3.0,19,28.0,2.0,1.0,1.0,0.0,332.0,5.0,16.0,16.0,10.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,12,8.0,9.0,1.0,5.0,11.0,45.5,6.0,13.0,3.0,10.0,11,29,21.0,0.0,51,571.0,64.0,208.0,242.0,123.0,15.0,571.0,17.0,6.0,35.3,9.0,52.9,262.0,1227.0,599.0,11.0,5.0,1.0,19.0,13.0,328.0,26.0,2,0,0,17,20,5,19,11,12,0.0,0.0,0,59.0,12.0,20.0,37.5,1
2022-10-16,18:00 (09:00),Serie A,Matchweek 10,Sun,Away,L,2,3,Napoli,2,16,3,18.8,0.13,0.67,17.5,0.0,0,0,1.3,1.3,0.08,0.7,0.7,11,3,8,72.7,0,2.6,-0.4,0,0,0,0,7.0,19.0,36.8,40.0,7.0,42.5,35.2,12.0,16.7,22.5,11.0,0.0,0.0,0.0,6.0,470.0,563.0,83.5,8386.0,2997.0,212.0,231.0,91.8,186.0,205.0,90.7,57.0,91.0,62.6,2,1.2,0.8,14.0,25.0,6.0,1.0,29.0,563.0,516.0,46.0,8.0,2.0,6.0,14,18.0,4.0,2.0,2.0,0.0,470.0,1.0,14.0,31.0,24.0,3.0,1.0,2.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,18,19.0,7.0,3.0,12.0,23.0,52.2,11.0,19.0,12.0,7.0,10,39,17.0,0.0,51,705.0,113.0,345.0,251.0,115.0,19.0,705.0,14.0,5.0,35.7,6.0,42.9,344.0,1491.0,802.0,15.0,11.0,4.0,19.0,9.0,467.0,29.0,4,0,0,10,6,1,14,10,18,0.0,0.0,0,58.0,6.0,16.0,27.3,1
