Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,W,3,2,Cremonese,3,28.0,11.0,39.3,0.11,0.27,17.2,2.0,0,0,2.0,2.0,0.08,1.0,1.0,4.0,2.0,2.0,50.0,0,1.2,-0.8,0,0,0,0,7.0,14.0,50.0,42.0,6.0,31.0,32.9,3.0,33.3,33.0,11.0,1.0,9.1,0.0,6.0,540.0,626.0,86.3,11827.0,3509.0,175.0,193.0,90.7,244.0,272.0,89.7,115.0,146.0,78.8,3,1.7,1.4,22.0,41.0,17.0,6.0,64.0,626.0,575.0,50.0,18.0,0.0,14.0,35.0,15.0,11.0,7.0,3.0,0.0,540.0,1.0,6.0,48.0,33.0,5.0,2.0,5.0,3.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,12.0,7.0,3.0,8.0,1.0,8.0,14.0,57.1,6.0,8.0,6.0,2.0,6.0,18,11.0,1.0,74.0,731.0,64.0,184.0,339.0,216.0,47.0,731.0,21.0,7.0,33.3,9.0,42.9,494.0,2457.0,1301.0,24.0,18.0,12.0,10.0,15.0,535.0,64.0,0,0,0,10.0,18.0,1.0,35.0,6.0,7.0,0.0,0.0,0,47.0,27.0,13.0,67.5,1
2022-08-18,21:00 (12:00),Conf Lg,Play-off round,Thu,Home,W,2,1,nl Twente,2,,,,,,,,0,0,,,,,,,,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0,,,,,2
2022-08-21,18:30 (09:30),Serie A,Matchweek 2,Sun,Away,D,0,0,Empoli,0,19.0,2.0,10.5,0.0,0.0,19.0,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,2.0,0.0,2.0,100.0,1,0.3,0.3,0,0,0,0,0.0,3.0,0.0,27.0,6.0,7.4,28.9,3.0,33.3,45.0,4.0,0.0,0.0,0.0,10.0,452.0,539.0,83.9,8746.0,2711.0,186.0,198.0,93.9,187.0,224.0,83.5,72.0,92.0,78.3,0,0.5,0.6,14.0,33.0,9.0,3.0,59.0,539.0,489.0,49.0,14.0,0.0,7.0,29.0,22.0,9.0,2.0,4.0,0.0,452.0,1.0,9.0,32.0,18.0,6.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,6.0,5.0,4.0,9.0,17.0,52.9,8.0,3.0,0.0,3.0,7.0,22,9.0,0.0,63.0,630.0,34.0,157.0,280.0,196.0,24.0,630.0,17.0,8.0,47.1,8.0,47.1,472.0,2712.0,1364.0,31.0,27.0,5.0,12.0,6.0,450.0,59.0,3,0,0,11.0,13.0,1.0,29.0,7.0,6.0,0.0,0.0,0,41.0,7.0,12.0,36.8,1
2022-08-25,19:00 (10:00),Conf Lg,Play-off round,Thu,Away,D,0,0,nl Twente,0,,,,,,,,0,0,,,,,,,0.0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,0,,,,,2
2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,D,0,0,Napoli,0,10.0,5.0,50.0,0.0,0.0,19.9,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,2.0,0.0,2.0,100.0,1,0.3,0.3,0,0,0,0,6.0,21.0,28.6,46.0,5.0,34.8,33.9,5.0,100.0,61.6,9.0,0.0,0.0,0.0,12.3,409.0,497.0,82.3,7307.0,2100.0,177.0,189.0,93.7,183.0,208.0,88.0,38.0,75.0,50.7,0,0.5,0.3,9.0,28.0,5.0,1.0,30.0,497.0,461.0,35.0,16.0,0.0,3.0,11.0,11.0,2.0,1.0,1.0,0.0,409.0,1.0,10.0,18.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,12.0,9.0,3.0,14.0,20.0,70.0,6.0,16.0,6.0,10.0,7.0,31,14.0,0.0,48.0,614.0,87.0,230.0,268.0,119.0,14.0,614.0,20.0,9.0,45.0,6.0,30.0,458.0,2140.0,1152.0,21.0,17.0,7.0,19.0,14.0,406.0,29.0,2,0,0,12.0,13.0,1.0,11.0,7.0,14.0,0.0,0.0,0,70.0,6.0,14.0,30.0,1
2022-08-31,18:30 (09:30),Serie A,Matchweek 4,Wed,Away,L,0,1,Udinese,0,12.0,2.0,16.7,0.0,0.0,16.7,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,3.0,1.0,2.0,66.7,0,0.8,-0.2,0,0,0,0,2.0,5.0,40.0,33.0,5.0,15.2,28.6,6.0,0.0,22.3,5.0,1.0,20.0,3.0,19.5,633.0,720.0,87.9,12678.0,3482.0,230.0,251.0,91.6,307.0,338.0,90.8,90.0,115.0,78.3,0,0.6,1.0,10.0,54.0,7.0,3.0,54.0,720.0,658.0,62.0,18.0,1.0,9.0,20.0,29.0,7.0,4.0,2.0,0.0,633.0,0.0,7.0,23.0,13.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,4.0,2.0,5.0,10.0,50.0,5.0,8.0,2.0,6.0,3.0,13,13.0,1.0,73.0,819.0,56.0,199.0,436.0,188.0,19.0,819.0,17.0,8.0,47.1,7.0,41.2,565.0,2987.0,1687.0,15.0,21.0,2.0,23.0,14.0,630.0,53.0,2,0,0,10.0,13.0,0.0,20.0,3.0,4.0,0.0,0.0,0,46.0,13.0,16.0,44.8,1
2022-09-03,15:00 (06:00),Serie A,Matchweek 5,Sat,Home,D,1,1,Juventus,1,16.0,4.0,25.0,0.06,0.25,17.2,1.0,0,1,2.1,1.3,0.09,-1.1,-0.3,1.0,1.0,0.0,0.0,0,1.0,0.0,0,0,0,0,2.0,2.0,100.0,20.0,2.0,10.0,27.3,2.0,0.0,25.5,7.0,1.0,14.3,2.0,15.0,463.0,538.0,86.1,9158.0,2512.0,177.0,193.0,91.7,220.0,248.0,88.7,65.0,88.0,73.9,1,1.1,1.2,12.0,50.0,11.0,3.0,67.0,538.0,497.0,41.0,11.0,1.0,5.0,41.0,16.0,10.0,3.0,6.0,0.0,463.0,0.0,9.0,31.0,26.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,1.0,6.0,10.0,7.0,12.0,58.3,5.0,6.0,1.0,5.0,10.0,27,4.0,0.0,60.0,625.0,24.0,71.0,271.0,286.0,35.0,624.0,19.0,7.0,36.8,7.0,36.8,371.0,2378.0,1305.0,25.0,25.0,9.0,19.0,4.0,456.0,65.0,1,0,0,13.0,10.0,0.0,41.0,10.0,10.0,0.0,0.0,0,48.0,11.0,7.0,61.1,1
2022-09-08,18:45 (09:45),Conf Lg,Group stage,Thu,Home,D,1,1,lv FK Rīgas FS,1,32.0,9.0,28.1,0.03,0.11,15.3,0.0,0,0,3.1,3.1,0.1,-2.1,-2.1,3.0,1.0,2.0,66.7,0,1.2,0.2,0,0,0,0,2.0,5.0,40.0,37.0,5.0,13.5,28.7,9.0,0.0,19.3,11.0,0.0,0.0,2.0,24.0,700.0,806.0,86.8,13122.0,4119.0,263.0,288.0,91.3,340.0,366.0,92.9,85.0,120.0,70.8,1,2.5,2.7,26.0,75.0,27.0,12.0,83.0,806.0,754.0,52.0,11.0,1.0,7.0,41.0,22.0,8.0,3.0,4.0,0.0,700.0,0.0,7.0,60.0,55.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,3.0,2.0,6.0,9.0,66.7,3.0,4.0,1.0,3.0,7.0,15,7.0,1.0,75.0,905.0,63.0,219.0,386.0,304.0,56.0,905.0,18.0,11.0,61.1,5.0,27.8,463.0,2554.0,1487.0,29.0,24.0,6.0,13.0,5.0,697.0,81.0,1,0,0,9.0,9.0,0.0,41.0,7.0,6.0,0.0,0.0,0,57.0,13.0,22.0,37.1,2
2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,1,2,Bologna,1,13.0,2.0,15.4,0.08,0.5,16.6,0.0,0,0,1.3,1.3,0.1,-0.3,-0.3,4.0,2.0,2.0,50.0,0,1.1,-0.9,0,0,0,0,4.0,11.0,36.4,25.0,7.0,32.0,32.5,6.0,50.0,45.0,10.0,0.0,0.0,4.0,24.8,422.0,513.0,82.3,8073.0,2585.0,162.0,178.0,91.0,204.0,234.0,87.2,50.0,81.0,61.7,1,1.2,1.0,11.0,33.0,12.0,7.0,45.0,513.0,458.0,55.0,11.0,0.0,5.0,36.0,27.0,8.0,3.0,4.0,0.0,422.0,0.0,10.0,22.0,14.0,4.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,10.0,3.0,1.0,7.0,11.0,63.6,4.0,7.0,3.0,4.0,9.0,23,12.0,1.0,61.0,606.0,45.0,148.0,255.0,208.0,19.0,606.0,19.0,6.0,31.6,10.0,52.6,312.0,1919.0,1026.0,27.0,27.0,3.0,14.0,10.0,416.0,44.0,4,1,1,13.0,8.0,0.0,36.0,9.0,7.0,0.0,0.0,0,48.0,8.0,9.0,47.1,1
2022-09-15,22:00 (12:00),Conf Lg,Group stage,Thu,Away,L,0,3,tr Başakşehir,0,7.0,2.0,28.6,0.0,0.0,22.3,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,3.0,3.0,0.0,0.0,0,0.6,-2.4,0,0,0,0,6.0,14.0,42.9,50.0,5.0,24.0,31.2,5.0,40.0,37.6,4.0,0.0,0.0,4.0,23.8,472.0,555.0,85.0,9877.0,2987.0,149.0,169.0,88.2,224.0,243.0,92.2,85.0,117.0,72.6,0,0.2,0.4,5.0,39.0,10.0,3.0,47.0,555.0,500.0,54.0,5.0,0.0,12.0,17.0,34.0,6.0,2.0,3.0,0.0,472.0,1.0,11.0,12.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,3.0,5.0,2.0,7.0,10.0,70.0,3.0,7.0,0.0,7.0,3.0,13,5.0,1.0,55.0,619.0,50.0,162.0,304.0,157.0,21.0,619.0,10.0,3.0,30.0,5.0,50.0,484.0,3014.0,1458.0,20.0,15.0,5.0,14.0,15.0,462.0,47.0,3,1,1,13.0,1.0,1.0,17.0,3.0,7.0,0.0,0.0,0,41.0,3.0,6.0,33.3,2
