Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-21,18:30 (09:30),Serie A,Matchweek 1,Mon,Away,D,0,0,Torino,0,8,2,25.0,0.0,0.0,20.2,1.0,0,0,0.4,0.4,0.05,-0.4,-0.4,2,0,2,100.0,1,0.5,0.5,0,0,0,0,8.0,20.0,40.0,23.0,4.0,56.5,47.5,10.0,70.0,53.9,14.0,0.0,0.0,0.0,8.0,260.0,375.0,69.3,4857.0,2080.0,129.0,143.0,90.2,84.0,122.0,68.9,40.0,92.0,43.5,0,0.3,0.4,4.0,19.0,6.0,0.0,26.0,375.0,334.0,39.0,8.0,1.0,5.0,14,17.0,3.0,2.0,1.0,0.0,260.0,2.0,5.0,16.0,10.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13,10.0,5.0,3.0,8.0,19.0,42.1,11.0,9.0,3.0,6.0,10,28,17.0,0.0,43,469.0,59.0,200.0,180.0,97.0,13.0,469.0,10.0,8.0,80.0,0.0,0.0,231.0,1218.0,519.0,7.0,9.0,3.0,18.0,10.0,250.0,23.0,1,0,0,12,8,2,14,10,13,0.0,0.0,0,69.0,20.0,21.0,48.8,1
2023-08-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Home,L,0,2,Inter,0,12,2,16.7,0.0,0.0,17.8,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,2.0,10.0,20.0,12.0,3.0,25.0,37.2,9.0,77.8,56.8,22.0,0.0,0.0,2.0,19.3,272.0,367.0,74.1,5113.0,2000.0,130.0,151.0,86.1,102.0,125.0,81.6,39.0,74.0,52.7,0,0.4,0.4,9.0,29.0,7.0,3.0,37.0,367.0,324.0,42.0,12.0,1.0,6.0,22,14.0,4.0,0.0,3.0,0.0,272.0,1.0,10.0,23.0,17.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6,6.0,4.0,2.0,6.0,8.0,75.0,2.0,11.0,5.0,6.0,6,18,40.0,1.0,33,494.0,65.0,172.0,198.0,129.0,18.0,494.0,22.0,8.0,36.4,13.0,59.1,298.0,1506.0,762.0,23.0,10.0,5.0,14.0,12.0,269.0,35.0,0,0,0,9,9,1,22,6,6,0.0,0.0,0,66.0,11.0,16.0,40.7,1
2023-09-02,18:30 (09:30),Serie A,Matchweek 3,Sat,Away,L,1,2,Bologna,1,7,1,14.3,0.14,1.0,20.7,1.0,0,0,0.5,0.5,0.07,0.5,0.5,7,2,5,71.4,0,2.1,0.1,1,0,0,1,6.0,11.0,54.5,18.0,7.0,27.8,30.4,9.0,66.7,47.7,13.0,2.0,15.4,0.0,8.3,230.0,315.0,73.0,4468.0,1888.0,87.0,100.0,87.0,101.0,131.0,77.1,31.0,57.0,54.4,1,0.4,0.2,5.0,20.0,3.0,2.0,28.0,315.0,274.0,40.0,9.0,0.0,2.0,18,17.0,2.0,1.0,1.0,0.0,230.0,1.0,9.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,8,10.0,1.0,0.0,8.0,13.0,61.5,5.0,10.0,3.0,7.0,11,22,15.0,1.0,29,424.0,63.0,166.0,164.0,97.0,12.0,424.0,18.0,7.0,38.9,8.0,44.4,219.0,1558.0,918.0,17.0,7.0,6.0,20.0,9.0,228.0,27.0,2,0,0,13,8,1,18,11,8,0.0,1.0,0,55.0,6.0,7.0,46.2,1
2023-09-17,12:30 (03:30),Serie A,Matchweek 4,Sun,Home,D,0,0,Udinese,0,10,1,10.0,0.0,0.0,13.7,0.0,0,0,1.6,1.6,0.16,-1.6,-1.6,1,0,1,100.0,1,0.2,0.2,0,0,0,0,8.0,13.0,61.5,23.0,4.0,30.4,34.0,13.0,46.2,40.6,13.0,2.0,15.4,1.0,14.0,310.0,411.0,75.4,5820.0,2448.0,133.0,152.0,87.5,135.0,159.0,84.9,38.0,78.0,48.7,0,1.6,1.0,10.0,24.0,7.0,4.0,35.0,411.0,349.0,59.0,12.0,2.0,2.0,18,29.0,4.0,1.0,3.0,0.0,310.0,3.0,11.0,18.0,13.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6,5.0,7.0,1.0,5.0,14.0,35.7,9.0,4.0,1.0,3.0,5,18,19.0,0.0,46,503.0,59.0,174.0,227.0,105.0,15.0,503.0,16.0,4.0,25.0,11.0,68.8,314.0,1576.0,829.0,20.0,9.0,1.0,20.0,6.0,307.0,35.0,2,1,1,12,10,3,18,5,6,0.0,0.0,0,51.0,14.0,16.0,46.7,1
2023-09-24,15:00 (06:00),Serie A,Matchweek 5,Sun,Away,L,0,2,Atalanta,0,10,0,0.0,0.0,,17.5,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,6,2,4,66.7,0,2.2,0.2,0,0,0,0,7.0,20.0,35.0,33.0,3.0,51.5,43.5,6.0,50.0,47.5,13.0,1.0,7.7,1.0,12.5,333.0,450.0,74.0,6406.0,2290.0,140.0,160.0,87.5,140.0,175.0,80.0,48.0,92.0,52.2,0,0.3,0.9,6.0,21.0,10.0,5.0,22.0,450.0,396.0,53.0,11.0,1.0,7.0,18,26.0,7.0,4.0,1.0,0.0,333.0,1.0,11.0,17.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,8.0,5.0,0.0,4.0,16.0,25.0,12.0,14.0,2.0,12.0,8,21,17.0,0.0,44,552.0,63.0,200.0,236.0,121.0,21.0,552.0,19.0,9.0,47.4,6.0,31.6,261.0,1196.0,664.0,12.0,10.0,3.0,17.0,9.0,327.0,22.0,2,0,0,11,6,1,18,8,9,0.0,0.0,0,66.0,15.0,22.0,40.5,1
2023-09-27,18:30 (09:30),Serie A,Matchweek 6,Wed,Home,L,1,3,Milan,1,16,6,37.5,0.06,0.17,19.6,1.0,0,0,0.9,0.9,0.05,0.1,0.1,6,3,3,50.0,0,2.4,-0.6,0,0,0,0,2.0,6.0,33.3,15.0,2.0,26.7,31.1,11.0,18.2,26.2,12.0,0.0,0.0,0.0,8.0,272.0,345.0,78.8,5095.0,2157.0,115.0,128.0,89.8,120.0,140.0,85.7,32.0,63.0,50.8,1,0.8,1.1,13.0,19.0,11.0,3.0,32.0,345.0,305.0,40.0,6.0,0.0,5.0,20,16.0,3.0,1.0,1.0,0.0,272.0,0.0,6.0,29.0,22.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,8,6.0,4.0,2.0,7.0,14.0,50.0,7.0,7.0,4.0,3.0,6,18,14.0,1.0,34,435.0,64.0,171.0,143.0,124.0,31.0,435.0,12.0,7.0,58.3,4.0,33.3,215.0,1293.0,731.0,16.0,13.0,5.0,8.0,8.0,271.0,32.0,3,0,0,13,6,0,20,6,8,0.0,0.0,0,42.0,5.0,10.0,33.3,1
2023-10-02,20:45 (11:45),Serie A,Matchweek 7,Mon,Away,L,0,3,Fiorentina,0,6,3,50.0,0.0,0.0,12.6,0.0,0,0,0.8,0.8,0.13,-0.8,-0.8,2,3,0,-50.0,0,1.4,-0.6,0,0,0,0,8.0,11.0,72.7,32.0,8.0,21.9,31.3,10.0,40.0,32.9,11.0,1.0,9.1,0.0,8.8,335.0,427.0,78.5,6236.0,2590.0,152.0,178.0,85.4,146.0,173.0,84.4,37.0,63.0,58.7,0,0.2,0.4,4.0,25.0,4.0,1.0,28.0,427.0,386.0,39.0,11.0,0.0,5.0,14,12.0,2.0,0.0,1.0,0.0,335.0,2.0,15.0,10.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8,10.0,4.0,3.0,9.0,19.0,47.4,10.0,15.0,7.0,8.0,6,23,8.0,0.0,40,519.0,64.0,206.0,212.0,101.0,11.0,519.0,14.0,3.0,21.4,9.0,64.3,261.0,1358.0,541.0,9.0,6.0,2.0,11.0,9.0,326.0,27.0,1,0,0,10,9,2,14,6,8,0.0,0.0,1,48.0,13.0,12.0,52.0,1
2023-10-08,18:00 (09:00),Serie A,Matchweek 8,Sun,Home,L,1,4,Roma,1,15,1,6.7,0.0,0.0,18.3,1.0,1,1,1.7,0.9,0.06,-0.7,-0.9,5,4,1,20.0,0,3.4,-0.6,0,0,0,0,0.0,5.0,0.0,24.0,3.0,20.8,32.5,5.0,0.0,21.4,5.0,0.0,0.0,1.0,17.5,422.0,523.0,80.7,8229.0,2431.0,159.0,177.0,89.8,193.0,216.0,89.4,61.0,103.0,59.2,0,0.9,1.0,14.0,43.0,14.0,8.0,44.0,523.0,477.0,45.0,12.0,0.0,7.0,32,19.0,4.0,2.0,2.0,0.0,422.0,1.0,11.0,30.0,22.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3,1.0,4.0,2.0,4.0,8.0,50.0,4.0,13.0,4.0,9.0,5,12,9.0,0.0,57,597.0,44.0,152.0,273.0,179.0,23.0,596.0,23.0,14.0,60.9,5.0,21.7,378.0,1875.0,850.0,15.0,10.0,1.0,6.0,7.0,416.0,42.0,2,0,0,15,12,1,32,5,3,0.0,0.0,0,54.0,12.0,12.0,50.0,1
2023-10-22,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,D,2,2,Salernitana,2,13,6,46.2,0.15,0.33,15.6,0.0,0,0,1.7,1.7,0.13,0.3,0.3,2,2,0,50.0,0,1.3,-0.7,1,1,0,0,4.0,10.0,40.0,13.0,3.0,15.4,30.4,11.0,72.7,46.5,19.0,0.0,0.0,0.0,6.0,297.0,398.0,74.6,5771.0,2156.0,126.0,145.0,86.9,116.0,140.0,82.9,51.0,94.0,54.3,2,1.6,0.8,12.0,31.0,10.0,2.0,39.0,398.0,343.0,52.0,12.0,5.0,12.0,23,21.0,5.0,2.0,3.0,0.0,297.0,3.0,8.0,25.0,23.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,16.0,13,8.0,7.0,1.0,7.0,17.0,41.2,10.0,9.0,2.0,7.0,7,23,20.0,0.0,51,490.0,51.0,142.0,239.0,115.0,21.0,490.0,10.0,2.0,20.0,8.0,80.0,241.0,1345.0,832.0,22.0,10.0,5.0,11.0,5.0,295.0,39.0,4,0,0,12,11,3,23,7,13,0.0,1.0,0,51.0,13.0,10.0,56.5,1
2023-10-29,12:30 (04:30),Serie A,Matchweek 10,Sun,Home,W,4,3,Frosinone,4,23,5,21.7,0.17,0.8,18.0,1.0,0,1,3.4,2.8,0.12,0.6,1.2,5,3,2,40.0,0,2.5,-0.5,0,0,0,0,4.0,8.0,50.0,16.0,0.0,25.0,31.4,6.0,66.7,40.8,9.0,0.0,0.0,1.0,14.0,331.0,455.0,72.7,5868.0,2188.0,153.0,182.0,84.1,135.0,179.0,75.4,36.0,74.0,48.6,3,2.2,1.5,18.0,28.0,12.0,7.0,54.0,455.0,412.0,42.0,8.0,3.0,6.0,35,19.0,5.0,2.0,3.0,0.0,331.0,1.0,7.0,42.0,29.0,2.0,4.0,3.0,1.0,3.0,7.0,5.0,0.0,0.0,1.0,0.0,1.0,13.0,9,7.0,6.0,0.0,7.0,18.0,38.9,11.0,11.0,2.0,9.0,8,21,17.0,1.0,47,565.0,47.0,131.0,262.0,180.0,29.0,564.0,14.0,11.0,78.6,3.0,21.4,354.0,1864.0,1132.0,34.0,21.0,6.0,17.0,9.0,330.0,54.0,1,0,0,8,6,1,35,8,9,0.0,0.0,0,66.0,22.0,22.0,50.0,1
