Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-19,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,1,4,Fiorentina,1,4,2,50.0,0.25,0.5,11.0,0.0,0,0,0.2,0.2,0.05,0.8,0.8,5,4,1,20.0,0,1.7,-2.3,0,0,0,0,7.0,13.0,53.8,29.0,3.0,44.8,37.2,5.0,0.0,9.4,10.0,2.0,20.0,0.0,5.0,242.0,332.0,72.9,4770.0,1967.0,85.0,105.0,81.0,113.0,137.0,82.5,38.0,65.0,58.5,1,0.2,0.6,4.0,17.0,6.0,2.0,27.0,332.0,284.0,46.0,13.0,0.0,1.0,16,20.0,3.0,0.0,3.0,0.0,242.0,2.0,11.0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,9,5.0,8.0,1.0,6.0,16.0,37.5,10.0,14.0,2.0,12.0,9,23,15.0,1.0,32,420.0,60.0,163.0,172.0,87.0,9.0,420.0,15.0,9.0,60.0,5.0,33.3,197.0,1093.0,431.0,5.0,11.0,0.0,8.0,6.0,241.0,27.0,2,0,0,14,10,2,16,9,9,0.0,0.0,0,37.0,10.0,12.0,45.5,1
2023-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,1,0,Lazio,1,5,3,60.0,0.2,0.33,16.3,0.0,0,0,0.6,0.6,0.12,0.4,0.4,2,0,2,100.0,1,0.5,0.5,0,0,0,0,13.0,21.0,61.9,25.0,4.0,48.0,40.1,13.0,69.2,51.8,35.0,3.0,8.6,0.0,6.2,247.0,341.0,72.4,4867.0,2042.0,103.0,126.0,81.7,102.0,121.0,84.3,34.0,73.0,46.6,0,0.2,0.3,3.0,19.0,4.0,2.0,19.0,341.0,304.0,37.0,9.0,0.0,2.0,10,13.0,1.0,0.0,1.0,0.0,247.0,0.0,7.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,7,16.0,2.0,0.0,9.0,17.0,52.9,8.0,16.0,5.0,11.0,15,33,57.0,1.0,30,486.0,110.0,240.0,193.0,61.0,7.0,486.0,16.0,10.0,62.5,5.0,31.3,205.0,1311.0,626.0,11.0,7.0,3.0,11.0,5.0,245.0,19.0,2,0,0,16,9,0,10,15,7,0.0,0.0,0,53.0,20.0,8.0,71.4,1
2023-09-03,18:30 (09:30),Serie A,Matchweek 3,Sun,Away,L,0,1,Torino,0,7,2,28.6,0.0,0.0,25.6,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,7.0,21.0,33.3,40.0,2.0,42.5,42.2,9.0,44.4,35.0,19.0,3.0,15.8,2.0,19.4,225.0,325.0,69.2,4738.0,2123.0,84.0,111.0,75.7,102.0,121.0,84.3,38.0,80.0,47.5,0,0.1,0.1,5.0,17.0,0.0,0.0,19.0,325.0,284.0,39.0,18.0,1.0,1.0,4,10.0,0.0,0.0,0.0,0.0,225.0,2.0,7.0,10.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9,7.0,9.0,0.0,7.0,15.0,46.7,8.0,10.0,1.0,9.0,10,26,24.0,0.0,37,426.0,70.0,184.0,193.0,57.0,3.0,426.0,7.0,3.0,42.9,3.0,42.9,212.0,1122.0,407.0,4.0,5.0,0.0,15.0,4.0,220.0,19.0,5,0,0,7,10,2,4,10,9,0.0,0.0,0,38.0,14.0,12.0,53.8,1
2023-09-16,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,D,2,2,Napoli,2,8,3,37.5,0.25,0.67,15.6,0.0,0,0,1.2,1.2,0.15,0.8,0.8,4,2,2,50.0,0,1.1,-0.9,0,0,0,0,11.0,23.0,47.8,31.0,1.0,48.4,38.4,11.0,72.7,48.5,11.0,0.0,0.0,0.0,7.5,239.0,335.0,71.3,4278.0,2012.0,114.0,133.0,85.7,91.0,118.0,77.1,25.0,57.0,43.9,2,1.1,0.5,7.0,15.0,4.0,1.0,23.0,335.0,290.0,44.0,11.0,0.0,1.0,15,16.0,3.0,0.0,2.0,0.0,239.0,1.0,7.0,15.0,11.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,15.0,8,8.0,6.0,1.0,8.0,15.0,53.3,7.0,13.0,5.0,8.0,7,22,17.0,0.0,34,429.0,70.0,192.0,148.0,97.0,11.0,429.0,22.0,9.0,40.9,9.0,40.9,209.0,1291.0,600.0,15.0,12.0,2.0,11.0,10.0,235.0,23.0,3,0,0,14,6,1,15,7,8,0.0,0.0,0,49.0,16.0,14.0,53.3,1
2023-09-22,20:45 (11:45),Serie A,Matchweek 5,Fri,Away,L,0,1,Lecce,0,8,1,12.5,0.0,0.0,16.8,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,8.0,20.0,40.0,26.0,2.0,34.6,37.9,13.0,84.6,57.7,20.0,2.0,10.0,0.0,9.3,294.0,391.0,75.2,5903.0,2268.0,106.0,119.0,89.1,146.0,173.0,84.4,40.0,83.0,48.2,0,0.3,0.6,6.0,19.0,3.0,1.0,21.0,391.0,335.0,56.0,12.0,1.0,3.0,14,26.0,3.0,1.0,2.0,0.0,294.0,0.0,9.0,11.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,18,14.0,16.0,2.0,9.0,18.0,50.0,9.0,14.0,5.0,9.0,7,39,17.0,0.0,44,505.0,61.0,176.0,254.0,78.0,9.0,505.0,11.0,3.0,27.3,7.0,63.6,267.0,1450.0,592.0,10.0,9.0,1.0,15.0,4.0,293.0,21.0,3,1,1,10,11,0,14,7,18,0.0,0.0,0,43.0,11.0,10.0,52.4,1
2023-09-28,20:45 (11:45),Serie A,Matchweek 6,Thu,Home,W,4,1,Roma,4,8,4,50.0,0.5,1.0,14.5,0.0,0,0,1.1,1.1,0.14,2.9,2.9,3,1,2,66.7,0,1.0,0.0,0,0,0,0,5.0,14.0,35.7,28.0,2.0,39.3,37.5,8.0,37.5,29.9,18.0,2.0,11.1,0.0,5.0,226.0,302.0,74.8,4106.0,1693.0,90.0,100.0,90.0,90.0,111.0,81.1,31.0,63.0,49.2,4,1.1,0.9,8.0,15.0,5.0,1.0,18.0,302.0,262.0,40.0,14.0,0.0,2.0,11,15.0,1.0,1.0,0.0,0.0,226.0,0.0,6.0,15.0,12.0,2.0,1.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,16.0,10,12.0,2.0,2.0,11.0,13.0,84.6,2.0,15.0,4.0,11.0,7,23,33.0,0.0,29,416.0,73.0,172.0,158.0,88.0,12.0,416.0,12.0,6.0,50.0,5.0,41.7,203.0,935.0,467.0,6.0,6.0,2.0,9.0,11.0,223.0,18.0,4,0,0,7,11,0,11,7,10,0.0,0.0,0,45.0,12.0,10.0,54.5,1
2023-10-01,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,2,2,Udinese,2,8,4,50.0,0.25,0.5,17.4,0.0,0,0,0.8,0.8,0.1,1.2,1.2,2,2,1,0.0,0,0.2,-0.8,0,0,0,0,7.0,18.0,38.9,23.0,1.0,47.8,36.0,13.0,53.8,40.8,18.0,1.0,5.6,0.0,9.0,244.0,334.0,73.1,4640.0,1772.0,97.0,117.0,82.9,108.0,132.0,81.8,32.0,70.0,45.7,2,0.6,0.2,6.0,12.0,3.0,1.0,26.0,334.0,279.0,53.0,12.0,1.0,1.0,6,25.0,0.0,0.0,0.0,0.0,244.0,2.0,4.0,12.0,7.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,18.0,11,10.0,7.0,1.0,11.0,24.0,45.8,13.0,8.0,4.0,4.0,13,31,19.0,1.0,41,435.0,56.0,161.0,203.0,76.0,13.0,435.0,14.0,5.0,35.7,7.0,50.0,236.0,1258.0,644.0,8.0,11.0,4.0,15.0,8.0,241.0,24.0,2,0,0,12,12,2,6,13,11,0.0,0.0,1,40.0,14.0,13.0,51.9,1
2023-10-07,20:45 (11:45),Serie A,Matchweek 8,Sat,Home,L,0,1,Milan,0,7,1,14.3,0.0,0.0,18.1,1.0,0,0,0.5,0.5,0.08,-0.5,-0.5,3,1,2,66.7,0,1.1,0.0,0,0,0,0,8.0,15.0,53.3,47.0,2.0,25.5,32.7,12.0,25.0,26.2,11.0,1.0,9.1,0.0,6.0,329.0,411.0,80.0,6396.0,2729.0,119.0,146.0,81.5,150.0,172.0,87.2,46.0,71.0,64.8,0,0.4,1.1,4.0,29.0,8.0,3.0,31.0,411.0,365.0,46.0,15.0,0.0,2.0,15,14.0,3.0,2.0,0.0,0.0,329.0,0.0,3.0,12.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2,4.0,2.0,1.0,4.0,8.0,50.0,4.0,13.0,5.0,8.0,8,15,19.0,0.0,41,506.0,85.0,217.0,184.0,109.0,18.0,506.0,13.0,6.0,46.2,4.0,30.8,330.0,1735.0,663.0,9.0,5.0,2.0,20.0,7.0,325.0,31.0,3,1,1,10,13,0,15,8,2,0.0,0.0,0,37.0,12.0,14.0,46.2,1
2023-10-22,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Atalanta,0,15,4,26.7,0.0,0.0,20.1,2.0,0,0,1.0,1.0,0.07,-1.0,-1.0,8,2,6,75.0,0,2.7,0.7,0,0,0,0,11.0,30.0,36.7,42.0,3.0,69.0,42.5,7.0,14.3,15.7,11.0,1.0,9.1,1.0,17.8,339.0,457.0,74.2,6401.0,2748.0,146.0,170.0,85.9,149.0,176.0,84.7,39.0,86.0,45.3,0,0.7,0.8,10.0,36.0,4.0,2.0,32.0,457.0,402.0,54.0,16.0,3.0,2.0,17,24.0,4.0,3.0,1.0,0.0,339.0,1.0,13.0,29.0,19.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12,16.0,3.0,1.0,10.0,12.0,83.3,2.0,10.0,4.0,6.0,6,26,13.0,0.0,44,564.0,72.0,191.0,260.0,117.0,11.0,564.0,14.0,5.0,35.7,5.0,35.7,244.0,1325.0,581.0,9.0,7.0,0.0,18.0,5.0,334.0,31.0,2,0,0,9,17,1,17,6,12,0.0,0.0,0,57.0,26.0,29.0,47.3,1
2023-10-27,20:45 (11:45),Serie A,Matchweek 10,Fri,Home,W,1,0,Salernitana,1,8,4,50.0,0.13,0.25,14.7,0.0,0,0,0.5,0.5,0.06,0.5,0.5,2,0,2,100.0,1,0.2,0.2,0,0,0,0,5.0,19.0,26.3,39.0,5.0,35.9,32.0,9.0,55.6,43.4,10.0,1.0,10.0,0.0,2.0,346.0,456.0,75.9,6253.0,2115.0,154.0,182.0,84.6,146.0,170.0,85.9,38.0,82.0,46.3,1,0.4,0.3,7.0,23.0,3.0,0.0,23.0,456.0,396.0,58.0,23.0,0.0,4.0,15,18.0,7.0,0.0,6.0,0.0,346.0,2.0,5.0,15.0,8.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,9,6.0,11.0,3.0,14.0,19.0,73.7,5.0,13.0,1.0,12.0,13,33,12.0,0.0,51,555.0,62.0,190.0,277.0,92.0,10.0,555.0,8.0,4.0,50.0,4.0,50.0,348.0,1692.0,777.0,14.0,9.0,1.0,16.0,10.0,342.0,23.0,3,0,0,11,17,2,15,13,9,0.0,0.0,0,41.0,19.0,7.0,73.1,1
