Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Udinese,3,8,3,37.5,0.25,0.67,17.0,0.0,1,1,1.8,1.1,0.13,1.2,0.9,5,0,5,100.0,1,1.4,1.4,0,0,0,0,5.0,14.0,35.7,34.0,6.0,35.3,31.6,14.0,14.3,21.1,16.0,1.0,6.3,0.0,10.8,411.0,503.0,81.7,6766.0,2308.0,203.0,231.0,87.9,161.0,179.0,89.9,35.0,65.0,53.8,2,1.0,0.7,7.0,19.0,5.0,2.0,19.0,503.0,458.0,41.0,14.0,2.0,3.0,8,9.0,3.0,0.0,2.0,0.0,411.0,4.0,7.0,14.0,12.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,14,11.0,9.0,1.0,13.0,20.0,65.0,7.0,11.0,7.0,4.0,5,26,21.0,0.0,51,606.0,84.0,237.0,258.0,118.0,20.0,605.0,19.0,9.0,47.4,5.0,26.3,361.0,1787.0,930.0,18.0,13.0,6.0,10.0,6.0,405.0,19.0,3,0,0,10,9,4,8,5,14,0.0,0.0,0,42.0,9.0,7.0,56.3,1
2023-08-27,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,1,1,Bologna,1,14,3,21.4,0.07,0.33,18.0,1.0,0,0,0.8,0.8,0.06,0.2,0.2,4,1,3,75.0,0,1.2,0.2,0,0,0,0,2.0,2.0,100.0,13.0,4.0,15.4,23.6,8.0,0.0,17.0,7.0,0.0,0.0,2.0,23.5,495.0,593.0,83.5,8459.0,2537.0,217.0,242.0,89.7,229.0,254.0,90.2,42.0,68.0,61.8,1,0.4,1.4,10.0,48.0,16.0,7.0,57.0,593.0,536.0,53.0,12.0,0.0,4.0,26,25.0,6.0,2.0,2.0,0.0,495.0,4.0,11.0,26.0,23.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,10,4.0,7.0,2.0,6.0,11.0,54.5,5.0,12.0,2.0,10.0,9,22,10.0,0.0,58,697.0,41.0,138.0,341.0,220.0,33.0,697.0,26.0,14.0,53.8,12.0,46.2,413.0,2460.0,1165.0,24.0,15.0,5.0,16.0,6.0,488.0,56.0,2,0,0,15,12,4,26,9,10,0.0,0.0,0,48.0,12.0,11.0,52.2,1
2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,2,0,Empoli,2,17,4,23.5,0.12,0.5,17.6,0.0,0,1,2.7,1.9,0.11,-0.7,0.1,0,0,0,,1,0.0,0.0,0,0,0,0,3.0,11.0,27.3,29.0,5.0,34.5,31.6,8.0,12.5,16.3,19.0,2.0,10.5,0.0,6.5,420.0,507.0,82.8,7555.0,2449.0,203.0,221.0,91.9,158.0,181.0,87.3,52.0,84.0,61.9,1,1.6,1.7,14.0,27.0,17.0,4.0,50.0,507.0,463.0,43.0,14.0,5.0,7.0,19,13.0,7.0,0.0,4.0,0.0,420.0,1.0,11.0,32.0,26.0,0.0,3.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,17.0,14,8.0,8.0,1.0,12.0,19.0,63.2,7.0,6.0,2.0,4.0,12,29,25.0,0.0,50,620.0,66.0,193.0,253.0,178.0,42.0,619.0,17.0,8.0,47.1,6.0,35.3,323.0,2041.0,1167.0,24.0,22.0,9.0,12.0,2.0,414.0,49.0,3,0,0,13,14,1,19,12,14,1.0,0.0,0,50.0,5.0,4.0,55.6,1
2023-09-16,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,W,3,1,Lazio,3,17,7,41.2,0.18,0.43,12.8,0.0,0,0,2.2,2.2,0.14,0.8,0.8,5,1,4,80.0,0,1.0,0.0,0,0,0,0,8.0,14.0,57.1,26.0,4.0,46.2,35.1,11.0,18.2,26.9,17.0,0.0,0.0,0.0,8.0,303.0,375.0,80.8,5797.0,2139.0,114.0,126.0,90.5,148.0,168.0,88.1,34.0,63.0,54.0,3,2.0,1.2,15.0,22.0,8.0,1.0,30.0,375.0,331.0,43.0,12.0,0.0,6.0,11,11.0,7.0,1.0,4.0,0.0,303.0,1.0,6.0,31.0,20.0,6.0,0.0,4.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,6,9.0,4.0,1.0,9.0,14.0,64.3,5.0,11.0,6.0,5.0,10,24,17.0,0.0,36,479.0,70.0,214.0,167.0,99.0,27.0,479.0,16.0,8.0,50.0,6.0,37.5,229.0,1412.0,775.0,16.0,10.0,4.0,9.0,3.0,300.0,30.0,5,0,0,13,13,1,11,10,6,0.0,0.0,0,41.0,12.0,4.0,75.0,1
2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,4,Sassuolo,1,15,2,13.3,0.07,0.5,18.2,1.0,0,0,1.2,1.2,0.08,-0.2,-0.2,7,4,4,42.9,0,1.4,-1.6,0,0,0,0,5.0,7.0,71.4,32.0,4.0,21.9,25.9,9.0,0.0,20.3,16.0,0.0,0.0,1.0,9.0,434.0,522.0,83.1,7756.0,2632.0,203.0,220.0,92.3,165.0,188.0,87.8,52.0,84.0,61.9,1,0.9,1.0,10.0,19.0,12.0,5.0,30.0,522.0,469.0,51.0,12.0,2.0,6.0,21,22.0,3.0,0.0,3.0,0.0,434.0,2.0,5.0,23.0,15.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,10,7.0,6.0,3.0,6.0,16.0,37.5,10.0,11.0,4.0,7.0,13,29,22.0,1.0,57,654.0,67.0,236.0,264.0,154.0,27.0,654.0,17.0,6.0,35.3,8.0,47.1,356.0,1963.0,1076.0,21.0,12.0,6.0,13.0,9.0,430.0,30.0,2,0,0,8,13,2,21,13,10,0.0,0.0,1,50.0,16.0,6.0,72.7,1
2023-09-26,20:45 (11:45),Serie A,Matchweek 6,Tue,Home,W,1,0,Lecce,1,15,5,33.3,0.07,0.2,18.2,0.0,0,0,1.4,1.4,0.1,-0.4,-0.4,0,0,0,,1,0.0,0.0,0,0,0,0,9.0,19.0,47.4,26.0,3.0,57.7,42.5,6.0,66.7,53.7,10.0,0.0,0.0,0.0,4.0,405.0,492.0,82.3,7247.0,2712.0,184.0,205.0,89.8,170.0,196.0,86.7,40.0,68.0,58.8,1,1.4,1.6,15.0,24.0,7.0,2.0,40.0,492.0,445.0,47.0,16.0,2.0,5.0,18,19.0,5.0,2.0,0.0,0.0,405.0,0.0,6.0,30.0,20.0,7.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,10,6.0,10.0,0.0,7.0,10.0,70.0,3.0,5.0,0.0,5.0,10,26,13.0,0.0,50,592.0,45.0,144.0,286.0,166.0,32.0,592.0,15.0,6.0,40.0,6.0,40.0,405.0,1995.0,888.0,19.0,19.0,8.0,20.0,5.0,400.0,39.0,2,0,0,14,14,0,18,10,10,0.0,0.0,0,49.0,13.0,9.0,59.1,1
2023-10-01,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Atalanta,0,5,3,60.0,0.0,0.0,22.3,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2,2,0,2,100.0,1,0.5,0.5,0,0,0,0,6.0,10.0,60.0,44.0,4.0,18.2,29.7,12.0,16.7,26.0,16.0,0.0,0.0,1.0,19.5,462.0,542.0,85.2,8588.0,2869.0,197.0,214.0,92.1,210.0,229.0,91.7,52.0,85.0,61.2,0,0.1,0.2,2.0,23.0,2.0,0.0,24.0,542.0,504.0,37.0,12.0,1.0,1.0,6,10.0,2.0,1.0,1.0,0.0,462.0,1.0,4.0,8.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7,4.0,4.0,1.0,3.0,16.0,18.8,13.0,11.0,4.0,7.0,6,15,20.0,0.0,48,638.0,78.0,232.0,341.0,71.0,6.0,638.0,18.0,6.0,33.3,10.0,55.6,379.0,1589.0,825.0,9.0,4.0,1.0,23.0,7.0,455.0,23.0,2,0,0,7,12,1,6,6,7,0.0,0.0,0,51.0,15.0,5.0,75.0,1
2023-10-07,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Torino,2,17,5,29.4,0.12,0.4,15.1,0.0,0,0,1.9,1.9,0.12,0.1,0.1,1,0,1,100.0,1,0.1,0.1,0,0,0,0,7.0,19.0,36.8,38.0,7.0,39.5,37.4,11.0,36.4,37.0,18.0,2.0,11.1,1.0,8.4,375.0,469.0,80.0,6685.0,2367.0,177.0,199.0,88.9,149.0,167.0,89.2,44.0,80.0,55.0,1,1.2,0.9,15.0,21.0,4.0,3.0,20.0,469.0,427.0,40.0,8.0,0.0,3.0,20,13.0,7.0,4.0,3.0,0.0,375.0,2.0,6.0,30.0,17.0,5.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0,8,7.0,4.0,0.0,8.0,11.0,72.7,3.0,12.0,2.0,10.0,4,15,21.0,0.0,50,576.0,70.0,238.0,244.0,97.0,18.0,576.0,16.0,7.0,43.8,5.0,31.3,266.0,1558.0,852.0,17.0,12.0,4.0,13.0,11.0,370.0,20.0,1,0,0,10,8,2,20,4,8,0.0,0.0,0,41.0,21.0,14.0,60.0,1
2023-10-22,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,W,1,0,Milan,1,14,4,28.6,0.07,0.25,19.5,1.0,0,0,1.4,1.4,0.1,-0.4,-0.4,1,0,1,100.0,1,0.2,0.2,0,0,0,0,3.0,7.0,42.9,14.0,2.0,42.9,36.7,5.0,20.0,31.8,25.0,2.0,8.0,0.0,4.0,377.0,461.0,81.8,6808.0,2357.0,168.0,180.0,93.3,158.0,191.0,82.7,45.0,65.0,69.2,1,0.8,0.7,8.0,35.0,8.0,2.0,42.0,461.0,416.0,43.0,11.0,0.0,3.0,24,23.0,3.0,1.0,2.0,0.0,377.0,2.0,11.0,21.0,16.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,12,7.0,7.0,2.0,8.0,15.0,53.3,7.0,8.0,2.0,6.0,5,21,35.0,0.0,48,588.0,61.0,160.0,258.0,174.0,20.0,588.0,16.0,8.0,50.0,7.0,43.8,369.0,2047.0,1007.0,23.0,15.0,5.0,12.0,13.0,370.0,42.0,4,0,0,16,11,2,24,5,12,0.0,0.0,0,45.0,14.0,21.0,40.0,1
2023-10-28,20:45 (11:45),Serie A,Matchweek 10,Sat,Home,W,1,0,Hellas Verona,1,30,5,16.7,0.03,0.2,17.8,0.0,0,0,3.3,3.3,0.12,-2.3,-2.3,1,0,1,100.0,1,0.2,0.2,0,0,0,0,0.0,1.0,0.0,16.0,3.0,6.3,24.0,7.0,0.0,22.1,10.0,2.0,20.0,0.0,11.5,464.0,544.0,85.3,8748.0,3098.0,156.0,176.0,88.6,257.0,281.0,91.5,47.0,69.0,68.1,0,2.7,1.5,24.0,52.0,14.0,6.0,65.0,544.0,506.0,37.0,9.0,2.0,2.0,22,15.0,5.0,1.0,2.0,0.0,464.0,1.0,9.0,54.0,40.0,2.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,7,6.0,1.0,2.0,7.0,10.0,70.0,3.0,3.0,0.0,3.0,8,17,10.0,0.0,54,649.0,35.0,99.0,367.0,186.0,34.0,649.0,19.0,12.0,63.2,6.0,31.6,459.0,2654.0,1389.0,21.0,20.0,7.0,18.0,8.0,457.0,62.0,3,0,0,13,8,1,22,8,7,0.0,0.0,0,55.0,13.0,14.0,48.1,1
