Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-21,20:45 (11:45),Serie A,Matchweek 1,Mon,Away,W,2,0,Bologna,2,9,5,55.6,0.22,0.4,15.7,0.0,0,0,0.9,0.9,0.1,1.1,1.1,5,0,5,100.0,1,0.3,0.3,0,0,0,0,6.0,21.0,28.6,50.0,8.0,32.0,31.9,11.0,45.5,32.9,15.0,3.0,20.0,1.0,10.2,430.0,515.0,83.5,6699.0,2401.0,219.0,240.0,91.3,165.0,181.0,91.2,28.0,56.0,50.0,2,0.9,1.2,9.0,26.0,8.0,3.0,35.0,515.0,470.0,43.0,12.0,1.0,0.0,11,13.0,6.0,3.0,2.0,0.0,430.0,2.0,11.0,18.0,16.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,8,8.0,3.0,2.0,7.0,10.0,70.0,3.0,12.0,5.0,7.0,9,22,10.0,1.0,47,607.0,73.0,231.0,278.0,102.0,20.0,607.0,25.0,12.0,48.0,11.0,44.0,425.0,2134.0,1162.0,14.0,16.0,3.0,11.0,10.0,426.0,35.0,2,0,0,4,10,2,11,9,8,0.0,0.0,0,54.0,5.0,11.0,31.3,1
2023-08-26,20:45 (11:45),Serie A,Matchweek 2,Sat,Home,W,4,1,Torino,4,15,5,33.3,0.13,0.4,20.7,0.0,2,2,3.0,1.5,0.1,1.0,0.5,1,1,0,0.0,0,0.3,-0.7,0,0,0,0,9.0,16.0,56.3,65.0,8.0,23.1,28.9,7.0,14.3,19.6,10.0,3.0,30.0,2.0,16.7,452.0,529.0,85.4,7703.0,2751.0,204.0,226.0,90.3,200.0,221.0,90.5,39.0,61.0,63.9,2,1.4,1.2,12.0,24.0,8.0,2.0,36.0,529.0,490.0,38.0,16.0,5.0,1.0,11,11.0,2.0,1.0,1.0,0.0,452.0,1.0,4.0,32.0,25.0,2.0,1.0,1.0,3.0,0.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,10.0,5,6.0,3.0,1.0,7.0,12.0,58.3,5.0,3.0,1.0,2.0,9,19,7.0,0.0,59,602.0,73.0,235.0,255.0,119.0,27.0,600.0,15.0,9.0,60.0,3.0,20.0,419.0,2489.0,1325.0,29.0,17.0,8.0,6.0,9.0,436.0,36.0,2,0,0,13,15,1,11,9,5,1.0,0.0,0,44.0,12.0,8.0,60.0,1
2023-09-01,20:45 (11:45),Serie A,Matchweek 3,Fri,Away,W,2,1,Roma,2,8,3,37.5,0.13,0.33,14.2,0.0,1,1,1.5,0.9,0.11,0.5,0.1,2,1,1,50.0,0,0.1,-0.9,0,0,0,0,5.0,20.0,25.0,55.0,7.0,23.6,31.1,12.0,58.3,47.5,18.0,6.0,33.3,0.0,4.9,494.0,569.0,86.8,9131.0,2931.0,188.0,202.0,93.1,258.0,275.0,93.8,47.0,82.0,57.3,1,0.7,0.8,7.0,17.0,5.0,2.0,30.0,569.0,529.0,39.0,14.0,0.0,2.0,11,6.0,5.0,3.0,1.0,0.0,494.0,1.0,6.0,15.0,10.0,1.0,1.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,5,4.0,2.0,0.0,4.0,12.0,33.3,8.0,15.0,4.0,11.0,8,14,17.0,0.0,56,659.0,87.0,264.0,324.0,76.0,15.0,658.0,15.0,6.0,40.0,5.0,33.3,361.0,2095.0,1091.0,20.0,12.0,8.0,12.0,7.0,492.0,30.0,4,1,1,15,14,1,11,8,5,1.0,0.0,0,36.0,10.0,15.0,40.0,1
2023-09-16,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1,5,Inter,1,9,2,22.2,0.11,0.5,18.6,1.0,0,0,1.1,1.1,0.12,-0.1,-0.1,7,5,2,42.9,0,3.8,-1.2,1,1,0,0,1.0,1.0,100.0,28.0,3.0,0.0,21.5,5.0,20.0,22.6,9.0,0.0,0.0,0.0,2.0,493.0,553.0,89.2,8077.0,2526.0,237.0,258.0,91.9,207.0,219.0,94.5,30.0,44.0,68.2,1,0.9,0.7,8.0,31.0,11.0,2.0,39.0,553.0,510.0,41.0,16.0,1.0,2.0,8,14.0,0.0,0.0,0.0,0.0,493.0,2.0,5.0,17.0,14.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5,3.0,3.0,2.0,4.0,6.0,66.7,2.0,13.0,4.0,9.0,5,13,18.0,0.0,59,644.0,54.0,153.0,343.0,151.0,15.0,644.0,13.0,6.0,46.2,5.0,38.5,472.0,2260.0,1129.0,17.0,20.0,2.0,20.0,7.0,484.0,38.0,2,0,0,13,14,2,8,5,5,0.0,1.0,0,35.0,6.0,8.0,42.9,1
2023-09-19,18:45 (09:45),Champions Lg,Group stage,Tue,Home,D,0,0,eng Newcastle Utd,0,25,8,32.0,0.0,0.0,16.9,0.0,0,0,1.9,1.9,0.08,-1.9,-1.9,1,0,1,100.0,1,0.1,0.1,0,0,0,0,6.0,13.0,46.2,39.0,5.0,23.1,31.6,10.0,40.0,46.8,6.0,0.0,0.0,0.0,8.3,379.0,466.0,81.3,6999.0,2506.0,162.0,180.0,90.0,158.0,181.0,87.3,52.0,80.0,65.0,0,1.5,1.3,17.0,22.0,10.0,4.0,35.0,466.0,400.0,62.0,16.0,0.0,3.0,24,29.0,6.0,3.0,3.0,0.0,379.0,4.0,7.0,46.0,30.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1,7.0,6.0,1.0,11.0,13.0,84.6,2.0,6.0,2.0,4.0,5,19,12.0,0.0,53,562.0,62.0,176.0,239.0,150.0,30.0,562.0,20.0,11.0,55.0,6.0,30.0,383.0,2448.0,1299.0,30.0,18.0,5.0,11.0,11.0,377.0,35.0,4,0,0,16,12,4,24,5,1,0.0,0.0,0,34.0,16.0,14.0,53.3,2
2023-09-23,15:00 (06:00),Serie A,Matchweek 5,Sat,Home,W,1,0,Hellas Verona,1,9,4,44.4,0.11,0.25,13.7,0.0,0,0,0.9,0.9,0.1,0.1,0.1,2,0,2,100.0,1,0.5,0.5,0,0,0,0,3.0,10.0,30.0,39.0,4.0,25.6,30.1,7.0,0.0,12.3,15.0,1.0,6.7,1.0,13.4,390.0,495.0,78.8,6804.0,2661.0,163.0,187.0,87.2,171.0,198.0,86.4,41.0,79.0,51.9,1,0.9,0.4,7.0,24.0,5.0,2.0,29.0,495.0,453.0,41.0,12.0,1.0,1.0,13,19.0,2.0,1.0,1.0,0.0,390.0,1.0,4.0,15.0,12.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,11,5.0,9.0,3.0,6.0,10.0,60.0,4.0,5.0,2.0,3.0,12,29,14.0,0.0,54,607.0,65.0,207.0,301.0,108.0,19.0,607.0,22.0,9.0,40.9,12.0,54.5,386.0,2017.0,943.0,16.0,17.0,7.0,21.0,11.0,382.0,29.0,4,0,0,12,11,1,13,12,11,0.0,0.0,0,72.0,18.0,18.0,50.0,1
2023-09-27,18:30 (09:30),Serie A,Matchweek 6,Wed,Away,W,3,1,Cagliari,3,17,6,35.3,0.18,0.5,17.8,0.0,0,0,2.1,2.1,0.13,0.9,0.9,6,1,5,83.3,0,0.7,-0.3,0,0,0,0,2.0,5.0,40.0,30.0,9.0,16.7,25.2,4.0,0.0,18.5,13.0,1.0,7.7,1.0,13.0,610.0,672.0,90.8,10052.0,3139.0,281.0,298.0,94.3,261.0,276.0,94.6,40.0,64.0,62.5,1,0.7,0.9,11.0,50.0,7.0,1.0,58.0,672.0,636.0,35.0,13.0,2.0,5.0,19,11.0,5.0,2.0,2.0,0.0,610.0,1.0,4.0,31.0,23.0,2.0,2.0,2.0,2.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,12.0,8,10.0,1.0,1.0,4.0,11.0,36.4,7.0,10.0,6.0,4.0,3,15,17.0,0.0,66,778.0,64.0,225.0,381.0,175.0,28.0,778.0,16.0,7.0,43.8,7.0,43.8,580.0,3695.0,1829.0,36.0,21.0,11.0,15.0,5.0,601.0,57.0,1,0,0,6,13,1,19,3,8,0.0,0.0,0,46.0,10.0,5.0,66.7,1
2023-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,0,Lazio,2,14,7,50.0,0.14,0.29,15.0,0.0,0,0,2.2,2.2,0.17,-0.2,-0.2,4,0,4,100.0,1,0.1,0.1,0,0,0,0,5.0,8.0,62.5,42.0,9.0,19.0,25.5,7.0,0.0,27.6,3.0,1.0,33.3,1.0,14.6,447.0,528.0,84.7,8082.0,2628.0,190.0,204.0,93.1,207.0,223.0,92.8,42.0,69.0,60.9,2,1.3,1.0,9.0,34.0,6.0,2.0,30.0,528.0,482.0,44.0,7.0,0.0,1.0,18,22.0,7.0,1.0,3.0,0.0,447.0,2.0,12.0,22.0,13.0,2.0,5.0,2.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,19.0,7,8.0,9.0,2.0,8.0,17.0,47.1,9.0,13.0,4.0,9.0,9,28,9.0,0.0,51,642.0,59.0,206.0,269.0,172.0,28.0,642.0,26.0,13.0,50.0,11.0,42.3,462.0,2156.0,1085.0,25.0,15.0,11.0,21.0,9.0,447.0,30.0,3,0,0,15,5,2,18,9,7,0.0,0.0,0,43.0,5.0,7.0,41.7,1
2023-10-04,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,0,0,de Dortmund,0,14,2,14.3,0.0,0.0,15.0,0.0,0,0,1.6,1.6,0.12,-1.6,-1.6,3,0,3,100.0,1,0.5,0.5,0,0,0,0,3.0,4.0,75.0,19.0,8.0,10.5,23.5,11.0,18.2,33.0,15.0,2.0,13.3,1.0,12.0,327.0,412.0,79.4,5735.0,2365.0,153.0,180.0,85.0,131.0,152.0,86.2,37.0,55.0,67.3,0,1.4,1.3,10.0,19.0,7.0,1.0,27.0,412.0,369.0,42.0,10.0,1.0,0.0,13,13.0,7.0,2.0,4.0,0.0,327.0,1.0,12.0,25.0,16.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10,9.0,9.0,1.0,6.0,10.0,60.0,4.0,15.0,6.0,9.0,10,29,17.0,0.0,43,531.0,65.0,204.0,242.0,92.0,21.0,531.0,21.0,10.0,47.6,9.0,42.9,328.0,1767.0,1117.0,20.0,11.0,4.0,15.0,10.0,325.0,26.0,2,0,0,15,9,1,13,10,10,0.0,0.0,0,59.0,12.0,13.0,48.0,2
2023-10-07,20:45 (11:45),Serie A,Matchweek 8,Sat,Away,W,1,0,Genoa,1,12,3,25.0,0.08,0.33,19.6,0.0,0,0,0.6,0.6,0.05,0.4,0.4,1,0,1,,1,0.4,0.0,0,0,0,0,2.0,4.0,50.0,23.0,4.0,13.0,23.8,6.0,16.7,22.3,9.0,0.0,0.0,0.0,12.0,496.0,586.0,84.6,8267.0,2336.0,237.0,270.0,87.8,224.0,249.0,90.0,28.0,47.0,59.6,1,0.3,1.1,7.0,37.0,12.0,3.0,43.0,586.0,551.0,32.0,9.0,3.0,2.0,14,14.0,2.0,2.0,0.0,0.0,496.0,3.0,8.0,22.0,17.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,6,8.0,2.0,1.0,4.0,10.0,40.0,6.0,7.0,4.0,3.0,6,17,14.0,0.0,59,670.0,50.0,164.0,369.0,139.0,19.0,670.0,11.0,4.0,36.4,4.0,36.4,340.0,2061.0,1237.0,19.0,12.0,2.0,15.0,3.0,486.0,43.0,5,1,0,13,9,3,14,6,6,0.0,0.0,0,40.0,14.0,12.0,53.8,1
