Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-20,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Salernitana,2,13,3,23.1,0.15,0.67,15.3,1.0,0,0,1.9,1.9,0.15,0.1,0.1,2,2,0,0.0,0,0.8,-1.2,0,0,0,0,0.0,3.0,0.0,16.0,1.0,18.8,31.1,3.0,0.0,17.3,1.0,0.0,0.0,2.0,19.3,423.0,535.0,79.1,7745.0,2429.0,178.0,198.0,89.9,197.0,237.0,83.1,45.0,81.0,55.6,2,1.3,0.9,11.0,34.0,10.0,4.0,32.0,535.0,482.0,52.0,9.0,1.0,4.0,30,28.0,9.0,8.0,1.0,0.0,423.0,1.0,6.0,23.0,15.0,5.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,15.0,13,5.0,9.0,1.0,7.0,10.0,70.0,3.0,7.0,0.0,7.0,9,24,6.0,0.0,60,622.0,36.0,171.0,285.0,172.0,26.0,622.0,17.0,8.0,47.1,7.0,41.2,408.0,2135.0,1063.0,19.0,18.0,3.0,16.0,2.0,421.0,32.0,0,0,0,12,9,1,30,9,13,0.0,0.0,0,60.0,22.0,12.0,64.7,1
2023-08-26,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,1,2,Hellas Verona,1,23,7,30.4,0.04,0.14,17.3,2.0,0,0,1.5,1.5,0.07,-0.5,-0.5,3,2,1,33.3,0,1.3,-0.7,0,0,0,0,1.0,4.0,25.0,20.0,4.0,15.0,24.4,6.0,16.7,25.5,4.0,0.0,0.0,0.0,10.0,456.0,556.0,82.0,7663.0,2682.0,215.0,239.0,90.0,200.0,229.0,87.3,31.0,61.0,50.8,0,0.8,1.1,17.0,28.0,10.0,1.0,40.0,556.0,496.0,57.0,15.0,0.0,3.0,31,21.0,12.0,2.0,9.0,0.0,456.0,3.0,7.0,42.0,27.0,4.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,9,7.0,7.0,2.0,8.0,14.0,57.1,6.0,4.0,1.0,3.0,2,18,5.0,1.0,71,634.0,41.0,159.0,314.0,167.0,31.0,634.0,19.0,12.0,63.2,2.0,10.5,384.0,2314.0,1350.0,30.0,20.0,8.0,10.0,10.0,452.0,40.0,3,0,0,12,17,3,31,2,9,0.0,0.0,0,42.0,27.0,23.0,54.0,1
2023-09-01,20:45 (11:45),Serie A,Matchweek 3,Fri,Home,L,1,2,Milan,1,13,2,15.4,0.08,0.5,21.6,1.0,0,0,0.7,0.7,0.05,0.3,0.3,4,2,2,75.0,0,1.6,-0.4,1,1,0,0,5.0,6.0,83.3,11.0,1.0,45.5,37.2,5.0,20.0,21.0,10.0,0.0,0.0,0.0,,355.0,440.0,80.7,6699.0,2574.0,150.0,166.0,90.4,154.0,179.0,86.0,46.0,69.0,66.7,1,0.6,0.3,9.0,35.0,5.0,1.0,40.0,440.0,396.0,43.0,15.0,0.0,7.0,22,17.0,3.0,0.0,3.0,0.0,355.0,1.0,12.0,23.0,16.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,5,3.0,8.0,1.0,5.0,11.0,45.5,6.0,10.0,4.0,6.0,8,20,7.0,0.0,44,513.0,42.0,127.0,275.0,115.0,17.0,513.0,14.0,8.0,57.1,4.0,28.6,287.0,1615.0,820.0,19.0,17.0,5.0,12.0,2.0,355.0,40.0,2,0,0,14,15,1,22,8,5,0.0,1.0,0,43.0,15.0,10.0,60.0,1
2023-09-17,20:45 (11:45),Serie A,Matchweek 4,Sun,Home,W,7,0,Empoli,6,13,8,61.5,0.38,0.63,18.9,1.0,1,1,2.4,1.6,0.12,3.6,3.4,2,0,2,100.0,1,0.4,0.4,0,0,0,0,4.0,5.0,80.0,29.0,3.0,17.2,28.7,5.0,0.0,16.2,19.0,2.0,10.5,0.0,4.3,528.0,597.0,88.4,9009.0,2841.0,253.0,270.0,93.7,226.0,249.0,90.8,44.0,59.0,74.6,5,1.4,0.6,10.0,20.0,6.0,2.0,28.0,597.0,565.0,30.0,5.0,1.0,1.0,7,17.0,2.0,2.0,0.0,0.0,528.0,2.0,10.0,25.0,19.0,1.0,1.0,2.0,1.0,1.0,10.0,8.0,0.0,1.0,1.0,0.0,0.0,25.0,18,13.0,11.0,1.0,15.0,22.0,68.2,7.0,11.0,2.0,9.0,5,30,17.0,0.0,53,699.0,81.0,311.0,285.0,105.0,18.0,698.0,15.0,7.0,46.7,8.0,53.3,484.0,2415.0,1170.0,26.0,18.0,7.0,8.0,11.0,526.0,28.0,2,0,0,15,4,2,7,5,18,0.0,0.0,0,51.0,12.0,9.0,57.1,1
2023-09-21,19:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,1,md Sheriff Tiraspol,1,15,6,40.0,0.07,0.17,21.9,3.0,0,0,0.9,0.9,0.06,0.1,0.1,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,1.0,1.0,100.0,16.0,7.0,0.0,22.0,9.0,11.1,21.9,5.0,1.0,20.0,0.0,13.0,551.0,640.0,86.1,9214.0,3121.0,282.0,309.0,91.3,214.0,237.0,90.3,47.0,70.0,67.1,1,0.7,1.2,11.0,35.0,10.0,0.0,50.0,640.0,592.0,46.0,12.0,4.0,4.0,7,21.0,2.0,1.0,0.0,0.0,551.0,2.0,9.0,30.0,22.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,12,6.0,9.0,3.0,13.0,20.0,65.0,7.0,8.0,1.0,7.0,2,20,9.0,0.0,66,732.0,41.0,142.0,416.0,179.0,22.0,732.0,12.0,6.0,50.0,3.0,25.0,415.0,2472.0,1507.0,21.0,11.0,4.0,20.0,11.0,542.0,50.0,1,0,0,11,14,2,7,2,12,0.0,0.0,0,54.0,11.0,5.0,68.8,2
2023-09-24,20:45 (11:45),Serie A,Matchweek 5,Sun,Away,D,1,1,Torino,1,11,3,27.3,0.09,0.33,15.8,0.0,0,0,1.4,1.4,0.13,-0.4,-0.4,4,1,3,75.0,0,1.0,0.0,0,0,0,0,2.0,9.0,22.2,26.0,4.0,19.2,28.0,13.0,30.8,25.8,19.0,0.0,0.0,0.0,,486.0,605.0,80.3,8312.0,2560.0,224.0,242.0,92.6,219.0,262.0,83.6,35.0,80.0,43.8,0,1.1,0.9,8.0,24.0,8.0,3.0,29.0,605.0,552.0,53.0,5.0,1.0,4.0,11,32.0,1.0,0.0,1.0,0.0,486.0,0.0,7.0,20.0,17.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,7,7.0,7.0,1.0,3.0,9.0,33.3,6.0,9.0,2.0,7.0,10,25,21.0,0.0,59,706.0,89.0,277.0,310.0,123.0,21.0,706.0,18.0,7.0,38.9,10.0,55.6,391.0,1541.0,702.0,15.0,9.0,5.0,14.0,5.0,484.0,29.0,2,0,0,5,5,0,11,10,7,0.0,0.0,0,47.0,18.0,17.0,51.4,1
2023-09-28,20:45 (11:45),Serie A,Matchweek 6,Thu,Away,L,1,4,Genoa,1,13,3,23.1,0.08,0.33,19.4,0.0,0,0,1.4,1.4,0.11,-0.4,-0.4,4,4,0,0.0,0,2.0,-2.0,0,0,0,0,0.0,0.0,,15.0,5.0,0.0,17.7,5.0,0.0,14.0,9.0,0.0,0.0,1.0,20.5,632.0,724.0,87.3,10679.0,2874.0,268.0,288.0,93.1,283.0,306.0,92.5,50.0,74.0,67.6,1,1.2,1.6,10.0,39.0,9.0,1.0,56.0,724.0,670.0,52.0,7.0,1.0,4.0,23,28.0,7.0,4.0,2.0,0.0,632.0,2.0,13.0,25.0,20.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9,6.0,6.0,4.0,5.0,11.0,45.5,6.0,10.0,3.0,7.0,6,22,9.0,1.0,71,819.0,44.0,171.0,457.0,194.0,22.0,819.0,14.0,2.0,14.3,11.0,78.6,476.0,2626.0,1481.0,17.0,10.0,1.0,13.0,5.0,632.0,56.0,3,0,0,12,7,2,23,6,9,0.0,0.0,0,43.0,10.0,12.0,45.5,1
2023-10-01,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,W,2,0,Frosinone,2,11,5,45.5,0.18,0.4,16.1,0.0,0,0,0.6,0.6,0.05,1.4,1.4,0,0,0,,1,0.0,0.0,0,0,0,0,7.0,20.0,35.0,21.0,1.0,47.6,39.0,10.0,100.0,60.6,4.0,0.0,0.0,0.0,14.5,379.0,483.0,78.5,6903.0,2475.0,175.0,202.0,86.6,149.0,170.0,87.6,43.0,84.0,51.2,2,0.6,0.5,11.0,28.0,8.0,1.0,29.0,483.0,432.0,49.0,12.0,0.0,7.0,13,19.0,7.0,4.0,3.0,0.0,379.0,2.0,6.0,22.0,18.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,32.0,17,15.0,13.0,4.0,16.0,28.0,57.1,12.0,6.0,2.0,4.0,12,44,6.0,0.0,50,585.0,52.0,199.0,261.0,133.0,24.0,585.0,14.0,7.0,50.0,6.0,42.9,283.0,1681.0,843.0,23.0,15.0,6.0,14.0,13.0,377.0,29.0,1,0,0,12,10,2,13,12,17,0.0,0.0,0,59.0,8.0,10.0,44.4,1
2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,4,0,ch Servette FC,4,18,7,38.9,0.22,0.57,15.8,0.0,0,0,2.3,2.3,0.13,1.7,1.7,1,0,1,100.0,1,0.0,0.0,0,0,0,0,5.0,10.0,50.0,17.0,6.0,23.5,28.5,8.0,75.0,60.0,19.0,2.0,10.5,0.0,7.3,443.0,519.0,85.4,8154.0,2829.0,196.0,220.0,89.1,181.0,195.0,92.8,56.0,77.0,72.7,4,2.2,1.6,14.0,37.0,10.0,1.0,41.0,519.0,470.0,49.0,15.0,3.0,7.0,10,21.0,4.0,0.0,4.0,0.0,443.0,0.0,12.0,30.0,19.0,5.0,1.0,3.0,2.0,0.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,20.0,14,9.0,6.0,5.0,3.0,9.0,33.3,6.0,10.0,3.0,7.0,7,27,15.0,0.0,55,623.0,55.0,176.0,332.0,119.0,28.0,623.0,16.0,4.0,25.0,11.0,68.8,469.0,2339.0,1059.0,11.0,8.0,5.0,9.0,8.0,440.0,41.0,0,0,0,15,15,0,10,7,14,0.0,0.0,0,44.0,15.0,10.0,60.0,2
2023-10-08,18:00 (09:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Cagliari,4,11,5,45.5,0.36,0.8,16.4,1.0,0,0,2.6,2.6,0.23,1.4,1.4,2,1,1,100.0,0,1.1,0.1,1,1,0,0,6.0,17.0,35.3,17.0,5.0,58.8,44.2,10.0,70.0,50.0,29.0,3.0,10.3,0.0,5.0,294.0,388.0,75.8,5349.0,1953.0,141.0,164.0,86.0,118.0,143.0,82.5,31.0,62.0,50.0,4,2.5,1.3,8.0,11.0,7.0,1.0,15.0,388.0,341.0,46.0,15.0,1.0,1.0,6,16.0,3.0,2.0,0.0,0.0,294.0,1.0,9.0,22.0,14.0,2.0,1.0,2.0,3.0,0.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,12.0,9,4.0,5.0,3.0,5.0,19.0,26.3,14.0,14.0,4.0,10.0,1,13,22.0,0.0,43,484.0,61.0,178.0,231.0,76.0,18.0,484.0,10.0,4.0,40.0,4.0,40.0,223.0,1225.0,619.0,11.0,9.0,4.0,11.0,3.0,291.0,15.0,3,0,0,13,15,1,6,1,9,0.0,1.0,0,44.0,12.0,12.0,50.0,1
