Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-20,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Atalanta,0,11,3,27.3,0.0,0.0,23.0,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,4,2,2,50.0,0,0.7,-1.3,0,0,0,0,2.0,7.0,28.6,44.0,5.0,13.6,31.2,16.0,6.3,17.4,19.0,1.0,5.3,2.0,21.0,445.0,522.0,85.2,7478.0,2841.0,204.0,213.0,95.8,178.0,203.0,87.7,42.0,69.0,60.9,0,0.4,0.5,10.0,34.0,5.0,1.0,31.0,522.0,469.0,53.0,15.0,1.0,3.0,14,12.0,7.0,5.0,1.0,0.0,445.0,0.0,12.0,21.0,17.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6,5.0,5.0,0.0,2.0,15.0,13.3,13.0,12.0,4.0,8.0,12,22,20.0,0.0,49,621.0,98.0,247.0,263.0,117.0,14.0,621.0,22.0,14.0,63.6,8.0,36.4,389.0,2219.0,1063.0,18.0,12.0,5.0,12.0,5.0,436.0,31.0,0,0,0,9,13,0,14,12,6,0.0,0.0,0,40.0,9.0,8.0,52.9,1
2023-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,L,0,2,Napoli,0,6,1,16.7,0.0,0.0,23.8,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,5,2,3,80.0,0,2.0,0.0,2,1,0,1,2.0,13.0,15.4,20.0,2.0,50.0,38.2,15.0,20.0,19.7,20.0,0.0,0.0,1.0,11.0,278.0,348.0,79.9,4452.0,1697.0,144.0,162.0,88.9,103.0,120.0,85.8,19.0,43.0,44.2,0,0.1,0.2,5.0,23.0,1.0,0.0,28.0,348.0,307.0,41.0,13.0,1.0,3.0,10,6.0,4.0,1.0,2.0,0.0,278.0,0.0,8.0,11.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13,13.0,4.0,0.0,12.0,18.0,66.7,6.0,14.0,6.0,8.0,7,24,23.0,0.0,33,458.0,86.0,188.0,182.0,95.0,11.0,458.0,22.0,11.0,50.0,9.0,40.9,204.0,1503.0,774.0,13.0,15.0,5.0,15.0,9.0,277.0,28.0,1,1,0,10,8,0,10,7,13,0.0,2.0,0,40.0,5.0,13.0,27.8,1
2023-09-01,18:30 (09:30),Serie A,Matchweek 3,Fri,Home,W,3,1,Hellas Verona,3,15,6,40.0,0.13,0.33,16.6,1.0,1,1,1.7,0.9,0.06,1.3,1.1,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,7.0,26.0,26.9,31.0,3.0,67.7,44.8,12.0,41.7,37.3,7.0,1.0,14.3,0.0,12.3,313.0,428.0,73.1,5687.0,2432.0,136.0,155.0,87.7,126.0,162.0,77.8,38.0,84.0,45.2,2,0.7,1.2,12.0,25.0,6.0,0.0,35.0,428.0,363.0,64.0,15.0,4.0,5.0,24,25.0,10.0,6.0,2.0,0.0,313.0,1.0,9.0,28.0,21.0,2.0,0.0,2.0,2.0,1.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,11.0,6,6.0,4.0,1.0,5.0,10.0,50.0,5.0,5.0,0.0,5.0,10,21,6.0,0.0,47,508.0,45.0,158.0,206.0,150.0,31.0,507.0,16.0,10.0,62.5,4.0,25.0,225.0,1432.0,749.0,24.0,8.0,9.0,17.0,11.0,310.0,35.0,1,0,0,8,12,1,24,10,6,1.0,0.0,0,47.0,16.0,19.0,45.7,1
2023-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,2,4,Frosinone,2,18,7,38.9,0.11,0.29,19.2,1.0,0,0,1.3,1.3,0.07,0.7,0.7,6,4,2,50.0,0,2.8,-1.2,1,1,0,0,5.0,15.0,33.3,24.0,3.0,50.0,37.1,10.0,30.0,32.3,9.0,0.0,0.0,7.0,28.9,310.0,400.0,77.5,5682.0,2344.0,141.0,160.0,88.1,136.0,156.0,87.2,33.0,68.0,48.5,2,1.1,1.0,15.0,29.0,9.0,0.0,47.0,400.0,343.0,55.0,14.0,5.0,3.0,11,20.0,6.0,3.0,1.0,0.0,310.0,2.0,9.0,34.0,31.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,7,8.0,5.0,1.0,8.0,14.0,57.1,6.0,7.0,2.0,5.0,9,23,21.0,1.0,45,497.0,62.0,175.0,184.0,142.0,28.0,497.0,11.0,6.0,54.5,4.0,36.4,268.0,1609.0,813.0,20.0,12.0,8.0,10.0,6.0,309.0,47.0,2,0,0,9,8,2,11,9,7,0.0,1.0,0,44.0,7.0,10.0,41.2,1
2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Home,W,4,2,Juventus,3,18,7,38.9,0.17,0.43,17.8,0.0,0,0,1.6,1.6,0.09,1.4,1.4,2,2,1,0.0,0,0.6,-0.4,0,0,0,0,5.0,17.0,29.4,23.0,0.0,65.2,45.6,15.0,13.3,19.7,17.0,0.0,0.0,0.0,,301.0,397.0,75.8,5771.0,2090.0,120.0,139.0,86.3,130.0,157.0,82.8,44.0,85.0,51.8,1,1.2,0.5,13.0,25.0,9.0,4.0,32.0,397.0,337.0,60.0,10.0,1.0,3.0,18,26.0,6.0,3.0,0.0,0.0,301.0,0.0,9.0,28.0,24.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,7,7.0,8.0,2.0,8.0,14.0,57.1,6.0,7.0,3.0,4.0,10,27,18.0,0.0,43,506.0,66.0,158.0,217.0,138.0,13.0,506.0,17.0,10.0,58.8,6.0,35.3,235.0,1425.0,745.0,19.0,14.0,2.0,14.0,10.0,297.0,32.0,4,0,0,13,8,0,18,10,7,0.0,0.0,1,51.0,6.0,16.0,27.3,1
2023-09-27,20:45 (11:45),Serie A,Matchweek 6,Wed,Away,W,2,1,Inter,2,13,6,46.2,0.15,0.33,19.1,0.0,0,0,1.0,1.0,0.08,1.0,1.0,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,7.0,23.0,30.4,32.0,4.0,65.6,46.0,8.0,25.0,29.4,27.0,2.0,7.4,0.0,8.3,292.0,377.0,77.5,5386.0,2026.0,132.0,150.0,88.0,119.0,138.0,86.2,35.0,72.0,48.6,2,1.0,0.8,11.0,25.0,9.0,2.0,27.0,377.0,334.0,39.0,13.0,0.0,5.0,12,10.0,6.0,4.0,0.0,0.0,292.0,4.0,4.0,22.0,19.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,6,2.0,3.0,3.0,3.0,12.0,25.0,9.0,10.0,3.0,7.0,11,19,33.0,0.0,37,486.0,91.0,189.0,193.0,111.0,17.0,486.0,14.0,9.0,64.3,3.0,21.4,280.0,1717.0,795.0,16.0,7.0,2.0,15.0,12.0,290.0,27.0,1,0,0,8,9,4,12,11,6,0.0,0.0,0,43.0,12.0,19.0,38.7,1
2023-10-02,18:30 (09:30),Serie A,Matchweek 7,Mon,Home,L,0,1,Monza,0,19,7,36.8,0.0,0.0,17.0,1.0,0,0,1.4,1.4,0.08,-1.4,-1.4,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,2.0,6.0,33.3,28.0,2.0,17.9,28.2,7.0,14.3,20.0,5.0,0.0,0.0,1.0,18.5,348.0,419.0,83.1,6445.0,2207.0,125.0,134.0,93.3,168.0,193.0,87.0,38.0,64.0,59.4,0,1.3,1.1,16.0,25.0,10.0,3.0,38.0,419.0,371.0,47.0,13.0,0.0,4.0,16,18.0,7.0,2.0,1.0,0.0,348.0,1.0,5.0,35.0,25.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7,9.0,2.0,1.0,4.0,14.0,28.6,10.0,14.0,5.0,9.0,3,15,11.0,1.0,44,509.0,64.0,173.0,199.0,145.0,23.0,509.0,12.0,7.0,58.3,4.0,33.3,314.0,1960.0,1168.0,21.0,21.0,7.0,11.0,8.0,344.0,38.0,0,0,0,8,10,1,16,3,7,0.0,0.0,0,38.0,8.0,10.0,44.4,1
2023-10-06,20:45 (11:45),Serie A,Matchweek 8,Fri,Away,D,1,1,Lecce,1,13,0,0.0,0.0,,22.7,0.0,1,1,1.5,0.9,0.07,-0.5,-0.9,4,1,3,75.0,0,1.1,0.1,0,0,0,0,4.0,10.0,40.0,30.0,3.0,30.0,30.1,9.0,11.1,22.9,16.0,0.0,0.0,1.0,19.0,417.0,509.0,81.9,7517.0,2558.0,167.0,185.0,90.3,196.0,225.0,87.1,41.0,77.0,53.2,0,0.9,0.8,13.0,31.0,2.0,1.0,36.0,509.0,455.0,54.0,11.0,0.0,6.0,16,29.0,3.0,2.0,1.0,0.0,417.0,0.0,6.0,26.0,19.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,5,4.0,6.0,0.0,4.0,6.0,66.7,2.0,8.0,1.0,7.0,8,18,13.0,1.0,57,619.0,58.0,185.0,279.0,162.0,13.0,618.0,29.0,10.0,34.5,18.0,62.1,360.0,2018.0,929.0,17.0,16.0,4.0,14.0,8.0,412.0,36.0,3,0,0,15,7,0,16,8,5,0.0,0.0,0,57.0,12.0,18.0,40.0,1
2023-10-21,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,L,0,2,Lazio,0,9,2,22.2,0.0,0.0,23.8,1.0,0,0,0.5,0.5,0.06,-0.5,-0.5,6,2,4,66.7,0,1.7,-0.3,0,0,0,0,5.0,11.0,45.5,33.0,4.0,24.2,30.6,11.0,27.3,26.5,15.0,0.0,0.0,0.0,2.7,459.0,556.0,82.6,8419.0,2425.0,190.0,216.0,88.0,208.0,230.0,90.4,50.0,82.0,61.0,0,0.1,0.2,4.0,22.0,2.0,0.0,31.0,556.0,503.0,53.0,13.0,0.0,7.0,13,21.0,5.0,2.0,0.0,0.0,459.0,0.0,10.0,17.0,11.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,6.0,8.0,0.0,8.0,18.0,44.4,10.0,11.0,2.0,9.0,5,19,19.0,2.0,51,653.0,94.0,235.0,308.0,113.0,7.0,653.0,19.0,12.0,63.2,5.0,26.3,455.0,2207.0,931.0,15.0,11.0,1.0,18.0,8.0,458.0,31.0,1,0,0,6,10,0,13,5,8,0.0,0.0,0,46.0,9.0,6.0,60.0,1
2023-10-28,15:00 (06:00),Serie A,Matchweek 10,Sat,Home,D,1,1,Bologna,1,16,5,31.3,0.06,0.2,19.8,0.0,0,0,0.9,0.9,0.06,0.1,0.1,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,1.0,8.0,12.5,17.0,2.0,41.2,33.1,4.0,25.0,30.8,6.0,1.0,16.7,1.0,16.5,351.0,438.0,80.1,6955.0,2070.0,122.0,147.0,83.0,170.0,188.0,90.4,50.0,84.0,59.5,1,0.7,0.8,12.0,34.0,6.0,2.0,49.0,438.0,394.0,43.0,12.0,0.0,5.0,23,19.0,6.0,1.0,5.0,0.0,351.0,1.0,7.0,27.0,18.0,2.0,4.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,5,4.0,4.0,6.0,8.0,15.0,53.3,7.0,17.0,4.0,13.0,7,21,8.0,0.0,41,546.0,30.0,111.0,253.0,189.0,24.0,546.0,25.0,11.0,44.0,13.0,52.0,336.0,2188.0,1145.0,23.0,17.0,9.0,14.0,12.0,350.0,49.0,1,0,0,11,9,1,23,7,5,0.0,0.0,0,63.0,2.0,4.0,33.3,1
