Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-13,15:30 (06:30),DFB-Pokal,First round,Sun,Away,L,1.0,3.0,Osnabrück,1,13,4,30.8,0.0,0.0,,,1,1,,,,,,Match Report,2017-08-13,15:30 (06:30),DFB-Pokal,First round,Sun,Away,L,1.0,3.0,Osnabrück,4,3,1,25.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-13,15:30 (06:30),DFB-Pokal,First round,Sun,Away,L,1.0,3.0,Osnabrück,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-08-13,15:30 (06:30),DFB-Pokal,First round,Sun,Away,L,1.0,3.0,Osnabrück,,,,,,,33,,,,,,,,,Match Report,2017-08-13,15:30 (06:30),DFB-Pokal,First round,Sun,Away,L,1.0,3.0,Osnabrück,,,,,,,,,,,,,,,Match Report,2017-08-13,15:30 (06:30),DFB-Pokal,First round,Sun,Away,L,1.0,3.0,Osnabrück,,6,,,,,,,,,,,5,0,,,Match Report,2017-08-13,15:30 (06:30),DFB-Pokal,First round,Sun,Away,L,1.0,3.0,Osnabrück,76.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-13,15:30 (06:30),DFB-Pokal,First round,Sun,Away,L,1.0,3.0,Osnabrück,3,0,0,14,11,3,33,5,6,,,0,,,,,Match Report
2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Augsburg,1,11,5,45.5,0.09,0.2,22.9,0.0,0,0,0.5,0.5,0.05,0.5,0.5,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Augsburg,1,0,1,100.0,1,0.1,0.1,0,0,0,0,15.0,28.0,53.6,27.0,3.0,77.8,55.0,9.0,77.8,54.7,27.0,2.0,7.4,0.0,10.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Augsburg,201.0,315.0,63.8,4486.0,2499.0,75.0,100.0,75.0,84.0,125.0,67.2,41.0,82.0,50.0,1,0.5,0.7,11.0,23.0,5.0,2.0,27.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Augsburg,315.0,263.0,52.0,17.0,2.0,4.0,12,22.0,3.0,2.0,1.0,0.0,201.0,0.0,7.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Augsburg,18.0,15.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Augsburg,17.0,11,8.0,5.0,4.0,8.0,17.0,47.1,9.0,18.0,5.0,13.0,11,28,45.0,0.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Augsburg,36.0,444.0,77.0,161.0,206.0,86.0,12.0,444.0,13.0,1.0,7.7,12.0,92.3,199.0,870.0,419.0,10.0,6.0,3.0,10.0,11.0,199.0,26.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Augsburg,4,0,0,18,14,0,12,11,11,0.0,0.0,0,43.0,23.0,27.0,46.0,Match Report
2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3.0,1.0,Köln,3,13,4,30.8,0.23,0.75,21.5,0.0,0,0,1.5,1.5,0.12,1.5,1.5,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3.0,1.0,Köln,6,1,5,83.3,0,1.5,0.5,0,0,0,0,12.0,38.0,31.6,24.0,1.0,83.3,54.7,18.0,100.0,71.5,24.0,2.0,8.3,1.0,19.8,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3.0,1.0,Köln,155.0,268.0,57.8,3262.0,1969.0,68.0,82.0,82.9,55.0,93.0,59.1,28.0,75.0,37.3,1,1.3,1.1,9.0,10.0,3.0,1.0,19.0,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3.0,1.0,Köln,268.0,204.0,61.0,14.0,0.0,1.0,15,20.0,7.0,3.0,4.0,0.0,155.0,3.0,9.0,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3.0,1.0,Köln,23.0,14.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,2.0,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3.0,1.0,Köln,16.0,11,7.0,9.0,0.0,12.0,21.0,57.1,9.0,10.0,2.0,8.0,11,27,24.0,0.0,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3.0,1.0,Köln,30.0,366.0,67.0,132.0,161.0,82.0,13.0,366.0,11.0,4.0,36.4,7.0,63.6,151.0,979.0,511.0,13.0,11.0,3.0,13.0,11.0,152.0,19.0,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3.0,1.0,Köln,4,1,1,9,9,3,15,11,11,0.0,0.0,0,38.0,20.0,14.0,58.8,Match Report
2017-09-08,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,L,0.0,2.0,RB Leipzig,0,9,2,22.2,0.0,0.0,19.9,1.0,0,0,1.2,1.2,0.13,-1.2,-1.2,Match Report,2017-09-08,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,L,0.0,2.0,RB Leipzig,4,2,2,50.0,0,1.7,-0.3,0,0,0,0,9.0,23.0,39.1,14.0,0.0,85.7,53.2,11.0,100.0,66.6,20.0,0.0,0.0,0.0,,Match Report,2017-09-08,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,L,0.0,2.0,RB Leipzig,154.0,283.0,54.4,3214.0,1928.0,59.0,85.0,69.4,70.0,111.0,63.1,24.0,71.0,33.8,0,0.5,0.4,5.0,19.0,3.0,0.0,21.0,Match Report,2017-09-08,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,L,0.0,2.0,RB Leipzig,283.0,216.0,65.0,12.0,1.0,1.0,11,35.0,4.0,1.0,1.0,0.0,154.0,2.0,15.0,Match Report,2017-09-08,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,L,0.0,2.0,RB Leipzig,17.0,11.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-08,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,L,0.0,2.0,RB Leipzig,26.0,18,16.0,9.0,1.0,10.0,29.0,34.5,19.0,18.0,5.0,13.0,12,38,40.0,1.0,Match Report,2017-09-08,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,L,0.0,2.0,RB Leipzig,33.0,420.0,77.0,184.0,161.0,86.0,13.0,420.0,18.0,4.0,22.2,14.0,77.8,150.0,692.0,301.0,7.0,7.0,1.0,12.0,11.0,153.0,21.0,Match Report,2017-09-08,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Home,L,0.0,2.0,RB Leipzig,1,0,0,14,11,2,11,12,18,0.0,0.0,0,37.0,15.0,23.0,39.5,Match Report
2017-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,L,0.0,2.0,Hannover 96,0,12,3,25.0,0.0,0.0,22.3,1.0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2017-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,L,0.0,2.0,Hannover 96,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,4.0,14.0,28.6,12.0,2.0,66.7,44.4,11.0,54.5,48.8,16.0,1.0,6.3,0.0,3.5,Match Report,2017-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,L,0.0,2.0,Hannover 96,237.0,370.0,64.1,4554.0,2078.0,100.0,126.0,79.4,102.0,141.0,72.3,34.0,82.0,41.5,0,0.5,0.8,8.0,23.0,6.0,3.0,36.0,Match Report,2017-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,L,0.0,2.0,Hannover 96,370.0,309.0,60.0,16.0,0.0,1.0,22,23.0,7.0,3.0,3.0,0.0,237.0,1.0,17.0,Match Report,2017-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,L,0.0,2.0,Hannover 96,21.0,13.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,L,0.0,2.0,Hannover 96,19.0,17,6.0,10.0,3.0,9.0,12.0,75.0,3.0,10.0,2.0,8.0,16,35,28.0,1.0,Match Report,2017-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,L,0.0,2.0,Hannover 96,42.0,493.0,49.0,136.0,240.0,126.0,17.0,493.0,14.0,5.0,35.7,9.0,64.3,234.0,1157.0,573.0,13.0,13.0,1.0,20.0,7.0,234.0,36.0,Match Report,2017-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,L,0.0,2.0,Hannover 96,0,0,0,16,17,1,22,16,17,0.0,0.0,0,45.0,16.0,30.0,34.8,Match Report
2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,L,0.0,3.0,Dortmund,0,7,2,28.6,0.0,0.0,20.4,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,L,0.0,3.0,Dortmund,8,3,5,62.5,0,3.8,0.8,0,0,0,0,2.0,7.0,28.6,19.0,4.0,31.6,33.4,6.0,16.7,25.8,12.0,1.0,8.3,1.0,13.5,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,L,0.0,3.0,Dortmund,262.0,406.0,64.5,4857.0,2437.0,116.0,146.0,79.5,99.0,138.0,71.7,40.0,89.0,44.9,0,0.2,0.4,5.0,23.0,10.0,6.0,38.0,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,L,0.0,3.0,Dortmund,406.0,334.0,65.0,14.0,0.0,0.0,25,37.0,4.0,1.0,2.0,0.0,262.0,7.0,13.0,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,L,0.0,3.0,Dortmund,14.0,10.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,L,0.0,3.0,Dortmund,19.0,15,8.0,7.0,4.0,11.0,19.0,57.9,8.0,8.0,3.0,5.0,15,34,17.0,0.0,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,L,0.0,3.0,Dortmund,48.0,500.0,52.0,152.0,244.0,111.0,18.0,500.0,11.0,3.0,27.3,8.0,72.7,235.0,1305.0,610.0,15.0,9.0,5.0,16.0,10.0,258.0,38.0,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,L,0.0,3.0,Dortmund,3,0,0,15,14,7,25,15,15,0.0,0.0,0,50.0,17.0,17.0,50.0,Match Report
2017-09-24,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,L,0.0,3.0,Leverkusen,0,12,2,16.7,0.0,0.0,22.3,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report,2017-09-24,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,L,0.0,3.0,Leverkusen,6,3,3,50.0,0,1.9,-1.1,0,0,0,0,3.0,9.0,33.3,19.0,5.0,36.8,35.5,6.0,33.3,37.5,15.0,2.0,13.3,0.0,5.0,Match Report,2017-09-24,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,L,0.0,3.0,Leverkusen,303.0,414.0,73.2,5859.0,2347.0,109.0,128.0,85.2,152.0,196.0,77.6,35.0,66.0,53.0,0,0.5,0.5,10.0,27.0,3.0,1.0,36.0,Match Report,2017-09-24,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,L,0.0,3.0,Leverkusen,414.0,350.0,63.0,18.0,1.0,5.0,9,32.0,3.0,1.0,1.0,0.0,303.0,1.0,14.0,Match Report,2017-09-24,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,L,0.0,3.0,Leverkusen,22.0,15.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-24,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,L,0.0,3.0,Leverkusen,20.0,15,10.0,9.0,1.0,12.0,19.0,63.2,7.0,18.0,9.0,9.0,9,29,22.0,0.0,Match Report,2017-09-24,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,L,0.0,3.0,Leverkusen,48.0,537.0,41.0,154.0,282.0,109.0,20.0,537.0,19.0,6.0,31.6,13.0,68.4,231.0,1324.0,673.0,16.0,11.0,7.0,13.0,9.0,301.0,36.0,Match Report,2017-09-24,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Away,L,0.0,3.0,Leverkusen,2,0,0,19,17,1,9,9,15,0.0,0.0,0,47.0,27.0,11.0,71.1,Match Report
2017-09-30,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Werder Bremen,0,17,6,35.3,0.0,0.0,17.3,1.0,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report,2017-09-30,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Werder Bremen,3,0,3,100.0,1,0.5,0.5,0,0,0,0,6.0,17.0,35.3,15.0,1.0,73.3,46.3,6.0,100.0,67.2,14.0,0.0,0.0,0.0,11.0,Match Report,2017-09-30,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Werder Bremen,318.0,442.0,71.9,5900.0,2656.0,135.0,164.0,82.3,134.0,176.0,76.1,39.0,75.0,52.0,0,0.8,1.0,13.0,27.0,10.0,4.0,44.0,Match Report,2017-09-30,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Werder Bremen,442.0,381.0,61.0,29.0,1.0,1.0,22,19.0,6.0,2.0,3.0,0.0,318.0,0.0,8.0,Match Report,2017-09-30,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Werder Bremen,31.0,17.0,9.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-30,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Werder Bremen,18.0,17,10.0,8.0,0.0,9.0,16.0,56.3,7.0,13.0,2.0,11.0,8,26,23.0,0.0,Match Report,2017-09-30,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Werder Bremen,54.0,559.0,52.0,155.0,280.0,129.0,21.0,559.0,6.0,1.0,16.7,5.0,83.3,223.0,1277.0,708.0,16.0,13.0,4.0,13.0,10.0,316.0,44.0,Match Report,2017-09-30,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Werder Bremen,1,0,0,14,28,0,22,8,17,0.0,0.0,0,52.0,14.0,29.0,32.6,Match Report
2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,2.0,3.0,Mainz 05,2,8,1,12.5,0.13,1.0,13.3,0.0,1,1,2.2,1.5,0.18,-0.2,-0.5,Match Report,2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,2.0,3.0,Mainz 05,4,3,1,25.0,0,2.1,-0.9,0,0,0,0,7.0,22.0,31.8,28.0,2.0,57.1,43.9,8.0,75.0,56.9,11.0,1.0,9.1,0.0,4.5,Match Report,2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,2.0,3.0,Mainz 05,306.0,438.0,69.9,6026.0,2696.0,122.0,148.0,82.4,140.0,191.0,73.3,42.0,88.0,47.7,0,1.2,1.3,4.0,20.0,5.0,3.0,31.0,Match Report,2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,2.0,3.0,Mainz 05,438.0,370.0,68.0,19.0,1.0,2.0,14,35.0,2.0,1.0,1.0,0.0,306.0,0.0,13.0,Match Report,2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,2.0,3.0,Mainz 05,16.0,7.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,Match Report,2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,2.0,3.0,Mainz 05,24.0,20,12.0,10.0,2.0,9.0,20.0,45.0,11.0,17.0,5.0,12.0,7,31,26.0,1.0,Match Report,2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,2.0,3.0,Mainz 05,54.0,559.0,51.0,189.0,270.0,107.0,20.0,558.0,22.0,10.0,45.5,12.0,54.5,297.0,1301.0,693.0,13.0,9.0,3.0,19.0,10.0,302.0,30.0,Match Report,2017-10-14,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,2.0,3.0,Mainz 05,1,0,0,18,15,0,14,7,20,0.0,0.0,0,44.0,19.0,16.0,54.3,Match Report
2017-10-21,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Home,L,0.0,1.0,Bayern Munich,0,6,3,50.0,0.0,0.0,25.3,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report,2017-10-21,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Home,L,0.0,1.0,Bayern Munich,4,1,3,75.0,0,1.1,0.1,0,0,0,0,4.0,23.0,17.4,18.0,1.0,88.9,54.9,10.0,70.0,57.7,18.0,0.0,0.0,2.0,17.8,Match Report,2017-10-21,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Home,L,0.0,1.0,Bayern Munich,151.0,263.0,57.4,2792.0,1322.0,74.0,93.0,79.6,55.0,96.0,57.3,19.0,64.0,29.7,0,0.1,0.2,2.0,13.0,3.0,2.0,22.0,Match Report,2017-10-21,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Home,L,0.0,1.0,Bayern Munich,263.0,217.0,45.0,12.0,0.0,1.0,18,14.0,7.0,2.0,3.0,0.0,151.0,1.0,8.0,Match Report,2017-10-21,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Home,L,0.0,1.0,Bayern Munich,10.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-10-21,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Home,L,0.0,1.0,Bayern Munich,21.0,15,12.0,8.0,1.0,14.0,26.0,53.8,12.0,21.0,8.0,13.0,19,40,34.0,1.0,Match Report,2017-10-21,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Home,L,0.0,1.0,Bayern Munich,25.0,385.0,69.0,165.0,142.0,84.0,9.0,385.0,16.0,6.0,37.5,10.0,62.5,153.0,755.0,393.0,9.0,4.0,2.0,8.0,6.0,149.0,21.0,Match Report,2017-10-21,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Home,L,0.0,1.0,Bayern Munich,1,1,0,9,9,1,18,19,15,0.0,0.0,0,39.0,12.0,24.0,33.3,Match Report
