Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-14,20:45 (11:45),DFB-Pokal,First round,Mon,Away,W,2,0,Hansa Rostock,2,18,5,27.8,0.11,0.40,,,0,0,,,,,,Match Report,2017-08-14,20:45 (11:45),DFB-Pokal,First round,Mon,Away,W,2,0,Hansa Rostock,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-14,20:45 (11:45),DFB-Pokal,First round,Mon,Away,W,2,0,Hansa Rostock,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2017-08-14,20:45 (11:45),DFB-Pokal,First round,Mon,Away,W,2,0,Hansa Rostock,,,,,,,24,,,,,,,,,Match Report,2017-08-14,20:45 (11:45),DFB-Pokal,First round,Mon,Away,W,2,0,Hansa Rostock,,,,,,,,,,,,,,,Match Report,2017-08-14,20:45 (11:45),DFB-Pokal,First round,Mon,Away,W,2,0,Hansa Rostock,,13,,,,,,,,,,,4,0,,,Match Report,2017-08-14,20:45 (11:45),DFB-Pokal,First round,Mon,Away,W,2,0,Hansa Rostock,67,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-14,20:45 (11:45),DFB-Pokal,First round,Mon,Away,W,2,0,Hansa Rostock,2,0,0,16,9,1,24,4,13,,,0,,,,,Match Report
2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,0,Stuttgart,2,10,4,40.0,0.20,0.50,21.2,0,0,0,0.5,0.5,0.05,+1.5,+1.5,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,0,Stuttgart,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,5,10,50.0,20,6,20.0,32.4,8,75.0,51.6,8,0,0.0,0,12.3,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,0,Stuttgart,462,556,83.1,9058,3474,171,200,85.5,211,239,88.3,68,96,70.8,2,0.3,0.4,7,34,4,2,42,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,0,Stuttgart,556,504,52,16,1,2,16,22,5,0,3,1,462,0,8,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,0,Stuttgart,19,15,0,3,1,0,0,3,1,0,1,1,0,0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,0,Stuttgart,24,19,7,15,2,14,27,51.9,13,10,2,8,8,32,15,1,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,0,Stuttgart,53,664,42,166,397,106,11,664,27,9,33.3,18,66.7,377,1898,857,14,12,3,16,11,458,42,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,2,0,Stuttgart,2,0,0,18,12,0,16,8,19,0,0,0,41,22,16,57.9,Match Report
2017-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,2,Dortmund,0,7,4,57.1,0.00,0.00,13.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report,2017-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,2,Dortmund,8,2,6,75.0,0,1.8,-0.2,0,0,0,0,7,26,26.9,26,3,69.2,47.2,8,100.0,64.4,14,0,0.0,1,14.0,Match Report,2017-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,2,Dortmund,250,374,66.8,4298,2169,113,139,81.3,80,117,68.4,33,73,45.2,0,0.4,0.6,6,21,6,3,34,Match Report,2017-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,2,Dortmund,374,312,57,16,0,4,13,26,4,2,1,0,250,5,11,Match Report,2017-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,2,Dortmund,11,6,3,0,1,1,0,0,0,0,0,0,0,0,Match Report,2017-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,2,Dortmund,19,14,12,5,2,16,24,66.7,8,11,2,9,20,39,16,0,Match Report,2017-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,2,Dortmund,35,477,60,186,200,93,13,477,13,4,30.8,9,69.2,168,972,406,11,6,2,6,13,247,33,Match Report,2017-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,L,0,2,Dortmund,1,0,0,9,12,5,13,20,14,0,0,0,39,21,21,50.0,Match Report
2017-09-10,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Werder Bremen,1,8,4,50.0,0.13,0.25,18.6,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Match Report,2017-09-10,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Werder Bremen,5,1,4,80.0,0,0.8,-0.2,0,0,0,0,11,29,37.9,33,9,72.7,49.2,5,100.0,66.0,15,3,20.0,2,11.0,Match Report,2017-09-10,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Werder Bremen,414,539,76.8,8662,3336,150,175,85.7,192,227,84.6,70,117,59.8,1,0.3,0.5,7,57,4,2,50,Match Report,2017-09-10,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Werder Bremen,539,483,52,12,1,11,18,28,5,3,1,0,414,4,11,Match Report,2017-09-10,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Werder Bremen,13,8,3,0,1,1,0,1,1,0,0,0,0,0,Match Report,2017-09-10,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Werder Bremen,21,15,9,11,1,7,9,77.8,2,10,0,10,14,35,18,0,Match Report,2017-09-10,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Werder Bremen,54,622,56,143,332,158,12,622,11,6,54.5,5,45.5,326,1529,609,13,11,5,13,17,406,47,Match Report,2017-09-10,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Home,D,1,1,Werder Bremen,1,0,0,10,12,4,18,14,15,0,0,0,37,18,21,46.2,Match Report
2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Home,D,0,0,es Athletic Club,0,19,6,31.6,0.00,0.00,16.6,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Home,D,0,0,es Athletic Club,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,14,27,51.9,42,2,47.6,38.5,10,70.0,47.1,20,0,0.0,1,12.0,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Home,D,0,0,es Athletic Club,484,585,82.7,10120,3689,154,177,87.0,245,267,91.8,80,125,64.0,0,0.7,0.5,14,35,10,3,46,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Home,D,0,0,es Athletic Club,585,537,48,13,0,3,23,19,5,4,1,0,484,0,6,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Home,D,0,0,es Athletic Club,33,27,2,1,2,1,0,0,0,0,0,0,0,0,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Home,D,0,0,es Athletic Club,12,8,6,6,0,8,12,66.7,4,7,2,5,15,27,28,0,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Home,D,0,0,es Athletic Club,53,693,67,220,326,151,30,693,13,6,46.2,7,53.8,350,1830,786,24,12,9,11,10,478,45,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Home,D,0,0,es Athletic Club,2,0,0,7,13,0,23,15,8,0,0,0,40,17,21,44.7,Match Report
2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Away,D,1,1,Hoffenheim,1,9,4,44.4,0.11,0.25,16.5,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report,2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Away,D,1,1,Hoffenheim,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,10,20,50.0,25,7,60.0,44.8,10,50.0,44.1,19,3,15.8,0,6.0,Match Report,2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Away,D,1,1,Hoffenheim,372,459,81.0,7768,2938,120,143,83.9,192,212,90.6,56,93,60.2,1,0.5,0.6,7,31,3,1,31,Match Report,2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Away,D,1,1,Hoffenheim,459,409,49,16,0,6,14,19,2,0,1,0,372,1,8,Match Report,2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Away,D,1,1,Hoffenheim,14,12,0,2,0,0,0,2,2,0,0,0,0,0,Match Report,2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Away,D,1,1,Hoffenheim,22,16,10,9,3,12,14,85.7,2,8,3,5,14,36,20,0,Match Report,2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Away,D,1,1,Hoffenheim,41,556,59,186,253,119,17,556,14,4,28.6,10,71.4,303,1505,685,19,5,4,16,8,370,31,Match Report,2017-09-17,13:30 (04:30),Bundesliga,Matchweek 4,Sun,Away,D,1,1,Hoffenheim,2,0,0,20,14,1,14,14,16,0,0,0,29,11,12,47.8,Match Report
2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,W,2,1,Leverkusen,2,5,3,60.0,0.40,0.67,17.2,0,0,0,0.3,0.3,0.06,+1.7,+1.7,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,W,2,1,Leverkusen,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,10,28,35.7,30,2,70.0,45.5,7,100.0,61.9,24,3,12.5,0,5.0,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,W,2,1,Leverkusen,282,401,70.3,5622,2217,116,147,78.9,113,140,80.7,47,91,51.6,2,0.2,0.7,4,18,5,1,28,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,W,2,1,Leverkusen,401,345,55,24,0,1,13,19,3,2,0,1,282,1,20,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,W,2,1,Leverkusen,8,6,2,0,0,0,0,4,3,1,0,0,0,0,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,W,2,1,Leverkusen,19,14,13,6,0,5,12,41.7,7,13,3,10,22,41,29,0,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,W,2,1,Leverkusen,37,511,68,203,232,85,10,511,10,3,30.0,7,70.0,233,1376,731,14,8,5,15,12,281,28,Match Report,2017-09-20,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,W,2,1,Leverkusen,1,0,0,12,23,1,13,22,14,0,0,0,53,16,21,43.2,Match Report
2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Mainz 05,0,5,1,20.0,0.00,0.00,20.5,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Mainz 05,3,1,2,100.0,0,1.3,+0.3,1,1,0,0,16,38,42.1,33,3,81.8,51.1,12,91.7,62.9,8,0,0.0,0,15.5,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Mainz 05,412,549,75.0,7922,2976,174,207,84.1,169,208,81.3,58,113,51.3,0,0.6,0.7,5,32,5,1,40,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Mainz 05,549,487,62,20,1,4,11,27,1,0,1,0,412,0,7,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Mainz 05,9,8,0,0,0,0,1,0,0,0,0,0,0,0,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Mainz 05,13,9,8,3,2,5,11,45.5,6,12,1,11,15,28,12,0,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Mainz 05,57,645,51,183,344,125,8,645,21,10,47.6,11,52.4,268,1519,628,7,11,1,19,9,408,38,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,1,Mainz 05,3,1,0,25,20,0,11,15,9,0,1,0,49,26,29,47.3,Match Report
2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Away,L,0,1,se Östersund,0,22,5,22.7,0.00,0.00,17.1,2,0,0,2.2,2.2,0.13,-2.2,-2.2,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Away,L,0,1,se Östersund,4,1,3,100.0,0,1.7,+0.7,1,1,0,0,8,16,50.0,30,1,40.0,34.7,8,50.0,45.6,8,1,12.5,3,17.3,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Away,L,0,1,se Östersund,593,712,83.3,11631,3862,229,255,89.8,282,325,86.8,79,114,69.3,0,1.7,1.8,14,71,12,3,80,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Away,L,0,1,se Östersund,712,658,51,11,3,2,35,21,9,1,4,0,593,3,9,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Away,L,0,1,se Östersund,38,26,4,1,4,3,0,0,0,0,0,0,0,0,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Away,L,0,1,se Östersund,19,17,11,5,3,9,22,40.9,13,12,1,11,14,33,12,0,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Away,L,0,1,se Östersund,65,824,46,163,360,304,31,824,14,5,35.7,9,64.3,457,2266,1266,18,11,3,15,7,590,80,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Away,L,0,1,se Östersund,2,0,0,13,12,3,35,14,17,0,1,0,54,19,12,61.3,Match Report
2017-10-01,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,D,2,2,Bayern Munich,2,10,5,50.0,0.20,0.40,17.9,1,0,0,1.4,1.4,0.14,+0.6,+0.6,Match Report,2017-10-01,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,D,2,2,Bayern Munich,4,2,2,50.0,0,1.1,-0.9,0,0,0,0,7,35,20.0,27,4,77.8,52.6,14,100.0,61.1,24,2,8.3,0,9.7,Match Report,2017-10-01,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,D,2,2,Bayern Munich,228,333,68.5,3791,1721,108,136,79.4,64,82,78.0,34,78,43.6,2,1.3,1.1,8,17,4,1,33,Match Report,2017-10-01,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,D,2,2,Bayern Munich,333,290,42,13,0,4,9,11,1,1,0,0,228,1,8,Match Report,2017-10-01,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,D,2,2,Bayern Munich,20,15,1,2,0,2,0,4,1,1,1,0,1,0,Match Report,2017-10-01,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,D,2,2,Bayern Munich,19,13,11,6,2,11,16,68.8,5,14,3,11,9,28,33,0,Match Report,2017-10-01,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,D,2,2,Bayern Munich,33,432,72,150,208,79,12,432,6,3,50.0,3,50.0,200,1142,650,19,11,4,9,12,227,33,Match Report,2017-10-01,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,D,2,2,Bayern Munich,0,0,0,14,11,1,9,9,13,0,0,0,49,13,19,40.6,Match Report
