Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-13,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,2 (4),2 (3),Energie Cottbus,1,15,3,20.0,0.07,0.33,,,0,0,,,,,,Match Report,2017-08-13,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,2 (4),2 (3),Energie Cottbus,2,2,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-13,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,2 (4),2 (3),Energie Cottbus,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-08-13,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,2 (4),2 (3),Energie Cottbus,,,,,,,26,,,,,,,,,Match Report,2017-08-13,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,2 (4),2 (3),Energie Cottbus,,,,,,,,,,,,,,,Match Report,2017-08-13,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,2 (4),2 (3),Energie Cottbus,,31,,,,,,,,,,,12,0,,,Match Report,2017-08-13,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,2 (4),2 (3),Energie Cottbus,65.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-13,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,2 (4),2 (3),Energie Cottbus,3,0,0,22,18,5,26,12,31,,,0,,,,,Match Report
2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,0,8,2,25.0,0.0,0.0,17.3,1.0,0,0,1.0,1.0,0.13,-1.0,-1.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,6.0,19.0,31.6,25.0,2.0,52.0,41.8,7.0,85.7,64.6,12.0,0.0,0.0,1.0,15.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,388.0,491.0,79.0,6661.0,2278.0,193.0,219.0,88.1,147.0,167.0,88.0,41.0,85.0,48.2,0,0.4,0.5,4.0,18.0,5.0,1.0,32.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,491.0,437.0,51.0,17.0,0.0,2.0,12,23.0,1.0,0.0,1.0,0.0,388.0,3.0,12.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,14.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,29.0,20,11.0,16.0,2.0,18.0,27.0,66.7,9.0,8.0,2.0,6.0,8,37,19.0,1.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,47.0,590.0,48.0,149.0,364.0,85.0,16.0,590.0,27.0,13.0,48.1,14.0,51.9,304.0,1674.0,829.0,17.0,13.0,6.0,8.0,10.0,384.0,31.0,Match Report,2017-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,1,0,0,13,17,3,12,8,20,0.0,0.0,0,36.0,16.0,22.0,42.1,Match Report
2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Mainz 05,1,16,4,25.0,0.06,0.25,21.5,0.0,0,1,1.9,1.1,0.07,-0.9,-0.1,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Mainz 05,6,0,6,100.0,1,0.7,0.7,0,0,0,0,15.0,30.0,50.0,36.0,7.0,50.0,40.9,12.0,100.0,65.4,17.0,1.0,5.9,3.0,16.9,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Mainz 05,384.0,482.0,79.7,7599.0,2976.0,160.0,176.0,90.9,164.0,194.0,84.5,54.0,100.0,54.0,1,1.0,0.9,13.0,34.0,12.0,4.0,41.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Mainz 05,482.0,429.0,52.0,19.0,2.0,3.0,20,15.0,5.0,1.0,4.0,0.0,384.0,1.0,10.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Mainz 05,32.0,23.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Mainz 05,22.0,19,9.0,12.0,1.0,8.0,18.0,44.4,10.0,8.0,1.0,7.0,17,39,17.0,0.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Mainz 05,52.0,594.0,56.0,152.0,319.0,132.0,19.0,593.0,16.0,6.0,37.5,10.0,62.5,333.0,1686.0,910.0,21.0,17.0,3.0,15.0,7.0,382.0,41.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Mainz 05,2,0,0,12,18,1,20,17,19,1.0,0.0,0,47.0,18.0,14.0,56.3,Match Report
2017-09-10,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,3,Schalke 04,1,11,2,18.2,0.09,0.5,15.7,0.0,0,0,1.3,1.3,0.12,-0.3,-0.3,Match Report,2017-09-10,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,3,Schalke 04,4,3,1,50.0,0,2.0,-1.0,1,1,0,0,3.0,19.0,15.8,35.0,6.0,34.3,34.3,8.0,87.5,51.0,11.0,0.0,0.0,2.0,18.3,Match Report,2017-09-10,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,3,Schalke 04,617.0,719.0,85.8,11539.0,3248.0,238.0,257.0,92.6,305.0,330.0,92.4,66.0,103.0,64.1,1,1.2,1.0,10.0,33.0,6.0,4.0,32.0,Match Report,2017-09-10,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,3,Schalke 04,719.0,667.0,49.0,17.0,0.0,3.0,20,19.0,1.0,0.0,0.0,0.0,617.0,3.0,15.0,Match Report,2017-09-10,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,3,Schalke 04,20.0,16.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-10,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,3,Schalke 04,13.0,5,3.0,8.0,2.0,4.0,7.0,57.1,3.0,14.0,2.0,12.0,18,31,9.0,0.0,Match Report,2017-09-10,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,3,Schalke 04,62.0,805.0,49.0,223.0,479.0,109.0,12.0,805.0,18.0,8.0,44.4,10.0,55.6,456.0,2184.0,1014.0,15.0,13.0,2.0,10.0,10.0,614.0,31.0,Match Report,2017-09-10,18:00 (09:00),Bundesliga,Matchweek 3,Sun,Away,L,1,3,Schalke 04,1,0,0,19,15,3,20,18,5,0.0,1.0,0,53.0,10.0,26.0,27.8,Match Report
2017-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,1,8,4,50.0,0.13,0.25,19.1,0.0,0,0,1.0,1.0,0.13,0.0,0.0,Match Report,2017-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,1,0,1,100.0,1,0.1,0.1,0,0,0,0,5.0,26.0,19.2,28.0,6.0,57.1,44.3,10.0,100.0,64.9,9.0,1.0,11.1,0.0,4.7,Match Report,2017-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,368.0,477.0,77.1,6992.0,2442.0,143.0,166.0,86.1,179.0,212.0,84.4,40.0,81.0,49.4,0,0.6,0.5,6.0,27.0,4.0,0.0,25.0,Match Report,2017-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,477.0,418.0,54.0,21.0,0.0,1.0,11,20.0,2.0,1.0,1.0,0.0,368.0,5.0,9.0,Match Report,2017-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,13.0,9.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2017-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,23.0,15,9.0,13.0,1.0,10.0,12.0,83.3,2.0,9.0,2.0,7.0,13,36,15.0,0.0,Match Report,2017-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,46.0,565.0,49.0,204.0,271.0,94.0,16.0,565.0,19.0,9.0,47.4,10.0,52.6,304.0,1470.0,826.0,18.0,9.0,4.0,9.0,4.0,365.0,25.0,Match Report,2017-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,2,0,0,16,18,5,11,13,15,0.0,0.0,0,40.0,16.0,15.0,51.6,Match Report
2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Away,L,0,2,Gladbach,0,11,4,36.4,0.0,0.0,19.5,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Away,L,0,2,Gladbach,3,2,1,66.7,0,1.2,-0.8,1,1,0,0,2.0,10.0,20.0,21.0,4.0,38.1,35.7,7.0,28.6,35.6,8.0,0.0,0.0,4.0,20.3,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Away,L,0,2,Gladbach,424.0,499.0,85.0,8457.0,2787.0,142.0,158.0,89.9,214.0,238.0,89.9,62.0,87.0,71.3,0,0.5,0.7,9.0,36.0,8.0,4.0,33.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Away,L,0,2,Gladbach,499.0,448.0,48.0,10.0,1.0,2.0,12,27.0,1.0,1.0,0.0,0.0,424.0,3.0,9.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Away,L,0,2,Gladbach,18.0,13.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Away,L,0,2,Gladbach,19.0,12,7.0,11.0,1.0,8.0,13.0,61.5,5.0,8.0,1.0,7.0,17,36,19.0,0.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Away,L,0,2,Gladbach,45.0,600.0,51.0,200.0,308.0,101.0,12.0,600.0,23.0,9.0,39.1,14.0,60.9,342.0,1686.0,1013.0,19.0,14.0,3.0,6.0,9.0,423.0,33.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Away,L,0,2,Gladbach,1,0,0,8,9,3,12,17,12,0.0,1.0,0,48.0,11.0,10.0,52.4,Match Report
2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,0,0,Augsburg,0,14,2,14.3,0.0,0.0,24.7,1.0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,0,0,Augsburg,3,0,3,100.0,1,0.7,0.7,0,0,0,0,16.0,29.0,55.2,47.0,3.0,53.2,39.5,6.0,66.7,53.7,12.0,0.0,0.0,3.0,17.1,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,0,0,Augsburg,513.0,645.0,79.5,10507.0,4058.0,174.0,197.0,88.3,266.0,313.0,85.0,69.0,123.0,56.1,0,0.5,1.1,8.0,37.0,9.0,3.0,38.0,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,0,0,Augsburg,645.0,589.0,56.0,15.0,0.0,1.0,17,29.0,5.0,2.0,3.0,0.0,513.0,0.0,11.0,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,0,0,Augsburg,23.0,17.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,0,0,Augsburg,20.0,16,10.0,8.0,2.0,10.0,17.0,58.8,7.0,16.0,2.0,14.0,5,25,16.0,0.0,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,0,0,Augsburg,63.0,758.0,53.0,236.0,397.0,129.0,17.0,758.0,13.0,6.0,46.2,7.0,53.8,354.0,1573.0,776.0,13.0,10.0,1.0,16.0,9.0,507.0,37.0,Match Report,2017-09-23,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,0,0,Augsburg,1,0,0,8,14,0,17,5,16,0.0,0.0,0,43.0,33.0,32.0,50.8,Match Report
2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,1,13,5,38.5,0.08,0.2,17.4,1.0,0,0,1.0,1.0,0.08,0.0,0.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,4.0,20.0,20.0,32.0,7.0,53.1,40.5,5.0,60.0,41.2,17.0,3.0,17.6,0.0,10.8,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,451.0,560.0,80.5,9461.0,3248.0,141.0,158.0,89.2,229.0,263.0,87.1,75.0,117.0,64.1,1,0.8,0.6,10.0,34.0,7.0,4.0,38.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,560.0,506.0,52.0,10.0,0.0,5.0,22,28.0,6.0,2.0,4.0,0.0,451.0,2.0,14.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,22.0,16.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,17.0,13,8.0,5.0,4.0,8.0,14.0,57.1,6.0,15.0,2.0,13.0,15,32,20.0,1.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,57.0,656.0,57.0,233.0,316.0,114.0,13.0,656.0,16.0,10.0,62.5,6.0,37.5,380.0,1994.0,1143.0,17.0,13.0,2.0,11.0,10.0,450.0,38.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,1,0,0,17,10,2,22,15,13,0.0,0.0,0,35.0,22.0,17.0,56.4,Match Report
2017-10-13,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Home,W,2,1,Köln,2,22,7,31.8,0.09,0.29,20.1,2.0,0,0,2.3,2.3,0.11,-0.3,-0.3,Match Report,2017-10-13,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Home,W,2,1,Köln,3,1,2,66.7,0,2.1,1.1,0,0,0,0,13.0,26.0,50.0,25.0,6.0,52.0,45.5,13.0,100.0,69.8,16.0,2.0,12.5,0.0,8.0,Match Report,2017-10-13,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Home,W,2,1,Köln,292.0,413.0,70.7,6152.0,2827.0,123.0,146.0,84.2,112.0,148.0,75.7,55.0,104.0,52.9,2,1.6,1.3,14.0,31.0,6.0,0.0,28.0,Match Report,2017-10-13,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Home,W,2,1,Köln,413.0,361.0,52.0,11.0,2.0,5.0,17,21.0,5.0,1.0,4.0,0.0,292.0,0.0,9.0,Match Report,2017-10-13,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Home,W,2,1,Köln,39.0,20.0,4.0,6.0,4.0,4.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,Match Report,2017-10-13,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Home,W,2,1,Köln,18.0,15,7.0,9.0,2.0,10.0,18.0,55.6,8.0,17.0,6.0,11.0,23,41,25.0,0.0,Match Report,2017-10-13,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Home,W,2,1,Köln,45.0,544.0,70.0,198.0,180.0,172.0,30.0,544.0,28.0,14.0,50.0,14.0,50.0,227.0,1315.0,715.0,19.0,13.0,6.0,8.0,5.0,291.0,28.0,Match Report,2017-10-13,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Home,W,2,1,Köln,2,0,0,13,13,0,17,23,15,0.0,0.0,0,41.0,16.0,18.0,47.1,Match Report
2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,0,11,2,18.2,0.0,0.0,19.4,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,9.0,27.0,33.3,28.0,4.0,60.7,43.8,10.0,100.0,62.7,11.0,2.0,18.2,0.0,9.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,299.0,447.0,66.9,5983.0,2457.0,124.0,164.0,75.6,121.0,157.0,77.1,51.0,105.0,48.6,0,0.3,0.4,5.0,22.0,4.0,0.0,31.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,447.0,384.0,57.0,12.0,1.0,4.0,21,28.0,5.0,3.0,2.0,0.0,299.0,6.0,17.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,21.0,14.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,24.0,17,7.0,16.0,1.0,10.0,21.0,47.6,11.0,10.0,3.0,7.0,16,40,22.0,0.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,43.0,562.0,53.0,190.0,266.0,112.0,13.0,562.0,23.0,8.0,34.8,15.0,65.2,275.0,1322.0,658.0,10.0,12.0,2.0,8.0,5.0,298.0,31.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,1,0,0,18,10,6,21,16,17,0.0,0.0,0,55.0,19.0,23.0,45.2,Match Report
