For Mainz 05_Date,For Mainz 05_Time,For Mainz 05_Comp,For Mainz 05_Round,For Mainz 05_Day,For Mainz 05_Venue,For Mainz 05_Result,For Mainz 05_GF,For Mainz 05_GA,For Mainz 05_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Mainz 05_Date,For Mainz 05_Time,For Mainz 05_Comp,For Mainz 05_Round,For Mainz 05_Day,For Mainz 05_Venue,For Mainz 05_Result,For Mainz 05_GF,For Mainz 05_GA,For Mainz 05_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Mainz 05_Date,For Mainz 05_Time,For Mainz 05_Comp,For Mainz 05_Round,For Mainz 05_Day,For Mainz 05_Venue,For Mainz 05_Result,For Mainz 05_GF,For Mainz 05_GA,For Mainz 05_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Mainz 05_Date,For Mainz 05_Time,For Mainz 05_Comp,For Mainz 05_Round,For Mainz 05_Day,For Mainz 05_Venue,For Mainz 05_Result,For Mainz 05_GF,For Mainz 05_GA,For Mainz 05_Opponent,For Mainz 05_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Mainz 05_Date,For Mainz 05_Time,For Mainz 05_Comp,For Mainz 05_Round,For Mainz 05_Day,For Mainz 05_Venue,For Mainz 05_Result,For Mainz 05_GF,For Mainz 05_GA,For Mainz 05_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Mainz 05_Date,For Mainz 05_Time,For Mainz 05_Comp,For Mainz 05_Round,For Mainz 05_Day,For Mainz 05_Venue,For Mainz 05_Result,For Mainz 05_GF,For Mainz 05_GA,For Mainz 05_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Mainz 05_Date,For Mainz 05_Time,For Mainz 05_Comp,For Mainz 05_Round,For Mainz 05_Day,For Mainz 05_Venue,For Mainz 05_Result,For Mainz 05_GF,For Mainz 05_GA,For Mainz 05_Opponent,For Mainz 05_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Mainz 05_Date,For Mainz 05_Time,For Mainz 05_Comp,For Mainz 05_Round,For Mainz 05_Day,For Mainz 05_Venue,For Mainz 05_Result,For Mainz 05_GF,For Mainz 05_GA,For Mainz 05_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-18,18:30 (09:30),DFB-Pokal,First round,Sat,Away,W,3.0,1.0,Erzgebirge Aue,3,11,4,36.4,0.27,0.75,,,0,0,,,,,,Match Report,2018-08-18,18:30 (09:30),DFB-Pokal,First round,Sat,Away,W,3.0,1.0,Erzgebirge Aue,5,1,4,80.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-08-18,18:30 (09:30),DFB-Pokal,First round,Sat,Away,W,3.0,1.0,Erzgebirge Aue,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2018-08-18,18:30 (09:30),DFB-Pokal,First round,Sat,Away,W,3.0,1.0,Erzgebirge Aue,,,,,,,15,,,,,,,,,Match Report,2018-08-18,18:30 (09:30),DFB-Pokal,First round,Sat,Away,W,3.0,1.0,Erzgebirge Aue,,,,,,,,,,,,,,,Match Report,2018-08-18,18:30 (09:30),DFB-Pokal,First round,Sat,Away,W,3.0,1.0,Erzgebirge Aue,,11,,,,,,,,,,,21,0,,,Match Report,2018-08-18,18:30 (09:30),DFB-Pokal,First round,Sat,Away,W,3.0,1.0,Erzgebirge Aue,46.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-08-18,18:30 (09:30),DFB-Pokal,First round,Sat,Away,W,3.0,1.0,Erzgebirge Aue,1,1,0,8,13,1,15,21,11,,,0,,,,,Match Report
2018-08-26,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Stuttgart,1,10,3,30.0,0.1,0.33,20.6,1.0,0,0,1.2,1.2,0.13,-0.2,-0.2,Match Report,2018-08-26,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Stuttgart,3,0,3,100.0,1,0.4,0.4,0,0,0,0,7.0,11.0,63.6,25.0,5.0,16.0,26.0,9.0,77.8,52.9,14.0,1.0,7.1,1.0,12.5,Match Report,2018-08-26,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Stuttgart,327.0,456.0,71.7,6588.0,2601.0,127.0,158.0,80.4,136.0,168.0,81.0,56.0,94.0,59.6,1,1.1,0.8,7.0,23.0,5.0,2.0,29.0,Match Report,2018-08-26,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Stuttgart,456.0,409.0,44.0,6.0,2.0,6.0,23,22.0,6.0,0.0,6.0,0.0,327.0,3.0,13.0,Match Report,2018-08-26,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Stuttgart,17.0,12.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-08-26,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Stuttgart,14.0,3,4.0,6.0,4.0,5.0,9.0,55.6,4.0,13.0,3.0,10.0,17,31,19.0,1.0,Match Report,2018-08-26,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Stuttgart,48.0,574.0,54.0,207.0,247.0,126.0,14.0,574.0,22.0,7.0,31.8,15.0,68.2,276.0,1733.0,884.0,17.0,9.0,3.0,14.0,4.0,324.0,28.0,Match Report,2018-08-26,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Stuttgart,1,0,0,16,6,3,23,17,3,0.0,0.0,0,56.0,26.0,17.0,60.5,Match Report
2018-09-01,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Nürnberg,1,6,1,16.7,0.17,1.0,14.3,0.0,0,0,0.5,0.5,0.09,0.5,0.5,Match Report,2018-09-01,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Nürnberg,4,1,3,75.0,0,1.3,0.3,0,0,0,0,5.0,18.0,27.8,15.0,2.0,26.7,37.0,16.0,87.5,59.8,11.0,0.0,0.0,1.0,17.7,Match Report,2018-09-01,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Nürnberg,345.0,452.0,76.3,6937.0,2543.0,140.0,158.0,88.6,148.0,182.0,81.3,57.0,107.0,53.3,1,0.5,0.7,6.0,27.0,6.0,2.0,34.0,Match Report,2018-09-01,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Nürnberg,452.0,404.0,47.0,10.0,1.0,6.0,12,18.0,1.0,0.0,1.0,0.0,345.0,1.0,4.0,Match Report,2018-09-01,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Nürnberg,11.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-01,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Nürnberg,18.0,12,10.0,8.0,0.0,4.0,11.0,36.4,7.0,12.0,4.0,8.0,17,35,27.0,0.0,Match Report,2018-09-01,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Nürnberg,43.0,556.0,58.0,197.0,282.0,85.0,10.0,556.0,11.0,2.0,18.2,9.0,81.8,313.0,1461.0,679.0,11.0,9.0,1.0,4.0,12.0,343.0,33.0,Match Report,2018-09-01,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Nürnberg,2,0,0,12,10,1,12,17,12,0.0,0.0,0,52.0,19.0,25.0,43.2,Match Report
2018-09-15,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2.0,1.0,Augsburg,2,21,6,28.6,0.1,0.33,15.6,1.0,0,0,3.3,3.3,0.16,-1.3,-1.3,Match Report,2018-09-15,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2.0,1.0,Augsburg,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,10.0,24.0,41.7,45.0,6.0,44.4,35.8,7.0,57.1,45.3,11.0,1.0,9.1,1.0,19.3,Match Report,2018-09-15,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2.0,1.0,Augsburg,351.0,466.0,75.3,7629.0,3039.0,110.0,126.0,87.3,171.0,207.0,82.6,67.0,114.0,58.8,0,2.2,1.8,15.0,26.0,8.0,6.0,34.0,Match Report,2018-09-15,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2.0,1.0,Augsburg,466.0,404.0,61.0,22.0,5.0,4.0,29,25.0,5.0,0.0,4.0,0.0,351.0,1.0,10.0,Match Report,2018-09-15,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2.0,1.0,Augsburg,40.0,29.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Match Report,2018-09-15,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2.0,1.0,Augsburg,26.0,20,11.0,13.0,2.0,6.0,6.0,100.0,0.0,8.0,2.0,6.0,10,36,17.0,0.0,Match Report,2018-09-15,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2.0,1.0,Augsburg,53.0,580.0,68.0,208.0,239.0,142.0,28.0,580.0,16.0,9.0,56.3,7.0,43.8,353.0,1687.0,956.0,25.0,14.0,7.0,17.0,13.0,342.0,33.0,Match Report,2018-09-15,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2.0,1.0,Augsburg,1,0,0,9,16,1,29,10,20,0.0,0.0,0,49.0,27.0,22.0,55.1,Match Report
2018-09-23,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Away,L,0.0,1.0,Leverkusen,0,12,5,41.7,0.0,0.0,20.1,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report,2018-09-23,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Away,L,0.0,1.0,Leverkusen,5,1,4,80.0,0,1.3,0.3,0,0,0,0,4.0,15.0,26.7,28.0,3.0,35.7,37.1,8.0,62.5,48.8,22.0,0.0,0.0,0.0,14.3,Match Report,2018-09-23,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Away,L,0.0,1.0,Leverkusen,400.0,504.0,79.4,8055.0,2775.0,163.0,188.0,86.7,165.0,190.0,86.8,72.0,111.0,64.9,0,0.4,0.8,9.0,30.0,8.0,1.0,49.0,Match Report,2018-09-23,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Away,L,0.0,1.0,Leverkusen,504.0,449.0,54.0,16.0,3.0,6.0,23,24.0,4.0,1.0,3.0,0.0,400.0,1.0,16.0,Match Report,2018-09-23,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Away,L,0.0,1.0,Leverkusen,20.0,16.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-23,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Away,L,0.0,1.0,Leverkusen,16.0,7,11.0,3.0,2.0,4.0,12.0,33.3,8.0,9.0,6.0,3.0,11,27,15.0,1.0,Match Report,2018-09-23,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Away,L,0.0,1.0,Leverkusen,49.0,617.0,74.0,193.0,304.0,130.0,20.0,617.0,13.0,6.0,46.2,7.0,53.8,383.0,2081.0,1033.0,21.0,19.0,5.0,17.0,19.0,396.0,49.0,Match Report,2018-09-23,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Away,L,0.0,1.0,Leverkusen,2,0,0,13,12,1,23,11,7,0.0,0.0,0,57.0,23.0,19.0,54.8,Match Report
2018-09-26,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,D,0.0,0.0,Wolfsburg,0,12,2,16.7,0.0,0.0,21.7,1.0,0,0,0.5,0.5,0.04,-0.5,-0.5,Match Report,2018-09-26,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,D,0.0,0.0,Wolfsburg,4,0,4,100.0,1,1.1,1.1,0,0,0,0,9.0,20.0,45.0,33.0,6.0,33.3,31.9,11.0,81.8,55.7,19.0,0.0,0.0,1.0,22.0,Match Report,2018-09-26,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,D,0.0,0.0,Wolfsburg,310.0,425.0,72.9,6349.0,2431.0,121.0,149.0,81.2,125.0,155.0,80.6,55.0,99.0,55.6,0,0.3,0.4,7.0,19.0,4.0,2.0,29.0,Match Report,2018-09-26,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,D,0.0,0.0,Wolfsburg,425.0,365.0,57.0,16.0,1.0,9.0,17,24.0,5.0,2.0,3.0,0.0,310.0,3.0,6.0,Match Report,2018-09-26,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,D,0.0,0.0,Wolfsburg,22.0,17.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-26,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,D,0.0,0.0,Wolfsburg,11.0,6,5.0,5.0,1.0,3.0,10.0,30.0,7.0,9.0,2.0,7.0,12,23,33.0,0.0,Match Report,2018-09-26,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,D,0.0,0.0,Wolfsburg,47.0,539.0,79.0,215.0,241.0,87.0,10.0,539.0,13.0,5.0,38.5,8.0,61.5,315.0,1492.0,723.0,10.0,7.0,3.0,13.0,5.0,309.0,29.0,Match Report,2018-09-26,20:30 (11:30),Bundesliga,Matchweek 5,Wed,Home,D,0.0,0.0,Wolfsburg,1,0,0,16,13,3,17,12,6,0.0,0.0,0,45.0,30.0,24.0,55.6,Match Report
2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Schalke 04,0,15,5,33.3,0.0,0.0,19.5,0.0,0,0,0.8,0.8,0.05,-0.8,-0.8,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Schalke 04,2,1,1,50.0,0,1.0,0.0,0,0,0,0,7.0,18.0,38.9,38.0,4.0,23.7,31.9,12.0,75.0,54.0,12.0,0.0,0.0,1.0,19.0,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Schalke 04,364.0,477.0,76.3,7625.0,2861.0,128.0,151.0,84.8,173.0,207.0,83.6,59.0,108.0,54.6,0,0.6,0.8,11.0,27.0,8.0,2.0,45.0,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Schalke 04,477.0,412.0,63.0,24.0,2.0,10.0,23,20.0,5.0,1.0,4.0,0.0,364.0,2.0,7.0,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Schalke 04,24.0,18.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Schalke 04,17.0,8,9.0,6.0,2.0,8.0,18.0,44.4,10.0,9.0,3.0,6.0,11,28,19.0,0.0,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Schalke 04,57.0,575.0,68.0,204.0,254.0,125.0,14.0,575.0,11.0,5.0,45.5,6.0,54.5,338.0,1903.0,976.0,26.0,13.0,1.0,12.0,17.0,364.0,45.0,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Schalke 04,2,0,0,21,20,2,23,11,8,0.0,0.0,0,51.0,28.0,22.0,56.0,Match Report
2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Hertha BSC,0,23,3,13.0,0.0,0.0,20.5,0.0,0,0,1.6,1.6,0.07,-1.6,-1.6,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Hertha BSC,1,0,1,100.0,1,0.0,0.0,0,0,0,0,2.0,10.0,20.0,18.0,4.0,33.3,32.3,4.0,100.0,70.8,19.0,0.0,0.0,0.0,9.0,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Hertha BSC,442.0,547.0,80.8,7987.0,2908.0,197.0,220.0,89.5,188.0,215.0,87.4,49.0,90.0,54.4,0,1.5,1.8,20.0,52.0,11.0,4.0,46.0,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Hertha BSC,547.0,508.0,37.0,8.0,0.0,5.0,23,19.0,5.0,5.0,0.0,0.0,442.0,2.0,7.0,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Hertha BSC,38.0,31.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Hertha BSC,12.0,7,3.0,7.0,2.0,4.0,6.0,66.7,2.0,13.0,5.0,8.0,12,24,22.0,0.0,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Hertha BSC,54.0,655.0,41.0,134.0,352.0,178.0,27.0,655.0,6.0,6.0,100.0,0.0,0.0,320.0,2191.0,1138.0,20.0,23.0,6.0,10.0,12.0,440.0,46.0,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,D,0.0,0.0,Hertha BSC,0,0,0,12,7,2,23,12,7,0.0,0.0,0,59.0,23.0,20.0,53.5,Match Report
2018-10-21,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,L,0.0,4.0,Gladbach,0,14,4,28.6,0.0,0.0,23.9,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2018-10-21,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,L,0.0,4.0,Gladbach,8,4,4,50.0,0,3.1,-0.9,0,0,0,0,6.0,15.0,40.0,31.0,7.0,32.3,32.7,9.0,55.6,43.1,8.0,0.0,0.0,2.0,17.3,Match Report,2018-10-21,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,L,0.0,4.0,Gladbach,416.0,507.0,82.1,7835.0,2412.0,169.0,196.0,86.2,195.0,215.0,90.7,47.0,77.0,61.0,0,0.4,0.3,10.0,19.0,4.0,1.0,27.0,Match Report,2018-10-21,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,L,0.0,4.0,Gladbach,507.0,460.0,46.0,5.0,2.0,3.0,12,21.0,6.0,3.0,3.0,0.0,416.0,1.0,13.0,Match Report,2018-10-21,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,L,0.0,4.0,Gladbach,20.0,15.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-21,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,L,0.0,4.0,Gladbach,11.0,10,8.0,3.0,0.0,7.0,19.0,36.8,12.0,10.0,2.0,8.0,5,16,8.0,2.0,Match Report,2018-10-21,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,L,0.0,4.0,Gladbach,46.0,597.0,51.0,181.0,325.0,98.0,13.0,597.0,14.0,6.0,42.9,8.0,57.1,429.0,1874.0,919.0,11.0,11.0,2.0,13.0,10.0,412.0,27.0,Match Report,2018-10-21,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,L,0.0,4.0,Gladbach,2,0,0,11,4,1,12,5,10,0.0,0.0,0,43.0,15.0,17.0,46.9,Match Report
2018-10-27,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,2.0,Bayern Munich,1,6,1,16.7,0.17,1.0,22.4,0.0,0,0,0.6,0.6,0.1,0.4,0.4,Match Report,2018-10-27,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,2.0,Bayern Munich,5,2,3,60.0,0,2.0,0.0,0,0,0,0,11.0,24.0,45.8,25.0,5.0,64.0,48.5,10.0,80.0,53.7,22.0,2.0,9.1,0.0,6.8,Match Report,2018-10-27,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,2.0,Bayern Munich,255.0,357.0,71.4,5621.0,2385.0,96.0,115.0,83.5,98.0,124.0,79.0,58.0,101.0,57.4,1,0.6,0.5,5.0,22.0,4.0,1.0,22.0,Match Report,2018-10-27,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,2.0,Bayern Munich,357.0,311.0,45.0,9.0,1.0,5.0,9,21.0,2.0,2.0,0.0,0.0,255.0,1.0,11.0,Match Report,2018-10-27,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,2.0,Bayern Munich,9.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-27,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,2.0,Bayern Munich,7.0,3,4.0,3.0,0.0,3.0,11.0,27.3,8.0,26.0,9.0,17.0,5,12,20.0,0.0,Match Report,2018-10-27,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,2.0,Bayern Munich,35.0,452.0,77.0,202.0,187.0,69.0,10.0,452.0,7.0,4.0,57.1,3.0,42.9,212.0,1261.0,732.0,13.0,10.0,2.0,14.0,10.0,251.0,21.0,Match Report,2018-10-27,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,2.0,Bayern Munich,3,0,0,13,6,1,9,5,3,0.0,0.0,0,51.0,12.0,16.0,42.9,Match Report
