Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-11,15:30 (06:30),DFB-Pokal,First round,Sun,Away,W,6.0,0.0,Halberstadt,6,24,12,50.0,0.25,0.5,,,0,0,,,,,,Match Report,2019-08-11,15:30 (06:30),DFB-Pokal,First round,Sun,Away,W,6.0,0.0,Halberstadt,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-11,15:30 (06:30),DFB-Pokal,First round,Sun,Away,W,6.0,0.0,Halberstadt,,,,,,,,,,,,,,,6,,,,,,,,Match Report,2019-08-11,15:30 (06:30),DFB-Pokal,First round,Sun,Away,W,6.0,0.0,Halberstadt,,,,,,,22,,,,,,,,,Match Report,2019-08-11,15:30 (06:30),DFB-Pokal,First round,Sun,Away,W,6.0,0.0,Halberstadt,,,,,,,,,,,,,,,Match Report,2019-08-11,15:30 (06:30),DFB-Pokal,First round,Sun,Away,W,6.0,0.0,Halberstadt,,9,,,,,,,,,,,7,0,,,Match Report,2019-08-11,15:30 (06:30),DFB-Pokal,First round,Sun,Away,W,6.0,0.0,Halberstadt,56.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-11,15:30 (06:30),DFB-Pokal,First round,Sun,Away,W,6.0,0.0,Halberstadt,0,0,0,8,13,3,22,7,9,,,0,,,,,Match Report
2019-08-18,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,L,0.0,4.0,RB Leipzig,0,13,2,15.4,0.0,0.0,20.1,1.0,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report,2019-08-18,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,L,0.0,4.0,RB Leipzig,8,4,4,50.0,0,3.3,-0.7,0,0,0,0,9.0,18.0,50.0,34.0,5.0,32.4,31.9,7.0,100.0,64.9,9.0,0.0,0.0,1.0,16.3,Match Report,2019-08-18,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,L,0.0,4.0,RB Leipzig,255.0,371.0,68.7,4722.0,2049.0,105.0,129.0,81.4,107.0,134.0,79.9,31.0,75.0,41.3,0,0.7,0.7,6.0,13.0,2.0,1.0,16.0,Match Report,2019-08-18,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,L,0.0,4.0,RB Leipzig,371.0,325.0,43.0,7.0,0.0,3.0,17,21.0,3.0,2.0,1.0,0.0,255.0,3.0,8.0,Match Report,2019-08-18,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,L,0.0,4.0,RB Leipzig,20.0,10.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-08-18,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,L,0.0,4.0,RB Leipzig,15.0,11,9.0,2.0,4.0,7.0,17.0,41.2,10.0,9.0,1.0,8.0,16,31,14.0,0.0,Match Report,2019-08-18,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,L,0.0,4.0,RB Leipzig,36.0,489.0,49.0,180.0,198.0,118.0,19.0,489.0,18.0,10.0,55.6,8.0,44.4,288.0,1546.0,809.0,19.0,11.0,3.0,15.0,6.0,251.0,16.0,Match Report,2019-08-18,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,L,0.0,4.0,RB Leipzig,1,0,0,14,5,3,17,16,11,0.0,0.0,0,54.0,18.0,17.0,51.4,Match Report
2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Augsburg,1,11,2,18.2,0.09,0.5,19.6,0.0,0,0,1.1,1.1,0.1,-0.1,-0.1,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Augsburg,4,1,3,75.0,0,1.1,0.1,0,0,0,0,10.0,24.0,41.7,36.0,5.0,41.7,36.6,13.0,69.2,54.5,15.0,1.0,6.7,1.0,17.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Augsburg,237.0,364.0,65.1,4697.0,2259.0,94.0,123.0,76.4,91.0,127.0,71.7,44.0,95.0,46.3,1,0.7,0.6,8.0,18.0,2.0,1.0,23.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Augsburg,364.0,307.0,55.0,19.0,0.0,2.0,18,17.0,4.0,1.0,3.0,0.0,237.0,2.0,5.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Augsburg,20.0,11.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Augsburg,10.0,5,2.0,3.0,5.0,5.0,12.0,41.7,7.0,7.0,1.0,6.0,12,22,22.0,0.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Augsburg,46.0,458.0,59.0,190.0,183.0,88.0,14.0,458.0,10.0,9.0,90.0,1.0,10.0,205.0,1176.0,669.0,10.0,3.0,6.0,12.0,13.0,234.0,22.0,Match Report,2019-08-24,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Augsburg,1,1,0,19,16,2,18,12,5,0.0,0.0,0,42.0,31.0,23.0,57.4,Match Report
2019-08-31,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Dortmund,3,15,7,46.7,0.2,0.43,17.6,0.0,0,0,1.4,1.4,0.1,1.6,1.6,Match Report,2019-08-31,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Dortmund,2,1,1,50.0,0,1.4,0.4,0,0,0,0,8.0,24.0,33.3,17.0,1.0,70.6,46.4,15.0,80.0,56.4,10.0,1.0,10.0,1.0,15.0,Match Report,2019-08-31,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Dortmund,183.0,294.0,62.2,3506.0,1794.0,78.0,92.0,84.8,56.0,84.0,66.7,37.0,87.0,42.5,2,1.0,0.9,10.0,18.0,4.0,2.0,18.0,Match Report,2019-08-31,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Dortmund,294.0,242.0,50.0,4.0,3.0,4.0,14,22.0,7.0,2.0,2.0,2.0,183.0,2.0,6.0,Match Report,2019-08-31,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Dortmund,23.0,16.0,2.0,2.0,3.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,Match Report,2019-08-31,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Dortmund,9.0,4,5.0,4.0,0.0,5.0,25.0,20.0,20.0,10.0,2.0,8.0,13,22,25.0,0.0,Match Report,2019-08-31,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Dortmund,27.0,398.0,65.0,146.0,156.0,98.0,15.0,398.0,8.0,5.0,62.5,3.0,37.5,179.0,905.0,495.0,12.0,9.0,4.0,15.0,5.0,180.0,18.0,Match Report,2019-08-31,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Dortmund,0,0,0,13,2,2,14,13,4,0.0,0.0,0,40.0,15.0,24.0,38.5,Match Report
2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,2.0,Werder Bremen,1,12,4,33.3,0.0,0.0,13.4,0.0,1,1,1.7,1.0,0.09,-0.7,-1.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,2.0,Werder Bremen,7,2,4,85.7,0,2.2,0.2,2,1,1,0,15.0,22.0,68.2,33.0,5.0,42.4,37.7,8.0,100.0,60.3,10.0,0.0,0.0,3.0,22.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,2.0,Werder Bremen,278.0,400.0,69.5,5614.0,2727.0,113.0,145.0,77.9,102.0,138.0,73.9,51.0,89.0,57.3,0,1.0,1.3,11.0,25.0,5.0,2.0,37.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,2.0,Werder Bremen,400.0,339.0,61.0,13.0,0.0,1.0,26,30.0,7.0,4.0,3.0,0.0,278.0,0.0,3.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,2.0,Werder Bremen,22.0,11.0,5.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,2.0,Werder Bremen,14.0,8,5.0,7.0,2.0,2.0,7.0,28.6,5.0,9.0,1.0,8.0,4,18,19.0,0.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,2.0,Werder Bremen,47.0,491.0,53.0,152.0,214.0,132.0,23.0,490.0,11.0,6.0,54.5,5.0,45.5,244.0,1444.0,710.0,17.0,11.0,4.0,12.0,5.0,276.0,37.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,2.0,Werder Bremen,3,1,1,24,10,0,26,4,8,0.0,2.0,0,42.0,30.0,19.0,61.2,Match Report
2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0.0,2.0,Leverkusen,0,4,0,0.0,0.0,,19.7,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0.0,2.0,Leverkusen,7,2,5,71.4,0,1.2,-0.8,0,0,0,0,18.0,19.0,94.7,44.0,6.0,36.4,31.8,8.0,37.5,38.5,12.0,0.0,0.0,2.0,11.4,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0.0,2.0,Leverkusen,296.0,398.0,74.4,5728.0,2693.0,114.0,141.0,80.9,121.0,152.0,79.6,47.0,66.0,71.2,0,0.1,0.4,2.0,12.0,2.0,0.0,18.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0.0,2.0,Leverkusen,398.0,355.0,42.0,12.0,0.0,2.0,8,18.0,1.0,0.0,1.0,0.0,296.0,1.0,12.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0.0,2.0,Leverkusen,8.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0.0,2.0,Leverkusen,16.0,9,5.0,9.0,2.0,7.0,18.0,38.9,11.0,15.0,6.0,9.0,16,32,25.0,1.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0.0,2.0,Leverkusen,33.0,519.0,84.0,217.0,236.0,69.0,9.0,519.0,19.0,10.0,52.6,9.0,47.4,274.0,1347.0,663.0,8.0,9.0,1.0,17.0,3.0,292.0,18.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0.0,2.0,Leverkusen,1,1,0,11,10,1,8,16,9,0.0,0.0,0,49.0,15.0,8.0,65.2,Match Report
2019-09-27,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1.0,2.0,Eint Frankfurt,1,11,5,45.5,0.09,0.2,18.2,0.0,0,0,0.9,0.9,0.08,0.1,0.1,Match Report,2019-09-27,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1.0,2.0,Eint Frankfurt,6,2,4,66.7,0,2.0,0.0,0,0,0,0,17.0,29.0,58.6,50.0,6.0,44.0,37.7,10.0,70.0,51.6,23.0,2.0,8.7,2.0,17.0,Match Report,2019-09-27,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1.0,2.0,Eint Frankfurt,361.0,506.0,71.3,7229.0,3590.0,144.0,181.0,79.6,164.0,206.0,79.6,48.0,98.0,49.0,1,0.8,0.8,9.0,38.0,6.0,2.0,39.0,Match Report,2019-09-27,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1.0,2.0,Eint Frankfurt,506.0,453.0,51.0,12.0,0.0,4.0,21,22.0,4.0,1.0,3.0,0.0,361.0,2.0,9.0,Match Report,2019-09-27,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1.0,2.0,Eint Frankfurt,20.0,17.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-27,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1.0,2.0,Eint Frankfurt,11.0,7,7.0,2.0,2.0,2.0,8.0,25.0,6.0,13.0,5.0,8.0,15,26,28.0,0.0,Match Report,2019-09-27,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1.0,2.0,Eint Frankfurt,53.0,637.0,88.0,241.0,257.0,147.0,16.0,637.0,15.0,9.0,60.0,6.0,40.0,306.0,1608.0,739.0,13.0,13.0,5.0,20.0,15.0,353.0,38.0,Match Report,2019-09-27,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1.0,2.0,Eint Frankfurt,1,0,0,11,12,2,21,15,7,0.0,0.0,0,71.0,32.0,28.0,53.3,Match Report
2019-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,1.0,Wolfsburg,0,14,3,21.4,0.0,0.0,21.0,1.0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2019-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,1.0,Wolfsburg,4,1,3,75.0,0,1.0,0.0,0,0,0,0,10.0,20.0,50.0,30.0,4.0,46.7,38.4,10.0,60.0,45.9,12.0,1.0,8.3,1.0,13.0,Match Report,2019-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,1.0,Wolfsburg,288.0,439.0,65.6,5577.0,2777.0,108.0,146.0,74.0,111.0,147.0,75.5,51.0,97.0,52.6,0,0.4,0.6,8.0,31.0,5.0,3.0,49.0,Match Report,2019-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,1.0,Wolfsburg,439.0,376.0,62.0,20.0,0.0,1.0,18,26.0,4.0,3.0,1.0,0.0,288.0,1.0,12.0,Match Report,2019-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,1.0,Wolfsburg,21.0,13.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,1.0,Wolfsburg,22.0,15,10.0,10.0,2.0,10.0,19.0,52.6,9.0,13.0,1.0,12.0,12,34,19.0,1.0,Match Report,2019-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,1.0,Wolfsburg,48.0,555.0,65.0,175.0,266.0,120.0,19.0,555.0,11.0,8.0,72.7,3.0,27.3,234.0,1208.0,692.0,12.0,10.0,5.0,16.0,4.0,286.0,48.0,Match Report,2019-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,1.0,Wolfsburg,2,0,0,15,17,1,18,12,15,0.0,0.0,0,55.0,37.0,20.0,64.9,Match Report
2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2.0,0.0,Freiburg,2,16,5,31.3,0.13,0.4,19.8,0.0,0,0,1.5,1.5,0.09,0.5,0.5,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2.0,0.0,Freiburg,4,0,4,100.0,1,0.7,0.7,0,0,0,0,10.0,32.0,31.3,46.0,4.0,58.7,41.8,5.0,100.0,64.8,12.0,1.0,8.3,0.0,12.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2.0,0.0,Freiburg,289.0,399.0,72.4,5451.0,2284.0,101.0,118.0,85.6,141.0,163.0,86.5,35.0,91.0,38.5,2,1.4,1.7,13.0,21.0,10.0,6.0,27.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2.0,0.0,Freiburg,399.0,349.0,49.0,14.0,5.0,1.0,22,26.0,3.0,0.0,2.0,0.0,289.0,1.0,6.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2.0,0.0,Freiburg,26.0,19.0,1.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2.0,0.0,Freiburg,8.0,5,2.0,3.0,3.0,3.0,7.0,42.9,4.0,16.0,5.0,11.0,19,27,13.0,0.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2.0,0.0,Freiburg,40.0,501.0,54.0,180.0,209.0,122.0,23.0,501.0,15.0,13.0,86.7,2.0,13.3,309.0,1692.0,781.0,19.0,16.0,2.0,13.0,12.0,281.0,27.0,Match Report,2019-10-19,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,2.0,0.0,Freiburg,3,0,0,21,13,1,22,19,5,0.0,0.0,0,53.0,27.0,36.0,42.9,Match Report
2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Bayern Munich,1,4,2,50.0,0.0,0.0,27.8,0.0,1,2,1.7,0.2,0.04,-0.7,-0.2,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Bayern Munich,10,2,8,80.0,0,3.1,1.1,0,0,0,0,10.0,24.0,41.7,41.0,6.0,43.9,38.8,11.0,54.5,46.0,23.0,2.0,8.7,0.0,6.8,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Bayern Munich,291.0,390.0,74.6,5356.0,2355.0,125.0,146.0,85.6,103.0,120.0,85.8,45.0,88.0,51.1,0,0.2,0.2,3.0,21.0,2.0,1.0,23.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Bayern Munich,390.0,335.0,51.0,9.0,0.0,0.0,11,26.0,2.0,0.0,2.0,0.0,291.0,4.0,11.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Bayern Munich,8.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Bayern Munich,21.0,8,13.0,8.0,0.0,4.0,21.0,19.0,17.0,19.0,5.0,14.0,10,31,21.0,0.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Bayern Munich,35.0,512.0,99.0,239.0,201.0,78.0,9.0,510.0,12.0,4.0,33.3,8.0,66.7,293.0,1413.0,659.0,8.0,9.0,2.0,18.0,8.0,290.0,23.0,Match Report,2019-10-26,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Bayern Munich,1,0,0,16,9,4,11,10,8,1.0,0.0,0,46.0,22.0,19.0,53.7,Match Report
