Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,6.0,3.0,SpVgg Bayreuth,6,27,14,51.9,0.22,0.43,,,0,0,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,6.0,3.0,SpVgg Bayreuth,4,3,1,25.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,6.0,3.0,SpVgg Bayreuth,,,,,,,,,,,,,,,4,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,6.0,3.0,SpVgg Bayreuth,,,,,,,29,,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,6.0,3.0,SpVgg Bayreuth,,,,,,,,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,6.0,3.0,SpVgg Bayreuth,,7,,,,,,,,,,,7,0,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,6.0,3.0,SpVgg Bayreuth,54.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,6.0,3.0,SpVgg Bayreuth,3,0,0,11,8,4,29,7,7,,,1,,,,,Match Report
2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,0.0,0.0,Freiburg,0,10,3,30.0,0.0,0.0,20.7,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,0.0,0.0,Freiburg,5,0,5,100.0,1,1.1,1.1,0,0,0,0,19.0,42.0,45.2,60.0,2.0,58.3,44.3,12.0,58.3,50.8,20.0,0.0,0.0,0.0,9.0,Match Report,2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,0.0,0.0,Freiburg,250.0,381.0,65.6,5898.0,2742.0,69.0,98.0,70.4,132.0,167.0,79.0,45.0,101.0,44.6,0,0.2,0.3,6.0,27.0,4.0,0.0,19.0,Match Report,2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,0.0,0.0,Freiburg,381.0,324.0,56.0,12.0,0.0,0.0,16,27.0,4.0,2.0,2.0,0.0,250.0,1.0,4.0,Match Report,2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,0.0,0.0,Freiburg,15.0,7.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,0.0,0.0,Freiburg,18.0,8,9.0,6.0,3.0,7.0,11.0,63.6,4.0,7.0,2.0,5.0,10,28,21.0,0.0,Match Report,2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,0.0,0.0,Freiburg,45.0,483.0,77.0,209.0,163.0,114.0,21.0,483.0,9.0,4.0,44.4,5.0,55.6,204.0,1071.0,477.0,10.0,2.0,6.0,14.0,7.0,245.0,18.0,Match Report,2021-08-14,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,0.0,0.0,Freiburg,3,0,0,14,10,1,16,10,8,0.0,0.0,0,51.0,27.0,24.0,52.9,Match Report
2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Greuther Fürth,1,9,2,22.2,0.11,0.5,15.3,1.0,0,0,0.8,0.8,0.09,0.2,0.2,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Greuther Fürth,5,1,4,100.0,0,1.2,0.2,1,1,0,0,18.0,42.0,42.9,41.0,1.0,70.7,50.7,15.0,86.7,63.0,12.0,1.0,8.3,0.0,12.7,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Greuther Fürth,202.0,317.0,63.7,4673.0,2222.0,79.0,97.0,81.4,83.0,114.0,72.8,40.0,92.0,43.5,1,0.6,0.6,5.0,19.0,3.0,2.0,15.0,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Greuther Fürth,317.0,268.0,48.0,16.0,0.0,3.0,13,15.0,0.0,0.0,0.0,0.0,202.0,1.0,6.0,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Greuther Fürth,17.0,10.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Greuther Fürth,18.0,11,10.0,7.0,1.0,7.0,13.0,53.8,6.0,9.0,5.0,4.0,21,39,13.0,1.0,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Greuther Fürth,35.0,416.0,68.0,182.0,168.0,72.0,9.0,416.0,14.0,7.0,50.0,7.0,50.0,162.0,835.0,416.0,9.0,5.0,2.0,9.0,3.0,200.0,15.0,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Greuther Fürth,2,1,1,14,12,1,13,21,11,0.0,1.0,0,38.0,25.0,28.0,47.2,Match Report
2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,1.0,1.0,Eint Frankfurt,1,13,4,30.8,0.08,0.25,21.3,1.0,0,0,0.6,0.6,0.04,0.4,0.4,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,1.0,1.0,Eint Frankfurt,3,1,2,66.7,0,1.7,0.7,0,0,0,0,12.0,26.0,46.2,44.0,5.0,54.5,40.8,5.0,40.0,46.4,14.0,1.0,7.1,4.0,21.8,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,1.0,1.0,Eint Frankfurt,233.0,365.0,63.8,4743.0,2269.0,95.0,125.0,76.0,99.0,140.0,70.7,36.0,79.0,45.6,1,0.3,0.5,7.0,21.0,6.0,3.0,23.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,1.0,1.0,Eint Frankfurt,365.0,309.0,56.0,18.0,0.0,5.0,21,27.0,4.0,2.0,0.0,0.0,233.0,0.0,11.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,1.0,1.0,Eint Frankfurt,21.0,13.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,1.0,1.0,Eint Frankfurt,7.0,3,3.0,4.0,0.0,4.0,9.0,44.4,5.0,8.0,3.0,5.0,13,20,16.0,0.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,1.0,1.0,Eint Frankfurt,35.0,456.0,60.0,180.0,174.0,111.0,13.0,456.0,20.0,14.0,70.0,6.0,30.0,255.0,1287.0,698.0,7.0,8.0,0.0,15.0,10.0,231.0,23.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,1.0,1.0,Eint Frankfurt,0,0,0,13,17,0,21,13,3,0.0,0.0,0,50.0,22.0,26.0,45.8,Match Report
2021-09-12,19:30 (10:30),Bundesliga,Matchweek 4,Sun,Away,L,1.0,3.0,Gladbach,1,18,7,38.9,0.06,0.14,18.4,0.0,0,0,1.8,1.8,0.11,-0.8,-0.8,Match Report,2021-09-12,19:30 (10:30),Bundesliga,Matchweek 4,Sun,Away,L,1.0,3.0,Gladbach,4,3,1,25.0,0,1.9,-1.1,0,0,0,0,8.0,15.0,53.3,30.0,2.0,33.3,33.2,8.0,62.5,46.1,8.0,0.0,0.0,2.0,17.7,Match Report,2021-09-12,19:30 (10:30),Bundesliga,Matchweek 4,Sun,Away,L,1.0,3.0,Gladbach,266.0,369.0,72.1,5395.0,2203.0,97.0,121.0,80.2,130.0,161.0,80.7,36.0,68.0,52.9,0,1.4,1.3,15.0,23.0,6.0,2.0,33.0,Match Report,2021-09-12,19:30 (10:30),Bundesliga,Matchweek 4,Sun,Away,L,1.0,3.0,Gladbach,369.0,318.0,51.0,12.0,1.0,3.0,20,23.0,4.0,2.0,1.0,0.0,266.0,0.0,12.0,Match Report,2021-09-12,19:30 (10:30),Bundesliga,Matchweek 4,Sun,Away,L,1.0,3.0,Gladbach,28.0,20.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2021-09-12,19:30 (10:30),Bundesliga,Matchweek 4,Sun,Away,L,1.0,3.0,Gladbach,12.0,10,1.0,7.0,4.0,4.0,11.0,36.4,7.0,10.0,6.0,4.0,8,20,12.0,0.0,Match Report,2021-09-12,19:30 (10:30),Bundesliga,Matchweek 4,Sun,Away,L,1.0,3.0,Gladbach,36.0,476.0,48.0,145.0,210.0,128.0,20.0,476.0,15.0,6.0,40.0,9.0,60.0,253.0,1261.0,627.0,15.0,8.0,2.0,25.0,9.0,265.0,33.0,Match Report,2021-09-12,19:30 (10:30),Bundesliga,Matchweek 4,Sun,Away,L,1.0,3.0,Gladbach,1,0,0,18,10,0,20,8,10,0.0,0.0,0,53.0,13.0,11.0,54.2,Match Report
2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,D,0.0,0.0,Hoffenheim,0,9,2,22.2,0.0,0.0,15.2,0.0,0,0,1.1,1.1,0.14,-1.1,-1.1,Match Report,2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,D,0.0,0.0,Hoffenheim,3,0,3,100.0,1,0.2,0.2,0,0,0,0,18.0,28.0,64.3,58.0,3.0,37.9,34.4,12.0,50.0,44.6,23.0,1.0,4.3,1.0,12.4,Match Report,2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,D,0.0,0.0,Hoffenheim,337.0,440.0,76.6,6881.0,3291.0,124.0,147.0,84.4,154.0,182.0,84.6,49.0,84.0,58.3,0,1.1,1.0,7.0,27.0,8.0,1.0,35.0,Match Report,2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,D,0.0,0.0,Hoffenheim,440.0,391.0,46.0,3.0,0.0,5.0,23,25.0,5.0,1.0,3.0,0.0,337.0,3.0,10.0,Match Report,2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,D,0.0,0.0,Hoffenheim,16.0,8.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,D,0.0,0.0,Hoffenheim,8.0,2,4.0,3.0,1.0,1.0,9.0,11.1,8.0,9.0,3.0,6.0,10,18,15.0,0.0,Match Report,2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,D,0.0,0.0,Hoffenheim,42.0,543.0,68.0,192.0,238.0,121.0,17.0,543.0,32.0,21.0,65.6,11.0,34.4,274.0,1631.0,825.0,20.0,12.0,3.0,17.0,9.0,333.0,35.0,Match Report,2021-09-18,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,D,0.0,0.0,Hoffenheim,2,0,0,16,2,3,23,10,2,0.0,0.0,0,59.0,31.0,22.0,58.5,Match Report
2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Union Berlin,0,10,2,20.0,0.0,0.0,17.9,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Union Berlin,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,11.0,37.0,29.7,53.0,4.0,54.7,41.8,11.0,72.7,54.8,20.0,0.0,0.0,5.0,22.3,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Union Berlin,324.0,455.0,71.2,6177.0,2456.0,128.0,154.0,83.1,141.0,174.0,81.0,44.0,103.0,42.7,0,0.4,0.4,7.0,27.0,7.0,3.0,23.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Union Berlin,455.0,399.0,55.0,13.0,3.0,1.0,14,25.0,4.0,3.0,0.0,1.0,324.0,1.0,8.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Union Berlin,17.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Union Berlin,10.0,4,2.0,6.0,2.0,3.0,7.0,42.9,4.0,11.0,3.0,8.0,13,23,23.0,0.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Union Berlin,46.0,568.0,70.0,229.0,245.0,96.0,18.0,568.0,20.0,11.0,55.0,9.0,45.0,271.0,1214.0,660.0,15.0,7.0,5.0,18.0,6.0,322.0,23.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,Union Berlin,0,0,0,5,9,1,14,13,4,0.0,0.0,0,55.0,15.0,27.0,35.7,Match Report
2021-10-03,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Home,L,0.0,4.0,Leverkusen,0,10,2,20.0,0.0,0.0,19.5,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2021-10-03,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Home,L,0.0,4.0,Leverkusen,7,4,3,57.1,0,2.9,-1.1,1,1,0,0,8.0,11.0,72.7,33.0,4.0,24.2,28.7,11.0,27.3,31.9,14.0,0.0,0.0,0.0,9.5,Match Report,2021-10-03,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Home,L,0.0,4.0,Leverkusen,250.0,344.0,72.7,4820.0,2224.0,100.0,119.0,84.0,108.0,130.0,83.1,35.0,72.0,48.6,0,0.4,0.7,10.0,23.0,5.0,3.0,29.0,Match Report,2021-10-03,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Home,L,0.0,4.0,Leverkusen,344.0,303.0,39.0,7.0,0.0,3.0,9,15.0,2.0,1.0,1.0,0.0,250.0,2.0,8.0,Match Report,2021-10-03,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Home,L,0.0,4.0,Leverkusen,19.0,14.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-10-03,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Home,L,0.0,4.0,Leverkusen,18.0,11,10.0,5.0,3.0,13.0,23.0,56.5,10.0,20.0,4.0,16.0,13,31,16.0,1.0,Match Report,2021-10-03,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Home,L,0.0,4.0,Leverkusen,34.0,460.0,67.0,176.0,186.0,108.0,15.0,460.0,14.0,9.0,64.3,5.0,35.7,255.0,1464.0,741.0,9.0,11.0,2.0,19.0,8.0,247.0,27.0,Match Report,2021-10-03,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Home,L,0.0,4.0,Leverkusen,4,0,0,13,7,2,9,13,11,0.0,1.0,0,53.0,13.0,19.0,40.6,Match Report
2021-10-17,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,D,1.0,1.0,Augsburg,1,10,2,20.0,0.1,0.5,24.0,1.0,0,0,0.3,0.3,0.03,0.7,0.7,Match Report,2021-10-17,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,D,1.0,1.0,Augsburg,6,1,5,83.3,0,1.0,0.0,0,0,0,0,12.0,30.0,40.0,40.0,2.0,60.0,44.2,7.0,85.7,58.3,20.0,0.0,0.0,1.0,14.3,Match Report,2021-10-17,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,D,1.0,1.0,Augsburg,290.0,430.0,67.4,5160.0,2376.0,151.0,182.0,83.0,99.0,143.0,69.2,36.0,83.0,43.4,0,0.1,0.9,5.0,19.0,5.0,3.0,27.0,Match Report,2021-10-17,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,D,1.0,1.0,Augsburg,430.0,376.0,53.0,14.0,0.0,1.0,20,25.0,5.0,4.0,0.0,0.0,290.0,1.0,10.0,Match Report,2021-10-17,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,D,1.0,1.0,Augsburg,15.0,9.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-10-17,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,D,1.0,1.0,Augsburg,14.0,11,6.0,6.0,2.0,4.0,7.0,57.1,3.0,12.0,3.0,9.0,16,30,21.0,0.0,Match Report,2021-10-17,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,D,1.0,1.0,Augsburg,50.0,551.0,69.0,179.0,239.0,136.0,12.0,551.0,11.0,6.0,54.5,5.0,45.5,256.0,1471.0,555.0,9.0,12.0,3.0,17.0,10.0,288.0,26.0,Match Report,2021-10-17,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,D,1.0,1.0,Augsburg,1,0,0,15,8,1,20,16,11,0.0,0.0,0,58.0,22.0,26.0,45.8,Match Report
2021-10-23,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,3.0,Dortmund,1,15,6,40.0,0.0,0.0,21.1,0.0,1,1,1.4,0.6,0.04,-0.4,-0.6,Match Report,2021-10-23,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,3.0,Dortmund,7,3,4,71.4,0,2.2,-0.8,1,1,0,0,7.0,22.0,31.8,41.0,4.0,48.8,40.8,6.0,33.3,31.3,6.0,0.0,0.0,0.0,16.0,Match Report,2021-10-23,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,3.0,Dortmund,270.0,378.0,71.4,4966.0,1963.0,113.0,130.0,86.9,112.0,142.0,78.9,33.0,74.0,44.6,0,0.4,0.8,9.0,18.0,8.0,3.0,19.0,Match Report,2021-10-23,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,3.0,Dortmund,378.0,342.0,35.0,10.0,0.0,0.0,17,8.0,7.0,2.0,4.0,0.0,270.0,1.0,10.0,Match Report,2021-10-23,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,3.0,Dortmund,23.0,16.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2021-10-23,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,3.0,Dortmund,23.0,13,9.0,11.0,3.0,12.0,25.0,48.0,13.0,9.0,3.0,6.0,15,38,10.0,0.0,Match Report,2021-10-23,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,3.0,Dortmund,31.0,487.0,59.0,198.0,196.0,104.0,22.0,486.0,15.0,8.0,53.3,7.0,46.7,294.0,1418.0,660.0,12.0,8.0,6.0,22.0,14.0,270.0,19.0,Match Report,2021-10-23,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,3.0,Dortmund,1,0,0,13,9,1,17,15,13,1.0,1.0,0,58.0,13.0,10.0,56.5,Match Report
