Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0,2,SV Waldhof,0,11,1,9.1,0.00,0.00,,,0,0,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0,2,SV Waldhof,9,2,7,77.8,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0,2,SV Waldhof,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0,2,SV Waldhof,,,,,,,20,,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0,2,SV Waldhof,,,,,,,,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0,2,SV Waldhof,,14,,,,,,,,,,,17,0,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0,2,SV Waldhof,73,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0,2,SV Waldhof,5,1,1,12,8,1,20,17,14,,,0,,,,,Match Report
2021-08-14,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,2,5,Dortmund,1,10,3,30.0,0.10,0.33,11.0,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Match Report,2021-08-14,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,2,5,Dortmund,7,5,2,28.6,0,3.6,-1.4,0,0,0,0,10,17,58.8,34,5,41.2,34.3,6,50.0,39.2,9,0,0.0,0,12.0,Match Report,2021-08-14,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,2,5,Dortmund,318,424,75.0,6024,2295,143,162,88.3,129,161,80.1,45,81,55.6,1,1.2,0.8,8,18,5,3,28,Match Report,2021-08-14,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,2,5,Dortmund,424,380,43,8,2,3,19,20,3,2,1,0,318,1,10,Match Report,2021-08-14,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,2,5,Dortmund,17,12,2,0,3,0,0,1,0,0,0,1,0,0,Match Report,2021-08-14,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,2,5,Dortmund,25,14,16,7,2,10,27,37.0,17,15,3,12,13,38,14,1,Match Report,2021-08-14,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,2,5,Dortmund,40,536,70,184,262,92,15,536,6,2,33.3,4,66.7,340,1405,640,14,10,4,12,9,316,27,Match Report,2021-08-14,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,2,5,Dortmund,0,0,0,14,4,1,19,13,14,0,0,0,53,9,11,45.0,Match Report
2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,0,0,Augsburg,0,21,5,23.8,0.00,0.00,18.5,1,0,0,1.6,1.6,0.08,-1.6,-1.6,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,0,0,Augsburg,0,0,0,,1,0.0,0.0,0,0,0,0,7,19,36.8,36,5,41.7,33.7,7,57.1,46.6,10,0,0.0,2,23.0,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,0,0,Augsburg,409,558,73.3,7687,3110,170,220,77.3,182,222,82.0,49,85,57.6,0,1.2,0.9,15,47,12,4,53,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,0,0,Augsburg,558,501,56,11,1,2,24,31,6,1,4,0,409,1,14,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,0,0,Augsburg,36,25,4,1,5,1,0,0,0,0,0,0,0,0,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,0,0,Augsburg,15,8,4,9,2,5,17,29.4,12,14,2,12,6,21,17,1,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,0,0,Augsburg,61,678,59,187,303,192,28,678,18,12,66.7,6,33.3,360,1750,756,26,15,5,18,5,405,53,Match Report,2021-08-21,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,0,0,Augsburg,3,0,0,9,7,1,24,6,8,0,0,0,54,29,20,59.2,Match Report
2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Arminia,1,11,3,27.3,0.09,0.33,14.9,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Arminia,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,4,21,19.0,42,4,42.9,34.1,7,42.9,40.1,17,0,0.0,1,24.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Arminia,544,666,81.7,10263,3564,212,231,91.8,268,307,87.3,58,110,52.7,1,1.3,1.4,9,27,9,1,37,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Arminia,666,615,49,13,2,4,19,23,4,2,1,1,544,2,7,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Arminia,18,14,3,0,0,0,1,2,2,0,0,0,0,0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Arminia,16,8,8,7,1,6,20,30.0,14,14,4,10,9,25,31,0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Arminia,65,792,80,280,407,112,20,792,9,5,55.6,4,44.4,526,2300,888,7,14,1,20,3,539,37,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Arminia,3,0,0,17,12,2,19,9,8,0,0,0,65,26,22,54.2,Match Report
2021-09-12,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Stuttgart,1,17,4,23.5,0.06,0.25,21.3,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report,2021-09-12,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Stuttgart,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,3,6,50.0,18,1,27.8,30.1,2,50.0,45.0,5,1,20.0,1,21.5,Match Report,2021-09-12,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Stuttgart,409,544,75.2,7330,2665,184,224,82.1,181,220,82.3,38,79,48.1,1,0.9,0.7,12,35,8,2,44,Match Report,2021-09-12,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Stuttgart,544,486,56,12,0,4,35,34,6,3,3,0,409,2,15,Match Report,2021-09-12,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Stuttgart,29,25,1,0,1,1,1,2,2,0,0,0,0,0,Match Report,2021-09-12,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Stuttgart,25,16,10,12,3,15,26,57.7,11,16,4,12,16,41,11,0,Match Report,2021-09-12,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Stuttgart,58,670,36,143,352,179,28,670,12,5,41.7,7,58.3,301,1621,788,14,9,7,17,15,405,43,Match Report,2021-09-12,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Stuttgart,1,0,0,13,12,2,35,16,16,0,0,0,69,15,16,48.4,Match Report
2021-09-16,21:00 (12:00),Europa Lg,Group stage,Thu,Home,D,1,1,tr Fenerbahçe,1,5,3,60.0,0.20,0.33,13.6,0,0,0,1.0,1.0,0.20,0.0,0.0,Match Report,2021-09-16,21:00 (12:00),Europa Lg,Group stage,Thu,Home,D,1,1,tr Fenerbahçe,5,1,3,80.0,0,2.5,+1.5,1,0,1,0,5,12,41.7,34,6,26.5,31.1,5,60.0,36.4,10,0,0.0,1,18.3,Match Report,2021-09-16,21:00 (12:00),Europa Lg,Group stage,Thu,Home,D,1,1,tr Fenerbahçe,359,498,72.1,6896,2771,134,170,78.8,178,225,79.1,45,77,58.4,1,0.7,0.6,2,21,8,2,39,Match Report,2021-09-16,21:00 (12:00),Europa Lg,Group stage,Thu,Home,D,1,1,tr Fenerbahçe,498,436,54,10,1,3,15,34,3,2,0,0,359,8,8,Match Report,2021-09-16,21:00 (12:00),Europa Lg,Group stage,Thu,Home,D,1,1,tr Fenerbahçe,8,6,0,1,1,0,0,2,1,0,1,0,0,0,Match Report,2021-09-16,21:00 (12:00),Europa Lg,Group stage,Thu,Home,D,1,1,tr Fenerbahçe,17,12,9,6,2,7,19,36.8,12,13,3,10,13,30,10,0,Match Report,2021-09-16,21:00 (12:00),Europa Lg,Group stage,Thu,Home,D,1,1,tr Fenerbahçe,56,605,68,234,264,112,16,605,23,15,65.2,8,34.8,371,1906,823,18,8,1,17,7,355,38,Match Report,2021-09-16,21:00 (12:00),Europa Lg,Group stage,Thu,Home,D,1,1,tr Fenerbahçe,2,0,0,14,7,8,15,13,12,0,1,0,66,28,11,71.8,Match Report
2021-09-19,19:30 (10:30),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,1,5,2,40.0,0.20,0.50,24.0,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Match Report,2021-09-19,19:30 (10:30),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,6,1,5,83.3,0,1.2,+0.2,0,0,0,0,6,17,35.3,22,4,45.5,34.9,8,87.5,64.8,18,0,0.0,2,15.0,Match Report,2021-09-19,19:30 (10:30),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,233,366,63.7,4395,2077,102,136,75.0,99,142,69.7,29,74,39.2,1,0.3,0.6,4,30,4,1,33,Match Report,2021-09-19,19:30 (10:30),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,366,315,51,18,0,3,17,19,4,3,1,0,233,0,3,Match Report,2021-09-19,19:30 (10:30),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,9,4,2,0,0,3,0,2,2,0,0,0,0,0,Match Report,2021-09-19,19:30 (10:30),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,15,3,3,8,4,9,19,47.4,10,10,0,10,16,31,19,0,Match Report,2021-09-19,19:30 (10:30),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,40,491,60,147,214,136,12,491,18,6,33.3,12,66.7,259,1428,665,14,11,4,24,5,232,32,Match Report,2021-09-19,19:30 (10:30),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,6,0,0,17,13,0,17,16,3,0,0,0,73,21,29,42.0,Match Report
2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,1,1,Köln,1,10,3,30.0,0.10,0.33,16.6,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,1,1,Köln,2,1,1,50.0,0,1.0,0.0,0,0,0,0,7,22,31.8,20,3,70.0,44.1,14,57.1,51.6,20,0,0.0,0,18.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,1,1,Köln,229,386,59.3,4303,2104,101,134,75.4,86,123,69.9,32,89,36.0,1,0.7,1.2,6,14,5,2,28,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,1,1,Köln,386,314,69,19,2,5,34,27,7,6,0,0,229,3,17,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,1,1,Köln,15,11,0,1,2,1,0,2,2,0,0,0,0,0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,1,1,Köln,17,13,7,8,2,9,18,50.0,9,11,4,7,13,30,18,0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,1,1,Köln,46,510,64,154,187,174,25,510,27,13,48.1,14,51.9,213,1093,415,16,11,3,24,9,228,28,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,1,1,Köln,2,0,0,11,17,3,34,13,13,0,0,0,68,17,36,32.1,Match Report
2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,1,0,be Antwerp,1,11,2,18.2,0.00,0.00,23.8,0,1,1,1.7,0.9,0.08,-0.7,-0.9,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,1,0,be Antwerp,4,0,4,100.0,1,0.3,+0.3,0,0,0,0,7,14,50.0,24,4,37.5,34.7,6,83.3,64.3,7,0,0.0,1,12.7,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,1,0,be Antwerp,415,546,76.0,7317,3092,185,213,86.9,170,208,81.7,44,84,52.4,0,0.8,1.1,10,43,5,2,51,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,1,0,be Antwerp,546,495,47,13,1,3,28,17,10,3,3,0,415,4,11,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,1,0,be Antwerp,20,16,1,1,0,2,0,1,0,0,0,0,1,0,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,1,0,be Antwerp,23,13,12,7,4,15,29,51.7,14,5,1,4,7,30,19,0,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,1,0,be Antwerp,57,661,46,152,359,158,19,660,13,8,61.5,5,38.5,388,1920,991,22,14,6,22,11,407,50,Match Report,2021-09-30,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,1,0,be Antwerp,1,0,0,12,14,4,28,7,13,1,0,0,74,24,18,57.1,Match Report
2021-10-03,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,2,5,3,60.0,0.40,0.67,26.5,0,0,0,0.8,0.8,0.16,+1.2,+1.2,Match Report,2021-10-03,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,10,1,9,90.0,0,2.2,+1.2,0,0,0,0,6,30,20.0,31,6,54.8,43.6,20,65.0,47.3,15,0,0.0,2,17.0,Match Report,2021-10-03,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,194,317,61.2,3566,1885,96,119,80.7,63,89,70.8,29,89,32.6,2,0.8,0.5,4,13,1,0,20,Match Report,2021-10-03,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,317,270,47,10,3,1,4,14,1,0,1,0,194,0,7,Match Report,2021-10-03,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,9,7,1,0,0,0,1,4,3,1,0,0,0,0,Match Report,2021-10-03,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,13,7,11,2,0,6,20,30.0,14,14,2,12,16,29,21,0,Match Report,2021-10-03,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,28,423,95,232,150,47,8,423,13,6,46.2,7,53.8,202,1037,600,11,6,3,15,5,188,20,Match Report,2021-10-03,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,1,0,0,8,6,0,4,16,7,0,0,0,57,11,16,40.7,Match Report
