Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,4,15,8,53.3,0.27,0.50,,,0,0,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,4,0,4,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,,,,,,,,,,,,,,,4,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,,,,,,,20,,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,,,,,,,,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,,12,,,,,,,,,,,5,0,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,73,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-07,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,4,0,Sandhausen,0,0,0,9,7,5,20,5,12,,,0,,,,,Match Report
2021-08-15,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,0,13,2,15.4,0.00,0.00,15.4,1,0,0,1.1,1.1,0.09,-1.1,-1.1,Match Report,2021-08-15,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,2,1,1,50.0,0,1.2,+0.2,0,0,0,0,0,1,0.0,11,2,9.1,25.3,4,0.0,25.8,7,0,0.0,3,24.5,Match Report,2021-08-15,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,547,678,80.7,9082,2715,236,270,87.4,240,273,87.9,44,87,50.6,0,0.8,1.1,10,54,10,5,55,Match Report,2021-08-15,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,678,629,47,10,1,3,36,20,11,7,4,0,547,2,4,Match Report,2021-08-15,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,21,14,3,1,1,2,0,0,0,0,0,0,0,0,Match Report,2021-08-15,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,13,9,4,7,2,7,13,53.8,6,14,2,12,11,24,16,1,Match Report,2021-08-15,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,70,795,35,162,403,232,31,795,15,7,46.7,8,53.3,458,2270,1136,20,17,2,25,7,544,55,Match Report,2021-08-15,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Mainz 05,2,0,0,8,10,2,36,11,9,0,0,0,60,25,17,59.5,Match Report
2021-08-20,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,4,27,11,40.7,0.11,0.27,16.9,2,1,1,3.6,2.9,0.12,+0.4,+0.1,Match Report,2021-08-20,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,5,0,5,100.0,1,1.1,+1.1,0,0,0,0,3,15,20.0,34,7,38.2,37.0,4,50.0,43.3,13,0,0.0,0,6.5,Match Report,2021-08-20,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,412,502,82.1,7108,2518,199,228,87.3,151,175,86.3,49,73,67.1,1,2.0,2.2,19,38,17,2,52,Match Report,2021-08-20,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,502,466,35,9,1,1,18,15,6,1,4,0,412,1,4,Match Report,2021-08-20,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,46,29,4,4,6,2,1,5,2,0,0,1,1,1,Match Report,2021-08-20,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,15,8,4,7,4,3,16,18.8,13,21,3,18,10,25,17,0,Match Report,2021-08-20,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,52,641,56,136,321,195,37,640,23,17,73.9,6,26.1,399,2087,989,16,18,4,18,13,411,51,Match Report,2021-08-20,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,W,4,0,Stuttgart,0,0,0,10,10,1,18,10,8,0,0,0,62,15,12,55.6,Match Report
2021-08-29,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,0,11,2,18.2,0.00,0.00,19.8,1,0,0,1.1,1.1,0.11,-1.1,-1.1,Match Report,2021-08-29,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,2,1,1,50.0,0,1.0,0.0,0,0,0,0,4,11,36.4,26,3,34.6,31.8,4,50.0,37.0,10,1,10.0,0,9.0,Match Report,2021-08-29,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,351,458,76.6,5854,2441,168,192,87.5,129,146,88.4,35,75,46.7,0,0.3,0.9,6,35,7,0,54,Match Report,2021-08-29,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,458,412,46,15,1,1,13,18,7,3,4,0,351,0,13,Match Report,2021-08-29,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,19,12,4,1,1,1,0,0,0,0,0,0,0,0,Match Report,2021-08-29,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,23,10,13,9,1,16,30,53.3,14,15,4,11,7,30,13,1,Match Report,2021-08-29,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,52,586,52,166,290,135,19,586,16,12,75.0,4,25.0,317,1668,767,15,11,5,23,10,351,54,Match Report,2021-08-29,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,L,0,1,Wolfsburg,2,0,0,18,11,0,13,7,10,0,0,0,53,24,11,68.6,Match Report
2021-09-11,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,1,10,4,40.0,0.10,0.25,22.2,1,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report,2021-09-11,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,6,4,2,50.0,0,3.6,-0.4,1,1,0,0,6,11,54.5,28,3,32.1,34.0,9,22.2,29.3,12,2,16.7,1,13.3,Match Report,2021-09-11,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,399,505,79.0,7011,2745,194,220,88.2,146,169,86.4,45,78,57.7,1,0.3,0.8,6,39,11,3,50,Match Report,2021-09-11,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,505,453,48,13,3,4,21,19,2,1,1,0,399,4,12,Match Report,2021-09-11,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,18,15,2,0,0,1,0,2,2,0,0,0,0,0,Match Report,2021-09-11,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,20,11,5,11,4,10,20,50.0,10,19,5,14,11,31,19,0,Match Report,2021-09-11,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,52,643,64,176,299,173,26,643,14,10,71.4,4,28.6,387,1508,675,9,14,5,24,12,396,50,Match Report,2021-09-11,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,1,4,Bayern Munich,0,0,0,9,13,4,21,11,11,0,1,0,70,15,10,60.0,Match Report
2021-09-15,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,3,10,3,30.0,0.30,1.00,16.4,0,0,0,0.9,0.9,0.09,+2.1,+2.1,Match Report,2021-09-15,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,8,6,3,37.5,0,3.0,-2.0,1,1,0,0,3,9,33.3,41,7,22.0,27.1,3,0.0,15.3,11,0,0.0,0,,Match Report,2021-09-15,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,407,497,81.9,6608,2607,215,239,90.0,157,180,87.2,28,54,51.9,3,0.9,1.4,8,23,6,1,26,Match Report,2021-09-15,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,497,447,47,15,1,2,13,19,3,2,1,0,407,3,7,Match Report,2021-09-15,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,18,15,1,0,1,1,0,6,6,0,0,0,0,0,Match Report,2021-09-15,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,14,4,10,4,0,6,13,46.2,7,11,3,8,12,26,13,0,Match Report,2021-09-15,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,50,592,74,224,266,108,17,592,14,7,50.0,7,50.0,357,1790,856,13,20,3,6,9,404,26,Match Report,2021-09-15,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,3,6,eng Manchester City,4,1,1,17,8,3,13,12,4,0,1,1,47,12,9,57.1,Match Report
2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,1,19,9,47.4,0.05,0.11,17.0,1,0,0,2.7,2.7,0.15,-1.7,-1.7,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,5,1,4,80.0,0,1.2,+0.2,0,0,0,0,5,15,33.3,32,4,46.9,38.1,7,0.0,25.3,10,0,0.0,5,25.5,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,345,465,74.2,6434,3052,140,163,85.9,126,164,76.8,56,86,65.1,1,2.6,2.6,15,29,11,1,43,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,465,398,64,14,2,6,22,31,10,3,7,0,345,3,18,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,33,23,4,2,3,1,0,2,0,1,0,1,0,0,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,17,7,8,8,1,8,12,66.7,4,11,3,8,7,24,22,0,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,53,593,64,192,260,150,40,593,18,13,72.2,5,27.8,249,1403,633,17,5,7,22,17,343,43,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Köln,1,0,0,6,12,3,22,7,7,0,0,0,64,15,18,45.5,Match Report
2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,6,17,8,47.1,0.29,0.63,14.7,1,1,1,3.8,3.0,0.18,+2.2,+2.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,5,9,55.6,36,3,22.2,28.1,2,50.0,33.0,4,0,0.0,4,30.4,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,468,554,84.5,7571,2836,236,269,87.7,153,169,90.5,48,71,67.6,4,2.6,2.6,14,25,9,5,42,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,554,510,41,21,5,5,14,15,2,1,1,0,468,3,4,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,31,21,4,2,0,3,1,12,6,1,2,0,3,0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,15,9,2,8,5,4,10,40.0,6,8,0,8,11,26,6,0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,61,644,45,146,367,135,37,643,15,9,60.0,6,40.0,450,2213,1072,21,14,9,14,8,466,42,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,6,0,Hertha BSC,1,0,0,8,19,3,14,11,9,1,0,0,53,15,14,51.7,Match Report
2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,1,13,4,30.8,0.08,0.25,21.1,1,0,0,1.3,1.3,0.10,-0.3,-0.3,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,5,2,3,60.0,0,1.8,-0.2,0,0,0,0,2,15,13.3,48,3,29.2,31.5,2,50.0,29.5,10,1,10.0,2,19.5,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,519,659,78.8,8901,3201,244,273,89.4,222,259,85.7,43,91,47.3,1,1.1,1.2,9,46,17,1,58,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,659,606,52,21,4,0,13,22,4,2,0,1,519,1,14,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,24,14,3,1,1,3,2,2,2,0,0,0,0,0,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,16,10,11,3,2,7,19,36.8,12,11,3,8,10,26,8,0,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,66,759,74,256,327,177,28,759,22,13,59.1,9,40.9,315,1854,799,11,16,3,11,8,514,58,Match Report,2021-09-28,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,0,0,0,14,16,1,13,10,10,0,0,0,71,11,13,45.8,Match Report
2021-10-02,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,3,16,8,50.0,0.19,0.38,14.1,0,0,0,3.2,3.2,0.20,-0.2,-0.2,Match Report,2021-10-02,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,6,19,31.6,43,8,39.5,34.0,7,28.6,28.4,11,1,9.1,1,20.5,Match Report,2021-10-02,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,447,561,79.7,7000,2821,229,255,89.8,164,191,85.9,33,71,46.5,3,3.0,1.8,13,24,7,3,25,Match Report,2021-10-02,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,561,509,52,22,7,2,11,20,2,1,1,0,447,0,10,Match Report,2021-10-02,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,27,17,3,3,2,2,0,5,4,1,0,0,0,0,Match Report,2021-10-02,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,15,10,10,4,1,6,17,35.3,11,8,1,7,13,28,18,2,Match Report,2021-10-02,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,59,664,87,269,312,87,24,664,19,10,52.6,8,42.1,464,2095,963,21,8,8,14,7,443,24,Match Report,2021-10-02,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,1,0,0,10,15,0,11,13,10,0,0,0,60,22,10,68.8,Match Report
