Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-07-30,20:30 (11:30),DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,5,12,8,66.7,0.42,0.63,,,0,0,,,,,,Match Report,2022-07-30,20:30 (11:30),DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,3,3,1,33.3,,,,1,1,0,0,,,,,,,,,,,,,,,,Match Report,2022-07-30,20:30 (11:30),DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2022-07-30,20:30 (11:30),DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,,,,,,,11,,,,,,,,,Match Report,2022-07-30,20:30 (11:30),DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,,,,,,,,,,,,,,,Match Report,2022-07-30,20:30 (11:30),DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,,10,,,,,,,,,,,21,0,,,Match Report,2022-07-30,20:30 (11:30),DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,58,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-07-30,20:30 (11:30),DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,4,0,0,12,14,7,11,21,10,,,,,,,,Match Report
2022-08-05,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,6,23,10,43.5,0.26,0.60,16.6,1,0,0,4.0,4.0,0.18,+2.0,+2.0,Match Report,2022-08-05,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,3,6,50.0,41,8,14.6,25.4,4,0.0,22.8,10,0,0.0,3,24.7,Match Report,2022-08-05,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,572,661,86.5,10072,3374,256,282,90.8,258,288,89.6,52,74,70.3,4,3.3,3.2,16,32,9,1,53,Match Report,2022-08-05,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,661,623,35,12,7,4,14,11,6,1,4,0,572,3,4,Match Report,2022-08-05,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,38,30,3,1,3,1,0,11,8,0,1,1,1,0,Match Report,2022-08-05,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,20,10,15,3,2,15,25,60.0,10,8,1,7,11,31,16,1,Match Report,2022-08-05,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,63,784,72,211,415,165,30,784,20,9,45.0,7,35.0,531,2291,1232,17,13,6,15,9,570,53,Match Report,2022-08-05,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,0,0,0,11,10,3,14,11,10,0,0,0,62,3,6,33.3,Match Report
2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,2,24,8,33.3,0.08,0.25,18.4,0,0,0,2.0,2.0,0.09,0.0,0.0,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,2,0,2,100.0,1,0.7,+0.7,0,0,0,0,7,13,53.8,50,7,26.0,31.3,6,0.0,26.3,8,0,0.0,2,20.6,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,549,648,84.7,9680,3508,246,272,90.4,228,261,87.4,60,84,71.4,1,1.7,1.5,17,39,9,1,44,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,648,592,50,12,1,5,20,23,8,1,2,2,549,6,8,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,42,27,4,2,8,0,1,1,0,0,0,1,0,0,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,21,15,11,7,3,8,15,53.3,7,9,5,4,9,30,11,0,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,68,759,83,287,282,195,37,759,19,11,57.9,7,36.8,445,2227,1207,29,15,10,12,14,545,44,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,2,0,0,7,10,6,20,9,15,0,0,0,46,10,14,41.7,Match Report
2022-08-21,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,6,21,11,52.4,0.24,0.45,18.3,1,1,1,2.9,2.2,0.11,+3.1,+2.8,Match Report,2022-08-21,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,7,0,7,100.0,1,1.3,+1.3,0,0,0,0,2,7,28.6,40,10,17.5,26.5,9,0.0,21.9,9,1,11.1,2,21.3,Match Report,2022-08-21,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,462,545,84.8,7943,3056,208,231,90.0,201,224,89.7,41,64,64.1,4,1.4,1.4,16,29,15,0,43,Match Report,2022-08-21,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,545,498,42,11,3,2,10,16,5,3,1,0,462,5,7,Match Report,2022-08-21,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,36,28,1,3,1,2,1,11,8,1,0,1,1,0,Match Report,2022-08-21,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,20,14,7,11,2,4,10,40.0,6,5,1,4,10,30,14,1,Match Report,2022-08-21,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,64,649,81,250,235,170,34,648,19,11,57.9,7,36.8,347,1866,1003,18,13,6,13,8,461,43,Match Report,2022-08-21,17:30 (08:30),Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,0,0,0,6,10,5,10,10,14,1,0,0,48,9,14,39.1,Match Report
2022-08-27,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Gladbach,1,33,20,60.6,0.03,0.05,17.4,1,0,0,2.8,2.8,0.09,-1.8,-1.8,Match Report,2022-08-27,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Gladbach,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,1,2,50.0,15,4,0.0,24.5,5,40.0,42.4,4,1,25.0,1,15.5,Match Report,2022-08-27,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Gladbach,576,675,85.3,9943,3614,279,310,90.0,220,241,91.3,61,90,67.8,1,2.2,2.9,25,77,24,5,97,Match Report,2022-08-27,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Gladbach,675,621,47,6,1,7,33,20,14,7,4,0,576,7,6,Match Report,2022-08-27,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Gladbach,62,45,4,4,6,2,1,2,2,0,0,0,0,0,Match Report,2022-08-27,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Gladbach,16,9,2,10,4,3,8,37.5,5,4,0,4,9,25,7,1,Match Report,2022-08-27,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Gladbach,69,793,27,107,347,342,54,793,27,14,51.9,12,44.4,491,2741,1258,25,19,9,23,9,571,95,Match Report,2022-08-27,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Gladbach,4,0,0,13,6,7,33,9,9,0,0,0,57,12,7,63.2,Match Report
2022-08-31,20:46 (11:46),DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,5,28,18,64.3,0.18,0.28,,,0,0,,,,,,Match Report,2022-08-31,20:46 (11:46),DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2022-08-31,20:46 (11:46),DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,,,,,,,,,,,,,,,4,,,,,,,,Match Report,2022-08-31,20:46 (11:46),DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,,,,,,,13,,,,,,,,,Match Report,2022-08-31,20:46 (11:46),DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,,,,,,,,,,,,,,,Match Report,2022-08-31,20:46 (11:46),DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,,11,,,,,,,,,,,17,0,,,Match Report,2022-08-31,20:46 (11:46),DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,77,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-08-31,20:46 (11:46),DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,0,0,0,5,8,1,13,17,11,,,0,,,,,Match Report
2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,1,21,6,28.6,0.05,0.17,18.1,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,1,3,33.3,24,8,12.5,27.3,5,0.0,19.6,14,2,14.3,1,12.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,657,762,86.2,10395,3464,322,360,89.4,266,298,89.3,40,64,62.5,0,1.2,1.7,14,66,12,0,66,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,762,710,50,19,6,2,17,17,7,2,4,0,657,2,6,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,31,21,2,2,4,2,0,1,0,0,0,1,0,0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,14,9,7,5,2,11,17,64.7,6,8,1,7,11,25,24,1,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,74,896,53,167,482,254,30,896,35,11,31.4,20,57.1,614,2880,1590,30,19,7,21,8,652,66,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,2,0,0,7,17,2,17,11,9,0,0,0,61,22,15,59.5,Match Report
2022-09-07,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,1,21,11,52.4,0.05,0.09,18.7,1,0,0,2.5,2.5,0.12,-1.5,-1.5,Match Report,2022-09-07,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,5,8,62.5,32,3,21.9,32.0,6,16.7,27.8,11,0,0.0,0,,Match Report,2022-09-07,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,565,652,86.7,9981,3413,258,286,90.2,256,284,90.1,50,70,71.4,1,1.9,2.3,15,48,13,1,61,Match Report,2022-09-07,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,652,614,37,12,4,2,11,15,3,1,2,0,565,1,7,Match Report,2022-09-07,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,38,31,1,3,2,1,0,2,2,0,0,0,0,0,Match Report,2022-09-07,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,19,15,9,7,3,5,9,55.6,4,15,3,12,15,34,11,0,Match Report,2022-09-07,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,56,760,68,238,312,216,39,760,14,8,57.1,4,28.6,485,2248,1149,27,19,8,10,13,564,61,Match Report,2022-09-07,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,1,0,0,11,9,1,11,15,15,0,0,0,51,10,13,43.5,Match Report
2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,2,19,6,31.6,0.11,0.33,17.5,1,0,0,2.2,2.2,0.12,-0.2,-0.2,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,3,2,1,66.7,0,1.9,-0.1,1,1,0,0,0,4,0.0,35,5,8.6,23.3,5,20.0,33.6,6,0,0.0,3,26.0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,581,657,88.4,9600,3167,276,290,95.2,254,278,91.4,38,59,64.4,2,1.8,1.4,14,47,12,2,48,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,657,616,39,8,2,1,8,20,3,1,2,0,581,2,10,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,31,25,0,1,3,1,1,4,4,0,0,0,0,0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,27,18,8,13,6,15,23,65.2,8,13,2,11,9,36,8,0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,66,777,49,197,407,181,32,777,25,10,40.0,15,60.0,547,2941,1438,25,20,8,20,9,577,48,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,2,0,0,12,9,2,8,9,18,0,1,0,65,6,9,40.0,Match Report
2022-09-13,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,2,13,4,30.8,0.15,0.50,17.7,0,0,0,1.7,1.7,0.13,+0.3,+0.3,Match Report,2022-09-13,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,4,0,4,100.0,1,1.1,+1.1,0,0,0,0,3,15,20.0,44,6,31.8,39.1,9,22.2,29.1,12,0,0.0,0,,Match Report,2022-09-13,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,420,510,82.4,7630,2684,179,204,87.7,185,205,90.2,47,81,58.0,2,1.7,1.3,13,29,14,1,42,Match Report,2022-09-13,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,510,465,42,11,1,2,6,17,4,2,1,0,420,3,3,Match Report,2022-09-13,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,25,21,1,2,1,0,0,4,2,1,0,1,0,0,Match Report,2022-09-13,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,25,18,13,10,2,15,25,60.0,10,9,4,5,21,46,15,0,Match Report,2022-09-13,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,47,643,97,265,225,158,34,643,22,9,40.9,9,40.9,338,1824,939,23,18,6,22,12,418,41,Match Report,2022-09-13,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,2,0,0,12,8,3,6,21,18,0,0,0,60,7,14,33.3,Match Report
