Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-07-29,20:45 (11:45),DFB-Pokal,Round of 64,Fri,Away,W,3,0,1860 Munich,3,25,11,44.0,0.12,0.27,,,0,0,,,,,,Match Report,2022-07-29,20:45 (11:45),DFB-Pokal,Round of 64,Fri,Away,W,3,0,1860 Munich,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2022-07-29,20:45 (11:45),DFB-Pokal,Round of 64,Fri,Away,W,3,0,1860 Munich,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2022-07-29,20:45 (11:45),DFB-Pokal,Round of 64,Fri,Away,W,3,0,1860 Munich,,,,,,,28,,,,,,,,,Match Report,2022-07-29,20:45 (11:45),DFB-Pokal,Round of 64,Fri,Away,W,3,0,1860 Munich,,,,,,,,,,,,,,,Match Report,2022-07-29,20:45 (11:45),DFB-Pokal,Round of 64,Fri,Away,W,3,0,1860 Munich,,9,,,,,,,,,,,12,0,,,Match Report,2022-07-29,20:45 (11:45),DFB-Pokal,Round of 64,Fri,Away,W,3,0,1860 Munich,82,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-07-29,20:45 (11:45),DFB-Pokal,Round of 64,Fri,Away,W,3,0,1860 Munich,0,0,0,6,2,3,28,12,9,,,0,,,,,Match Report
2022-08-06,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Leverkusen,1,14,4,28.6,0.07,0.25,17.8,1,0,0,1.8,1.8,0.13,-0.8,-0.8,Match Report,2022-08-06,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Leverkusen,3,0,3,100.0,1,0.9,+0.9,0,0,0,0,4,15,26.7,29,5,34.5,34.2,7,71.4,50.9,14,2,14.3,1,10.7,Match Report,2022-08-06,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Leverkusen,324,439,73.8,5864,2322,140,169,82.8,137,156,87.8,36,76,47.4,0,1.0,1.1,9,30,4,1,37,Match Report,2022-08-06,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Leverkusen,439,389,48,15,0,3,12,22,3,3,0,0,324,2,20,Match Report,2022-08-06,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Leverkusen,22,15,2,1,3,0,1,1,0,0,0,1,0,0,Match Report,2022-08-06,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Leverkusen,25,15,6,12,7,16,29,55.2,13,9,1,8,14,39,20,0,Match Report,2022-08-06,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Leverkusen,45,569,57,171,236,170,21,569,27,9,33.3,15,55.6,251,1473,629,16,9,5,18,8,318,36,Match Report,2022-08-06,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Home,W,1,0,Leverkusen,2,0,0,13,11,2,12,14,15,0,0,0,70,13,6,68.4,Match Report
2022-08-12,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3,1,Freiburg,3,13,6,46.2,0.23,0.50,20.6,1,0,0,1.1,1.1,0.09,+1.9,+1.9,Match Report,2022-08-12,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3,1,Freiburg,7,1,6,85.7,0,1.2,+0.2,0,0,0,0,0,6,0.0,43,7,11.6,24.2,6,16.7,24.5,22,0,0.0,4,21.8,Match Report,2022-08-12,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3,1,Freiburg,451,550,82.0,7570,2589,199,222,89.6,193,217,88.9,40,78,51.3,2,1.0,1.8,10,29,6,1,38,Match Report,2022-08-12,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3,1,Freiburg,550,501,47,18,1,3,15,19,2,2,0,0,451,2,8,Match Report,2022-08-12,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3,1,Freiburg,23,19,1,2,0,1,0,5,4,0,1,0,0,0,Match Report,2022-08-12,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3,1,Freiburg,16,10,7,5,4,9,15,60.0,6,9,3,6,10,26,26,0,Match Report,2022-08-12,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3,1,Freiburg,61,662,70,249,289,129,20,662,20,12,60.0,8,40.0,289,1934,1182,19,13,5,13,9,445,38,Match Report,2022-08-12,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Away,W,3,1,Freiburg,3,0,0,10,16,2,15,10,10,0,0,0,62,23,20,53.5,Match Report
2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,2,3,Werder Bremen,2,6,4,66.7,0.33,0.50,21.2,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,2,3,Werder Bremen,7,3,4,57.1,0,2.3,-0.7,0,0,0,0,4,11,36.4,33,6,24.2,26.6,9,33.3,35.1,10,0,0.0,3,20.3,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,2,3,Werder Bremen,354,464,76.3,5586,2121,176,199,88.4,148,174,85.1,22,58,37.9,2,0.5,0.5,6,22,7,0,30,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,2,3,Werder Bremen,464,401,56,12,2,1,10,28,3,1,2,0,354,7,9,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,2,3,Werder Bremen,9,9,0,0,0,0,0,3,3,0,0,0,0,0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,2,3,Werder Bremen,18,9,8,7,3,9,13,69.2,4,15,2,13,7,25,17,0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,2,3,Werder Bremen,50,595,73,241,261,101,12,595,26,8,30.8,12,46.2,338,1906,991,19,9,3,21,5,351,30,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,2,3,Werder Bremen,4,0,0,13,9,7,10,7,9,0,0,0,62,10,14,41.7,Match Report
2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,1,0,Hertha BSC,1,22,6,27.3,0.05,0.17,14.5,1,0,0,2.7,2.7,0.12,-1.7,-1.7,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,1,0,Hertha BSC,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,6,12,50.0,42,6,16.7,24.1,6,83.3,58.0,11,1,9.1,1,13.5,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,1,0,Hertha BSC,531,633,83.9,8755,3182,251,273,91.9,206,233,88.4,47,88,53.4,1,2.2,1.2,16,26,12,2,62,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,1,0,Hertha BSC,633,588,45,8,1,3,24,20,10,4,4,0,531,0,7,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,1,0,Hertha BSC,39,28,3,2,4,2,0,2,2,0,0,0,0,0,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,1,0,Hertha BSC,16,7,6,8,2,6,22,27.3,16,10,2,8,11,27,11,0,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,1,0,Hertha BSC,62,744,49,193,366,192,38,744,22,11,50.0,9,40.9,541,2886,1416,28,23,13,15,12,526,61,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,1,0,Hertha BSC,0,0,0,9,8,0,24,11,7,0,0,0,63,12,15,44.4,Match Report
2022-09-02,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Home,W,1,0,Hoffenheim,1,15,5,33.3,0.07,0.20,13.3,0,0,0,2.0,2.0,0.14,-1.0,-1.0,Match Report,2022-09-02,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Home,W,1,0,Hoffenheim,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,5,9,55.6,27,4,14.8,30.9,5,100.0,69.2,23,1,4.3,1,14.5,Match Report,2022-09-02,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Home,W,1,0,Hoffenheim,394,490,80.4,7223,3137,175,198,88.4,157,181,86.7,49,73,67.1,1,1.5,1.3,12,32,11,3,55,Match Report,2022-09-02,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Home,W,1,0,Hoffenheim,490,443,45,17,0,6,17,17,5,3,2,0,394,2,12,Match Report,2022-09-02,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Home,W,1,0,Hoffenheim,29,24,2,0,2,0,1,2,2,0,0,0,0,0,Match Report,2022-09-02,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Home,W,1,0,Hoffenheim,22,17,15,6,1,10,15,66.7,5,13,2,11,9,31,16,0,Match Report,2022-09-02,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Home,W,1,0,Hoffenheim,49,610,56,179,267,175,29,610,17,7,41.2,7,41.2,413,1742,856,15,11,4,14,9,394,55,Match Report,2022-09-02,20:30 (11:30),Bundesliga,Matchweek 5,Fri,Home,W,1,0,Hoffenheim,3,0,0,14,14,2,17,9,17,0,0,0,63,11,11,50.0,Match Report
2022-09-06,18:45 (09:45),Champions Lg,Group stage,Tue,Home,W,3,0,dk FC Copenhagen,3,15,4,26.7,0.20,0.75,18.1,1,0,0,2.3,2.3,0.15,+0.7,+0.7,Match Report,2022-09-06,18:45 (09:45),Champions Lg,Group stage,Tue,Home,W,3,0,dk FC Copenhagen,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,3,7,42.9,27,0,22.2,28.8,4,25.0,38.3,11,0,0.0,2,28.3,Match Report,2022-09-06,18:45 (09:45),Champions Lg,Group stage,Tue,Home,W,3,0,dk FC Copenhagen,611,708,86.3,9527,2903,329,362,90.9,206,225,91.6,46,64,71.9,3,2.2,2.0,12,54,13,1,68,Match Report,2022-09-06,18:45 (09:45),Champions Lg,Group stage,Tue,Home,W,3,0,dk FC Copenhagen,708,669,38,8,1,10,13,21,4,0,3,0,611,1,12,Match Report,2022-09-06,18:45 (09:45),Champions Lg,Group stage,Tue,Home,W,3,0,dk FC Copenhagen,26,24,0,1,0,1,0,6,5,0,1,0,0,0,Match Report,2022-09-06,18:45 (09:45),Champions Lg,Group stage,Tue,Home,W,3,0,dk FC Copenhagen,15,9,4,5,6,7,13,53.8,6,9,2,7,13,28,9,0,Match Report,2022-09-06,18:45 (09:45),Champions Lg,Group stage,Tue,Home,W,3,0,dk FC Copenhagen,63,802,40,165,409,235,34,802,16,7,43.8,8,50.0,544,3036,1697,36,27,6,8,9,607,68,Match Report,2022-09-06,18:45 (09:45),Champions Lg,Group stage,Tue,Home,W,3,0,dk FC Copenhagen,0,0,0,9,8,1,13,13,9,0,0,0,61,9,11,45.0,Match Report
2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,3,RB Leipzig,0,5,0,0.0,0.00,,12.8,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,3,RB Leipzig,5,3,2,40.0,0,1.2,-1.8,0,0,0,0,1,7,14.3,48,8,12.5,23.7,9,11.1,23.4,9,0,0.0,8,26.4,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,3,RB Leipzig,404,517,78.1,6861,2576,191,223,85.7,143,168,85.1,49,87,56.3,0,0.5,0.6,3,27,5,3,34,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,3,RB Leipzig,517,458,59,14,0,10,21,24,8,4,4,0,404,0,11,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,3,RB Leipzig,6,5,1,0,0,0,0,0,0,0,0,0,0,0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,3,RB Leipzig,25,15,13,10,2,11,18,61.1,7,13,2,11,17,42,9,0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,3,RB Leipzig,55,628,58,224,280,126,18,628,21,12,57.1,8,38.1,423,2090,1049,14,6,3,18,17,399,34,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,L,0,3,RB Leipzig,1,0,0,6,12,0,21,17,15,0,0,0,61,11,11,50.0,Match Report
2022-09-14,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,1,5,2,40.0,0.20,0.50,12.2,0,0,0,0.7,0.7,0.13,+0.3,+0.3,Match Report,2022-09-14,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,6,10,60.0,37,6,18.9,28.8,11,27.3,32.6,22,2,9.1,2,19.4,Match Report,2022-09-14,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,314,398,78.9,5599,2359,146,170,85.9,118,136,86.8,38,66,57.6,1,0.7,0.9,5,12,4,2,17,Match Report,2022-09-14,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,398,358,39,8,1,8,11,15,2,1,1,0,314,1,7,Match Report,2022-09-14,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,10,7,2,1,0,0,0,2,1,1,0,0,0,0,Match Report,2022-09-14,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,16,10,10,5,1,7,17,41.2,10,16,7,9,15,31,21,0,Match Report,2022-09-14,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,34,520,100,278,195,51,9,520,13,5,38.5,6,46.2,323,1777,828,14,9,2,14,9,310,16,Match Report,2022-09-14,20:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,3,0,0,7,9,1,11,15,10,0,0,0,49,7,9,43.8,Match Report
2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,1,0,Schalke 04,1,17,5,29.4,0.06,0.20,14.1,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,1,0,Schalke 04,0,0,0,,1,0.0,0.0,0,0,0,0,1,3,33.3,29,3,6.9,22.9,3,33.3,34.3,9,1,11.1,3,23.8,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,1,0,Schalke 04,488,617,79.1,9153,3516,196,235,83.4,210,240,87.5,66,98,67.3,1,1.6,2.1,13,54,14,4,67,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,1,0,Schalke 04,617,561,53,17,1,10,32,21,11,7,3,0,488,3,12,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,1,0,Schalke 04,30,23,2,4,1,0,0,2,2,0,0,0,0,0,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,1,0,Schalke 04,13,10,5,8,0,2,5,40.0,3,10,1,9,17,30,16,0,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,1,0,Schalke 04,65,731,37,188,310,238,34,731,22,15,68.2,4,18.2,364,1917,1116,23,17,4,19,11,486,66,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,1,0,Schalke 04,3,0,0,12,13,3,32,17,10,0,0,0,54,23,16,59.0,Match Report
