Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-01,18:01 (09:01),DFB-Pokal,Round of 64,Mon,Away,W,2,1,Energie Cottbus,2,12,5,41.7,0.17,0.4,,,0,0,,,,,,Match Report,2022-08-01,18:01 (09:01),DFB-Pokal,Round of 64,Mon,Away,W,2,1,Energie Cottbus,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2022-08-01,18:01 (09:01),DFB-Pokal,Round of 64,Mon,Away,W,2,1,Energie Cottbus,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2022-08-01,18:01 (09:01),DFB-Pokal,Round of 64,Mon,Away,W,2,1,Energie Cottbus,,,,,,,18,,,,,,,,,Match Report,2022-08-01,18:01 (09:01),DFB-Pokal,Round of 64,Mon,Away,W,2,1,Energie Cottbus,,,,,,,,,,,,,,,Match Report,2022-08-01,18:01 (09:01),DFB-Pokal,Round of 64,Mon,Away,W,2,1,Energie Cottbus,,9,,,,,,,,,,,11,0,,,Match Report,2022-08-01,18:01 (09:01),DFB-Pokal,Round of 64,Mon,Away,W,2,1,Energie Cottbus,61.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-08-01,18:01 (09:01),DFB-Pokal,Round of 64,Mon,Away,W,2,1,Energie Cottbus,1,0,0,10,11,3,18,11,9,,,0,,,,,Match Report
2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,2,2,Wolfsburg,2,10,4,40.0,0.2,0.5,21.5,0.0,0,0,0.8,0.8,0.08,1.2,1.2,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,2,2,Wolfsburg,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,6.0,22.0,27.3,24.0,3.0,54.2,44.3,11.0,81.8,61.8,14.0,1.0,7.1,0.0,7.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,2,2,Wolfsburg,249.0,380.0,65.5,4863.0,2268.0,104.0,142.0,73.2,91.0,119.0,76.5,43.0,85.0,50.6,2,0.6,1.7,7.0,26.0,9.0,2.0,29.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,2,2,Wolfsburg,380.0,328.0,48.0,12.0,8.0,5.0,12,17.0,5.0,0.0,0.0,1.0,249.0,4.0,10.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,2,2,Wolfsburg,19.0,16.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,2,2,Wolfsburg,16.0,6,5.0,8.0,3.0,6.0,23.0,26.1,17.0,13.0,3.0,10.0,29,45,20.0,0.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,2,2,Wolfsburg,39.0,515.0,55.0,169.0,234.0,119.0,20.0,515.0,20.0,12.0,60.0,6.0,30.0,265.0,1278.0,496.0,10.0,11.0,3.0,18.0,9.0,247.0,29.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,D,2,2,Wolfsburg,2,0,0,14,11,4,12,29,6,0.0,0.0,0,66.0,20.0,13.0,60.6,Match Report
2022-08-13,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,2,2,Stuttgart,2,5,3,60.0,0.4,0.67,16.6,0.0,0,0,0.5,0.5,0.1,1.5,1.5,Match Report,2022-08-13,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,2,2,Stuttgart,7,2,5,71.4,0,2.4,0.4,0,0,0,0,5.0,17.0,29.4,34.0,6.0,32.4,32.2,9.0,66.7,49.2,14.0,0.0,0.0,1.0,13.8,Match Report,2022-08-13,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,2,2,Stuttgart,492.0,601.0,81.9,9698.0,3543.0,173.0,191.0,90.6,258.0,289.0,89.3,55.0,105.0,52.4,2,0.5,0.5,5.0,46.0,6.0,1.0,44.0,Match Report,2022-08-13,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,2,2,Stuttgart,601.0,559.0,42.0,10.0,0.0,5.0,15,18.0,2.0,0.0,1.0,0.0,492.0,0.0,8.0,Match Report,2022-08-13,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,2,2,Stuttgart,10.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-13,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,2,2,Stuttgart,21.0,15,9.0,10.0,2.0,10.0,21.0,47.6,11.0,14.0,3.0,11.0,8,29,16.0,0.0,Match Report,2022-08-13,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,2,2,Stuttgart,57.0,710.0,68.0,215.0,378.0,126.0,12.0,710.0,11.0,5.0,45.5,6.0,54.5,403.0,1791.0,849.0,11.0,13.0,2.0,13.0,17.0,484.0,43.0,Match Report,2022-08-13,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,2,2,Stuttgart,4,0,0,6,10,0,15,8,15,0.0,0.0,0,61.0,13.0,11.0,54.2,Match Report
2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,2,Dortmund,3,14,7,50.0,0.21,0.43,18.6,1.0,0,0,1.3,1.3,0.09,1.7,1.7,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,2,Dortmund,4,2,2,50.0,0,1.0,-1.0,0,0,0,0,2.0,6.0,33.3,28.0,2.0,17.9,31.1,8.0,12.5,24.5,7.0,0.0,0.0,0.0,6.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,2,Dortmund,352.0,469.0,75.1,6908.0,2787.0,135.0,162.0,83.3,151.0,178.0,84.8,58.0,94.0,61.7,2,1.1,1.1,10.0,36.0,10.0,2.0,35.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,2,Dortmund,469.0,410.0,56.0,19.0,2.0,5.0,11,21.0,5.0,0.0,2.0,0.0,352.0,3.0,13.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,2,Dortmund,26.0,18.0,1.0,0.0,1.0,3.0,3.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,2,Dortmund,17.0,11,4.0,10.0,3.0,12.0,20.0,60.0,8.0,8.0,1.0,7.0,12,29,21.0,0.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,2,Dortmund,50.0,585.0,61.0,173.0,262.0,156.0,17.0,585.0,16.0,4.0,25.0,9.0,56.3,288.0,1416.0,730.0,11.0,13.0,2.0,17.0,9.0,352.0,35.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,2,Dortmund,1,0,0,9,13,3,11,12,11,0.0,0.0,0,67.0,14.0,10.0,58.3,Match Report
2022-08-28,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Home,L,3,4,Eint Frankfurt,3,9,3,33.3,0.22,0.67,18.2,0.0,1,1,1.8,1.0,0.11,1.2,1.0,Match Report,2022-08-28,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Home,L,3,4,Eint Frankfurt,6,4,2,33.3,0,1.9,-2.1,0,0,0,0,3.0,11.0,27.3,32.0,7.0,28.1,31.1,8.0,25.0,33.0,14.0,1.0,7.1,1.0,9.8,Match Report,2022-08-28,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Home,L,3,4,Eint Frankfurt,378.0,519.0,72.8,7375.0,2803.0,146.0,178.0,82.0,178.0,219.0,81.3,52.0,99.0,52.5,1,0.4,0.8,6.0,28.0,8.0,1.0,40.0,Match Report,2022-08-28,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Home,L,3,4,Eint Frankfurt,519.0,459.0,57.0,21.0,1.0,6.0,12,18.0,5.0,0.0,4.0,0.0,378.0,3.0,12.0,Match Report,2022-08-28,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Home,L,3,4,Eint Frankfurt,19.0,12.0,1.0,3.0,1.0,2.0,0.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,Match Report,2022-08-28,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Home,L,3,4,Eint Frankfurt,13.0,8,6.0,5.0,2.0,3.0,11.0,27.3,8.0,13.0,1.0,12.0,6,19,19.0,0.0,Match Report,2022-08-28,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Home,L,3,4,Eint Frankfurt,54.0,628.0,78.0,246.0,278.0,110.0,15.0,627.0,24.0,13.0,54.2,10.0,41.7,269.0,1270.0,644.0,8.0,5.0,3.0,15.0,1.0,377.0,40.0,Match Report,2022-08-28,17:30 (08:30),Bundesliga,Matchweek 4,Sun,Home,L,3,4,Eint Frankfurt,1,0,0,17,18,3,12,6,8,1.0,0.0,0,57.0,13.0,11.0,54.2,Match Report
2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,2,0,Bochum,2,15,6,40.0,0.07,0.17,18.9,1.0,1,1,2.0,1.2,0.08,0.0,-0.2,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,2,0,Bochum,5,0,5,100.0,1,0.9,0.9,0,0,0,0,17.0,42.0,40.5,37.0,2.0,81.1,53.8,14.0,85.7,58.8,22.0,1.0,4.5,1.0,24.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,2,0,Bochum,262.0,417.0,62.8,5598.0,2816.0,116.0,152.0,76.3,85.0,124.0,68.5,57.0,112.0,50.9,1,1.0,0.8,10.0,20.0,8.0,1.0,29.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,2,0,Bochum,417.0,356.0,55.0,15.0,0.0,2.0,14,22.0,3.0,0.0,3.0,0.0,262.0,6.0,6.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,2,0,Bochum,24.0,19.0,2.0,0.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,2,0,Bochum,19.0,12,13.0,4.0,2.0,6.0,10.0,60.0,4.0,14.0,7.0,7.0,12,31,34.0,0.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,2,0,Bochum,50.0,548.0,100.0,232.0,196.0,124.0,29.0,547.0,13.0,4.0,30.8,8.0,61.5,201.0,1012.0,443.0,10.0,6.0,5.0,21.0,5.0,260.0,29.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,2,0,Bochum,2,0,0,10,14,6,14,12,12,1.0,0.0,0,60.0,26.0,21.0,55.3,Match Report
2022-09-09,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,0,1,Augsburg,0,11,6,54.5,0.0,0.0,19.8,0.0,0,1,1.3,0.4,0.04,-1.3,-0.4,Match Report,2022-09-09,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,0,1,Augsburg,6,1,5,83.3,0,1.1,0.1,0,0,0,0,12.0,24.0,50.0,38.0,9.0,50.0,42.6,8.0,62.5,41.3,12.0,4.0,33.3,4.0,14.1,Match Report,2022-09-09,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,0,1,Augsburg,466.0,602.0,77.4,8829.0,3415.0,175.0,200.0,87.5,196.0,237.0,82.7,69.0,114.0,60.5,0,0.7,1.1,10.0,46.0,10.0,2.0,54.0,Match Report,2022-09-09,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,0,1,Augsburg,602.0,552.0,49.0,16.0,0.0,6.0,16,20.0,3.0,1.0,2.0,0.0,466.0,1.0,12.0,Match Report,2022-09-09,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,0,1,Augsburg,20.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-09,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,0,1,Augsburg,15.0,8,8.0,5.0,2.0,11.0,13.0,84.6,2.0,9.0,4.0,5.0,8,23,21.0,0.0,Match Report,2022-09-09,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,0,1,Augsburg,68.0,708.0,78.0,240.0,324.0,144.0,20.0,707.0,7.0,3.0,42.9,3.0,42.9,293.0,1505.0,731.0,8.0,10.0,1.0,15.0,10.0,455.0,54.0,Match Report,2022-09-09,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,0,1,Augsburg,4,0,0,12,11,1,16,8,8,0.0,0.0,0,51.0,24.0,21.0,53.3,Match Report
2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Leverkusen,1,19,7,36.8,0.05,0.14,16.7,1.0,0,0,2.1,2.1,0.11,-1.1,-1.1,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Leverkusen,7,1,6,85.7,0,1.2,0.2,0,0,0,0,12.0,23.0,52.2,31.0,3.0,51.6,39.2,12.0,58.3,46.4,17.0,0.0,0.0,0.0,12.5,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Leverkusen,371.0,470.0,78.9,7051.0,3002.0,172.0,186.0,92.5,130.0,159.0,81.8,59.0,101.0,58.4,0,1.7,1.2,16.0,31.0,10.0,2.0,37.0,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Leverkusen,470.0,430.0,38.0,4.0,1.0,9.0,14,14.0,6.0,3.0,2.0,0.0,371.0,2.0,5.0,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Leverkusen,32.0,22.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Leverkusen,25.0,13,8.0,14.0,3.0,8.0,14.0,57.1,6.0,14.0,1.0,13.0,7,32,26.0,0.0,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Leverkusen,46.0,600.0,86.0,202.0,266.0,139.0,29.0,600.0,10.0,6.0,60.0,3.0,30.0,341.0,1459.0,721.0,11.0,7.0,8.0,18.0,8.0,368.0,37.0,Match Report,2022-09-17,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Leverkusen,3,0,0,14,5,2,14,7,13,0.0,0.0,0,56.0,13.0,15.0,46.4,Match Report
2022-10-01,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,W,5,1,Gladbach,4,14,8,57.1,0.29,0.5,15.4,0.0,0,0,1.9,1.9,0.14,2.1,2.1,Match Report,2022-10-01,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,W,5,1,Gladbach,8,1,7,87.5,0,2.3,1.3,0,0,0,0,7.0,13.0,53.8,35.0,4.0,28.6,32.4,7.0,42.9,41.3,10.0,0.0,0.0,2.0,23.3,Match Report,2022-10-01,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,W,5,1,Gladbach,395.0,489.0,80.8,7275.0,2719.0,192.0,216.0,88.9,136.0,168.0,81.0,58.0,87.0,66.7,3,1.6,2.2,12.0,30.0,7.0,3.0,25.0,Match Report,2022-10-01,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,W,5,1,Gladbach,489.0,450.0,39.0,11.0,2.0,6.0,20,15.0,4.0,0.0,1.0,0.0,395.0,0.0,6.0,Match Report,2022-10-01,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,W,5,1,Gladbach,25.0,23.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-10-01,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,W,5,1,Gladbach,16.0,13,5.0,10.0,1.0,10.0,19.0,52.6,9.0,8.0,1.0,7.0,13,29,10.0,0.0,Match Report,2022-10-01,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,W,5,1,Gladbach,47.0,593.0,69.0,232.0,265.0,103.0,21.0,593.0,18.0,9.0,50.0,8.0,44.4,337.0,1565.0,617.0,15.0,6.0,5.0,11.0,2.0,391.0,25.0,Match Report,2022-10-01,18:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,W,5,1,Gladbach,0,0,0,8,7,0,20,13,13,0.0,0.0,0,55.0,7.0,11.0,38.9,Match Report
2022-10-07,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,W,2,1,Hoffenheim,2,7,2,28.6,0.14,0.5,19.4,0.0,1,1,1.3,0.6,0.08,0.7,0.4,Match Report,2022-10-07,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,W,2,1,Hoffenheim,6,1,5,83.3,0,1.5,0.5,0,0,0,0,7.0,18.0,38.9,27.0,3.0,40.7,38.1,13.0,53.8,44.5,10.0,0.0,0.0,0.0,13.5,Match Report,2022-10-07,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,W,2,1,Hoffenheim,357.0,462.0,77.3,6710.0,2642.0,150.0,171.0,87.7,153.0,174.0,87.9,43.0,83.0,51.8,1,0.6,0.7,7.0,25.0,13.0,4.0,33.0,Match Report,2022-10-07,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,W,2,1,Hoffenheim,462.0,411.0,48.0,17.0,1.0,2.0,12,13.0,3.0,0.0,0.0,0.0,357.0,3.0,13.0,Match Report,2022-10-07,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,W,2,1,Hoffenheim,15.0,14.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,Match Report,2022-10-07,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,W,2,1,Hoffenheim,14.0,5,8.0,5.0,1.0,10.0,16.0,62.5,6.0,7.0,3.0,4.0,8,22,23.0,1.0,Match Report,2022-10-07,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,W,2,1,Hoffenheim,54.0,573.0,74.0,180.0,285.0,114.0,18.0,572.0,8.0,1.0,12.5,5.0,62.5,357.0,1726.0,886.0,10.0,10.0,1.0,18.0,7.0,353.0,33.0,Match Report,2022-10-07,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,W,2,1,Hoffenheim,3,0,0,19,12,3,12,8,5,1.0,0.0,0,50.0,19.0,13.0,59.4,Match Report
