Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-07-30,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,W,1.0,0.0,Carl Zeiss Jena,1,21,4,19.0,0.05,0.25,,,0,0,,,,,,Match Report,2022-07-30,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,W,1.0,0.0,Carl Zeiss Jena,5,0,5,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2022-07-30,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,W,1.0,0.0,Carl Zeiss Jena,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2022-07-30,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,W,1.0,0.0,Carl Zeiss Jena,,,,,,,24,,,,,,,,,Match Report,2022-07-30,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,W,1.0,0.0,Carl Zeiss Jena,,,,,,,,,,,,,,,Match Report,2022-07-30,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,W,1.0,0.0,Carl Zeiss Jena,,10,,,,,,,,,,,12,0,,,Match Report,2022-07-30,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,W,1.0,0.0,Carl Zeiss Jena,71.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-07-30,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,W,1.0,0.0,Carl Zeiss Jena,1,0,0,8,19,0,24,12,10,,,0,,,,,Match Report
2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,2.0,2.0,Werder Bremen,2,11,3,27.3,0.18,0.67,19.8,0.0,0,0,1.0,1.0,0.09,1.0,1.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,2.0,2.0,Werder Bremen,4,2,2,50.0,0,0.7,-1.3,0,0,0,0,3.0,11.0,27.3,31.0,10.0,29.0,29.3,4.0,50.0,45.5,9.0,0.0,0.0,3.0,19.6,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,2.0,2.0,Werder Bremen,465.0,604.0,77.0,8040.0,3281.0,201.0,242.0,83.1,188.0,217.0,86.6,53.0,92.0,57.6,1,0.8,1.3,7.0,37.0,8.0,2.0,44.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,2.0,2.0,Werder Bremen,604.0,539.0,64.0,18.0,4.0,3.0,16,37.0,2.0,1.0,0.0,0.0,465.0,1.0,11.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,2.0,2.0,Werder Bremen,21.0,14.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,2.0,2.0,Werder Bremen,15.0,11,5.0,5.0,5.0,6.0,18.0,33.3,12.0,12.0,3.0,9.0,11,26,13.0,0.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,2.0,2.0,Werder Bremen,61.0,717.0,52.0,202.0,358.0,165.0,17.0,717.0,25.0,17.0,68.0,6.0,24.0,377.0,2268.0,1054.0,16.0,9.0,2.0,19.0,10.0,464.0,43.0,Match Report,2022-08-06,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,2.0,2.0,Werder Bremen,2,0,0,11,14,1,16,11,11,0.0,0.0,0,66.0,13.0,20.0,39.4,Match Report
2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,0.0,2.0,Bayern Munich,0,8,2,25.0,0.0,0.0,19.1,2.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,0.0,2.0,Bayern Munich,8,2,6,75.0,0,1.7,-0.3,0,0,0,0,16.0,26.0,61.5,30.0,4.0,70.0,50.2,7.0,71.4,55.9,15.0,1.0,6.7,0.0,5.0,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,0.0,2.0,Bayern Munich,213.0,310.0,68.7,4790.0,2443.0,81.0,102.0,79.4,81.0,106.0,76.4,47.0,85.0,55.3,0,0.4,0.8,6.0,32.0,3.0,1.0,20.0,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,0.0,2.0,Bayern Munich,310.0,264.0,44.0,11.0,2.0,5.0,10,19.0,4.0,4.0,0.0,0.0,213.0,2.0,4.0,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,0.0,2.0,Bayern Munich,15.0,11.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,0.0,2.0,Bayern Munich,21.0,7,9.0,10.0,2.0,7.0,18.0,38.9,11.0,11.0,6.0,5.0,13,34,27.0,0.0,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,0.0,2.0,Bayern Munich,32.0,432.0,62.0,161.0,176.0,99.0,14.0,432.0,15.0,7.0,46.7,8.0,53.3,147.0,705.0,293.0,8.0,6.0,4.0,13.0,13.0,211.0,19.0,Match Report,2022-08-14,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,0.0,2.0,Bayern Munich,1,0,0,10,6,2,10,13,7,0.0,0.0,0,42.0,14.0,10.0,58.3,Match Report
2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,0.0,0.0,Schalke 04,0,17,6,35.3,0.0,0.0,15.2,0.0,0,0,1.3,1.3,0.08,-1.3,-1.3,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,0.0,0.0,Schalke 04,2,0,1,100.0,1,1.1,1.1,1,0,1,0,9.0,12.0,75.0,38.0,4.0,28.9,28.8,6.0,16.7,27.2,10.0,2.0,20.0,3.0,16.5,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,0.0,0.0,Schalke 04,536.0,650.0,82.5,11263.0,3669.0,168.0,192.0,87.5,282.0,321.0,87.9,83.0,112.0,74.1,0,1.1,1.6,14.0,40.0,17.0,3.0,65.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,0.0,0.0,Schalke 04,650.0,592.0,56.0,17.0,0.0,12.0,36,20.0,12.0,11.0,0.0,0.0,536.0,2.0,18.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,0.0,0.0,Schalke 04,33.0,25.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,0.0,0.0,Schalke 04,11.0,5,4.0,5.0,2.0,5.0,9.0,55.6,4.0,9.0,1.0,8.0,3,14,26.0,0.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,0.0,0.0,Schalke 04,71.0,784.0,63.0,214.0,344.0,230.0,32.0,784.0,23.0,6.0,26.1,15.0,65.2,400.0,1805.0,969.0,16.0,15.0,3.0,14.0,8.0,530.0,65.0,Match Report,2022-08-20,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,0.0,0.0,Schalke 04,1,0,0,13,10,2,36,3,5,0.0,1.0,0,48.0,24.0,17.0,58.5,Match Report
2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,2.0,RB Leipzig,0,9,4,44.4,0.0,0.0,17.4,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,2.0,RB Leipzig,7,2,5,85.7,0,2.7,0.7,1,1,0,0,6.0,7.0,85.7,27.0,11.0,22.2,29.3,11.0,9.1,26.5,13.0,1.0,7.7,4.0,24.8,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,2.0,RB Leipzig,436.0,540.0,80.7,9168.0,2916.0,129.0,147.0,87.8,229.0,265.0,86.4,72.0,108.0,66.7,0,0.4,0.5,7.0,21.0,5.0,1.0,28.0,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,2.0,RB Leipzig,540.0,483.0,56.0,21.0,2.0,7.0,16,17.0,4.0,4.0,0.0,0.0,436.0,1.0,9.0,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,2.0,RB Leipzig,17.0,11.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,2.0,RB Leipzig,13.0,8,7.0,5.0,1.0,8.0,18.0,44.4,10.0,17.0,3.0,14.0,18,31,15.0,3.0,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,2.0,RB Leipzig,57.0,648.0,68.0,209.0,342.0,100.0,11.0,648.0,14.0,8.0,57.1,6.0,42.9,377.0,1686.0,975.0,10.0,9.0,3.0,17.0,4.0,432.0,27.0,Match Report,2022-08-27,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,2.0,RB Leipzig,3,0,0,15,19,1,16,18,8,0.0,1.0,0,43.0,12.0,12.0,50.0,Match Report
2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,2.0,4.0,Köln,2,9,3,33.3,0.22,0.67,14.5,0.0,0,0,1.0,1.0,0.12,1.0,1.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,2.0,4.0,Köln,5,4,2,40.0,0,2.9,-0.1,1,1,0,0,17.0,28.0,60.7,33.0,2.0,60.6,45.3,15.0,53.3,45.9,12.0,0.0,0.0,4.0,20.7,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,2.0,4.0,Köln,335.0,445.0,75.3,7474.0,3161.0,108.0,128.0,84.4,161.0,192.0,83.9,64.0,103.0,62.1,2,0.9,1.8,7.0,39.0,8.0,3.0,31.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,2.0,4.0,Köln,445.0,370.0,73.0,18.0,0.0,5.0,24,30.0,5.0,5.0,0.0,0.0,335.0,2.0,11.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,2.0,4.0,Köln,14.0,6.0,4.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,2.0,4.0,Köln,18.0,11,8.0,8.0,2.0,13.0,25.0,52.0,12.0,13.0,6.0,7.0,11,29,13.0,0.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,2.0,4.0,Köln,51.0,562.0,80.0,189.0,241.0,137.0,20.0,562.0,20.0,4.0,20.0,14.0,70.0,263.0,1268.0,476.0,9.0,4.0,0.0,23.0,5.0,330.0,30.0,Match Report,2022-09-03,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,2.0,4.0,Köln,2,0,0,13,14,2,24,11,11,0.0,1.0,1,56.0,20.0,15.0,57.1,Match Report
2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,1.0,0.0,Eint Frankfurt,1,7,3,42.9,0.14,0.33,12.3,0.0,0,0,1.0,1.0,0.14,0.0,0.0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,1.0,0.0,Eint Frankfurt,0,0,0,,1,0.0,0.0,0,0,0,0,11.0,17.0,64.7,40.0,7.0,37.5,36.3,10.0,20.0,27.8,17.0,1.0,5.9,0.0,7.5,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,1.0,0.0,Eint Frankfurt,256.0,349.0,73.4,5077.0,2344.0,99.0,116.0,85.3,110.0,127.0,86.6,39.0,77.0,50.6,1,1.0,0.7,7.0,18.0,2.0,0.0,13.0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,1.0,0.0,Eint Frankfurt,349.0,294.0,53.0,18.0,1.0,2.0,13,19.0,5.0,5.0,0.0,0.0,256.0,2.0,10.0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,1.0,0.0,Eint Frankfurt,14.0,6.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,1.0,0.0,Eint Frankfurt,10.0,7,7.0,2.0,1.0,3.0,7.0,42.9,4.0,11.0,3.0,8.0,15,25,33.0,0.0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,1.0,0.0,Eint Frankfurt,38.0,461.0,90.0,237.0,155.0,73.0,10.0,461.0,9.0,2.0,22.2,4.0,44.4,271.0,1078.0,486.0,6.0,5.0,1.0,15.0,6.0,252.0,12.0,Match Report,2022-09-10,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,1.0,0.0,Eint Frankfurt,4,0,0,13,15,2,13,15,7,0.0,0.0,0,46.0,9.0,12.0,42.9,Match Report
2022-09-18,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Union Berlin,0,5,0,0.0,0.0,,19.5,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2022-09-18,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Union Berlin,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,8.0,13.0,61.5,27.0,7.0,7.4,28.1,13.0,84.6,54.3,17.0,3.0,17.6,4.0,17.4,Match Report,2022-09-18,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Union Berlin,419.0,513.0,81.7,8597.0,3346.0,133.0,158.0,84.2,223.0,244.0,91.4,61.0,96.0,63.5,0,0.2,0.1,3.0,30.0,1.0,0.0,39.0,Match Report,2022-09-18,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Union Berlin,513.0,453.0,60.0,20.0,0.0,2.0,5,23.0,1.0,1.0,0.0,0.0,419.0,0.0,4.0,Match Report,2022-09-18,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Union Berlin,9.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-18,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Union Berlin,20.0,9,11.0,7.0,2.0,2.0,7.0,28.6,5.0,12.0,2.0,10.0,5,25,22.0,0.0,Match Report,2022-09-18,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Union Berlin,52.0,623.0,47.0,211.0,345.0,69.0,6.0,623.0,22.0,9.0,40.9,8.0,36.4,376.0,2053.0,975.0,13.0,5.0,3.0,20.0,10.0,417.0,39.0,Match Report,2022-09-18,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Union Berlin,0,0,0,6,18,0,5,5,9,0.0,0.0,0,45.0,15.0,10.0,60.0,Match Report
2022-10-01,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3.0,2.0,Stuttgart,3,19,6,31.6,0.16,0.5,18.4,0.0,0,0,2.0,2.0,0.11,1.0,1.0,Match Report,2022-10-01,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3.0,2.0,Stuttgart,7,2,5,71.4,0,3.2,1.2,0,0,0,0,7.0,12.0,58.3,31.0,3.0,29.0,33.9,9.0,33.3,37.6,12.0,0.0,0.0,0.0,8.0,Match Report,2022-10-01,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3.0,2.0,Stuttgart,381.0,485.0,78.6,7712.0,2871.0,122.0,146.0,83.6,184.0,213.0,86.4,57.0,87.0,65.5,3,1.7,1.4,12.0,30.0,11.0,3.0,40.0,Match Report,2022-10-01,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3.0,2.0,Stuttgart,485.0,430.0,54.0,14.0,1.0,5.0,22,20.0,8.0,3.0,5.0,0.0,381.0,1.0,9.0,Match Report,2022-10-01,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3.0,2.0,Stuttgart,29.0,23.0,1.0,0.0,4.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-10-01,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3.0,2.0,Stuttgart,19.0,11,11.0,6.0,2.0,11.0,17.0,64.7,6.0,9.0,2.0,7.0,2,21,12.0,0.0,Match Report,2022-10-01,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3.0,2.0,Stuttgart,57.0,584.0,49.0,203.0,244.0,142.0,23.0,584.0,9.0,1.0,11.1,5.0,55.6,272.0,1537.0,869.0,13.0,6.0,3.0,15.0,14.0,375.0,40.0,Match Report,2022-10-01,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,W,3.0,2.0,Stuttgart,3,0,0,16,14,1,22,2,11,0.0,0.0,0,47.0,14.0,9.0,60.9,Match Report
2022-10-08,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,D,1.0,1.0,Augsburg,1,11,7,63.6,0.09,0.14,14.9,0.0,0,0,1.8,1.8,0.17,-0.8,-0.8,Match Report,2022-10-08,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,D,1.0,1.0,Augsburg,5,1,4,80.0,0,2.0,1.0,0,0,0,0,9.0,30.0,30.0,38.0,6.0,60.5,45.2,8.0,87.5,60.0,23.0,1.0,4.3,0.0,12.0,Match Report,2022-10-08,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,D,1.0,1.0,Augsburg,245.0,357.0,68.6,4986.0,2227.0,92.0,120.0,76.7,97.0,121.0,80.2,50.0,99.0,50.5,1,1.6,2.1,8.0,19.0,3.0,1.0,23.0,Match Report,2022-10-08,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,D,1.0,1.0,Augsburg,357.0,303.0,52.0,21.0,1.0,5.0,22,16.0,5.0,4.0,1.0,0.0,245.0,2.0,7.0,Match Report,2022-10-08,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,D,1.0,1.0,Augsburg,20.0,13.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-10-08,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,D,1.0,1.0,Augsburg,12.0,8,7.0,4.0,1.0,7.0,10.0,70.0,3.0,7.0,5.0,2.0,8,20,32.0,0.0,Match Report,2022-10-08,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,D,1.0,1.0,Augsburg,51.0,491.0,94.0,200.0,170.0,123.0,17.0,491.0,17.0,4.0,23.5,10.0,58.8,209.0,868.0,432.0,7.0,6.0,2.0,21.0,3.0,242.0,23.0,Match Report,2022-10-08,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,D,1.0,1.0,Augsburg,3,0,0,11,17,2,22,8,8,0.0,0.0,0,50.0,33.0,19.0,63.5,Match Report
