Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,0,16,3,18.8,0.0,0.0,,,0,0,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,3,2,1,33.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,,,,,,,19,,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,,,,,,,,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,,3,,,,,,,,,,,12,0,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,63.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,1,0,0,10,7,1,19,12,3,,,0,,,,,Match Report
2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,4.0,4.0,Gladbach,4,19,6,31.6,0.16,0.5,19.1,1.0,1,1,2.3,1.5,0.08,1.7,1.5,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,4.0,4.0,Gladbach,5,4,1,40.0,0,2.7,-1.3,1,1,0,0,3.0,10.0,30.0,43.0,2.0,16.3,23.8,6.0,50.0,40.7,13.0,0.0,0.0,4.0,23.4,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,4.0,4.0,Gladbach,423.0,524.0,80.7,7014.0,2777.0,205.0,220.0,93.2,173.0,207.0,83.6,29.0,57.0,50.9,3,1.4,1.9,17.0,30.0,12.0,3.0,44.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,4.0,4.0,Gladbach,524.0,473.0,47.0,12.0,2.0,2.0,23,16.0,8.0,6.0,1.0,0.0,423.0,4.0,12.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,4.0,4.0,Gladbach,36.0,32.0,1.0,1.0,0.0,2.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,4.0,4.0,Gladbach,13.0,6,6.0,5.0,2.0,6.0,13.0,46.2,7.0,6.0,2.0,4.0,12,25,11.0,0.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,4.0,4.0,Gladbach,56.0,620.0,61.0,198.0,288.0,140.0,26.0,619.0,7.0,2.0,28.6,5.0,71.4,433.0,2147.0,1054.0,17.0,11.0,2.0,16.0,5.0,417.0,43.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,D,4.0,4.0,Gladbach,1,0,0,9,13,4,23,12,6,1.0,1.0,0,58.0,22.0,15.0,59.5,Match Report
2023-08-27,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,1.0,3.0,Bayern Munich,1,10,2,20.0,0.1,0.5,26.4,0.0,0,0,0.7,0.7,0.07,0.3,0.3,Match Report,2023-08-27,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,1.0,3.0,Bayern Munich,5,3,3,60.0,0,1.7,-0.3,1,1,0,0,3.0,7.0,42.9,69.0,0.0,8.7,26.9,13.0,7.7,18.2,20.0,0.0,0.0,2.0,16.2,Match Report,2023-08-27,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,1.0,3.0,Bayern Munich,337.0,422.0,79.9,6343.0,2336.0,119.0,137.0,86.9,187.0,214.0,87.4,29.0,52.0,55.8,1,0.5,1.0,6.0,13.0,7.0,1.0,24.0,Match Report,2023-08-27,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,1.0,3.0,Bayern Munich,422.0,370.0,50.0,15.0,3.0,1.0,12,14.0,4.0,0.0,3.0,0.0,337.0,2.0,7.0,Match Report,2023-08-27,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,1.0,3.0,Bayern Munich,13.0,10.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-27,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,1.0,3.0,Bayern Munich,18.0,11,9.0,6.0,3.0,7.0,23.0,30.4,16.0,14.0,6.0,8.0,5,23,26.0,0.0,Match Report,2023-08-27,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,1.0,3.0,Bayern Munich,39.0,538.0,109.0,299.0,150.0,91.0,13.0,538.0,12.0,5.0,41.7,7.0,58.3,314.0,1604.0,867.0,8.0,7.0,2.0,14.0,6.0,334.0,23.0,Match Report,2023-08-27,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,1.0,3.0,Bayern Munich,2,0,0,8,13,2,12,5,11,0.0,1.0,1,47.0,8.0,13.0,38.1,Match Report
2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,2.0,2.0,Bochum,2,11,4,36.4,0.18,0.5,13.6,0.0,0,0,1.9,1.9,0.2,0.1,0.1,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,2.0,2.0,Bochum,8,2,6,75.0,0,3.4,1.4,0,0,0,0,4.0,17.0,23.5,39.0,8.0,38.5,37.4,7.0,28.6,38.9,13.0,1.0,7.7,1.0,12.2,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,2.0,2.0,Bochum,186.0,311.0,59.8,3769.0,1874.0,64.0,93.0,68.8,91.0,124.0,73.4,27.0,79.0,34.2,1,1.2,1.2,9.0,12.0,4.0,2.0,17.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,2.0,2.0,Bochum,311.0,256.0,54.0,16.0,2.0,2.0,9,25.0,3.0,3.0,0.0,0.0,186.0,1.0,9.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,2.0,2.0,Bochum,19.0,13.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,2.0,2.0,Bochum,11.0,9,6.0,5.0,0.0,3.0,8.0,37.5,5.0,16.0,9.0,7.0,9,20,31.0,0.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,2.0,2.0,Bochum,38.0,441.0,82.0,222.0,158.0,67.0,18.0,441.0,17.0,7.0,41.2,9.0,52.9,152.0,816.0,390.0,6.0,4.0,2.0,14.0,6.0,181.0,17.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,D,2.0,2.0,Bochum,2,0,0,15,12,1,9,9,9,0.0,0.0,0,49.0,26.0,28.0,48.1,Match Report
2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,3.0,RB Leipzig,0,16,5,31.3,0.0,0.0,16.5,0.0,0,0,1.7,1.7,0.11,-1.7,-1.7,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,3.0,RB Leipzig,6,3,3,50.0,0,1.6,-1.4,0,0,0,0,2.0,5.0,40.0,32.0,5.0,12.5,22.9,4.0,25.0,28.0,4.0,1.0,25.0,1.0,13.6,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,3.0,RB Leipzig,356.0,458.0,77.7,6853.0,2482.0,136.0,157.0,86.6,163.0,190.0,85.8,48.0,83.0,57.8,0,0.9,1.4,11.0,28.0,8.0,4.0,30.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,3.0,RB Leipzig,458.0,405.0,52.0,18.0,0.0,3.0,23,20.0,6.0,3.0,3.0,0.0,356.0,1.0,16.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,3.0,RB Leipzig,28.0,19.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,3.0,RB Leipzig,10.0,5,4.0,5.0,1.0,4.0,14.0,28.6,10.0,5.0,2.0,3.0,4,14,9.0,1.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,3.0,RB Leipzig,46.0,535.0,42.0,184.0,248.0,109.0,30.0,535.0,12.0,9.0,75.0,3.0,25.0,318.0,1386.0,692.0,10.0,8.0,3.0,13.0,9.0,354.0,30.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,L,0.0,3.0,RB Leipzig,0,0,0,12,15,1,23,4,5,0.0,0.0,0,42.0,11.0,9.0,55.0,Match Report
2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,2.0,1.0,Mainz 05,2,5,3,60.0,0.4,0.67,20.8,0.0,0,0,0.8,0.8,0.16,1.2,1.2,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,2.0,1.0,Mainz 05,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,8.0,26.0,30.8,50.0,3.0,44.0,39.3,6.0,66.7,49.0,20.0,5.0,25.0,2.0,11.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,2.0,1.0,Mainz 05,286.0,409.0,69.9,5617.0,2228.0,115.0,140.0,82.1,131.0,169.0,77.5,37.0,84.0,44.0,1,0.7,0.6,4.0,20.0,3.0,1.0,18.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,2.0,1.0,Mainz 05,409.0,366.0,42.0,17.0,0.0,3.0,14,14.0,3.0,2.0,1.0,0.0,286.0,1.0,8.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,2.0,1.0,Mainz 05,10.0,8.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,2.0,1.0,Mainz 05,22.0,9,10.0,11.0,1.0,11.0,19.0,57.9,8.0,17.0,6.0,11.0,7,29,28.0,0.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,2.0,1.0,Mainz 05,41.0,536.0,78.0,243.0,225.0,72.0,10.0,536.0,22.0,9.0,40.9,11.0,50.0,288.0,1489.0,660.0,8.0,7.0,0.0,13.0,4.0,281.0,17.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,W,2.0,1.0,Mainz 05,2,1,0,16,13,1,14,7,9,0.0,0.0,0,61.0,21.0,32.0,39.6,Match Report
2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Away,L,0.0,2.0,Freiburg,0,13,3,23.1,0.0,0.0,17.5,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Away,L,0.0,2.0,Freiburg,3,2,1,66.7,0,1.2,-0.8,1,1,0,0,4.0,9.0,44.4,49.0,3.0,18.4,25.0,3.0,0.0,10.7,9.0,2.0,22.2,1.0,12.5,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Away,L,0.0,2.0,Freiburg,312.0,438.0,71.2,5580.0,2069.0,120.0,148.0,81.1,154.0,191.0,80.6,29.0,70.0,41.4,0,0.6,0.9,8.0,23.0,4.0,2.0,27.0,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Away,L,0.0,2.0,Freiburg,438.0,390.0,46.0,13.0,0.0,0.0,14,24.0,3.0,3.0,0.0,0.0,312.0,2.0,3.0,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Away,L,0.0,2.0,Freiburg,20.0,7.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Away,L,0.0,2.0,Freiburg,11.0,8,5.0,3.0,3.0,8.0,8.0,100.0,0.0,10.0,2.0,8.0,11,22,19.0,0.0,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Away,L,0.0,2.0,Freiburg,47.0,551.0,38.0,203.0,236.0,119.0,23.0,551.0,18.0,11.0,61.1,7.0,38.9,272.0,1523.0,837.0,12.0,11.0,2.0,24.0,17.0,308.0,26.0,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Away,L,0.0,2.0,Freiburg,2,0,0,17,13,2,14,11,8,0.0,1.0,0,60.0,22.0,18.0,55.0,Match Report
2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1.0,2.0,Darmstadt 98,1,18,3,16.7,0.06,0.33,19.2,1.0,0,0,0.9,0.9,0.05,0.1,0.1,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1.0,2.0,Darmstadt 98,5,2,3,80.0,0,1.4,-0.6,1,1,0,0,4.0,14.0,28.6,42.0,2.0,28.6,31.8,5.0,40.0,35.8,12.0,0.0,0.0,4.0,19.8,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1.0,2.0,Darmstadt 98,296.0,419.0,70.6,5610.0,2177.0,119.0,146.0,81.5,138.0,177.0,78.0,36.0,77.0,46.8,0,0.7,0.9,12.0,32.0,10.0,4.0,30.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1.0,2.0,Darmstadt 98,419.0,367.0,46.0,12.0,2.0,3.0,29,22.0,4.0,0.0,4.0,0.0,296.0,6.0,6.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1.0,2.0,Darmstadt 98,31.0,21.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1.0,2.0,Darmstadt 98,9.0,6,2.0,3.0,4.0,4.0,10.0,40.0,6.0,14.0,5.0,9.0,9,18,13.0,1.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1.0,2.0,Darmstadt 98,48.0,518.0,51.0,163.0,208.0,157.0,31.0,518.0,21.0,12.0,57.1,7.0,33.3,319.0,1725.0,843.0,13.0,7.0,3.0,16.0,4.0,291.0,28.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,L,1.0,2.0,Darmstadt 98,4,0,0,13,12,6,29,9,6,0.0,1.0,0,54.0,16.0,18.0,47.1,Match Report
2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,W,5.0,2.0,Heidenheim,5,8,5,62.5,0.5,0.8,16.8,0.0,1,1,2.5,1.7,0.22,2.5,2.3,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,W,5.0,2.0,Heidenheim,5,2,3,60.0,0,2.2,0.2,0,0,0,0,7.0,13.0,53.8,34.0,1.0,29.4,33.2,7.0,42.9,38.6,16.0,0.0,0.0,0.0,10.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,W,5.0,2.0,Heidenheim,316.0,414.0,76.3,6423.0,2648.0,114.0,132.0,86.4,150.0,183.0,82.0,47.0,82.0,57.3,3,0.9,1.0,7.0,28.0,4.0,1.0,24.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,W,5.0,2.0,Heidenheim,414.0,359.0,54.0,11.0,2.0,3.0,12,28.0,5.0,1.0,4.0,0.0,316.0,1.0,7.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,W,5.0,2.0,Heidenheim,17.0,13.0,2.0,1.0,1.0,0.0,0.0,9.0,6.0,2.0,0.0,1.0,0.0,0.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,W,5.0,2.0,Heidenheim,12.0,8,4.0,7.0,1.0,6.0,13.0,46.2,7.0,15.0,3.0,12.0,5,17,24.0,0.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,W,5.0,2.0,Heidenheim,41.0,516.0,61.0,221.0,207.0,95.0,15.0,515.0,9.0,2.0,22.2,4.0,44.4,278.0,1538.0,764.0,10.0,4.0,2.0,19.0,6.0,311.0,23.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Away,W,5.0,2.0,Heidenheim,2,0,0,11,10,1,12,5,8,0.0,0.0,0,52.0,16.0,23.0,41.0,Match Report
2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,W,3.0,2.0,Wolfsburg,2,8,5,62.5,0.25,0.4,11.4,0.0,0,0,1.4,1.4,0.17,0.6,0.6,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,W,3.0,2.0,Wolfsburg,6,2,4,83.3,0,1.7,-0.3,1,1,0,0,10.0,20.0,50.0,39.0,1.0,43.6,37.0,5.0,60.0,47.2,21.0,1.0,4.8,4.0,27.1,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,W,3.0,2.0,Wolfsburg,289.0,395.0,73.2,5689.0,2536.0,116.0,141.0,82.3,124.0,153.0,81.0,44.0,80.0,55.0,1,0.9,0.7,7.0,31.0,9.0,4.0,31.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,W,3.0,2.0,Wolfsburg,395.0,341.0,48.0,15.0,0.0,2.0,24,20.0,5.0,0.0,5.0,0.0,289.0,6.0,7.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,W,3.0,2.0,Wolfsburg,16.0,14.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,W,3.0,2.0,Wolfsburg,9.0,5,3.0,4.0,2.0,4.0,9.0,44.4,5.0,7.0,3.0,4.0,4,13,31.0,0.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,W,3.0,2.0,Wolfsburg,40.0,491.0,61.0,180.0,211.0,103.0,21.0,491.0,15.0,7.0,46.7,7.0,46.7,257.0,1242.0,656.0,9.0,5.0,4.0,15.0,2.0,282.0,31.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,W,3.0,2.0,Wolfsburg,6,1,1,17,14,6,24,4,5,0.0,1.0,0,55.0,17.0,12.0,58.6,Match Report
