Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-12,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,8,0,FC Teutonia Ottensen,8,22,11,50.0,0.32,0.64,,,1,1,,,,,,Match Report,2023-08-12,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,8,0,FC Teutonia Ottensen,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-08-12,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,8,0,FC Teutonia Ottensen,,,,,,,,,,,,,,,5,,,,,,,,Match Report,2023-08-12,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,8,0,FC Teutonia Ottensen,,,,,,,18,,,,,,,,,Match Report,2023-08-12,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,8,0,FC Teutonia Ottensen,,,,,,,,,,,,,,,Match Report,2023-08-12,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,8,0,FC Teutonia Ottensen,,10,,,,,,,,,,,6,0,,,Match Report,2023-08-12,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,8,0,FC Teutonia Ottensen,66,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-12,15:30 (06:30),DFB-Pokal,Round of 64,Sat,Away,W,8,0,FC Teutonia Ottensen,1,0,0,12,9,2,18,6,10,,,0,,,,,Match Report
2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,3,11,7,63.6,0.27,0.43,19.0,0,0,0,1.4,1.4,0.13,+1.6,+1.6,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,7,13,53.8,19,4,52.6,40.9,6,50.0,43.2,11,2,18.2,1,12.4,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,380,475,80.0,6130,2150,191,214,89.3,144,177,81.4,28,52,53.8,3,1.3,1.5,8,31,8,3,26,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,475,438,35,10,1,3,15,12,4,3,0,0,380,2,8,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,18,12,1,4,1,0,0,6,4,1,0,1,0,0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,15,11,5,6,4,8,17,47.1,9,14,4,10,8,23,15,0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,44,574,47,147,289,146,14,574,22,11,50.0,9,40.9,307,1965,1104,29,21,3,9,7,375,26,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,1,0,0,13,9,2,15,8,11,0,0,0,61,12,13,48.0,Match Report
2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,3,24,11,45.8,0.13,0.27,15.8,0,0,0,2.7,2.7,0.11,+0.3,+0.3,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,4,11,36.4,26,5,38.5,32.2,10,20.0,21.8,15,1,6.7,1,8.8,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,649,740,87.7,9491,3417,364,385,94.5,197,222,88.7,43,63,68.3,3,2.4,3.1,22,43,21,0,54,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,740,693,45,8,4,4,10,18,8,2,1,0,649,2,7,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,43,39,2,1,1,0,0,6,5,0,1,0,0,0,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,16,11,9,6,1,9,9,100.0,0,9,2,7,9,25,11,0,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,60,854,58,197,437,232,46,854,16,7,43.8,7,43.8,435,2587,1487,31,24,7,21,13,644,53,Match Report,2023-08-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,3,0,0,8,6,2,10,9,11,0,0,0,64,5,7,41.7,Match Report
2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,5,25,13,52.0,0.20,0.38,17.3,1,0,0,2.8,2.8,0.11,+2.2,+2.2,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,1,1,0,0.0,0,0.3,-0.7,0,0,0,0,0,1,0.0,20,5,5.0,20.4,1,0.0,12.0,4,0,0.0,3,30.3,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,727,812,89.5,10511,3807,443,472,93.9,236,257,91.8,27,36,75.0,5,2.4,2.8,20,79,17,2,86,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,812,775,36,11,1,3,14,18,4,1,3,0,727,1,15,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,46,38,0,5,2,1,0,10,8,0,2,0,0,0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,7,4,2,4,1,5,7,71.4,2,10,4,6,4,11,3,0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,72,913,26,104,474,345,35,913,26,15,57.7,8,30.8,577,2980,1725,27,30,6,20,14,722,83,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,3,0,0,8,10,1,14,4,4,0,0,0,66,7,6,53.8,Match Report
2023-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,2,12,4,33.3,0.08,0.25,20.7,1,1,1,2.1,1.3,0.11,-0.1,-0.3,Match Report,2023-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,9,2,7,77.8,0,3.0,+1.0,0,0,0,0,3,8,37.5,21,6,28.6,30.6,7,28.6,32.1,18,2,11.1,1,14.2,Match Report,2023-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,512,601,85.2,8322,3157,275,296,92.9,192,213,90.1,36,55,65.5,0,1.1,0.9,10,42,12,0,50,Match Report,2023-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,601,561,37,5,1,2,9,18,4,0,3,0,512,3,19,Match Report,2023-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,23,14,1,5,0,2,1,4,1,1,0,0,2,0,Match Report,2023-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,23,12,12,8,3,9,20,45.0,11,9,2,7,21,44,19,0,Match Report,2023-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,49,744,79,246,355,151,28,743,33,16,48.5,17,51.5,465,2191,1065,18,5,4,21,6,511,50,Match Report,2023-09-15,20:30 (11:30),Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,3,0,0,6,6,3,9,21,12,1,0,0,63,7,13,35.0,Match Report
2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,4,22,10,45.5,0.18,0.40,20.2,0,0,0,3.0,3.0,0.14,+1.0,+1.0,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,6,0,6,100.0,1,0.9,+0.9,0,0,0,0,2,4,50.0,29,5,10.3,23.2,6,16.7,27.7,11,0,0.0,0,13.5,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,634,688,92.2,9813,3162,319,335,95.2,242,255,94.9,38,48,79.2,4,2.7,2.0,18,38,12,0,51,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,688,650,34,9,2,7,11,12,6,0,4,0,634,4,4,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,40,32,2,2,3,0,1,8,7,0,1,0,0,0,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,22,11,13,6,3,11,25,44.0,14,11,2,9,9,31,13,1,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,56,794,76,207,424,173,34,794,16,8,50.0,6,37.5,420,2317,1407,25,16,8,16,4,633,51,Match Report,2023-09-21,18:45 (09:45),Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,1,0,0,10,8,4,11,9,11,0,0,0,50,4,1,80.0,Match Report
2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,4,20,9,45.0,0.15,0.33,16.7,0,1,1,3.4,2.7,0.14,+0.6,+0.3,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,2,1,1,50.0,0,1.2,+0.2,0,0,0,0,2,2,100.0,25,5,8.0,24.5,2,0.0,22.0,7,2,28.6,0,10.0,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,779,865,90.1,12531,3803,421,447,94.2,269,293,91.8,65,77,84.4,3,2.5,1.6,16,71,15,1,64,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,865,822,41,9,3,7,15,21,7,1,3,0,779,2,14,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,38,25,0,6,5,1,1,8,5,0,1,1,1,0,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,14,10,3,7,4,6,10,60.0,4,11,0,11,4,18,12,0,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,71,964,40,177,515,276,38,963,23,14,60.9,6,26.1,661,3172,1668,31,23,11,17,10,776,64,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,1,0,0,9,10,2,15,4,10,1,0,0,57,14,6,70.0,Match Report
2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,2,6,3,50.0,0.33,0.67,20.6,2,0,0,1.1,1.1,0.19,+0.9,+0.9,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,2,6,33.3,24,6,16.7,28.2,7,71.4,41.6,13,2,15.4,1,14.3,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,552,637,86.7,8740,2900,314,339,92.6,203,222,91.4,33,53,62.3,1,0.9,0.8,3,26,4,0,31,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,637,598,38,12,4,1,8,17,1,0,1,0,552,1,12,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,10,6,0,1,1,2,0,4,3,0,0,0,1,0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,15,8,8,6,1,6,16,37.5,10,16,3,13,7,22,24,1,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,55,752,57,205,447,107,17,752,20,12,60.0,7,35.0,419,2028,1070,17,12,5,20,5,546,30,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,1,0,0,11,12,1,8,7,8,0,0,0,52,18,6,75.0,Match Report
2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,2,12,3,25.0,0.17,0.67,16.4,1,0,0,1.7,1.7,0.14,+0.3,+0.3,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,5,1,4,80.0,0,1.7,+0.7,0,0,0,0,4,11,36.4,48,2,18.8,27.9,7,42.9,35.1,9,0,0.0,1,20.0,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,660,744,88.7,10021,2937,356,383,93.0,238,260,91.5,38,56,67.9,2,1.5,1.3,9,31,10,1,41,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,744,704,39,12,3,2,7,15,3,1,1,0,660,1,8,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,21,19,0,0,0,1,1,4,3,0,0,0,0,1,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,13,7,6,5,2,6,17,35.3,11,10,3,7,8,21,16,0,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,62,847,83,225,442,185,21,847,14,5,35.7,8,57.1,547,3188,1444,22,35,4,16,2,649,41,Match Report,2023-10-05,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,0,0,0,6,11,1,7,8,7,0,0,0,50,6,11,35.3,Match Report
2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,3,23,10,43.5,0.13,0.30,16.6,0,0,0,3.2,3.2,0.14,-0.2,-0.2,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,3,0,3,100.0,1,1.1,+1.1,0,0,0,0,1,1,100.0,24,2,0.0,18.1,5,20.0,31.4,11,0,0.0,1,27.0,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,705,775,91.0,10832,3539,388,413,93.9,242,260,93.1,46,56,82.1,3,3.1,2.8,21,44,14,0,53,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,775,732,41,7,3,4,14,17,11,5,2,1,705,2,10,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,41,28,5,6,1,1,0,6,5,0,1,0,0,0,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,7,4,1,4,2,3,10,30.0,7,17,1,16,7,14,8,0,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,64,886,39,188,489,213,41,886,23,13,56.5,9,39.1,481,2424,1333,28,18,7,18,7,702,52,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,3,0,0,8,7,2,14,7,4,0,0,0,54,4,10,28.6,Match Report
