Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-12,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,2,22,7,31.8,0.09,0.29,,,0,0,,,,,,Match Report,2023-08-12,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,2,2,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-08-12,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2023-08-12,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,,,,,,,35,,,,,,,,,Match Report,2023-08-12,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,,,,,,,,,,,,,,,Match Report,2023-08-12,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,,16,,,,,,,,,,,13,0,,,Match Report,2023-08-12,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,58.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-12,18:00 (09:00),DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,3,0,0,13,16,4,35,13,16,,,0,,,,,Match Report
2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,0,4,1,25.0,0.0,0.0,11.8,0.0,0,0,0.8,0.8,0.21,-0.8,-0.8,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,9,5,4,44.4,0,4.5,-0.5,0,0,0,0,8.0,24.0,33.3,40.0,6.0,50.0,36.1,8.0,50.0,37.0,21.0,0.0,0.0,2.0,22.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,298.0,402.0,74.1,5384.0,1700.0,128.0,145.0,88.3,135.0,160.0,84.4,30.0,76.0,39.5,0,0.6,0.3,2.0,15.0,3.0,0.0,24.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,402.0,359.0,41.0,7.0,2.0,0.0,8,20.0,0.0,0.0,0.0,0.0,298.0,2.0,6.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,24.0,16,16.0,8.0,0.0,13.0,23.0,56.5,10.0,13.0,6.0,7.0,9,33,24.0,0.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,40.0,495.0,76.0,215.0,238.0,44.0,5.0,495.0,6.0,2.0,33.3,3.0,50.0,290.0,1388.0,780.0,8.0,1.0,1.0,5.0,4.0,294.0,24.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,1,0,0,12,5,2,8,9,16,0.0,0.0,0,38.0,15.0,21.0,41.7,Match Report
2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,1,20,7,35.0,0.05,0.14,17.8,0.0,0,0,1.0,1.0,0.05,0.0,0.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,14.0,32.0,43.8,35.0,1.0,74.3,48.1,12.0,50.0,36.4,15.0,0.0,0.0,1.0,9.7,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,202.0,320.0,63.1,4283.0,2141.0,73.0,100.0,73.0,86.0,116.0,74.1,41.0,86.0,47.7,1,0.8,0.8,14.0,21.0,8.0,3.0,29.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,320.0,263.0,51.0,7.0,1.0,0.0,13,25.0,5.0,3.0,2.0,0.0,202.0,6.0,5.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,33.0,22.0,5.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,20.0,12,10.0,10.0,0.0,13.0,17.0,76.5,4.0,9.0,0.0,9.0,15,35,24.0,0.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,36.0,453.0,65.0,150.0,189.0,120.0,22.0,453.0,12.0,6.0,50.0,5.0,41.7,213.0,1070.0,579.0,11.0,5.0,3.0,12.0,10.0,200.0,28.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,2,0,0,21,7,6,13,15,12,0.0,0.0,0,59.0,22.0,31.0,41.5,Match Report
2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,2,21,8,38.1,0.1,0.25,20.6,2.0,0,0,1.6,1.6,0.08,0.4,0.4,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,4,2,2,50.0,0,1.4,-0.6,0,0,0,0,9.0,23.0,39.1,51.0,0.0,43.1,34.4,5.0,20.0,33.8,7.0,0.0,0.0,5.0,29.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,362.0,507.0,71.4,7232.0,2763.0,116.0,155.0,74.8,192.0,235.0,81.7,45.0,95.0,47.4,2,1.2,1.3,14.0,33.0,10.0,1.0,44.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,507.0,456.0,48.0,13.0,2.0,3.0,18,22.0,5.0,0.0,5.0,0.0,362.0,3.0,8.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,33.0,20.0,4.0,0.0,6.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,15.0,9,3.0,9.0,3.0,9.0,16.0,56.3,7.0,9.0,0.0,9.0,4,19,19.0,0.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,62.0,615.0,33.0,139.0,357.0,124.0,24.0,615.0,9.0,5.0,55.6,3.0,33.3,237.0,1639.0,748.0,12.0,10.0,3.0,15.0,8.0,357.0,44.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,2,0,0,13,15,3,18,4,9,0.0,0.0,0,56.0,28.0,26.0,51.9,Match Report
2023-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,1,21,6,28.6,0.0,0.0,21.7,1.0,1,1,2.0,1.3,0.06,-1.0,-1.3,Match Report,2023-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,6,1,5,83.3,0,1.2,0.2,0,0,0,0,12.0,29.0,41.4,52.0,5.0,51.9,38.7,5.0,40.0,38.4,8.0,0.0,0.0,9.0,27.3,Match Report,2023-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,330.0,488.0,67.6,6071.0,2745.0,130.0,170.0,76.5,142.0,188.0,75.5,36.0,91.0,39.6,0,1.1,1.7,15.0,26.0,15.0,6.0,44.0,Match Report,2023-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,488.0,436.0,52.0,13.0,0.0,4.0,25,24.0,8.0,1.0,5.0,0.0,330.0,0.0,5.0,Match Report,2023-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,35.0,25.0,5.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Match Report,2023-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,26.0,14,7.0,13.0,6.0,13.0,23.0,56.5,10.0,15.0,1.0,14.0,12,38,12.0,0.0,Match Report,2023-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,49.0,625.0,41.0,157.0,290.0,184.0,33.0,624.0,17.0,6.0,35.3,9.0,52.9,207.0,1076.0,646.0,7.0,7.0,1.0,14.0,5.0,323.0,44.0,Match Report,2023-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,3,0,0,14,14,0,25,12,14,1.0,0.0,0,83.0,28.0,22.0,56.0,Match Report
2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,0,4,1,25.0,0.0,0.0,25.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,15,7,8,60.0,0,5.4,-1.6,1,1,0,0,13.0,32.0,40.6,44.0,4.0,65.9,40.4,6.0,50.0,41.2,13.0,0.0,0.0,2.0,14.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,287.0,385.0,74.5,5064.0,1978.0,137.0,157.0,87.3,105.0,127.0,82.7,31.0,76.0,40.8,0,0.0,0.2,1.0,26.0,2.0,0.0,21.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,385.0,351.0,32.0,10.0,0.0,3.0,14,7.0,1.0,1.0,0.0,0.0,287.0,2.0,4.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,25.0,17,11.0,6.0,8.0,13.0,34.0,38.2,21.0,13.0,4.0,9.0,3,28,19.0,2.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,38.0,491.0,83.0,196.0,211.0,88.0,5.0,491.0,13.0,7.0,53.8,4.0,30.8,248.0,1157.0,590.0,9.0,2.0,0.0,15.0,6.0,285.0,21.0,Match Report,2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,1,0,0,10,8,2,14,3,17,0.0,1.0,0,52.0,9.0,17.0,34.6,Match Report
2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,1,3,Gladbach,1,24,4,16.7,0.04,0.25,18.5,0.0,0,0,1.7,1.7,0.07,-0.7,-0.7,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,1,3,Gladbach,8,3,5,62.5,0,2.9,-0.1,0,0,0,0,18.0,41.0,43.9,51.0,3.0,68.6,45.0,11.0,54.5,38.6,17.0,0.0,0.0,4.0,34.5,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,1,3,Gladbach,341.0,497.0,68.6,6711.0,3323.0,141.0,175.0,80.6,125.0,173.0,72.3,60.0,115.0,52.2,1,1.4,1.9,20.0,43.0,16.0,5.0,50.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,1,3,Gladbach,497.0,438.0,57.0,15.0,1.0,1.0,36,22.0,5.0,2.0,2.0,0.0,341.0,2.0,7.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,1,3,Gladbach,45.0,33.0,6.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,1,3,Gladbach,12.0,6,8.0,3.0,1.0,8.0,17.0,47.1,9.0,14.0,8.0,6.0,9,21,15.0,0.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,1,3,Gladbach,58.0,609.0,73.0,157.0,278.0,179.0,36.0,609.0,7.0,3.0,42.9,4.0,57.1,252.0,1572.0,737.0,21.0,16.0,2.0,13.0,6.0,338.0,49.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,1,3,Gladbach,2,0,0,12,11,2,36,9,6,0.0,0.0,0,62.0,33.0,29.0,53.2,Match Report
2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,0,0,RB Leipzig,0,9,2,22.2,0.0,0.0,19.4,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,0,0,RB Leipzig,5,0,3,100.0,1,2.3,2.3,2,0,2,0,7.0,25.0,28.0,25.0,3.0,68.0,48.0,10.0,80.0,52.7,26.0,6.0,23.1,0.0,7.4,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,0,0,RB Leipzig,145.0,241.0,60.2,2816.0,1502.0,67.0,91.0,73.6,49.0,75.0,65.3,24.0,59.0,40.7,0,0.3,0.2,5.0,11.0,4.0,0.0,17.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,0,0,RB Leipzig,241.0,197.0,41.0,10.0,0.0,3.0,6,19.0,1.0,0.0,1.0,0.0,145.0,3.0,7.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,0,0,RB Leipzig,18.0,11.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,0,0,RB Leipzig,26.0,15,14.0,11.0,1.0,5.0,14.0,35.7,9.0,13.0,6.0,7.0,13,39,33.0,0.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,0,0,RB Leipzig,25.0,372.0,95.0,185.0,135.0,56.0,16.0,372.0,6.0,4.0,66.7,2.0,33.3,117.0,715.0,324.0,5.0,2.0,2.0,13.0,10.0,144.0,17.0,Match Report,2023-10-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,0,0,RB Leipzig,4,0,0,13,10,3,6,13,15,0.0,2.0,0,49.0,9.0,18.0,33.3,Match Report
2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,1,13,3,23.1,0.08,0.33,19.1,0.0,0,0,1.5,1.5,0.11,-0.5,-0.5,Match Report,2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,5,2,3,80.0,0,2.3,0.3,1,1,0,0,10.0,37.0,27.0,57.0,1.0,64.9,46.4,8.0,0.0,16.8,19.0,0.0,0.0,3.0,21.8,Match Report,2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,283.0,397.0,71.3,5901.0,2451.0,95.0,120.0,79.2,145.0,168.0,86.3,41.0,95.0,43.2,1,1.5,1.5,11.0,26.0,7.0,1.0,29.0,Match Report,2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,397.0,348.0,48.0,15.0,1.0,5.0,13,20.0,2.0,1.0,1.0,0.0,283.0,1.0,6.0,Match Report,2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,22.0,17.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,15.0,10,7.0,5.0,3.0,8.0,16.0,50.0,8.0,9.0,4.0,5.0,13,28,17.0,0.0,Match Report,2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,42.0,498.0,55.0,188.0,209.0,105.0,20.0,498.0,15.0,10.0,66.7,3.0,20.0,278.0,1225.0,672.0,14.0,6.0,3.0,14.0,5.0,282.0,29.0,Match Report,2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,4,0,0,16,10,1,13,13,10,0.0,1.0,0,50.0,25.0,31.0,44.6,Match Report
2023-10-27,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Home,D,2,2,Mainz 05,2,11,3,27.3,0.09,0.33,19.3,0.0,1,1,1.4,0.6,0.06,0.6,0.4,Match Report,2023-10-27,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Home,D,2,2,Mainz 05,3,2,2,33.3,0,0.7,-0.3,0,0,0,0,15.0,47.0,31.9,62.0,2.0,71.0,46.0,3.0,100.0,71.0,10.0,2.0,20.0,3.0,21.7,Match Report,2023-10-27,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Home,D,2,2,Mainz 05,286.0,448.0,63.8,5433.0,2455.0,116.0,157.0,73.9,129.0,176.0,73.3,34.0,93.0,36.6,1,0.5,0.8,8.0,21.0,4.0,3.0,25.0,Match Report,2023-10-27,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Home,D,2,2,Mainz 05,448.0,385.0,61.0,22.0,2.0,1.0,16,29.0,5.0,1.0,2.0,0.0,286.0,2.0,9.0,Match Report,2023-10-27,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Home,D,2,2,Mainz 05,21.0,12.0,5.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,Match Report,2023-10-27,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Home,D,2,2,Mainz 05,12.0,9,4.0,6.0,2.0,8.0,14.0,57.1,6.0,12.0,3.0,9.0,16,28,14.0,0.0,Match Report,2023-10-27,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Home,D,2,2,Mainz 05,50.0,569.0,52.0,180.0,259.0,132.0,22.0,568.0,14.0,7.0,50.0,4.0,28.6,271.0,1247.0,497.0,9.0,12.0,2.0,19.0,13.0,282.0,25.0,Match Report,2023-10-27,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Home,D,2,2,Mainz 05,3,0,0,14,19,2,16,16,9,1.0,0.0,1,70.0,33.0,37.0,47.1,Match Report
