Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,W,2,0,SV Oberachern,2,30,11,36.7,0.07,0.18,,,0,0,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,W,2,0,SV Oberachern,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,W,2,0,SV Oberachern,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,W,2,0,SV Oberachern,,,,,,,35,,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,W,2,0,SV Oberachern,,,,,,,,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,W,2,0,SV Oberachern,,4,,,,,,,,,,,7,0,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,W,2,0,SV Oberachern,76,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-13,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,W,2,0,SV Oberachern,0,0,0,4,18,1,35,7,4,,,0,,,,,Match Report
2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,2,1,Hoffenheim,1,18,7,38.9,0.06,0.14,14.8,0,0,0,2.6,2.6,0.15,-1.6,-1.6,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,2,1,Hoffenheim,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,5,25,20.0,38,6,52.6,42.3,7,71.4,54.0,15,0,0.0,0,8.5,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,2,1,Hoffenheim,369,494,74.7,6684,2605,164,196,83.7,153,181,84.5,43,91,47.3,0,1.8,1.4,15,24,11,4,31,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,2,1,Hoffenheim,494,456,38,12,0,3,23,15,2,0,0,0,369,0,6,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,2,1,Hoffenheim,33,27,1,2,2,1,0,1,0,0,0,1,0,0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,2,1,Hoffenheim,17,7,11,5,1,5,9,55.6,4,24,11,13,11,28,15,0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,2,1,Hoffenheim,50,610,82,219,240,155,28,610,23,14,60.9,6,26.1,378,1821,842,23,13,7,10,5,365,30,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,W,2,1,Hoffenheim,1,0,0,9,9,0,23,11,7,0,0,0,57,25,20,55.6,Match Report
2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Werder Bremen,1,23,7,30.4,0.04,0.14,15.6,0,0,0,2.4,2.4,0.12,-1.4,-1.4,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Werder Bremen,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6,28,21.4,32,3,53.1,45.0,13,84.6,59.8,16,2,12.5,1,10.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Werder Bremen,367,494,74.3,6873,2692,149,187,79.7,169,200,84.5,41,89,46.1,1,1.6,0.8,17,44,10,4,38,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Werder Bremen,494,443,48,9,0,0,20,20,5,3,1,0,367,3,6,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Werder Bremen,38,26,3,1,8,0,0,2,2,0,0,0,0,0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Werder Bremen,8,5,6,1,1,2,6,33.3,4,12,4,8,11,19,27,0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Werder Bremen,49,614,67,187,286,145,27,614,12,6,50.0,4,33.3,356,1857,819,15,14,3,11,7,361,36,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,W,1,0,Werder Bremen,2,0,0,9,7,3,20,11,5,0,0,0,70,25,23,52.1,Match Report
2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,5,Stuttgart,0,13,7,53.8,0.00,0.00,13.7,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,5,Stuttgart,6,5,1,16.7,0,3.2,-1.8,0,0,0,0,5,10,50.0,45,4,8.9,23.4,8,75.0,53.6,11,0,0.0,1,24.0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,5,Stuttgart,474,573,82.7,8669,3101,197,224,87.9,227,262,86.6,42,65,64.6,0,0.6,0.8,10,34,6,4,44,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,5,Stuttgart,573,525,47,10,1,5,15,19,4,1,2,0,474,1,5,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,5,Stuttgart,21,16,1,0,3,0,1,0,0,0,0,0,0,0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,5,Stuttgart,18,14,8,10,0,8,24,33.3,16,5,0,5,3,21,12,0,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,5,Stuttgart,52,652,72,228,332,97,10,652,9,3,33.3,4,44.4,413,2290,1045,12,6,0,13,7,467,44,Match Report,2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,5,Stuttgart,1,0,0,10,9,1,15,3,14,0,0,0,49,17,10,63.0,Match Report
2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,2,4,Dortmund,2,15,4,26.7,0.13,0.50,15.8,1,0,0,1.0,1.0,0.07,+1.0,+1.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,2,4,Dortmund,7,4,3,42.9,0,3.5,-0.5,0,0,0,0,3,17,17.6,30,2,50.0,37.3,7,28.6,33.6,12,0,0.0,1,30.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,2,4,Dortmund,359,456,78.7,6137,2069,175,193,90.7,140,156,89.7,31,77,40.3,2,0.8,0.8,11,29,4,2,36,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,2,4,Dortmund,456,402,51,16,0,4,19,17,6,4,2,0,359,3,6,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,2,4,Dortmund,27,13,6,2,2,4,0,4,2,1,0,0,1,0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,2,4,Dortmund,14,7,6,3,5,3,7,42.9,4,9,3,6,3,17,14,0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,2,4,Dortmund,50,542,65,173,263,108,16,542,17,8,47.1,8,47.1,217,1161,645,10,10,3,4,2,357,35,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,2,4,Dortmund,2,1,0,12,16,3,19,3,7,0,0,0,46,19,19,50.0,Match Report
2023-09-21,22:00 (12:00),Europa Lg,Group stage,Thu,Away,W,3,2,gr Olympiacos,3,12,5,41.7,0.17,0.40,17.0,0,1,1,1.6,0.8,0.07,+1.4,+1.2,Match Report,2023-09-21,22:00 (12:00),Europa Lg,Group stage,Thu,Away,W,3,2,gr Olympiacos,4,2,2,50.0,0,2.5,+0.5,0,0,0,0,2,18,11.1,38,5,31.6,33.5,8,75.0,59.0,24,1,4.2,0,7.3,Match Report,2023-09-21,22:00 (12:00),Europa Lg,Group stage,Thu,Away,W,3,2,gr Olympiacos,385,500,77.0,6889,2337,162,186,87.1,166,195,85.1,45,91,49.5,1,0.3,0.5,7,22,7,3,30,Match Report,2023-09-21,22:00 (12:00),Europa Lg,Group stage,Thu,Away,W,3,2,gr Olympiacos,500,446,54,15,0,4,12,23,5,0,4,0,385,0,8,Match Report,2023-09-21,22:00 (12:00),Europa Lg,Group stage,Thu,Away,W,3,2,gr Olympiacos,20,11,3,3,1,2,0,4,2,0,1,0,1,0,Match Report,2023-09-21,22:00 (12:00),Europa Lg,Group stage,Thu,Away,W,3,2,gr Olympiacos,11,8,3,6,2,4,15,26.7,11,13,6,7,5,16,32,2,Match Report,2023-09-21,22:00 (12:00),Europa Lg,Group stage,Thu,Away,W,3,2,gr Olympiacos,53,621,81,212,281,129,21,620,21,11,52.4,8,38.1,392,1954,775,7,5,2,22,3,381,30,Match Report,2023-09-21,22:00 (12:00),Europa Lg,Group stage,Thu,Away,W,3,2,gr Olympiacos,3,0,0,12,14,0,12,5,8,1,0,0,49,24,23,51.1,Match Report
2023-09-24,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Away,D,0,0,Eint Frankfurt,0,7,1,14.3,0.00,0.00,17.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report,2023-09-24,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Away,D,0,0,Eint Frankfurt,4,0,4,100.0,1,0.6,+0.6,0,0,0,0,5,14,35.7,34,11,14.7,30.3,11,81.8,58.7,15,1,6.7,1,12.7,Match Report,2023-09-24,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Away,D,0,0,Eint Frankfurt,335,461,72.7,6633,2597,131,157,83.4,146,184,79.3,50,84,59.5,0,0.4,0.6,5,15,4,1,29,Match Report,2023-09-24,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Away,D,0,0,Eint Frankfurt,461,408,49,12,0,4,13,22,3,0,3,0,335,4,17,Match Report,2023-09-24,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Away,D,0,0,Eint Frankfurt,12,10,1,0,1,0,0,0,0,0,0,0,0,0,Match Report,2023-09-24,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Away,D,0,0,Eint Frankfurt,30,19,19,9,2,16,24,66.7,8,23,6,17,15,45,20,0,Match Report,2023-09-24,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Away,D,0,0,Eint Frankfurt,43,600,75,240,256,108,21,600,16,6,37.5,9,56.3,336,1896,826,12,8,3,18,9,331,29,Match Report,2023-09-24,17:30 (08:30),Bundesliga,Matchweek 5,Sun,Away,D,0,0,Eint Frankfurt,2,0,0,5,12,4,13,15,19,0,0,0,61,15,14,51.7,Match Report
2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Home,W,2,0,Augsburg,2,6,2,33.3,0.17,0.50,20.1,0,1,1,1.0,0.2,0.04,+1.0,+0.8,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Home,W,2,0,Augsburg,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,6,25,24.0,45,4,37.8,34.6,9,88.9,59.2,11,0,0.0,0,8.8,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Home,W,2,0,Augsburg,360,493,73.0,6168,2179,178,208,85.6,144,190,75.8,29,75,38.7,1,0.2,0.3,4,15,4,0,23,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Home,W,2,0,Augsburg,493,441,52,18,0,0,14,22,2,2,0,0,360,0,7,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Home,W,2,0,Augsburg,13,9,1,0,1,2,0,4,1,1,0,1,1,0,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Home,W,2,0,Augsburg,24,12,18,3,3,7,18,38.9,11,8,5,3,6,30,27,1,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Home,W,2,0,Augsburg,53,623,84,269,273,86,14,622,13,0,0.0,8,61.5,355,1780,860,16,6,6,20,3,355,23,Match Report,2023-10-01,17:30 (08:30),Bundesliga,Matchweek 6,Sun,Home,W,2,0,Augsburg,2,0,0,13,16,0,14,6,12,1,0,0,59,18,22,45.0,Match Report
2023-10-05,18:45 (09:45),Europa Lg,Group stage,Thu,Home,L,1,2,eng West Ham,1,11,5,45.5,0.09,0.20,15.0,0,0,0,1.5,1.5,0.17,-0.5,-0.5,Match Report,2023-10-05,18:45 (09:45),Europa Lg,Group stage,Thu,Home,L,1,2,eng West Ham,5,2,3,60.0,0,0.7,-1.3,0,0,0,0,6,18,33.3,55,4,20.0,27.0,7,100.0,66.9,10,0,0.0,3,23.3,Match Report,2023-10-05,18:45 (09:45),Europa Lg,Group stage,Thu,Home,L,1,2,eng West Ham,485,610,79.5,8239,2811,211,247,85.4,228,261,87.4,32,74,43.2,0,0.8,0.7,7,31,7,1,39,Match Report,2023-10-05,18:45 (09:45),Europa Lg,Group stage,Thu,Home,L,1,2,eng West Ham,610,570,40,8,2,1,18,19,3,0,3,0,485,0,5,Match Report,2023-10-05,18:45 (09:45),Europa Lg,Group stage,Thu,Home,L,1,2,eng West Ham,19,14,1,0,4,0,0,1,0,0,0,1,0,0,Match Report,2023-10-05,18:45 (09:45),Europa Lg,Group stage,Thu,Home,L,1,2,eng West Ham,17,7,10,6,1,5,16,31.3,11,14,2,12,10,27,9,2,Match Report,2023-10-05,18:45 (09:45),Europa Lg,Group stage,Thu,Home,L,1,2,eng West Ham,55,709,70,246,347,122,15,709,14,6,42.9,7,50.0,395,2350,1233,16,14,3,15,4,480,39,Match Report,2023-10-05,18:45 (09:45),Europa Lg,Group stage,Thu,Home,L,1,2,eng West Ham,1,0,0,8,6,0,18,10,7,0,0,0,56,20,17,54.1,Match Report
2023-10-08,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,L,0,3,Bayern Munich,0,2,0,0.0,0.00,,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report,2023-10-08,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,L,0,3,Bayern Munich,6,3,3,50.0,0,2.3,-0.7,0,0,0,0,4,17,23.5,28,6,39.3,35.0,11,54.5,48.0,14,1,7.1,0,9.7,Match Report,2023-10-08,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,L,0,3,Bayern Munich,254,361,70.4,4129,1661,123,143,86.0,108,144,75.0,17,52,32.7,0,0.1,0.1,2,12,3,0,14,Match Report,2023-10-08,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,L,0,3,Bayern Munich,361,319,39,8,0,2,3,15,1,0,0,0,254,3,9,Match Report,2023-10-08,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,L,0,3,Bayern Munich,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,2023-10-08,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,L,0,3,Bayern Munich,18,10,11,5,2,7,19,36.8,12,21,7,14,9,27,28,0,Match Report,2023-10-08,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,L,0,3,Bayern Munich,31,474,96,237,180,59,9,474,5,3,60.0,2,40.0,271,1129,588,8,6,3,15,10,251,14,Match Report,2023-10-08,17:30 (08:30),Bundesliga,Matchweek 7,Sun,Away,L,0,3,Bayern Munich,0,0,0,8,7,3,3,9,10,0,0,0,54,7,12,36.8,Match Report
