Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-13,13:00 (04:00),DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,8,39,21,53.8,0.21,0.38,,,0,0,,,,,,Match Report,2023-08-13,13:00 (04:00),DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-08-13,13:00 (04:00),DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,,,,,,,,,,,,,,,4,,,,,,,,Match Report,2023-08-13,13:00 (04:00),DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,,,,,,,34,,,,,,,,,Match Report,2023-08-13,13:00 (04:00),DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,,,,,,,,,,,,,,,Match Report,2023-08-13,13:00 (04:00),DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,,17,,,,,,,,,,,15,0,,,Match Report,2023-08-13,13:00 (04:00),DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,63.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-13,13:00 (04:00),DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,0,0,0,10,21,2,34,15,17,,,0,,,,,Match Report
2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,0,14,1,7.1,0.0,0.0,16.3,0.0,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,8,2,6,75.0,0,2.4,0.4,0,0,0,0,6.0,14.0,42.9,47.0,9.0,23.4,33.6,8.0,37.5,29.0,6.0,0.0,0.0,0.0,5.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,420.0,542.0,77.5,8504.0,2976.0,134.0,172.0,77.9,210.0,229.0,91.7,67.0,103.0,65.0,0,1.0,1.4,10.0,32.0,9.0,3.0,41.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,542.0,487.0,55.0,12.0,0.0,2.0,24,25.0,7.0,4.0,3.0,0.0,420.0,0.0,19.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,22.0,15.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,20.0,11,9.0,8.0,3.0,12.0,19.0,63.2,7.0,16.0,3.0,13.0,13,33,7.0,2.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,52.0,655.0,61.0,214.0,292.0,155.0,20.0,655.0,29.0,13.0,44.8,13.0,44.8,351.0,1816.0,979.0,17.0,12.0,2.0,15.0,4.0,418.0,41.0,Match Report,2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,0,0,0,9,10,0,24,13,11,0.0,0.0,0,51.0,21.0,18.0,53.8,Match Report
2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,2,19,7,36.8,0.11,0.29,18.2,1.0,0,1,2.4,1.7,0.09,-0.4,0.3,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,6,3,3,66.7,0,2.3,-0.7,1,1,0,0,10.0,18.0,55.6,26.0,2.0,50.0,42.8,10.0,50.0,48.8,19.0,0.0,0.0,2.0,16.4,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,226.0,340.0,66.5,4752.0,2228.0,81.0,108.0,75.0,89.0,119.0,74.8,47.0,89.0,52.8,1,1.3,1.5,14.0,13.0,10.0,4.0,32.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,340.0,278.0,62.0,8.0,0.0,2.0,27,30.0,10.0,8.0,0.0,0.0,226.0,0.0,12.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,33.0,18.0,7.0,0.0,6.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,14.0,7,10.0,3.0,1.0,11.0,20.0,55.0,9.0,13.0,4.0,9.0,8,22,32.0,0.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,38.0,459.0,71.0,191.0,120.0,156.0,35.0,458.0,15.0,6.0,40.0,7.0,46.7,189.0,1134.0,602.0,18.0,10.0,3.0,7.0,4.0,225.0,32.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,1,0,0,13,7,0,27,8,7,0.0,1.0,0,46.0,15.0,21.0,41.7,Match Report
2023-09-01,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,2,13,5,38.5,0.08,0.2,19.6,1.0,1,1,2.1,1.4,0.12,-0.1,-0.4,Match Report,2023-09-01,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,8,2,6,87.5,0,2.4,0.4,1,1,0,0,9.0,17.0,52.9,23.0,4.0,47.8,36.3,10.0,60.0,43.8,14.0,0.0,0.0,3.0,18.8,Match Report,2023-09-01,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,235.0,346.0,67.9,4867.0,2442.0,76.0,102.0,74.5,114.0,140.0,81.4,38.0,71.0,53.5,1,0.5,0.8,6.0,21.0,4.0,0.0,36.0,Match Report,2023-09-01,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,346.0,293.0,50.0,9.0,1.0,3.0,19,22.0,6.0,3.0,3.0,0.0,235.0,3.0,18.0,Match Report,2023-09-01,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,23.0,13.0,1.0,2.0,3.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,Match Report,2023-09-01,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,13.0,8,5.0,6.0,2.0,4.0,15.0,26.7,11.0,13.0,2.0,11.0,8,21,26.0,0.0,Match Report,2023-09-01,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,38.0,460.0,68.0,165.0,191.0,110.0,22.0,459.0,15.0,11.0,73.3,4.0,26.7,242.0,1444.0,777.0,18.0,12.0,6.0,11.0,8.0,232.0,36.0,Match Report,2023-09-01,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,3,0,0,22,8,3,19,8,8,1.0,1.0,0,54.0,11.0,9.0,55.0,Match Report
2023-09-17,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,4,17,4,23.5,0.18,0.75,18.2,1.0,1,1,2.2,1.5,0.09,1.8,1.5,Match Report,2023-09-17,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,4,2,1,50.0,0,1.9,-0.1,1,0,1,0,11.0,25.0,44.0,38.0,7.0,55.3,40.0,10.0,40.0,39.3,12.0,1.0,8.3,0.0,8.0,Match Report,2023-09-17,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,263.0,371.0,70.9,5495.0,2476.0,97.0,119.0,81.5,104.0,127.0,81.9,52.0,98.0,53.1,3,1.2,0.6,12.0,17.0,4.0,2.0,26.0,Match Report,2023-09-17,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,371.0,325.0,45.0,7.0,0.0,3.0,24,15.0,10.0,4.0,5.0,0.0,263.0,1.0,7.0,Match Report,2023-09-17,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,32.0,20.0,3.0,3.0,2.0,1.0,3.0,7.0,4.0,0.0,1.0,1.0,0.0,1.0,Match Report,2023-09-17,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,11.0,6,9.0,1.0,1.0,5.0,17.0,29.4,12.0,8.0,2.0,6.0,15,26,17.0,0.0,Match Report,2023-09-17,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,41.0,487.0,63.0,184.0,199.0,113.0,18.0,486.0,17.0,7.0,41.2,10.0,58.8,265.0,1466.0,794.0,18.0,16.0,3.0,21.0,13.0,257.0,25.0,Match Report,2023-09-17,15:30 (06:30),Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,1,0,0,20,7,1,24,15,6,0.0,1.0,0,57.0,31.0,16.0,66.0,Match Report
2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1.0,4.0,Leverkusen,1,2,2,100.0,0.5,0.5,13.8,0.0,0,0,0.5,0.5,0.26,0.5,0.5,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1.0,4.0,Leverkusen,10,4,6,70.0,0,3.8,-0.2,1,1,0,0,5.0,16.0,31.3,33.0,5.0,36.4,33.1,8.0,50.0,40.9,10.0,0.0,0.0,0.0,8.7,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1.0,4.0,Leverkusen,264.0,357.0,73.9,4651.0,1735.0,122.0,140.0,87.1,107.0,134.0,79.9,28.0,62.0,45.2,1,0.1,0.4,1.0,9.0,1.0,0.0,15.0,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1.0,4.0,Leverkusen,357.0,309.0,48.0,11.0,2.0,2.0,9,22.0,2.0,2.0,0.0,0.0,264.0,0.0,11.0,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1.0,4.0,Leverkusen,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1.0,4.0,Leverkusen,16.0,7,8.0,5.0,3.0,6.0,20.0,30.0,14.0,17.0,5.0,12.0,14,30,23.0,0.0,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1.0,4.0,Leverkusen,29.0,464.0,88.0,244.0,174.0,51.0,5.0,464.0,10.0,4.0,40.0,6.0,60.0,222.0,1276.0,630.0,10.0,8.0,2.0,11.0,8.0,261.0,15.0,Match Report,2023-09-24,15:30 (06:30),Bundesliga,Matchweek 5,Sun,Away,L,1.0,4.0,Leverkusen,1,0,0,10,8,0,9,14,7,0.0,1.0,0,48.0,6.0,14.0,30.0,Match Report
2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Union Berlin,1,10,4,40.0,0.1,0.25,20.6,1.0,0,0,0.8,0.8,0.08,0.2,0.2,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Union Berlin,8,0,8,100.0,1,1.6,1.6,0,0,0,0,10.0,22.0,45.5,37.0,7.0,35.1,39.3,14.0,64.3,47.7,27.0,3.0,11.1,1.0,13.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Union Berlin,336.0,460.0,73.0,7480.0,2881.0,89.0,114.0,78.1,184.0,218.0,84.4,60.0,109.0,55.0,0,0.6,0.6,7.0,20.0,1.0,1.0,22.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Union Berlin,460.0,396.0,63.0,14.0,0.0,5.0,18,29.0,5.0,1.0,4.0,0.0,336.0,1.0,13.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Union Berlin,16.0,10.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Union Berlin,18.0,11,14.0,4.0,0.0,6.0,12.0,50.0,6.0,9.0,4.0,5.0,7,25,30.0,0.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Union Berlin,50.0,571.0,87.0,246.0,226.0,104.0,13.0,571.0,8.0,4.0,50.0,4.0,50.0,279.0,1823.0,1058.0,17.0,11.0,5.0,14.0,9.0,336.0,22.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Union Berlin,1,0,0,11,14,1,18,7,11,0.0,0.0,0,48.0,18.0,21.0,46.2,Match Report
2023-10-08,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Eint Frankfurt,0,7,2,28.6,0.0,0.0,17.9,0.0,0,0,1.2,1.2,0.17,-1.2,-1.2,Match Report,2023-10-08,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Eint Frankfurt,6,2,4,66.7,0,0.8,-1.2,1,0,0,1,4.0,13.0,30.8,55.0,2.0,18.2,31.9,8.0,37.5,36.6,12.0,1.0,8.3,0.0,14.5,Match Report,2023-10-08,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Eint Frankfurt,416.0,556.0,74.8,9459.0,3188.0,90.0,129.0,69.8,238.0,273.0,87.2,86.0,131.0,65.6,0,1.1,0.7,5.0,18.0,10.0,2.0,31.0,Match Report,2023-10-08,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Eint Frankfurt,556.0,490.0,63.0,16.0,1.0,4.0,25,30.0,6.0,2.0,4.0,0.0,416.0,3.0,16.0,Match Report,2023-10-08,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Eint Frankfurt,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-08,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Eint Frankfurt,23.0,11,11.0,8.0,4.0,13.0,21.0,61.9,8.0,8.0,2.0,6.0,7,30,13.0,0.0,Match Report,2023-10-08,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Eint Frankfurt,51.0,674.0,80.0,272.0,297.0,112.0,20.0,674.0,18.0,4.0,22.2,12.0,66.7,289.0,1633.0,642.0,9.0,11.0,1.0,23.0,16.0,412.0,31.0,Match Report,2023-10-08,19:30 (10:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,2.0,Eint Frankfurt,3,0,0,10,12,3,25,7,11,0.0,1.0,0,71.0,29.0,17.0,63.0,Match Report
2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Home,L,2.0,5.0,Augsburg,2,15,5,33.3,0.13,0.4,14.3,0.0,0,0,1.5,1.5,0.11,0.5,0.5,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Home,L,2.0,5.0,Augsburg,6,5,1,33.3,0,3.1,-1.9,1,1,0,0,7.0,9.0,77.8,27.0,5.0,25.9,32.3,5.0,40.0,39.8,10.0,0.0,0.0,1.0,19.5,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Home,L,2.0,5.0,Augsburg,501.0,603.0,83.1,9895.0,3339.0,193.0,218.0,88.5,228.0,255.0,89.4,75.0,105.0,71.4,2,1.4,0.8,9.0,32.0,7.0,2.0,52.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Home,L,2.0,5.0,Augsburg,603.0,549.0,53.0,12.0,0.0,6.0,19,24.0,6.0,5.0,1.0,0.0,501.0,1.0,13.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Home,L,2.0,5.0,Augsburg,22.0,14.0,3.0,0.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Home,L,2.0,5.0,Augsburg,10.0,6,7.0,2.0,1.0,4.0,6.0,66.7,2.0,7.0,1.0,6.0,8,18,21.0,0.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Home,L,2.0,5.0,Augsburg,59.0,706.0,49.0,193.0,375.0,146.0,22.0,706.0,13.0,7.0,53.8,6.0,46.2,440.0,2409.0,1175.0,17.0,9.0,1.0,14.0,6.0,498.0,52.0,Match Report,2023-10-22,17:30 (08:30),Bundesliga,Matchweek 8,Sun,Home,L,2.0,5.0,Augsburg,3,0,0,11,11,1,19,8,6,0.0,1.0,0,53.0,23.0,16.0,59.0,Match Report
2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Gladbach,1,9,4,44.4,0.11,0.25,18.0,0.0,0,0,0.4,0.4,0.04,0.6,0.6,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Gladbach,5,2,4,60.0,0,1.0,0.0,0,0,0,0,2.0,11.0,18.2,33.0,3.0,30.3,35.1,4.0,25.0,38.3,12.0,1.0,8.3,0.0,9.5,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Gladbach,454.0,557.0,81.5,9075.0,2991.0,149.0,182.0,81.9,235.0,268.0,87.7,61.0,81.0,75.3,0,0.2,0.7,8.0,35.0,9.0,3.0,49.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Gladbach,557.0,510.0,47.0,6.0,0.0,7.0,23,30.0,4.0,1.0,3.0,0.0,454.0,0.0,9.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Gladbach,17.0,13.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Gladbach,14.0,8,7.0,6.0,1.0,8.0,23.0,34.8,15.0,17.0,4.0,13.0,8,22,12.0,0.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Gladbach,47.0,663.0,46.0,182.0,323.0,164.0,18.0,663.0,15.0,6.0,40.0,8.0,53.3,404.0,2353.0,1147.0,13.0,16.0,1.0,22.0,10.0,450.0,48.0,Match Report,2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Gladbach,3,0,0,17,4,0,23,8,8,0.0,0.0,1,57.0,17.0,21.0,44.7,Match Report
