For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,For Köln_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,For Köln_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-14,20:45 (11:45),DFB-Pokal,Round of 64,Mon,Away,W,3.0,1.0,Osnabrück,3,14,6,42.9,0.21,0.5,,,0,0,,,,,,Match Report,2023-08-14,20:45 (11:45),DFB-Pokal,Round of 64,Mon,Away,W,3.0,1.0,Osnabrück,5,1,5,80.0,0,,,1,0,1,0,,,,,,,,,,,,,,,,Match Report,2023-08-14,20:45 (11:45),DFB-Pokal,Round of 64,Mon,Away,W,3.0,1.0,Osnabrück,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2023-08-14,20:45 (11:45),DFB-Pokal,Round of 64,Mon,Away,W,3.0,1.0,Osnabrück,,,,,,,31,,,,,,,,,Match Report,2023-08-14,20:45 (11:45),DFB-Pokal,Round of 64,Mon,Away,W,3.0,1.0,Osnabrück,,,,,,,,,,,,,,,Match Report,2023-08-14,20:45 (11:45),DFB-Pokal,Round of 64,Mon,Away,W,3.0,1.0,Osnabrück,,14,,,,,,,,,,,8,0,,,Match Report,2023-08-14,20:45 (11:45),DFB-Pokal,Round of 64,Mon,Away,W,3.0,1.0,Osnabrück,46.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-14,20:45 (11:45),DFB-Pokal,Round of 64,Mon,Away,W,3.0,1.0,Osnabrück,2,0,0,15,13,4,31,8,14,,,0,,,,,Match Report
2023-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,1.0,Dortmund,0,11,4,36.4,0.0,0.0,16.5,0.0,0,0,1.2,1.2,0.11,-1.2,-1.2,Match Report,2023-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,1.0,Dortmund,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,4.0,11.0,36.4,27.0,5.0,37.0,31.7,7.0,14.3,18.1,13.0,0.0,0.0,0.0,7.0,Match Report,2023-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,1.0,Dortmund,288.0,390.0,73.8,4869.0,2034.0,122.0,150.0,81.3,126.0,158.0,79.7,25.0,50.0,50.0,0,1.3,2.0,11.0,24.0,10.0,2.0,34.0,Match Report,2023-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,1.0,Dortmund,390.0,338.0,50.0,14.0,2.0,2.0,20,24.0,3.0,1.0,2.0,0.0,288.0,2.0,10.0,Match Report,2023-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,1.0,Dortmund,21.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,1.0,Dortmund,20.0,14,14.0,4.0,2.0,13.0,25.0,52.0,12.0,18.0,5.0,13.0,12,32,23.0,0.0,Match Report,2023-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,1.0,Dortmund,34.0,510.0,63.0,215.0,184.0,117.0,29.0,510.0,13.0,7.0,53.8,5.0,38.5,258.0,1462.0,893.0,27.0,9.0,6.0,12.0,6.0,285.0,34.0,Match Report,2023-08-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0.0,1.0,Dortmund,0,0,0,11,11,2,20,12,14,0.0,0.0,0,48.0,14.0,15.0,48.3,Match Report
2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1.0,2.0,Wolfsburg,1,13,2,15.4,0.08,0.5,19.9,0.0,0,0,0.9,0.9,0.07,0.1,0.1,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1.0,2.0,Wolfsburg,6,2,4,66.7,0,2.6,0.6,0,0,0,0,2.0,5.0,40.0,35.0,3.0,14.3,26.0,4.0,0.0,25.8,5.0,0.0,0.0,1.0,20.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1.0,2.0,Wolfsburg,380.0,508.0,74.8,6741.0,2708.0,166.0,190.0,87.4,178.0,213.0,83.6,33.0,79.0,41.8,1,0.8,0.9,10.0,23.0,9.0,4.0,46.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1.0,2.0,Wolfsburg,508.0,446.0,56.0,10.0,1.0,1.0,25,33.0,6.0,1.0,2.0,0.0,380.0,6.0,16.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1.0,2.0,Wolfsburg,22.0,15.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1.0,2.0,Wolfsburg,14.0,8,6.0,7.0,1.0,6.0,19.0,31.6,13.0,13.0,0.0,13.0,13,27,11.0,0.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1.0,2.0,Wolfsburg,50.0,619.0,48.0,211.0,275.0,143.0,18.0,619.0,21.0,13.0,61.9,4.0,19.0,381.0,1837.0,784.0,19.0,11.0,1.0,16.0,12.0,375.0,46.0,Match Report,2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1.0,2.0,Wolfsburg,1,0,0,6,10,6,25,13,8,0.0,0.0,0,66.0,12.0,22.0,35.3,Match Report
2023-09-03,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,1,6,1,16.7,0.0,0.0,25.3,0.0,1,1,0.9,0.1,0.02,0.1,-0.1,Match Report,2023-09-03,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,11.0,23.0,47.8,43.0,4.0,46.5,36.6,8.0,37.5,27.6,15.0,0.0,0.0,0.0,5.0,Match Report,2023-09-03,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,306.0,415.0,73.7,5152.0,2094.0,143.0,165.0,86.7,110.0,134.0,82.1,35.0,77.0,45.5,0,0.1,0.4,3.0,13.0,4.0,0.0,30.0,Match Report,2023-09-03,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,415.0,376.0,39.0,11.0,0.0,4.0,13,17.0,1.0,0.0,1.0,0.0,306.0,0.0,17.0,Match Report,2023-09-03,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,13.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Match Report,2023-09-03,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,18.0,12,8.0,8.0,2.0,12.0,25.0,48.0,13.0,17.0,9.0,8.0,14,32,21.0,0.0,Match Report,2023-09-03,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,35.0,527.0,76.0,215.0,228.0,91.0,10.0,526.0,15.0,4.0,26.7,8.0,53.3,309.0,1508.0,691.0,10.0,11.0,2.0,12.0,6.0,301.0,30.0,Match Report,2023-09-03,15:30 (06:30),Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,3,0,0,10,10,0,13,14,12,1.0,0.0,0,54.0,11.0,17.0,39.3,Match Report
2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Hoffenheim,1,18,6,33.3,0.06,0.17,18.0,0.0,0,0,1.0,1.0,0.06,0.0,0.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Hoffenheim,5,3,2,40.0,0,1.9,-1.1,0,0,0,0,2.0,5.0,40.0,19.0,5.0,21.1,30.9,4.0,25.0,30.3,11.0,1.0,9.1,2.0,33.7,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Hoffenheim,356.0,493.0,72.2,6060.0,2659.0,167.0,199.0,83.9,144.0,176.0,81.8,33.0,76.0,43.4,1,0.9,1.1,15.0,29.0,12.0,2.0,52.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Hoffenheim,493.0,428.0,62.0,14.0,1.0,3.0,44,27.0,13.0,1.0,9.0,0.0,356.0,3.0,19.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Hoffenheim,33.0,19.0,7.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Hoffenheim,19.0,13,6.0,8.0,5.0,10.0,17.0,58.8,7.0,15.0,2.0,13.0,13,32,32.0,0.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Hoffenheim,56.0,623.0,50.0,167.0,261.0,203.0,35.0,623.0,16.0,8.0,50.0,5.0,31.3,361.0,1933.0,951.0,25.0,23.0,7.0,11.0,7.0,355.0,52.0,Match Report,2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Hoffenheim,4,1,1,15,14,3,44,13,13,0.0,0.0,0,67.0,21.0,11.0,65.6,Match Report
2023-09-23,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,L,1.0,2.0,Werder Bremen,1,14,4,28.6,0.07,0.25,14.7,1.0,0,0,1.3,1.3,0.11,-0.3,-0.3,Match Report,2023-09-23,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,L,1.0,2.0,Werder Bremen,6,2,4,66.7,0,2.0,0.0,0,0,0,0,10.0,25.0,40.0,54.0,7.0,40.7,36.2,6.0,50.0,44.5,11.0,0.0,0.0,0.0,6.3,Match Report,2023-09-23,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,L,1.0,2.0,Werder Bremen,384.0,523.0,73.4,6779.0,2844.0,177.0,201.0,88.1,159.0,194.0,82.0,38.0,94.0,40.4,0,0.8,0.9,10.0,29.0,7.0,1.0,36.0,Match Report,2023-09-23,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,L,1.0,2.0,Werder Bremen,523.0,461.0,60.0,18.0,0.0,2.0,23,25.0,8.0,7.0,1.0,0.0,384.0,2.0,14.0,Match Report,2023-09-23,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,L,1.0,2.0,Werder Bremen,24.0,12.0,4.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2023-09-23,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,L,1.0,2.0,Werder Bremen,27.0,14,9.0,15.0,3.0,12.0,24.0,50.0,12.0,13.0,5.0,8.0,7,34,12.0,0.0,Match Report,2023-09-23,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,L,1.0,2.0,Werder Bremen,53.0,645.0,59.0,198.0,312.0,141.0,21.0,645.0,18.0,9.0,50.0,9.0,50.0,378.0,1597.0,753.0,19.0,13.0,7.0,21.0,12.0,377.0,35.0,Match Report,2023-09-23,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,L,1.0,2.0,Werder Bremen,1,0,0,15,18,2,23,7,14,0.0,0.0,0,72.0,20.0,24.0,45.5,Match Report
2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,0.0,2.0,Stuttgart,0,14,5,35.7,0.0,0.0,18.7,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,0.0,2.0,Stuttgart,4,2,2,50.0,0,2.1,0.1,0,0,0,0,1.0,3.0,33.3,21.0,0.0,14.3,26.1,10.0,0.0,13.3,12.0,0.0,0.0,4.0,18.8,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,0.0,2.0,Stuttgart,325.0,425.0,76.5,5379.0,2190.0,154.0,175.0,88.0,136.0,165.0,82.4,24.0,54.0,44.4,0,0.6,0.9,10.0,23.0,6.0,2.0,32.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,0.0,2.0,Stuttgart,425.0,368.0,55.0,9.0,0.0,2.0,34,25.0,8.0,7.0,0.0,0.0,325.0,2.0,12.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,0.0,2.0,Stuttgart,27.0,22.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,0.0,2.0,Stuttgart,21.0,13,12.0,7.0,2.0,11.0,20.0,55.0,9.0,10.0,3.0,7.0,12,33,14.0,0.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,0.0,2.0,Stuttgart,40.0,528.0,57.0,192.0,219.0,126.0,23.0,528.0,24.0,8.0,33.3,13.0,54.2,286.0,1595.0,814.0,23.0,10.0,8.0,12.0,7.0,324.0,32.0,Match Report,2023-09-30,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,L,0.0,2.0,Stuttgart,2,0,0,16,7,2,34,12,13,0.0,0.0,0,54.0,13.0,16.0,44.8,Match Report
2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,3.0,Leverkusen,0,7,3,42.9,0.0,0.0,11.3,0.0,0,0,1.3,1.3,0.23,-1.3,-1.3,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,3.0,Leverkusen,10,3,7,70.0,0,3.7,0.7,0,0,0,0,5.0,11.0,45.5,42.0,5.0,26.2,31.3,9.0,0.0,18.8,11.0,0.0,0.0,3.0,37.7,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,3.0,Leverkusen,353.0,442.0,79.9,6335.0,2175.0,157.0,168.0,93.5,153.0,178.0,86.0,36.0,68.0,52.9,0,0.7,0.6,6.0,17.0,3.0,2.0,22.0,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,3.0,Leverkusen,442.0,403.0,39.0,10.0,0.0,1.0,12,12.0,4.0,4.0,0.0,0.0,353.0,0.0,16.0,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,3.0,Leverkusen,12.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,3.0,Leverkusen,16.0,8,10.0,4.0,2.0,9.0,22.0,40.9,13.0,18.0,9.0,9.0,6,22,27.0,2.0,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,3.0,Leverkusen,36.0,548.0,101.0,282.0,196.0,73.0,7.0,548.0,10.0,7.0,70.0,3.0,30.0,299.0,1186.0,459.0,3.0,7.0,0.0,11.0,4.0,350.0,22.0,Match Report,2023-10-08,15:30 (06:30),Bundesliga,Matchweek 7,Sun,Away,L,0.0,3.0,Leverkusen,0,0,0,7,7,0,12,6,8,0.0,0.0,0,49.0,10.0,4.0,71.4,Match Report
2023-10-22,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3.0,1.0,Gladbach,3,21,6,28.6,0.05,0.17,19.6,1.0,2,2,2.7,1.1,0.06,0.3,-0.1,Match Report,2023-10-22,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3.0,1.0,Gladbach,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,7.0,13.0,53.8,42.0,2.0,31.0,31.1,6.0,0.0,16.0,8.0,0.0,0.0,0.0,,Match Report,2023-10-22,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3.0,1.0,Gladbach,477.0,594.0,80.3,8341.0,2917.0,201.0,221.0,91.0,218.0,252.0,86.5,49.0,87.0,56.3,1,1.0,1.8,15.0,29.0,13.0,5.0,51.0,Match Report,2023-10-22,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3.0,1.0,Gladbach,594.0,547.0,46.0,7.0,1.0,2.0,26,23.0,8.0,6.0,0.0,0.0,477.0,1.0,12.0,Match Report,2023-10-22,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3.0,1.0,Gladbach,41.0,28.0,3.0,1.0,5.0,3.0,1.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,Match Report,2023-10-22,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3.0,1.0,Gladbach,17.0,12,8.0,8.0,1.0,9.0,14.0,64.3,5.0,8.0,0.0,8.0,7,24,12.0,0.0,Match Report,2023-10-22,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3.0,1.0,Gladbach,60.0,701.0,54.0,196.0,321.0,197.0,31.0,699.0,18.0,11.0,61.1,6.0,33.3,484.0,2692.0,1282.0,31.0,22.0,7.0,12.0,13.0,468.0,51.0,Match Report,2023-10-22,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3.0,1.0,Gladbach,0,0,0,13,9,1,26,7,12,1.0,0.0,0,63.0,21.0,14.0,60.0,Match Report
2023-10-28,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0.0,6.0,RB Leipzig,0,6,1,16.7,0.0,0.0,12.4,1.0,0,0,0.9,0.9,0.15,-0.9,-0.9,Match Report,2023-10-28,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0.0,6.0,RB Leipzig,13,6,7,61.5,0,5.5,-0.5,1,1,0,0,2.0,7.0,28.6,32.0,1.0,15.6,27.3,9.0,22.2,25.3,23.0,0.0,0.0,0.0,5.0,Match Report,2023-10-28,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0.0,6.0,RB Leipzig,301.0,377.0,79.8,5267.0,1774.0,125.0,143.0,87.4,154.0,175.0,88.0,18.0,37.0,48.6,0,0.6,0.5,3.0,9.0,2.0,1.0,17.0,Match Report,2023-10-28,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0.0,6.0,RB Leipzig,377.0,337.0,38.0,8.0,1.0,1.0,12,13.0,1.0,1.0,0.0,0.0,301.0,2.0,12.0,Match Report,2023-10-28,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0.0,6.0,RB Leipzig,11.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-28,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0.0,6.0,RB Leipzig,16.0,8,11.0,5.0,0.0,9.0,18.0,50.0,9.0,15.0,6.0,9.0,7,23,29.0,1.0,Match Report,2023-10-28,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0.0,6.0,RB Leipzig,38.0,477.0,92.0,216.0,188.0,74.0,8.0,477.0,5.0,3.0,60.0,1.0,20.0,178.0,933.0,474.0,14.0,9.0,1.0,8.0,6.0,297.0,17.0,Match Report,2023-10-28,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,0.0,6.0,RB Leipzig,4,1,1,13,8,2,12,7,8,0.0,1.0,0,33.0,11.0,5.0,68.8,Match Report
