Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-07-27,20:30 (10:30),Europa Lg,Third qualifying round,Thu,Away,D,1,1,ro Dinamo,1,,,,,,,,0,0,,,,,,Match Report,2017-07-27,20:30 (10:30),Europa Lg,Third qualifying round,Thu,Away,D,1,1,ro Dinamo,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-07-27,20:30 (10:30),Europa Lg,Third qualifying round,Thu,Away,D,1,1,ro Dinamo,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2017-07-27,20:30 (10:30),Europa Lg,Third qualifying round,Thu,Away,D,1,1,ro Dinamo,,,,,,,,,,,,,,,,Match Report,2017-07-27,20:30 (10:30),Europa Lg,Third qualifying round,Thu,Away,D,1,1,ro Dinamo,,,,,,,,,,,,,,,Match Report,2017-07-27,20:30 (10:30),Europa Lg,Third qualifying round,Thu,Away,D,1,1,ro Dinamo,,,,,,,,,,,,,,0,,,Match Report,2017-07-27,20:30 (10:30),Europa Lg,Third qualifying round,Thu,Away,D,1,1,ro Dinamo,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-07-27,20:30 (10:30),Europa Lg,Third qualifying round,Thu,Away,D,1,1,ro Dinamo,1,0,0,,,,,,,,,0,,,,,Match Report
2017-08-03,20:45 (11:45),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ro Dinamo,3,,,,,,,,0,0,,,,,,Match Report,2017-08-03,20:45 (11:45),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ro Dinamo,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-03,20:45 (11:45),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ro Dinamo,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2017-08-03,20:45 (11:45),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ro Dinamo,,,,,,,,,,,,,,,,Match Report,2017-08-03,20:45 (11:45),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ro Dinamo,,,,,,,,,,,,,,,Match Report,2017-08-03,20:45 (11:45),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ro Dinamo,,,,,,,,,,,,,,0,,,Match Report,2017-08-03,20:45 (11:45),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ro Dinamo,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-03,20:45 (11:45),Europa Lg,Third qualifying round,Thu,Home,W,3,0,ro Dinamo,0,0,0,,,,,,,,,0,,,,,Match Report
2017-08-17,21:30 (11:30),Europa Lg,Play-off round,Thu,Away,W,3,2,gr Panathinaikos,3,9,4,44.4,0.22,0.50,,,1,1,,,,,,Match Report,2017-08-17,21:30 (11:30),Europa Lg,Play-off round,Thu,Away,W,3,2,gr Panathinaikos,4,2,2,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-17,21:30 (11:30),Europa Lg,Play-off round,Thu,Away,W,3,2,gr Panathinaikos,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2017-08-17,21:30 (11:30),Europa Lg,Play-off round,Thu,Away,W,3,2,gr Panathinaikos,,,,,,,22,,,,,,,,,Match Report,2017-08-17,21:30 (11:30),Europa Lg,Play-off round,Thu,Away,W,3,2,gr Panathinaikos,,,,,,,,,,,,,,,Match Report,2017-08-17,21:30 (11:30),Europa Lg,Play-off round,Thu,Away,W,3,2,gr Panathinaikos,,13,,,,,,,,,,,12,0,,,Match Report,2017-08-17,21:30 (11:30),Europa Lg,Play-off round,Thu,Away,W,3,2,gr Panathinaikos,52,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-17,21:30 (11:30),Europa Lg,Play-off round,Thu,Away,W,3,2,gr Panathinaikos,3,0,0,14,11,2,22,12,13,1,0,0,,,,,Match Report
2017-08-20,18:15 (09:15),La Liga,Matchweek 1,Sun,Home,D,0,0,Getafe,0,13,2,15.4,0.00,0.00,15.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Match Report,2017-08-20,18:15 (09:15),La Liga,Matchweek 1,Sun,Home,D,0,0,Getafe,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,4,10,40.0,18,4,38.9,34.6,4,75.0,56.3,14,1,7.1,1,15.5,Match Report,2017-08-20,18:15 (09:15),La Liga,Matchweek 1,Sun,Home,D,0,0,Getafe,451,582,77.5,9012,2766,163,198,82.3,194,231,84.0,81,121,66.9,0,1.1,0.8,11,33,8,3,57,Match Report,2017-08-20,18:15 (09:15),La Liga,Matchweek 1,Sun,Home,D,0,0,Getafe,582,534,47,16,3,10,26,19,7,3,3,1,451,1,10,Match Report,2017-08-20,18:15 (09:15),La Liga,Matchweek 1,Sun,Home,D,0,0,Getafe,26,16,4,2,0,4,0,0,0,0,0,0,0,0,Match Report,2017-08-20,18:15 (09:15),La Liga,Matchweek 1,Sun,Home,D,0,0,Getafe,18,13,7,9,2,11,18,61.1,7,9,2,7,18,36,18,0,Match Report,2017-08-20,18:15 (09:15),La Liga,Matchweek 1,Sun,Home,D,0,0,Getafe,64,684,34,162,385,148,19,684,34,19,55.9,15,44.1,401,2188,1285,25,25,4,14,9,450,57,Match Report,2017-08-20,18:15 (09:15),La Liga,Matchweek 1,Sun,Home,D,0,0,Getafe,1,0,0,16,14,1,26,18,13,0,0,0,66,27,12,69.2,Match Report
2017-08-24,20:45 (11:45),Europa Lg,Play-off round,Thu,Home,W,1,0,gr Panathinaikos,1,13,5,38.5,0.08,0.20,,,0,0,,,,,,Match Report,2017-08-24,20:45 (11:45),Europa Lg,Play-off round,Thu,Home,W,1,0,gr Panathinaikos,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-24,20:45 (11:45),Europa Lg,Play-off round,Thu,Home,W,1,0,gr Panathinaikos,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2017-08-24,20:45 (11:45),Europa Lg,Play-off round,Thu,Home,W,1,0,gr Panathinaikos,,,,,,,15,,,,,,,,,Match Report,2017-08-24,20:45 (11:45),Europa Lg,Play-off round,Thu,Home,W,1,0,gr Panathinaikos,,,,,,,,,,,,,,,Match Report,2017-08-24,20:45 (11:45),Europa Lg,Play-off round,Thu,Home,W,1,0,gr Panathinaikos,,11,,,,,,,,,,,9,0,,,Match Report,2017-08-24,20:45 (11:45),Europa Lg,Play-off round,Thu,Home,W,1,0,gr Panathinaikos,51,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-24,20:45 (11:45),Europa Lg,Play-off round,Thu,Home,W,1,0,gr Panathinaikos,1,0,0,16,15,5,15,9,11,0,0,0,,,,,Match Report
2017-08-27,18:15 (09:15),La Liga,Matchweek 2,Sun,Away,W,1,0,Eibar,1,9,4,44.4,0.11,0.25,26.7,2,0,0,1.1,1.1,0.13,-0.1,-0.1,Match Report,2017-08-27,18:15 (09:15),La Liga,Matchweek 2,Sun,Away,W,1,0,Eibar,5,0,5,100.0,1,1.1,+1.1,0,0,0,0,21,35,60.0,37,2,78.4,49.2,7,85.7,63.1,21,2,9.5,2,13.0,Match Report,2017-08-27,18:15 (09:15),La Liga,Matchweek 2,Sun,Away,W,1,0,Eibar,248,384,64.6,5077,2511,119,147,81.0,70,105,66.7,49,102,48.0,1,1.1,0.6,7,26,5,1,24,Match Report,2017-08-27,18:15 (09:15),La Liga,Matchweek 2,Sun,Away,W,1,0,Eibar,384,328,51,13,0,0,11,27,3,0,1,1,248,5,12,Match Report,2017-08-27,18:15 (09:15),La Liga,Matchweek 2,Sun,Away,W,1,0,Eibar,15,12,0,0,0,2,1,2,2,0,0,0,0,0,Match Report,2017-08-27,18:15 (09:15),La Liga,Matchweek 2,Sun,Away,W,1,0,Eibar,20,14,10,9,1,8,18,44.4,10,16,5,11,15,35,25,0,Match Report,2017-08-27,18:15 (09:15),La Liga,Matchweek 2,Sun,Away,W,1,0,Eibar,44,505,61,183,224,106,15,505,18,9,50.0,9,50.0,245,1221,575,9,6,3,9,15,245,23,Match Report,2017-08-27,18:15 (09:15),La Liga,Matchweek 2,Sun,Away,W,1,0,Eibar,1,0,0,11,13,5,11,15,14,0,0,0,56,20,23,46.5,Match Report
2017-09-10,16:15 (07:15),La Liga,Matchweek 3,Sun,Home,W,2,0,Girona,2,7,4,57.1,0.29,0.50,11.5,0,0,0,1.6,1.6,0.24,+0.4,+0.4,Match Report,2017-09-10,16:15 (07:15),La Liga,Matchweek 3,Sun,Home,W,2,0,Girona,7,0,7,100.0,1,0.6,+0.6,0,0,0,0,10,30,33.3,33,4,75.8,46.2,5,100.0,62.6,14,0,0.0,0,10.0,Match Report,2017-09-10,16:15 (07:15),La Liga,Matchweek 3,Sun,Home,W,2,0,Girona,305,409,74.6,5886,1963,130,144,90.3,125,155,80.6,42,93,45.2,2,1.0,0.5,6,17,6,2,24,Match Report,2017-09-10,16:15 (07:15),La Liga,Matchweek 3,Sun,Home,W,2,0,Girona,409,356,53,20,0,1,14,21,6,2,4,0,305,0,7,Match Report,2017-09-10,16:15 (07:15),La Liga,Matchweek 3,Sun,Home,W,2,0,Girona,12,6,2,1,1,1,1,4,4,0,0,0,0,0,Match Report,2017-09-10,16:15 (07:15),La Liga,Matchweek 3,Sun,Home,W,2,0,Girona,15,12,12,3,0,7,16,43.8,9,11,2,9,7,22,32,0,Match Report,2017-09-10,16:15 (07:15),La Liga,Matchweek 3,Sun,Home,W,2,0,Girona,49,511,58,185,263,72,15,511,11,7,63.6,4,36.4,236,1653,968,19,8,3,12,16,303,23,Match Report,2017-09-10,16:15 (07:15),La Liga,Matchweek 3,Sun,Home,W,2,0,Girona,4,0,0,19,18,0,14,7,12,0,0,0,45,14,9,60.9,Match Report
2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Away,D,0,0,de Hertha BSC,0,12,3,25.0,0.00,0.00,17.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Away,D,0,0,de Hertha BSC,6,0,6,100.0,1,0.7,+0.7,0,0,0,0,7,20,35.0,21,3,61.9,40.9,7,100.0,61.9,18,2,11.1,1,12.9,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Away,D,0,0,de Hertha BSC,419,529,79.2,7237,2441,180,203,88.7,164,195,84.1,47,83,56.6,0,0.6,1.0,11,28,14,4,45,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Away,D,0,0,de Hertha BSC,529,491,38,7,1,2,27,19,4,1,3,0,419,0,11,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Away,D,0,0,de Hertha BSC,24,21,2,0,1,0,0,0,0,0,0,0,0,0,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Away,D,0,0,de Hertha BSC,17,14,5,11,1,7,13,53.8,6,11,7,4,13,30,31,0,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Away,D,0,0,de Hertha BSC,47,640,60,158,356,130,17,640,12,4,33.3,8,66.7,358,1965,1090,22,21,1,7,4,416,45,Match Report,2017-09-14,21:05 (12:05),Europa Lg,Group stage,Thu,Away,D,0,0,de Hertha BSC,2,0,0,13,7,0,27,13,14,0,0,0,40,21,17,55.3,Match Report
2017-09-17,17:30 (09:30),La Liga,Matchweek 4,Sun,Away,L,0,1,Las Palmas,0,11,5,45.5,0.00,0.00,14.9,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Match Report,2017-09-17,17:30 (09:30),La Liga,Matchweek 4,Sun,Away,L,0,1,Las Palmas,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,11,20,55.0,34,4,35.3,33.4,9,88.9,53.6,9,1,11.1,2,17.7,Match Report,2017-09-17,17:30 (09:30),La Liga,Matchweek 4,Sun,Away,L,0,1,Las Palmas,308,415,74.2,5999,2252,136,158,86.1,115,150,76.7,49,84,58.3,0,0.9,0.8,10,27,7,1,27,Match Report,2017-09-17,17:30 (09:30),La Liga,Matchweek 4,Sun,Away,L,0,1,Las Palmas,415,372,41,13,1,8,24,11,6,4,2,0,308,2,6,Match Report,2017-09-17,17:30 (09:30),La Liga,Matchweek 4,Sun,Away,L,0,1,Las Palmas,21,14,4,0,2,1,0,0,0,0,0,0,0,0,Match Report,2017-09-17,17:30 (09:30),La Liga,Matchweek 4,Sun,Away,L,0,1,Las Palmas,15,10,8,5,2,6,15,40.0,9,10,1,9,9,24,21,0,Match Report,2017-09-17,17:30 (09:30),La Liga,Matchweek 4,Sun,Away,L,0,1,Las Palmas,45,508,54,162,240,110,23,508,8,2,25.0,6,75.0,323,1598,825,20,10,6,12,13,307,27,Match Report,2017-09-17,17:30 (09:30),La Liga,Matchweek 4,Sun,Away,L,0,1,Las Palmas,3,0,0,19,12,2,24,9,10,0,0,0,49,13,10,56.5,Match Report
2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Home,L,1,2,Atlético Madrid,1,11,6,54.5,0.09,0.17,17.8,0,0,1,2.0,1.2,0.11,-1.0,-0.2,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Home,L,1,2,Atlético Madrid,9,2,7,77.8,0,4.1,+2.1,0,0,0,0,12,20,60.0,34,8,47.1,38.1,5,80.0,59.8,5,1,20.0,0,11.7,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Home,L,1,2,Atlético Madrid,450,576,78.1,8814,3113,180,210,85.7,192,230,83.5,70,107,65.4,1,1.0,0.9,7,40,9,4,53,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Home,L,1,2,Atlético Madrid,576,525,48,12,0,8,32,22,6,4,1,0,450,3,12,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Home,L,1,2,Atlético Madrid,16,12,3,0,0,1,0,2,2,0,0,0,0,0,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Home,L,1,2,Atlético Madrid,19,13,9,6,4,7,22,31.8,15,8,2,6,14,33,12,0,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Home,L,1,2,Atlético Madrid,56,668,50,179,328,166,22,667,11,4,36.4,7,63.6,444,2147,1146,19,23,1,9,13,446,53,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Home,L,1,2,Atlético Madrid,0,0,0,12,11,3,32,14,13,1,0,0,53,21,17,55.3,Match Report
