Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-13,22:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,1,,,,,,,,1,1,,,,,,Match Report,2017-08-13,22:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,,3,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-13,22:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-08-13,22:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,,,,,,,,,,,,,,,,Match Report,2017-08-13,22:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,,,,,,,,,,,,,,,Match Report,2017-08-13,22:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,,,,,,,,,,,,,,0,,,Match Report,2017-08-13,22:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-13,22:00 (13:00),Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,3,0,0,,,,,,,,,1,,,,,Match Report
2017-08-16,23:00 (14:00),Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,0,,,,,,,,0,0,,,,,,Match Report,2017-08-16,23:00 (14:00),Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,,2,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-16,23:00 (14:00),Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-08-16,23:00 (14:00),Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,,,,,,,,,,,,,,,,Match Report,2017-08-16,23:00 (14:00),Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,,,,,,,,,,,,,,,Match Report,2017-08-16,23:00 (14:00),Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,,,,,,,,,,,,,,0,,,Match Report,2017-08-16,23:00 (14:00),Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-16,23:00 (14:00),Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,2,0,0,,,,,,,,,0,,,,,Match Report
2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,1,15,2,13.3,0.07,0.50,20.6,3,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,0,0,0,,1,0.0,0.0,0,0,0,0,2,6,33.3,18,0,11.1,23.9,6,66.7,51.8,0,0,,1,25.0,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,608,696,87.4,9499,3121,315,342,92.1,211,233,90.6,47,66,71.2,1,0.9,1.4,10,52,7,0,49,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,696,649,45,13,1,2,10,17,8,2,4,0,608,2,9,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,24,17,1,0,2,3,1,1,1,0,0,0,0,0,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,15,10,2,9,4,4,8,50.0,4,9,1,8,12,27,2,1,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,61,778,35,134,429,222,36,778,20,11,55.0,9,45.0,431,2218,1095,27,16,15,16,9,607,49,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,2,0,0,16,15,2,10,12,10,0,0,0,55,3,5,37.5,Match Report
2017-08-26,18:15 (09:15),La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,2,22,10,45.5,0.09,0.20,18.9,1,0,1,2.5,1.7,0.08,-0.5,+0.3,Match Report,2017-08-26,18:15 (09:15),La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,2,0,2,100.0,1,0.6,+0.6,0,0,0,0,3,4,75.0,23,2,17.4,24.2,4,0.0,31.8,3,0,0.0,0,9.0,Match Report,2017-08-26,18:15 (09:15),La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,690,773,89.3,11616,3424,332,358,92.7,268,290,92.4,67,91,73.6,2,1.5,1.3,18,75,11,1,82,Match Report,2017-08-26,18:15 (09:15),La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,773,720,53,11,0,6,18,23,14,5,3,1,690,0,8,Match Report,2017-08-26,18:15 (09:15),La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,42,31,3,3,1,3,1,3,2,0,0,0,0,1,Match Report,2017-08-26,18:15 (09:15),La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,13,10,3,6,4,8,16,50.0,8,10,6,4,8,21,7,0,Match Report,2017-08-26,18:15 (09:15),La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,73,862,51,148,388,336,33,861,32,21,65.6,11,34.4,548,2906,1461,26,31,13,13,14,688,80,Match Report,2017-08-26,18:15 (09:15),La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,3,0,0,10,11,0,18,8,10,1,0,0,57,6,8,42.9,Match Report
2017-09-09,20:45 (11:45),La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,5,20,9,45.0,0.25,0.56,13.3,3,0,0,5.1,5.1,0.26,-0.1,-0.1,Match Report,2017-09-09,20:45 (11:45),La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,4,7,57.1,33,2,21.2,27.9,5,0.0,29.2,17,1,5.9,0,7.7,Match Report,2017-09-09,20:45 (11:45),La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,682,767,88.9,12122,3839,330,353,93.5,259,283,91.5,87,106,82.1,5,5.0,4.1,16,41,15,1,49,Match Report,2017-09-09,20:45 (11:45),La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,767,710,54,16,2,8,9,24,8,4,3,0,682,3,8,Match Report,2017-09-09,20:45 (11:45),La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,34,23,2,3,3,2,1,9,6,1,1,1,0,0,Match Report,2017-09-09,20:45 (11:45),La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,13,10,8,4,1,6,8,75.0,2,12,3,9,6,19,18,1,Match Report,2017-09-09,20:45 (11:45),La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,76,869,69,267,425,184,39,869,24,14,58.3,10,41.7,475,2490,1239,19,18,3,19,14,681,49,Match Report,2017-09-09,20:45 (11:45),La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,1,0,0,11,15,3,9,6,10,0,0,0,49,9,5,64.3,Match Report
2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,3,9,5,55.6,0.33,0.60,18.9,2,0,0,0.9,0.9,0.10,+2.1,+2.1,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,6,0,6,100.0,1,1.5,+1.5,0,0,0,0,7,10,70.0,32,4,25.0,26.8,5,40.0,29.2,7,0,0.0,2,18.6,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,660,744,88.7,10521,3063,363,394,92.1,211,230,91.7,63,84,75.0,2,0.4,0.4,4,49,2,0,41,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,744,697,44,13,1,10,7,19,6,4,2,0,660,3,6,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,15,9,0,2,1,2,1,6,5,0,1,0,0,0,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,12,9,8,4,0,3,14,21.4,11,7,4,3,10,22,8,0,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,63,819,55,192,495,140,11,819,17,14,82.4,3,17.6,477,2373,1223,14,13,4,13,6,658,41,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,2,0,0,9,15,3,7,10,9,0,0,0,47,5,3,62.5,Match Report
2017-09-16,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,2,7,5,71.4,0.29,0.40,21.4,1,0,0,0.4,0.4,0.06,+1.6,+1.6,Match Report,2017-09-16,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,4,6,66.7,18,9,11.1,24.3,10,40.0,42.3,10,2,20.0,0,9.0,Match Report,2017-09-16,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,621,705,88.1,10488,3328,310,331,93.7,218,242,90.1,64,86,74.4,2,0.3,0.8,5,60,10,1,57,Match Report,2017-09-16,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,705,644,56,17,0,7,10,23,4,2,0,0,621,5,8,Match Report,2017-09-16,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,13,9,0,2,1,1,0,4,2,0,2,0,0,0,Match Report,2017-09-16,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,14,12,7,4,3,6,12,50.0,6,6,2,4,16,30,16,0,Match Report,2017-09-16,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,70,821,38,160,431,236,29,821,36,19,52.8,17,47.2,490,2620,1649,24,24,10,17,9,618,56,Match Report,2017-09-16,16:15 (07:15),La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,4,0,0,14,15,5,10,16,12,0,0,0,37,4,10,28.6,Match Report
2017-09-19,22:00 (13:00),La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,6,10,9,90.0,0.50,0.56,17.7,1,1,1,2.4,1.6,0.17,+3.6,+3.4,Match Report,2017-09-19,22:00 (13:00),La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,4,1,3,75.0,0,1.6,+0.6,0,0,0,0,2,6,33.3,45,4,8.9,24.6,7,28.6,33.1,12,0,0.0,1,13.2,Match Report,2017-09-19,22:00 (13:00),La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,548,645,85.0,9931,3472,241,271,88.9,216,236,91.5,75,106,70.8,4,1.4,0.7,8,30,12,0,48,Match Report,2017-09-19,22:00 (13:00),La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,645,594,49,9,2,11,8,24,7,4,0,0,548,2,11,Match Report,2017-09-19,22:00 (13:00),La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,21,15,1,1,2,2,0,11,7,1,0,2,1,0,Match Report,2017-09-19,22:00 (13:00),La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,16,14,11,5,0,7,14,50.0,7,9,3,6,9,25,15,0,Match Report,2017-09-19,22:00 (13:00),La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,61,738,87,297,316,129,32,737,30,19,63.3,11,36.7,468,2546,1477,35,15,11,7,12,543,48,Match Report,2017-09-19,22:00 (13:00),La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,0,0,0,4,9,2,8,9,14,1,0,0,54,6,11,35.3,Match Report
2017-09-23,20:45 (11:45),La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,1,9,5,55.6,0.11,0.20,18.4,2,0,0,1.0,1.0,0.11,0.0,0.0,Match Report,2017-09-23,20:45 (11:45),La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,5,13,38.5,38,6,18.4,26.2,9,66.7,43.6,15,0,0.0,0,3.0,Match Report,2017-09-23,20:45 (11:45),La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,495,596,83.1,8941,3086,199,222,89.6,219,248,88.3,59,82,72.0,1,0.8,0.8,7,28,5,0,34,Match Report,2017-09-23,20:45 (11:45),La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,596,529,53,22,8,4,6,18,3,0,2,0,495,14,5,Match Report,2017-09-23,20:45 (11:45),La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,15,5,3,1,2,3,1,2,2,0,0,0,0,0,Match Report,2017-09-23,20:45 (11:45),La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,13,9,5,5,3,2,5,40.0,3,13,3,10,11,24,19,1,Match Report,2017-09-23,20:45 (11:45),La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,60,676,65,218,341,125,21,676,17,10,58.8,7,41.2,516,2374,1419,24,11,9,15,6,490,33,Match Report,2017-09-23,20:45 (11:45),La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,0,0,0,5,21,14,6,11,9,0,0,0,50,7,9,43.8,Match Report
2017-09-27,19:45 (11:45),Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,0,10,5,50.0,0.00,0.00,20.7,1,0,0,0.9,0.9,0.09,-0.9,-0.9,Match Report,2017-09-27,19:45 (11:45),Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,1,5,20.0,36,5,13.9,25.4,4,0.0,30.3,10,1,10.0,2,18.8,Match Report,2017-09-27,19:45 (11:45),Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,683,785,87.0,10714,3497,351,381,92.1,259,276,93.8,48,77,62.3,0,0.8,1.2,8,51,8,0,47,Match Report,2017-09-27,19:45 (11:45),Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,785,728,53,19,2,4,7,25,4,2,1,0,683,4,16,Match Report,2017-09-27,19:45 (11:45),Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,16,13,0,1,0,1,1,0,0,0,0,0,0,0,Match Report,2017-09-27,19:45 (11:45),Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,13,9,6,3,4,3,10,30.0,7,10,6,4,7,20,16,0,Match Report,2017-09-27,19:45 (11:45),Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,69,867,69,241,473,160,15,867,18,10,55.6,8,44.4,541,2600,1423,18,13,2,15,11,680,46,Match Report,2017-09-27,19:45 (11:45),Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,2,0,0,12,18,4,7,7,9,0,0,0,66,9,9,50.0,Match Report
