Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Away,L,0.0,2.0,Barcelona,0,3.0,0.0,0.0,0.0,,20.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Away,L,0.0,2.0,Barcelona,2.0,2,1.0,0.0,0,0.7,-0.3,0,0,0,0,10.0,14.0,71.4,33.0,3.0,24.2,29.8,10.0,60.0,41.1,8.0,0.0,0.0,0.0,12.8,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Away,L,0.0,2.0,Barcelona,379.0,453.0,83.7,7414.0,2658.0,153.0,174.0,87.9,163.0,184.0,88.6,57.0,76.0,75.0,0,0.0,0.3,0.0,31.0,3.0,0.0,31.0,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Away,L,0.0,2.0,Barcelona,453.0,406.0,46.0,18.0,2.0,12.0,1.0,15.0,0.0,0.0,0.0,0.0,379.0,1.0,8.0,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Away,L,0.0,2.0,Barcelona,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Away,L,0.0,2.0,Barcelona,18.0,9.0,14.0,4.0,0.0,9.0,20.0,45.0,11.0,13.0,5.0,8.0,18.0,36,24.0,1.0,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Away,L,0.0,2.0,Barcelona,39.0,559.0,96.0,236.0,257.0,69.0,7.0,559.0,8.0,4.0,50.0,4.0,50.0,347.0,1434.0,529.0,10.0,10.0,3.0,21.0,11.0,374.0,31.0,Match Report,2017-08-20,20:15 (11:15),La Liga,Matchweek 1,Sun,Away,L,0.0,2.0,Barcelona,1,0,0,15.0,16.0,1.0,1.0,18.0,9.0,0.0,0.0,1,47.0,5.0,3.0,62.5,Match Report
2017-08-25,22:00 (13:00),La Liga,Matchweek 2,Fri,Home,W,2.0,1.0,Celta Vigo,2,10.0,3.0,30.0,0.2,0.67,16.4,1.0,0,0,1.6,1.6,0.16,0.4,0.4,Match Report,2017-08-25,22:00 (13:00),La Liga,Matchweek 2,Fri,Home,W,2.0,1.0,Celta Vigo,1.0,1,1.0,0.0,0,0.2,0.2,0,0,0,0,5.0,16.0,31.3,19.0,2.0,47.4,39.4,9.0,77.8,51.1,13.0,0.0,0.0,0.0,,Match Report,2017-08-25,22:00 (13:00),La Liga,Matchweek 2,Fri,Home,W,2.0,1.0,Celta Vigo,342.0,426.0,80.3,6777.0,2191.0,152.0,167.0,91.0,131.0,159.0,82.4,58.0,93.0,62.4,2,1.6,1.3,9.0,26.0,7.0,4.0,36.0,Match Report,2017-08-25,22:00 (13:00),La Liga,Matchweek 2,Fri,Home,W,2.0,1.0,Celta Vigo,426.0,384.0,41.0,9.0,0.0,15.0,19.0,17.0,4.0,3.0,0.0,0.0,342.0,1.0,3.0,Match Report,2017-08-25,22:00 (13:00),La Liga,Matchweek 2,Fri,Home,W,2.0,1.0,Celta Vigo,20.0,13.0,4.0,2.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,Match Report,2017-08-25,22:00 (13:00),La Liga,Matchweek 2,Fri,Home,W,2.0,1.0,Celta Vigo,18.0,12.0,8.0,8.0,2.0,4.0,13.0,30.8,9.0,7.0,1.0,6.0,12.0,30,22.0,0.0,Match Report,2017-08-25,22:00 (13:00),La Liga,Matchweek 2,Fri,Home,W,2.0,1.0,Celta Vigo,46.0,519.0,40.0,165.0,237.0,117.0,15.0,519.0,13.0,9.0,69.2,4.0,30.8,326.0,1884.0,870.0,22.0,17.0,4.0,17.0,8.0,337.0,35.0,Match Report,2017-08-25,22:00 (13:00),La Liga,Matchweek 2,Fri,Home,W,2.0,1.0,Celta Vigo,2,0,0,13.0,8.0,1.0,19.0,12.0,12.0,0.0,0.0,1,40.0,14.0,16.0,46.7,Match Report
2017-09-10,20:45 (11:45),La Liga,Matchweek 3,Sun,Away,L,1.0,3.0,Villarreal,1,8.0,3.0,37.5,0.13,0.33,22.7,1.0,0,0,0.9,0.9,0.11,0.1,0.1,Match Report,2017-09-10,20:45 (11:45),La Liga,Matchweek 3,Sun,Away,L,1.0,3.0,Villarreal,7.0,3,4.0,57.1,0,1.9,-1.1,0,0,0,0,4.0,11.0,36.4,32.0,4.0,28.1,32.4,8.0,25.0,30.4,15.0,0.0,0.0,3.0,18.8,Match Report,2017-09-10,20:45 (11:45),La Liga,Matchweek 3,Sun,Away,L,1.0,3.0,Villarreal,440.0,530.0,83.0,8867.0,2687.0,157.0,170.0,92.4,222.0,252.0,88.1,58.0,96.0,60.4,1,0.9,0.6,6.0,34.0,4.0,4.0,53.0,Match Report,2017-09-10,20:45 (11:45),La Liga,Matchweek 3,Sun,Away,L,1.0,3.0,Villarreal,530.0,495.0,34.0,10.0,0.0,12.0,22.0,9.0,3.0,0.0,2.0,0.0,440.0,1.0,7.0,Match Report,2017-09-10,20:45 (11:45),La Liga,Matchweek 3,Sun,Away,L,1.0,3.0,Villarreal,15.0,13.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-10,20:45 (11:45),La Liga,Matchweek 3,Sun,Away,L,1.0,3.0,Villarreal,10.0,6.0,5.0,4.0,1.0,3.0,7.0,42.9,4.0,3.0,2.0,1.0,8.0,18,28.0,1.0,Match Report,2017-09-10,20:45 (11:45),La Liga,Matchweek 3,Sun,Away,L,1.0,3.0,Villarreal,51.0,606.0,61.0,195.0,249.0,167.0,10.0,606.0,15.0,10.0,66.7,5.0,33.3,399.0,2051.0,1143.0,18.0,21.0,2.0,8.0,7.0,438.0,53.0,Match Report,2017-09-10,20:45 (11:45),La Liga,Matchweek 3,Sun,Away,L,1.0,3.0,Villarreal,0,0,0,9.0,9.0,1.0,22.0,8.0,6.0,0.0,0.0,0,51.0,9.0,10.0,47.4,Match Report
2017-09-16,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,La Coruña,2,17.0,7.0,41.2,0.12,0.29,15.8,1.0,0,0,2.6,2.6,0.16,-0.6,-0.6,Match Report,2017-09-16,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,La Coruña,3.0,1,2.0,66.7,0,0.7,-0.3,0,0,0,0,10.0,22.0,45.5,29.0,2.0,48.3,37.9,9.0,88.9,52.1,10.0,0.0,0.0,0.0,17.0,Match Report,2017-09-16,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,La Coruña,421.0,521.0,80.8,7710.0,2700.0,189.0,212.0,89.2,154.0,182.0,84.6,62.0,95.0,65.3,1,1.8,1.5,15.0,45.0,14.0,6.0,48.0,Match Report,2017-09-16,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,La Coruña,521.0,462.0,58.0,22.0,1.0,7.0,26.0,19.0,6.0,4.0,0.0,0.0,421.0,1.0,11.0,Match Report,2017-09-16,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,La Coruña,30.0,22.0,2.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,Match Report,2017-09-16,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,La Coruña,17.0,10.0,7.0,9.0,1.0,2.0,4.0,50.0,2.0,13.0,4.0,9.0,7.0,24,16.0,0.0,Match Report,2017-09-16,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,La Coruña,61.0,618.0,55.0,150.0,282.0,196.0,22.0,618.0,16.0,10.0,62.5,6.0,37.5,370.0,2352.0,1231.0,26.0,25.0,8.0,14.0,8.0,419.0,48.0,Match Report,2017-09-16,18:30 (09:30),La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,La Coruña,2,0,0,13.0,19.0,1.0,26.0,7.0,10.0,0.0,0.0,0,46.0,14.0,11.0,56.0,Match Report
2017-09-20,22:00 (13:00),La Liga,Matchweek 5,Wed,Away,W,1.0,0.0,Real Madrid,1,12.0,3.0,25.0,0.08,0.33,20.0,0.0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report,2017-09-20,22:00 (13:00),La Liga,Matchweek 5,Wed,Away,W,1.0,0.0,Real Madrid,6.0,0,6.0,100.0,1,1.2,1.2,0,0,0,0,16.0,33.0,48.5,36.0,8.0,55.6,41.7,20.0,65.0,45.5,39.0,2.0,5.1,1.0,18.0,Match Report,2017-09-20,22:00 (13:00),La Liga,Matchweek 5,Wed,Away,W,1.0,0.0,Real Madrid,332.0,414.0,80.2,6535.0,2898.0,141.0,158.0,89.2,133.0,150.0,88.7,53.0,87.0,60.9,1,0.8,0.5,10.0,27.0,5.0,1.0,28.0,Match Report,2017-09-20,22:00 (13:00),La Liga,Matchweek 5,Wed,Away,W,1.0,0.0,Real Madrid,414.0,368.0,42.0,13.0,0.0,5.0,8.0,5.0,3.0,1.0,1.0,0.0,332.0,4.0,6.0,Match Report,2017-09-20,22:00 (13:00),La Liga,Matchweek 5,Wed,Away,W,1.0,0.0,Real Madrid,19.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-20,22:00 (13:00),La Liga,Matchweek 5,Wed,Away,W,1.0,0.0,Real Madrid,10.0,8.0,7.0,3.0,0.0,7.0,14.0,50.0,7.0,19.0,7.0,12.0,8.0,18,39.0,0.0,Match Report,2017-09-20,22:00 (13:00),La Liga,Matchweek 5,Wed,Away,W,1.0,0.0,Real Madrid,40.0,539.0,116.0,248.0,204.0,92.0,12.0,539.0,16.0,12.0,75.0,4.0,25.0,327.0,1870.0,977.0,20.0,14.0,5.0,13.0,10.0,328.0,28.0,Match Report,2017-09-20,22:00 (13:00),La Liga,Matchweek 5,Wed,Away,W,1.0,0.0,Real Madrid,3,0,0,11.0,13.0,4.0,8.0,8.0,8.0,0.0,0.0,0,49.0,12.0,11.0,52.2,Match Report
2017-09-25,21:00 (12:00),La Liga,Matchweek 6,Mon,Home,W,4.0,0.0,Levante,4,14.0,6.0,42.9,0.29,0.67,16.2,0.0,0,0,2.2,2.2,0.15,1.8,1.8,Match Report,2017-09-25,21:00 (12:00),La Liga,Matchweek 6,Mon,Home,W,4.0,0.0,Levante,1.0,0,1.0,100.0,1,0.0,0.0,0,0,0,0,3.0,8.0,37.5,22.0,3.0,27.3,27.2,12.0,16.7,28.7,14.0,1.0,7.1,0.0,14.7,Match Report,2017-09-25,21:00 (12:00),La Liga,Matchweek 6,Mon,Home,W,4.0,0.0,Levante,603.0,672.0,89.7,11350.0,2896.0,234.0,245.0,95.5,287.0,304.0,94.4,73.0,102.0,71.6,4,2.1,1.5,12.0,31.0,8.0,1.0,53.0,Match Report,2017-09-25,21:00 (12:00),La Liga,Matchweek 6,Mon,Home,W,4.0,0.0,Levante,672.0,631.0,37.0,7.0,0.0,11.0,16.0,11.0,6.0,1.0,3.0,0.0,603.0,4.0,3.0,Match Report,2017-09-25,21:00 (12:00),La Liga,Matchweek 6,Mon,Home,W,4.0,0.0,Levante,26.0,25.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-25,21:00 (12:00),La Liga,Matchweek 6,Mon,Home,W,4.0,0.0,Levante,17.0,11.0,5.0,8.0,4.0,3.0,7.0,42.9,4.0,6.0,1.0,5.0,7.0,24,19.0,0.0,Match Report,2017-09-25,21:00 (12:00),La Liga,Matchweek 6,Mon,Home,W,4.0,0.0,Levante,67.0,761.0,55.0,205.0,410.0,148.0,23.0,761.0,12.0,8.0,66.7,4.0,33.3,499.0,2513.0,1377.0,23.0,16.0,6.0,16.0,11.0,598.0,52.0,Match Report,2017-09-25,21:00 (12:00),La Liga,Matchweek 6,Mon,Home,W,4.0,0.0,Levante,1,0,0,9.0,5.0,4.0,16.0,7.0,11.0,0.0,0.0,0,46.0,9.0,6.0,60.0,Match Report
2017-10-01,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,4.0,4.0,Real Sociedad,4,10.0,5.0,50.0,0.4,0.8,15.8,1.0,0,0,2.1,2.1,0.21,1.9,1.9,Match Report,2017-10-01,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,4.0,4.0,Real Sociedad,6.0,4,2.0,33.3,0,2.2,-1.8,0,0,0,0,9.0,19.0,47.4,22.0,4.0,54.5,39.8,11.0,63.6,48.0,24.0,0.0,0.0,0.0,,Match Report,2017-10-01,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,4.0,4.0,Real Sociedad,305.0,392.0,77.8,5860.0,2281.0,135.0,149.0,90.6,122.0,154.0,79.2,43.0,74.0,58.1,4,2.0,1.0,9.0,16.0,6.0,1.0,30.0,Match Report,2017-10-01,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,4.0,4.0,Real Sociedad,392.0,347.0,44.0,7.0,6.0,4.0,8.0,16.0,5.0,3.0,2.0,0.0,305.0,1.0,8.0,Match Report,2017-10-01,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,4.0,4.0,Real Sociedad,18.0,12.0,2.0,3.0,0.0,1.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,Match Report,2017-10-01,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,4.0,4.0,Real Sociedad,18.0,14.0,11.0,6.0,1.0,2.0,12.0,16.7,10.0,8.0,7.0,1.0,10.0,28,39.0,0.0,Match Report,2017-10-01,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,4.0,4.0,Real Sociedad,44.0,499.0,79.0,209.0,199.0,93.0,9.0,499.0,7.0,5.0,71.4,2.0,28.6,255.0,1317.0,722.0,12.0,8.0,4.0,12.0,4.0,303.0,30.0,Match Report,2017-10-01,12:00 (03:00),La Liga,Matchweek 7,Sun,Away,D,4.0,4.0,Real Sociedad,3,0,0,17.0,8.0,1.0,8.0,10.0,14.0,0.0,0.0,0,45.0,11.0,6.0,64.7,Match Report
2017-10-15,20:45 (11:45),La Liga,Matchweek 8,Sun,Home,L,3.0,6.0,Valencia,3,12.0,5.0,41.7,0.25,0.6,18.5,1.0,0,1,2.6,1.8,0.16,0.4,1.2,Match Report,2017-10-15,20:45 (11:45),La Liga,Matchweek 8,Sun,Home,L,3.0,6.0,Valencia,9.0,6,3.0,33.3,0,3.3,-2.7,0,0,0,0,3.0,7.0,42.9,22.0,2.0,22.7,28.9,8.0,25.0,29.8,12.0,0.0,0.0,0.0,11.0,Match Report,2017-10-15,20:45 (11:45),La Liga,Matchweek 8,Sun,Home,L,3.0,6.0,Valencia,501.0,591.0,84.8,8315.0,2551.0,267.0,289.0,92.4,183.0,210.0,87.1,42.0,66.0,63.6,1,1.2,1.9,7.0,41.0,10.0,4.0,56.0,Match Report,2017-10-15,20:45 (11:45),La Liga,Matchweek 8,Sun,Home,L,3.0,6.0,Valencia,591.0,536.0,50.0,11.0,1.0,11.0,22.0,17.0,7.0,3.0,0.0,1.0,501.0,5.0,11.0,Match Report,2017-10-15,20:45 (11:45),La Liga,Matchweek 8,Sun,Home,L,3.0,6.0,Valencia,19.0,17.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2017-10-15,20:45 (11:45),La Liga,Matchweek 8,Sun,Home,L,3.0,6.0,Valencia,6.0,3.0,4.0,2.0,0.0,1.0,12.0,8.3,11.0,6.0,1.0,5.0,12.0,18,12.0,0.0,Match Report,2017-10-15,20:45 (11:45),La Liga,Matchweek 8,Sun,Home,L,3.0,6.0,Valencia,59.0,669.0,45.0,161.0,337.0,176.0,28.0,668.0,19.0,9.0,47.4,10.0,52.6,465.0,2486.0,1176.0,19.0,13.0,11.0,9.0,13.0,498.0,56.0,Match Report,2017-10-15,20:45 (11:45),La Liga,Matchweek 8,Sun,Home,L,3.0,6.0,Valencia,1,0,0,11.0,9.0,5.0,22.0,12.0,3.0,0.0,0.0,0,48.0,13.0,11.0,54.2,Match Report
2017-10-21,16:15 (07:15),La Liga,Matchweek 9,Sat,Home,W,2.0,0.0,Alavés,1,12.0,5.0,41.7,0.08,0.2,19.3,0.0,0,0,0.8,0.8,0.07,0.2,0.2,Match Report,2017-10-21,16:15 (07:15),La Liga,Matchweek 9,Sat,Home,W,2.0,0.0,Alavés,3.0,0,3.0,100.0,1,0.9,0.9,0,0,0,0,5.0,10.0,50.0,29.0,5.0,31.0,33.2,6.0,16.7,29.5,11.0,1.0,9.1,0.0,11.2,Match Report,2017-10-21,16:15 (07:15),La Liga,Matchweek 9,Sat,Home,W,2.0,0.0,Alavés,535.0,612.0,87.4,9944.0,3198.0,235.0,260.0,90.4,223.0,243.0,91.8,65.0,90.0,72.2,1,0.7,0.7,10.0,47.0,7.0,3.0,52.0,Match Report,2017-10-21,16:15 (07:15),La Liga,Matchweek 9,Sat,Home,W,2.0,0.0,Alavés,612.0,565.0,46.0,16.0,3.0,11.0,20.0,17.0,6.0,4.0,1.0,0.0,535.0,1.0,5.0,Match Report,2017-10-21,16:15 (07:15),La Liga,Matchweek 9,Sat,Home,W,2.0,0.0,Alavés,24.0,19.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-10-21,16:15 (07:15),La Liga,Matchweek 9,Sat,Home,W,2.0,0.0,Alavés,17.0,13.0,11.0,4.0,2.0,7.0,15.0,46.7,8.0,6.0,0.0,6.0,10.0,27,19.0,0.0,Match Report,2017-10-21,16:15 (07:15),La Liga,Matchweek 9,Sat,Home,W,2.0,0.0,Alavés,67.0,694.0,56.0,166.0,407.0,131.0,16.0,694.0,16.0,10.0,62.5,6.0,37.5,477.0,2429.0,1286.0,20.0,12.0,5.0,7.0,15.0,533.0,52.0,Match Report,2017-10-21,16:15 (07:15),La Liga,Matchweek 9,Sat,Home,W,2.0,0.0,Alavés,2,0,0,18.0,9.0,1.0,20.0,10.0,13.0,0.0,0.0,0,40.0,4.0,9.0,30.8,Match Report
2017-10-24,21:30 (12:30),Copa del Rey,Round of 32,Tue,Away,W,2.0,1.0,Cádiz,2,,,,,,,,0,0,,,,,,Match Report,2017-10-24,21:30 (12:30),Copa del Rey,Round of 32,Tue,Away,W,2.0,1.0,Cádiz,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-10-24,21:30 (12:30),Copa del Rey,Round of 32,Tue,Away,W,2.0,1.0,Cádiz,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2017-10-24,21:30 (12:30),Copa del Rey,Round of 32,Tue,Away,W,2.0,1.0,Cádiz,,,,,,,,,,,,,,,,Match Report,2017-10-24,21:30 (12:30),Copa del Rey,Round of 32,Tue,Away,W,2.0,1.0,Cádiz,,,,,,,,,,,,,,,Match Report,2017-10-24,21:30 (12:30),Copa del Rey,Round of 32,Tue,Away,W,2.0,1.0,Cádiz,,,,,,,,,,,,,,0,,,Match Report,2017-10-24,21:30 (12:30),Copa del Rey,Round of 32,Tue,Away,W,2.0,1.0,Cádiz,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-10-24,21:30 (12:30),Copa del Rey,Round of 32,Tue,Away,W,2.0,1.0,Cádiz,1,0,0,,,,,,,,,0,,,,,Match Report
